"ref_area","source","indicator","classif1","time","obs_value","note_source"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2014",104.9,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2014",76.24,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2014",74.26,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2014",95.82,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2014",69.46,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2014",85.88,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2014",92.38,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2014",102.42,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2014",80.2,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2013",92.9,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2013",112.25,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2013",109.73,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2013",75,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2013",103.28,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2013",78.32,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2013",74.34,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2013",94.78,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2013",68.89,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2013",90.45,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2013",92.38,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2013",99.69,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2013",79.77,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2012",95.15,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2012",112.05,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2012",100.57,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2012",81.46,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2012",111.61,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2012",79.98,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2012",73.83,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2012",94.65,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2012",68.87,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2012",88.71,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2012",92.29,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2012",98.17,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2012",79.11,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2011",94.56,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2011",109.15,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2011",98.18,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2011",87.79,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2011",110.72,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2011",83.44,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2011",72.68,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2011",91.64,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2011",67.98,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2011",90.53,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2011",90.5,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2011",93.69,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2011",78.92,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2010",90.65,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2010",104.66,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2010",88.69,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2010",89.05,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2010",103.32,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2010",83.76,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2010",73.29,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2010",85.3,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2010",65.95,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2010",88.81,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2010",87.45,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2010",92.23,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2010",78.51,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2009",88.8,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2009",107.11,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2009",89.62,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2009",94.04,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2009",94.42,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2009",84.77,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2009",73.84,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2009",83.68,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2009",65.48,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2009",89.16,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2009",86.5,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2009",92.45,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2009",79.03,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2008",90.74,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2008",102.38,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2008",85.68,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2008",93.83,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2008",102.86,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2008",82.65,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2008",72.43,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2008",89.53,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2008",66.11,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2008",87.04,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2008",90.46,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2008",86.15,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2008",76.89,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2007",83.28,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2007",92.1,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2007",82.81,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2007",87.62,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2007",90.4,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2007",79.68,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2007",64.02,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2007",80.43,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2007",66.34,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2007",83.38,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2007",83.76,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2007",84.18,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2007",74.31,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2006",79.02,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2006",81.02,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2006",74.47,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2006",83.89,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2006",85.67,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2006",76.18,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2006",65.81,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2006",75.11,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2006",64.85,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2006",76.69,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2006",79.02,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2006",79.1,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2006",74.48,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2005",76.27,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2005",77.03,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2005",73.8,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2005",82.92,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2005",79.75,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2005",75.06,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2005",65.8,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2005",73.84,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2005",64.84,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2005",74.38,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2005",76.27,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2005",76.8,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2005",72.93,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2004",73.76,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2004",74.25,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2004",73.3,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2004",82.35,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2004",74.74,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2004",73.57,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2004",65.79,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2004",71.27,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2004",64.59,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2004",72.94,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2004",73.76,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2004",74.3,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2004",71.56,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2003",71.94,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2003",71.85,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2003",73.66,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2003",79.27,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2003",73.22,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2003",72.23,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2003",65.78,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2003",69.18,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2003",64.53,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2003",71.19,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2003",71.94,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2003",71,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2003",70.47,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2002",69.4,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2002",70.01,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2002",68.23,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2002",75.74,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2002",69.4,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2002",70.61,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2002",65.78,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2002",66.75,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2002",64.52,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2002",69.27,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2002",69.4,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2002",68.28,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2002",68.69,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2001",67.18,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2001",67.71,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2001",65.87,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2001",70.69,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2001",66.81,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2001",68.01,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2001",65.78,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2001",65.76,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2001",65.25,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2001",66.78,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2001",67.18,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2001",66.49,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2001",67.13,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2024",128.47,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP01","2024",133.13,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP02","2024",168.51,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP03","2024",149.97,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP04","2024",104.64,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP05","2024",133.29,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP06","2024",146.03,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP07","2024",130.43,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP08","2024",92.25,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP09","2024",109.64,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP10","2024",141.89,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP11","2024",113.05,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP12","2024",157.97,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2023",137.55,"R1:3139"
"AFG","GA:2272","CPI_XCPI_COI_RT","COI_COICOP_CP01","2023",149.2,"R1:3139"
