year,province,area,sex,value,source,country_iso3
1996,Total country,urban,Female,343737,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
1996,Total country,rural,Both,486556,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
1996,Total country,rural,Male,248085,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
1996,Total country,rural,Female,238471,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2001,Total country,total,Both,1110836,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2001,Total country,total,Male,566316,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2001,Total country,total,Female,544520,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2001,Total country,urban,Both,722787,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2001,Total country,urban,Male,368787,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2001,Total country,urban,Female,354000,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2001,Total country,rural,Both,388049,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2001,Total country,rural,Male,197529,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2001,Total country,rural,Female,190520,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2002,Total country,total,Both,1122104,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2002,Total country,total,Male,572659,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2002,Total country,total,Female,549445,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2002,Total country,urban,Both,734332,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2002,Total country,urban,Male,376051,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2002,Total country,urban,Female,358281,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2002,Total country,rural,Both,387772,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2002,Total country,rural,Male,196608,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2002,Total country,rural,Female,191164,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2003,Total country,total,Both,1171573,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2003,Total country,total,Male,597730,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2003,Total country,total,Female,573843,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2003,Total country,urban,Both,768845,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2003,Total country,urban,Male,393044,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2003,Total country,urban,Female,375801,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2003,Total country,rural,Both,402728,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2003,Total country,rural,Male,204686,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2003,Total country,rural,Female,198042,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2004,Total country,total,Both,1154368,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2004,Total country,total,Male,590110,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2004,Total country,total,Female,564258,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2004,Total country,urban,Both,759162,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2004,Total country,urban,Male,389219,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2004,Total country,urban,Female,369943,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2004,Total country,rural,Both,395206,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2004,Total country,rural,Male,200891,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2004,Total country,rural,Female,194315,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2005,Total country,total,Both,1239398,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2005,Total country,total,Male,633086,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2005,Total country,total,Female,606312,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2005,Total country,urban,Both,817542,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2005,Total country,urban,Male,418875,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2005,Total country,urban,Female,398667,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2005,Total country,rural,Both,421856,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2005,Total country,rural,Male,214211,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2005,Total country,rural,Female,207645,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Total country,total,Both,1253506,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Total country,total,Male,642933,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Total country,total,Female,610573,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Total country,urban,Both,844813,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Total country,urban,Male,434320,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Total country,urban,Female,410493,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Total country,rural,Both,408693,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Total country,rural,Male,208613,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Total country,rural,Female,200080,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,East Azarbayejan,total,Both,62689,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,East Azarbayejan,total,Male,32184,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,East Azarbayejan,total,Female,30505,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,East Azarbayejan,urban,Both,40333,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,East Azarbayejan,urban,Male,20775,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,East Azarbayejan,urban,Female,19558,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,East Azarbayejan,rural,Both,22356,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,East Azarbayejan,rural,Male,11409,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,East Azarbayejan,rural,Female,10947,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,West Azarbayejan,total,Both,57872,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,West Azarbayejan,total,Male,29796,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,West Azarbayejan,total,Female,28076,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,West Azarbayejan,urban,Both,30715,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,West Azarbayejan,urban,Male,15871,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,West Azarbayejan,urban,Female,14844,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,West Azarbayejan,rural,Both,27157,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,West Azarbayejan,rural,Male,13925,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,West Azarbayejan,rural,Female,13232,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ardebil,total,Both,21563,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ardebil,total,Male,11152,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ardebil,total,Female,10411,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ardebil,urban,Both,13297,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ardebil,urban,Male,6825,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ardebil,urban,Female,6472,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ardebil,rural,Both,8266,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ardebil,rural,Male,4327,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ardebil,rural,Female,3939,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Esfahan,total,Both,66630,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Esfahan,total,Male,34236,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Esfahan,total,Female,32394,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Esfahan,urban,Both,56889,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Esfahan,urban,Male,29279,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Esfahan,urban,Female,27610,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Esfahan,rural,Both,9741,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Esfahan,rural,Male,4957,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Esfahan,rural,Female,4784,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ilam,total,Both,9974,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ilam,total,Male,5046,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ilam,total,Female,4928,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ilam,urban,Both,6042,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ilam,urban,Male,3051,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ilam,urban,Female,2991,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ilam,rural,Both,3932,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ilam,rural,Male,1995,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Ilam,rural,Female,1937,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Bushehr,total,Both,17809,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Bushehr,total,Male,9134,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Bushehr,total,Female,8675,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Bushehr,urban,Both,11988,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Bushehr,urban,Male,6184,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Bushehr,urban,Female,5804,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Bushehr,rural,Both,5821,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Bushehr,rural,Male,2950,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Bushehr,rural,Female,2871,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Tehran,total,Both,190403,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Tehran,total,Male,98329,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Tehran,total,Female,92074,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Tehran,urban,Both,179280,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Tehran,urban,Male,92666,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Tehran,urban,Female,86614,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Tehran,rural,Both,11123,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Tehran,rural,Male,5663,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Tehran,rural,Female,5460,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Chaharmahal & Bakhtiyari,total,Both,17952,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Chaharmahal & Bakhtiyari,total,Male,9043,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Chaharmahal & Bakhtiyari,total,Female,8909,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Chaharmahal & Bakhtiyari,urban,Both,8818,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Chaharmahal & Bakhtiyari,urban,Male,4440,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Chaharmahal & Bakhtiyari,urban,Female,4378,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Chaharmahal & Bakhtiyari,rural,Both,9134,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Chaharmahal & Bakhtiyari,rural,Male,4603,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,Chaharmahal & Bakhtiyari,rural,Female,4531,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,South Khorasan,total,Both,13034,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,South Khorasan,total,Male,6729,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
2006,South Khorasan,total,Female,6305,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 22 (Registered Births by Sex, 1370-1385/1991-2006), Civil Registration Organization",IRN
