year_iranian,year_western,area,sex,occupation,value,unit,source,country_iso3
1384,2005-2006,total,Male,"Legislators, Senior Officials and Managers",534143,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Male,Professionals,957302,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Male,Technicians and Associate Professionals,806498,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Male,Clerical and Administrative Workers,674381,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Male,Service Workers and Shop and Market Sales Workers,2289689,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Male,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",3038934,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Male,Crafts and Related Trades Workers,3126696,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Male,"Machinery Operators, Assemblers and Drivers",2179719,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Male,Laborers,2581193,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Male,Other or Not Declared,468358,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Female,Total,3961661,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Female,"Legislators, Senior Officials and Managers",102518,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Female,Professionals,732771,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Female,Technicians and Associate Professionals,171601,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Female,Clerical and Administrative Workers,239508,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Female,Service Workers and Shop and Market Sales Workers,289395,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Female,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",1025442,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Female,Crafts and Related Trades Workers,991471,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Female,"Machinery Operators, Assemblers and Drivers",22757,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Female,Laborers,380624,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Female,Other or Not Declared,5571,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Both,Total,13221040,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Both,"Legislators, Senior Officials and Managers",584795,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Both,Professionals,1549933,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Both,Technicians and Associate Professionals,872861,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Both,Clerical and Administrative Workers,830898,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Both,Service Workers and Shop and Market Sales Workers,2170973,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Both,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",660177,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Both,Crafts and Related Trades Workers,2961467,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Both,"Machinery Operators, Assemblers and Drivers",1674684,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Both,Laborers,1512171,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Both,Other or Not Declared,403077,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Male,Total,11150746,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Male,"Legislators, Senior Officials and Managers",486405,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Male,Professionals,858850,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Male,Technicians and Associate Professionals,718880,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Male,Clerical and Administrative Workers,605283,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Male,Service Workers and Shop and Market Sales Workers,1949346,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Male,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",577484,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Male,Crafts and Related Trades Workers,2486270,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Male,"Machinery Operators, Assemblers and Drivers",1655705,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Male,Laborers,1414295,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Male,Other or Not Declared,398224,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Female,Total,2070294,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Female,"Legislators, Senior Officials and Managers",98390,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Female,Professionals,691083,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Female,Technicians and Associate Professionals,153981,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Female,Clerical and Administrative Workers,225615,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Female,Service Workers and Shop and Market Sales Workers,221626,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Female,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",82693,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Female,Crafts and Related Trades Workers,475196,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Female,"Machinery Operators, Assemblers and Drivers",18979,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Female,Laborers,97876,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,urban,Female,Other or Not Declared,4852,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Both,Total,7397538,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Both,"Legislators, Senior Officials and Managers",51866,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Both,Professionals,140140,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Both,Technicians and Associate Professionals,105238,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Both,Clerical and Administrative Workers,82991,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Both,Service Workers and Shop and Market Sales Workers,408111,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Both,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",3404199,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Both,Crafts and Related Trades Workers,1156700,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Both,"Machinery Operators, Assemblers and Drivers",527791,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Both,Laborers,1449646,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Both,Other or Not Declared,70853,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Male,Total,5506172,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Male,"Legislators, Senior Officials and Managers",47738,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Male,Professionals,98452,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Male,Technicians and Associate Professionals,87618,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Male,Clerical and Administrative Workers,69098,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Male,Service Workers and Shop and Market Sales Workers,340342,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Male,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",2461450,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Male,Crafts and Related Trades Workers,640426,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Male,"Machinery Operators, Assemblers and Drivers",524013,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Male,Laborers,1166898,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Male,Other or Not Declared,70134,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Female,Total,1891366,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Female,"Legislators, Senior Officials and Managers",4127,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Female,Professionals,41687,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Female,Technicians and Associate Professionals,17620,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Female,Clerical and Administrative Workers,13893,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Female,Service Workers and Shop and Market Sales Workers,67769,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Female,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",942749,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Female,Crafts and Related Trades Workers,516274,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Female,"Machinery Operators, Assemblers and Drivers",3777,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Female,Laborers,282748,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,rural,Female,Other or Not Declared,719,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Both,Total,20841420,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Both,"Legislators, Senior Officials and Managers",608556,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Both,Professionals,1628215,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Both,Technicians and Associate Professionals,969023,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Both,Clerical and Administrative Workers,1003068,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Both,Service Workers and Shop and Market Sales Workers,2635793,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Both,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",3966984,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Both,Crafts and Related Trades Workers,4305122,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Both,"Machinery Operators, Assemblers and Drivers",2284250,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Both,Laborers,2968155,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Both,Other or Not Declared,472249,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Male,Total,16871814,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Male,"Legislators, Senior Officials and Managers",519888,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Male,Professionals,905371,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Male,Technicians and Associate Professionals,788370,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Male,Clerical and Administrative Workers,746400,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Male,Service Workers and Shop and Market Sales Workers,2358692,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Male,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",2950447,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Male,Crafts and Related Trades Workers,3181716,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Male,"Machinery Operators, Assemblers and Drivers",2259681,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Male,Laborers,2694480,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Male,Other or Not Declared,466765,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Female,Total,3969606,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Female,"Legislators, Senior Officials and Managers",88668,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Female,Professionals,722844,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Female,Technicians and Associate Professionals,180652,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Female,Clerical and Administrative Workers,256668,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Female,Service Workers and Shop and Market Sales Workers,277100,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Female,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",1016537,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Female,Crafts and Related Trades Workers,1123406,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Female,"Machinery Operators, Assemblers and Drivers",24569,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Female,Laborers,273674,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,total,Female,Other or Not Declared,5484,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Both,Total,13527276,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Both,"Legislators, Senior Officials and Managers",558366,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Both,Professionals,1494507,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Both,Technicians and Associate Professionals,861198,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Both,Clerical and Administrative Workers,918031,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Both,Service Workers and Shop and Market Sales Workers,2238875,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Both,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",649091,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Both,Crafts and Related Trades Workers,3046412,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Both,"Machinery Operators, Assemblers and Drivers",1726278,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Both,Laborers,1622225,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Both,Other or Not Declared,412288,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1385,2006-2007,urban,Male,Total,11406443,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
