year_iranian,year_western,area,sex,lfp_rate,unit,source,country_iso3
1386,2007-2008,total,Both,39.8,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1386,2007-2008,total,Men,63.5,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1386,2007-2008,total,Women,15.6,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1386,2007-2008,urban,Both,38.2,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1386,2007-2008,urban,Men,62.6,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1386,2007-2008,urban,Women,13.1,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1386,2007-2008,rural,Both,43.6,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1386,2007-2008,rural,Men,65.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1386,2007-2008,rural,Women,21.5,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1387,2008-2009,total,Both,38,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1387,2008-2009,total,Men,61.9,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1387,2008-2009,total,Women,13.6,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1387,2008-2009,urban,Both,36.5,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1387,2008-2009,urban,Men,60.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1387,2008-2009,urban,Women,11.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1387,2008-2009,rural,Both,41.5,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1387,2008-2009,rural,Men,65.1,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1387,2008-2009,rural,Women,18,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1388,2009-2010,total,Both,38.9,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1388,2009-2010,total,Men,62.8,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1388,2009-2010,total,Women,14.5,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1388,2009-2010,urban,Both,37.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1388,2009-2010,urban,Men,61.6,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1388,2009-2010,urban,Women,13.1,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1388,2009-2010,rural,Both,41.9,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1388,2009-2010,rural,Men,65.9,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1388,2009-2010,rural,Women,18.1,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1389,2010-2011,total,Both,38.3,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1389,2010-2011,total,Men,62.1,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1389,2010-2011,total,Women,14.1,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1389,2010-2011,urban,Both,37.3,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1389,2010-2011,urban,Men,61,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1389,2010-2011,urban,Women,13,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1389,2010-2011,rural,Both,40.8,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1389,2010-2011,rural,Men,65.1,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1389,2010-2011,rural,Women,16.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1390,2011-2012,total,Both,36.9,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1390,2011-2012,total,Men,60.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1390,2011-2012,total,Women,12.6,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1390,2011-2012,urban,Both,35.8,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1390,2011-2012,urban,Men,59.3,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1390,2011-2012,urban,Women,11.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1390,2011-2012,rural,Both,39.8,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1390,2011-2012,rural,Men,64.8,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1390,2011-2012,rural,Women,15,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1391,2012-2013,total,Both,37.4,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1391,2012-2013,total,Men,61.2,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1391,2012-2013,total,Women,13.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1391,2012-2013,urban,Both,36.5,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1391,2012-2013,urban,Men,60,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1391,2012-2013,urban,Women,12.9,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1391,2012-2013,rural,Both,40,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1391,2012-2013,rural,Men,64.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1391,2012-2013,rural,Women,15.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1392,2013-2014,total,Both,37.6,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1392,2013-2014,total,Men,63,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1392,2013-2014,total,Women,12.4,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1392,2013-2014,urban,Both,36.9,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1392,2013-2014,urban,Men,61.8,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1392,2013-2014,urban,Women,11.8,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1392,2013-2014,rural,Both,39.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1392,2013-2014,rural,Men,66,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1392,2013-2014,rural,Women,13.8,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1393,2014-2015,total,Both,37.2,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1393,2014-2015,total,Men,62.5,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1393,2014-2015,total,Women,12,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1393,2014-2015,urban,Both,36.5,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1393,2014-2015,urban,Men,61.3,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1393,2014-2015,urban,Women,11.6,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1393,2014-2015,rural,Both,39.1,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1393,2014-2015,rural,Men,65.6,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1393,2014-2015,rural,Women,13.1,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
