province,area,households,population,source,country_iso3
Ardebil,unsettled,86,363,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Esfahan,total,1224763,4559256,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Esfahan,settled_urban,1025827,3798728,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Esfahan,settled_rural,198606,758890,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Esfahan,unsettled,330,1638,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Ilam,total,111560,545787,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Ilam,settled_urban,70085,331231,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Ilam,settled_rural,40767,210703,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Ilam,unsettled,708,3853,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Bushehr,total,190150,886267,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Bushehr,settled_urban,128256,577465,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Bushehr,settled_rural,60794,303409,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Bushehr,unsettled,1100,5393,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Tehran,total,3730396,13422366,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Tehran,settled_urban,3443307,12260431,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Tehran,settled_rural,287067,1161889,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Tehran,unsettled,22,46,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Chaharmahal & Bakhtiyari,total,194594,857910,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Chaharmahal & Bakhtiyari,settled_urban,105330,442298,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Chaharmahal & Bakhtiyari,settled_rural,89102,414624,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Chaharmahal & Bakhtiyari,unsettled,162,988,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
South Khorasan,total,142394,636420,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
South Khorasan,settled_urban,69343,326695,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
South Khorasan,settled_rural,72774,308305,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
South Khorasan,unsettled,277,1420,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Khorasan-e-Razavi,total,1445116,5593079,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Khorasan-e-Razavi,settled_urban,999493,3811900,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Khorasan-e-Razavi,settled_rural,445384,1779980,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Khorasan-e-Razavi,unsettled,239,1199,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
North Khorasan,total,199850,811572,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
North Khorasan,settled_urban,98127,392458,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
North Khorasan,settled_rural,100760,414365,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
North Khorasan,unsettled,963,4749,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Khuzestan,total,866914,4274979,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Khuzestan,settled_urban,611797,2873564,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Khuzestan,settled_rural,251865,1383946,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Khuzestan,unsettled,3252,17469,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Zanjan,total,236117,964601,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Zanjan,settled_urban,143080,559340,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Zanjan,settled_rural,93037,405261,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Zanjan,unsettled,0,0,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Semnan,total,160062,589742,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Semnan,settled_urban,120968,440559,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Semnan,settled_rural,39094,149183,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Semnan,unsettled,0,0,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Sistan & Baluchestan,total,470064,2405742,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Sistan & Baluchestan,settled_urban,226139,1193198,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Sistan & Baluchestan,settled_rural,242655,1206547,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Sistan & Baluchestan,unsettled,1270,5997,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Fars,total,1022746,4336878,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Fars,settled_urban,644195,2652947,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Fars,settled_rural,371651,1650614,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Fars,unsettled,6900,33317,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Qazvin,total,294539,1143200,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Qazvin,settled_urban,203356,777975,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Qazvin,settled_rural,91179,365203,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Qazvin,unsettled,4,22,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Qom,total,262477,1046737,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Qom,settled_urban,246519,983094,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Qom,settled_rural,15954,63639,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Qom,unsettled,4,4,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kordestan,total,337688,1440156,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kordestan,settled_urban,209667,855819,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kordestan,settled_rural,128021,584337,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kordestan,unsettled,0,0,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kerman,total,615936,2652413,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kerman,settled_urban,367382,1552519,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kerman,settled_rural,246400,1089748,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kerman,unsettled,2154,10146,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kermanshah,total,445863,1879385,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kermanshah,settled_urban,309092,1255319,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kermanshah,settled_rural,135710,618718,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kermanshah,unsettled,1061,5348,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kohgiluyeh & Boyerahmad,total,126514,634299,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kohgiluyeh & Boyerahmad,settled_urban,60883,302192,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kohgiluyeh & Boyerahmad,settled_rural,65140,329849,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Kohgiluyeh & Boyerahmad,unsettled,491,2258,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Golestan,total,380244,1617087,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Golestan,settled_urban,196607,795126,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Golestan,settled_rural,183123,819584,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Golestan,unsettled,514,2377,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Gilan,total,669695,2404861,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Gilan,settled_urban,368479,1295751,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Gilan,settled_rural,301213,1109104,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Gilan,unsettled,3,6,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Lorestan,total,384099,1716527,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Lorestan,settled_urban,237600,1020150,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Lorestan,settled_rural,145570,691448,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Lorestan,unsettled,929,4929,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Mazandaran,total,783737,2922432,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Mazandaran,settled_urban,424665,1554143,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Mazandaran,settled_rural,359054,1368233,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Mazandaran,unsettled,18,56,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Markazi,total,364564,1351257,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Markazi,settled_urban,252100,932073,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Markazi,settled_rural,112464,419184,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Markazi,unsettled,0,0,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Hormozgan,total,304513,1403674,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Hormozgan,settled_urban,150178,661325,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Hormozgan,settled_rural,153765,740605,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Hormozgan,unsettled,570,1744,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Hamedan,total,428289,1703267,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Hamedan,settled_urban,256195,980771,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Hamedan,settled_rural,171857,721225,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Hamedan,unsettled,237,1271,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Yazd,total,259095,990818,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Yazd,settled_urban,207538,789803,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Yazd,settled_rural,51551,200988,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Yazd,unsettled,6,27,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
