year,area,metric,value,unit,source,country_iso3
1971,urban,expenditure_food_and_tobacco_share,46.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,expenditure_food_and_tobacco_share,64.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,expenditure_non_food_items_share,50.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,expenditure_non_food_items_share,33.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,expenditure_non_food_items_share,52.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,expenditure_non_food_items_share,40.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,expenditure_non_food_items_share,51.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,expenditure_non_food_items_share,38.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,expenditure_non_food_items_share,50.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,expenditure_non_food_items_share,35.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,expenditure_non_food_items_share,48.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,expenditure_non_food_items_share,33.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,expenditure_non_food_items_share,53.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,expenditure_non_food_items_share,33.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,expenditure_non_food_items_share,53.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,expenditure_non_food_items_share,36.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,housing_share,11.7,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,housing_share,10.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,housing_share,13.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,housing_share,12.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,housing_share,13.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,housing_share,11.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,housing_share,15.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,housing_share,10.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,housing_share,17.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,housing_share,4.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,housing_share,19.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,housing_share,5.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,housing_share,15.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,housing_share,4.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,household_operation_share,6.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,household_operation_share,1.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,household_operation_share,5.7,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,household_operation_share,1.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,household_operation_share,6.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,household_operation_share,1.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,household_operation_share,6.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,household_operation_share,1.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,household_operation_share,6.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,household_operation_share,8.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,household_operation_share,6.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,household_operation_share,7.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,household_operation_share,7.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,household_operation_share,7.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,household_effects_share,4.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,household_effects_share,3.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,household_effects_share,4.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,household_effects_share,4.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,household_effects_share,4.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,household_effects_share,4.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,household_effects_share,4.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,household_effects_share,3.7,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,household_effects_share,3.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,household_effects_share,2.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,household_effects_share,3.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,household_effects_share,3.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,household_effects_share,4.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,household_effects_share,3.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,clothing_share,9.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,clothing_share,9.7,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,clothing_share,9.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,clothing_share,11.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,clothing_share,9.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,clothing_share,12.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,clothing_share,7.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,clothing_share,8.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,clothing_share,6.7,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,clothing_share,8.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,clothing_share,6.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,clothing_share,7.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,clothing_share,8.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,clothing_share,8.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,personal_care_and_health_share,6.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,personal_care_and_health_share,4.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,personal_care_and_health_share,6.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,personal_care_and_health_share,4.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,personal_care_and_health_share,6.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,personal_care_and_health_share,4.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,personal_care_and_health_share,7.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,personal_care_and_health_share,5.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,personal_care_and_health_share,6.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,personal_care_and_health_share,5.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,personal_care_and_health_share,5.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,personal_care_and_health_share,5.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,personal_care_and_health_share,6.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,personal_care_and_health_share,5.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,transportation_share,4.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,transportation_share,2.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,transportation_share,4.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,transportation_share,4.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,transportation_share,5.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,transportation_share,2.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,transportation_share,4.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,transportation_share,2.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,transportation_share,4.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,transportation_share,1.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,transportation_share,3.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,transportation_share,2.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,transportation_share,3.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,transportation_share,2.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,education_share,1.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,education_share,0.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,education_share,1.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,education_share,0.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,education_share,1.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,education_share,0.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,education_share,1.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,education_share,0.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,education_share,2.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,education_share,0.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,education_share,3.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,education_share,0.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,education_share,2.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,education_share,0.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,recreation_share,2.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,recreation_share,0.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,recreation_share,2.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,recreation_share,0.2,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,recreation_share,1.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,recreation_share,0.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,recreation_share,0.9,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,recreation_share,0.3,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,recreation_share,1.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,recreation_share,0.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
