year,monthly_expenditure_bracket_rials,group,pct_households,cumulative_pct,source,country_iso3
1971,12500_14999,total,3.7,91.3,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,12500_14999,urban,5.6,86.0,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,12500_14999,rural,1.6,97.2,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,15000_19999,total,4.1,95.4,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,15000_19999,urban,6.6,92.6,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,15000_19999,rural,1.4,98.6,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,20000_29000,total,2.7,98.1,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,20000_29000,urban,4.5,97.1,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,20000_29000,rural,0.8,99.4,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,30000_and_over,total,1.8,100.0,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,30000_and_over,urban,2.9,100.0,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,30000_and_over,rural,0.6,100.0,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
