table,province,area,year,metric,value,unit,source,country_iso3
Table 2 - Population Indicators by Urban/Rural,Total country,total,2011,male_share,50.4,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,total,2011,female_share,49.6,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,urban,2006,households,12405584,count,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,urban,2006,average_household_size,3.89,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,urban,2006,male_share,50.9,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,urban,2006,female_share,49.1,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,urban,2011,households,15427848,count,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,urban,2011,average_household_size,3.48,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,urban,2011,male_share,50.4,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,urban,2011,female_share,49.6,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,rural,2006,households,5074866,count,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,rural,2006,average_household_size,4.36,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,rural,2006,male_share,50.8,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,rural,2006,female_share,49.2,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,rural,2011,households,5744614,count,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,rural,2011,average_household_size,3.73,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,rural,2011,male_share,50.6,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,rural,2011,female_share,49.4,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2006,religion_muslim,70097741,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2011,religion_muslim,74682842,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2006,religion_christian,109415,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2011,religion_christian,117704,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2006,religion_jewish,9252,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2011,religion_jewish,8756,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2006,religion_zoroastrian,19823,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2011,religion_zoroastrian,25271,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2006,religion_others,54234,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2011,religion_others,49101,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2006,religion_undeclared,205317,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 3 - Population by Religion,Total country,total,2011,religion_undeclared,265995,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2006,citizenship_iranian,68901154,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2011,citizenship_iranian,73461474,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2006,citizenship_afghan,1211171,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2011,citizenship_afghan,1452513,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2006,citizenship_iraqi,44094,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2011,citizenship_iraqi,51506,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2006,citizenship_pakistani,15455,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2011,citizenship_pakistani,17731,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2006,citizenship_turkish,886,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2011,citizenship_turkish,1639,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2006,citizenship_others,32410,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2011,citizenship_others,24290,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2006,citizenship_undeclared,290612,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 4 - Population by Citizenship,Total country,total,2011,citizenship_undeclared,140516,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_0-4,5463978,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_0-4,6232552,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_5-9,5509057,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_5-9,5657791,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_10-14,6708594,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_10-14,5671435,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_15-19,8726761,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_15-19,6607043,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_20-24,9011422,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_20-24,8414497,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_25-29,7224952,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_25-29,8672654,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_30-34,5553531,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_30-34,6971924,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_35-39,4921124,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_35-39,5571018,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_40-44,4089158,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_40-44,4906749,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_45-49,3522761,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_45-49,4030481,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_50-54,2755420,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_50-54,3527408,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_55-59,1887981,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_55-59,2680119,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_60-64,1464452,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_60-64,1862907,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_65-69,1197550,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_65-69,1343731,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_70-74,1119318,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_70-74,1119968,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_75-79,694122,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_75-79,913531,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2006,age_group_80 and above,645601,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_80 and above,919539,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 5 - Population by Age Group,Total country,total,2011,age_group_unclear,46322,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2006,tenure_property_land_and_building,63.4,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2006,tenure_property_building,4.5,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2006,tenure_lease,22.9,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2006,tenure_in_return_for_services,2.1,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2006,tenure_free_of_charge,5.3,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2006,tenure_others,0.6,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2006,tenure_undeclared,1.1,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2011,tenure_property_land_and_building,56.4,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2011,tenure_property_building,6.3,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2011,tenure_lease,26.6,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2011,tenure_in_return_for_services,1.6,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2011,tenure_free_of_charge,7.5,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2011,tenure_others,0.9,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 6 - Housing Tenure Type,Total country,total,2011,tenure_undeclared,0.7,percent_of_households,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Eastern Azerbaijan,total,2006,population,3603456,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Eastern Azerbaijan,total,2011,population,3724620,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Eastern Azerbaijan,total,2011,average_annual_growth_rate_2006_2011,0.66,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Western Azerbaijan,total,2006,population,2873459,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Western Azerbaijan,total,2011,population,3080576,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Western Azerbaijan,total,2011,average_annual_growth_rate_2006_2011,1.4,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ardebil,total,2006,population,1228155,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ardebil,total,2011,population,1248488,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ardebil,total,2011,average_annual_growth_rate_2006_2011,0.33,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Esfahan,total,2006,population,4559256,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Esfahan,total,2011,population,4879312,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Esfahan,total,2011,average_annual_growth_rate_2006_2011,1.37,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Alborz,total,2006,population,2076991,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Alborz,total,2011,population,2412513,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Alborz,total,2011,average_annual_growth_rate_2006_2011,3.04,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ilam,total,2006,population,545787,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ilam,total,2011,population,557599,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ilam,total,2011,average_annual_growth_rate_2006_2011,0.43,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Booshehr,total,2006,population,886267,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Booshehr,total,2011,population,1032949,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Booshehr,total,2011,average_annual_growth_rate_2006_2011,3.11,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Tehran,total,2006,population,11345375,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Tehran,total,2011,population,12183391,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Tehran,total,2011,average_annual_growth_rate_2006_2011,1.44,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Chaharmahal and Bakhtiari,total,2006,population,857910,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Chaharmahal and Bakhtiari,total,2011,population,895263,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Chaharmahal and Bakhtiari,total,2011,average_annual_growth_rate_2006_2011,0.86,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,South Khorassan,total,2006,population,636420,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,South Khorassan,total,2011,population,662534,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,South Khorassan,total,2011,average_annual_growth_rate_2006_2011,0.81,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Razavi Khorassan,total,2006,population,5593079,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Razavi Khorassan,total,2011,population,5994402,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Razavi Khorassan,total,2011,average_annual_growth_rate_2006_2011,1.4,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,North Khorassan,total,2006,population,811572,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,North Khorassan,total,2011,population,867727,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,North Khorassan,total,2011,average_annual_growth_rate_2006_2011,1.35,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Khoozestan,total,2006,population,4274979,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Khoozestan,total,2011,population,4531720,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Khoozestan,total,2011,average_annual_growth_rate_2006_2011,1.17,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Zanjan,total,2006,population,964601,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Zanjan,total,2011,population,1015734,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Zanjan,total,2011,average_annual_growth_rate_2006_2011,1.04,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Semnan,total,2006,population,589742,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Semnan,total,2011,population,631218,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Semnan,total,2011,average_annual_growth_rate_2006_2011,1.37,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Sistan and Baloochestan,total,2006,population,2405742,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Sistan and Baloochestan,total,2011,population,2534327,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Sistan and Baloochestan,total,2011,average_annual_growth_rate_2006_2011,1.05,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Fars,total,2006,population,4336878,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Fars,total,2011,population,4596658,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Fars,total,2011,average_annual_growth_rate_2006_2011,1.17,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ghazvin,total,2006,population,1143200,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ghazvin,total,2011,population,1201565,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ghazvin,total,2011,average_annual_growth_rate_2006_2011,1.0,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ghom,total,2006,population,1046737,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ghom,total,2011,population,1151672,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Ghom,total,2011,average_annual_growth_rate_2006_2011,1.93,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 9 - Population & Growth by Province,Kurdistan,total,2006,population,1440156,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
