province_or_governorate,year,population_thousands,value_type,notes,source,country_iso3
Mazandaran Province,1968,2007,intercensal_estimate,1956 figure (1684) appears bracketed jointly with Semnan Governorate row below per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Mazandaran Province,1969,2094,intercensal_estimate,1956 figure (1684) appears bracketed jointly with Semnan Governorate row below per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Mazandaran Province,1970,2183,intercensal_estimate,1956 figure (1684) appears bracketed jointly with Semnan Governorate row below per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Mazandaran Province,1971,2277,intercensal_estimate,1956 figure (1684) appears bracketed jointly with Semnan Governorate row below per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Mazandaran Province,1972,2375,intercensal_estimate,1956 figure (1684) appears bracketed jointly with Semnan Governorate row below per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Semnan Governorate,1956,208,census,1956 value uncertain/shared per source bracket formatting -- see row 5 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Semnan Governorate,1966,208,census,1956 value uncertain/shared per source bracket formatting -- see row 5 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Semnan Governorate,1967,210,intercensal_estimate,1956 value uncertain/shared per source bracket formatting -- see row 5 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Semnan Governorate,1968,213,intercensal_estimate,1956 value uncertain/shared per source bracket formatting -- see row 5 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Semnan Governorate,1969,215,intercensal_estimate,1956 value uncertain/shared per source bracket formatting -- see row 5 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Semnan Governorate,1970,218,intercensal_estimate,1956 value uncertain/shared per source bracket formatting -- see row 5 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Semnan Governorate,1971,221,intercensal_estimate,1956 value uncertain/shared per source bracket formatting -- see row 5 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Semnan Governorate,1972,224,intercensal_estimate,1956 value uncertain/shared per source bracket formatting -- see row 5 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
East Azerbaijan Province,1956,2142,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
East Azerbaijan Province,1966,2656,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
East Azerbaijan Province,1967,2706,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
East Azerbaijan Province,1968,2776,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
East Azerbaijan Province,1969,2847,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
East Azerbaijan Province,1970,2921,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
East Azerbaijan Province,1971,2997,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
East Azerbaijan Province,1972,3074,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
West Azerbaijan Province,1956,721,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
West Azerbaijan Province,1966,1087,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
West Azerbaijan Province,1967,1123,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
West Azerbaijan Province,1968,1158,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
West Azerbaijan Province,1969,1195,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
West Azerbaijan Province,1970,1255,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
West Azerbaijan Province,1971,1275,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
West Azerbaijan Province,1972,1314,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kermanshah Province,1956,1577,census,1956 figure (1577) appears bracketed jointly with Ilam Governorate row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kermanshah Province,1966,819,census,1956 figure (1577) appears bracketed jointly with Ilam Governorate row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kermanshah Province,1967,845,intercensal_estimate,1956 figure (1577) appears bracketed jointly with Ilam Governorate row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kermanshah Province,1968,870,intercensal_estimate,1956 figure (1577) appears bracketed jointly with Ilam Governorate row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kermanshah Province,1969,897,intercensal_estimate,1956 figure (1577) appears bracketed jointly with Ilam Governorate row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kermanshah Province,1970,925,intercensal_estimate,1956 figure (1577) appears bracketed jointly with Ilam Governorate row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kermanshah Province,1971,954,intercensal_estimate,1956 figure (1577) appears bracketed jointly with Ilam Governorate row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kermanshah Province,1972,985,intercensal_estimate,1956 figure (1577) appears bracketed jointly with Ilam Governorate row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Ilam Governorate,1956,1577,census,See row 9 note -- 1956 value shared/bracketed with Kermanshah,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Ilam Governorate,1966,213,census,See row 9 note -- 1956 value shared/bracketed with Kermanshah,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Ilam Governorate,1967,226,intercensal_estimate,See row 9 note -- 1956 value shared/bracketed with Kermanshah,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Ilam Governorate,1968,239,intercensal_estimate,See row 9 note -- 1956 value shared/bracketed with Kermanshah,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Ilam Governorate,1969,255,intercensal_estimate,See row 9 note -- 1956 value shared/bracketed with Kermanshah,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Ilam Governorate,1970,268,intercensal_estimate,See row 9 note -- 1956 value shared/bracketed with Kermanshah,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Ilam Governorate,1971,284,intercensal_estimate,See row 9 note -- 1956 value shared/bracketed with Kermanshah,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Ilam Governorate,1972,300,intercensal_estimate,See row 9 note -- 1956 value shared/bracketed with Kermanshah,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Hamadan Province,1966,890,census,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Hamadan Province,1967,910,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Hamadan Province,1968,929,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Hamadan Province,1969,950,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Hamadan Province,1970,971,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Hamadan Province,1971,992,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Hamadan Province,1972,1014,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Fars Province,1956,1521,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Fars Province,1966,1585,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Fars Province,1967,1650,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Fars Province,1968,1715,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Fars Province,1969,1783,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Fars Province,1970,1854,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Fars Province,1971,1928,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Fars Province,1972,2004,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Bushehr Province,1956,1521,census,1956 figure appears bracketed jointly with Fars per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Bushehr Province,1966,259,census,1956 figure appears bracketed jointly with Fars per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Bushehr Province,1967,268,intercensal_estimate,1956 figure appears bracketed jointly with Fars per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Bushehr Province,1968,276,intercensal_estimate,1956 figure appears bracketed jointly with Fars per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Bushehr Province,1969,285,intercensal_estimate,1956 figure appears bracketed jointly with Fars per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Bushehr Province,1970,294,intercensal_estimate,1956 figure appears bracketed jointly with Fars per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Bushehr Province,1971,305,intercensal_estimate,1956 figure appears bracketed jointly with Fars per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Bushehr Province,1972,315,intercensal_estimate,1956 figure appears bracketed jointly with Fars per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khuzestan Province,1956,2069,census,1956 figure appears bracketed jointly with Lorestan row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khuzestan Province,1966,1707,census,1956 figure appears bracketed jointly with Lorestan row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khuzestan Province,1967,1759,intercensal_estimate,1956 figure appears bracketed jointly with Lorestan row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khuzestan Province,1968,1811,intercensal_estimate,1956 figure appears bracketed jointly with Lorestan row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khuzestan Province,1969,1866,intercensal_estimate,1956 figure appears bracketed jointly with Lorestan row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khuzestan Province,1970,1920,intercensal_estimate,1956 figure appears bracketed jointly with Lorestan row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khuzestan Province,1971,1978,intercensal_estimate,1956 figure appears bracketed jointly with Lorestan row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Khuzestan Province,1972,2038,intercensal_estimate,1956 figure appears bracketed jointly with Lorestan row below,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Lorestan Province,1956,2069,census,See row 14 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Lorestan Province,1966,767,census,See row 14 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Lorestan Province,1967,798,intercensal_estimate,See row 14 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Lorestan Province,1968,828,intercensal_estimate,See row 14 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Lorestan Province,1969,861,intercensal_estimate,See row 14 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Lorestan Province,1970,894,intercensal_estimate,See row 14 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Lorestan Province,1971,929,intercensal_estimate,See row 14 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Lorestan Province,1972,965,intercensal_estimate,See row 14 note,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kohgiluyeh and Boyer Ahmadi Governorate,1966,191,census,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kohgiluyeh and Boyer Ahmadi Governorate,1967,196,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kohgiluyeh and Boyer Ahmadi Governorate,1968,202,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kohgiluyeh and Boyer Ahmadi Governorate,1969,208,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kohgiluyeh and Boyer Ahmadi Governorate,1970,214,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kohgiluyeh and Boyer Ahmadi Governorate,1971,221,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kohgiluyeh and Boyer Ahmadi Governorate,1972,228,intercensal_estimate,1956 census value not legible/not separately given in source OCR,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kerman Province,1956,789,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kerman Province,1966,842,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kerman Province,1967,870,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kerman Province,1968,898,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kerman Province,1969,928,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kerman Province,1970,959,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kerman Province,1971,990,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Kerman Province,1972,1025,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
[OCR-uncertain province name -- transcribed by source as 'Saheli Province'; identity not independently verified; possibly a mis-OCR of a governorate name active in the 1966-1972 Iranian provincial structure],1956,789,census,1956 figure appears bracketed jointly with Kerman (row 17); province name could not be confidently identified/verified -- flagged rather than guessed,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
[OCR-uncertain province name -- transcribed by source as 'Saheli Province'; identity not independently verified; possibly a mis-OCR of a governorate name active in the 1966-1972 Iranian provincial structure],1966,350,census,1956 figure appears bracketed jointly with Kerman (row 17); province name could not be confidently identified/verified -- flagged rather than guessed,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
[OCR-uncertain province name -- transcribed by source as 'Saheli Province'; identity not independently verified; possibly a mis-OCR of a governorate name active in the 1966-1972 Iranian provincial structure],1967,361,intercensal_estimate,1956 figure appears bracketed jointly with Kerman (row 17); province name could not be confidently identified/verified -- flagged rather than guessed,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
[OCR-uncertain province name -- transcribed by source as 'Saheli Province'; identity not independently verified; possibly a mis-OCR of a governorate name active in the 1966-1972 Iranian provincial structure],1968,371,intercensal_estimate,1956 figure appears bracketed jointly with Kerman (row 17); province name could not be confidently identified/verified -- flagged rather than guessed,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
