province,age_group,residence,sex,population,source,country_iso3
Alborz,0-4 Age Group,Rural,Female,8615,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,5-9 Age Group,Total,Both,167944,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,5-9 Age Group,Total,Male,86336,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,5-9 Age Group,Total,Female,81608,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,5-9 Age Group,Urban,Both,149963,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,5-9 Age Group,Urban,Male,77081,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,5-9 Age Group,Urban,Female,72882,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,5-9 Age Group,Rural,Both,17981,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,5-9 Age Group,Rural,Male,9255,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,5-9 Age Group,Rural,Female,8726,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,10-14 Age Group,Total,Both,164691,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,10-14 Age Group,Total,Male,83962,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,10-14 Age Group,Total,Female,80729,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,10-14 Age Group,Urban,Both,147174,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,10-14 Age Group,Urban,Male,74842,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,10-14 Age Group,Urban,Female,72332,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,10-14 Age Group,Rural,Both,17517,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,10-14 Age Group,Rural,Male,9120,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,10-14 Age Group,Rural,Female,8397,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,15-19 Age Group,Total,Both,182040,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,15-19 Age Group,Total,Male,90943,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,15-19 Age Group,Total,Female,91097,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,15-19 Age Group,Urban,Both,162509,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,15-19 Age Group,Urban,Male,80821,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,15-19 Age Group,Urban,Female,81688,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,15-19 Age Group,Rural,Both,19531,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,15-19 Age Group,Rural,Male,10122,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,15-19 Age Group,Rural,Female,9409,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,20-24 Age Group,Total,Both,253322,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,20-24 Age Group,Total,Male,122419,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,20-24 Age Group,Total,Female,130903,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,20-24 Age Group,Urban,Both,229256,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,20-24 Age Group,Urban,Male,110102,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,20-24 Age Group,Urban,Female,119154,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,20-24 Age Group,Rural,Both,24066,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,20-24 Age Group,Rural,Male,12317,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,20-24 Age Group,Rural,Female,11749,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,25-29 Age Group,Total,Both,302286,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,25-29 Age Group,Total,Male,149201,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,25-29 Age Group,Total,Female,153085,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,25-29 Age Group,Urban,Both,277272,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,25-29 Age Group,Urban,Male,136159,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,25-29 Age Group,Urban,Female,141113,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,25-29 Age Group,Rural,Both,25014,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,25-29 Age Group,Rural,Male,13042,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,25-29 Age Group,Rural,Female,11972,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,30-34 Age Group,Total,Both,256180,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,30-34 Age Group,Total,Male,130389,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,30-34 Age Group,Total,Female,125791,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,30-34 Age Group,Urban,Both,235628,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,30-34 Age Group,Urban,Male,119819,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,30-34 Age Group,Urban,Female,115809,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,30-34 Age Group,Rural,Both,20552,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,30-34 Age Group,Rural,Male,10570,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,30-34 Age Group,Rural,Female,9982,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,35-39 Age Group,Total,Both,201545,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,35-39 Age Group,Total,Male,106607,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,35-39 Age Group,Total,Female,94938,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,35-39 Age Group,Urban,Both,183549,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,35-39 Age Group,Urban,Male,97223,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,35-39 Age Group,Urban,Female,86326,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,35-39 Age Group,Rural,Both,17996,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,35-39 Age Group,Rural,Male,9384,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,35-39 Age Group,Rural,Female,8612,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,40-44 Age Group,Total,Both,174416,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,40-44 Age Group,Total,Male,90638,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,40-44 Age Group,Total,Female,83778,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,40-44 Age Group,Urban,Both,158258,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,40-44 Age Group,Urban,Male,82215,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,40-44 Age Group,Urban,Female,76043,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,40-44 Age Group,Rural,Both,16158,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,40-44 Age Group,Rural,Male,8423,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,40-44 Age Group,Rural,Female,7735,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,45-49 Age Group,Total,Both,141960,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,45-49 Age Group,Total,Male,72088,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,45-49 Age Group,Total,Female,69872,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,45-49 Age Group,Urban,Both,129013,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,45-49 Age Group,Urban,Male,65295,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,45-49 Age Group,Urban,Female,63718,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,45-49 Age Group,Rural,Both,12947,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,45-49 Age Group,Rural,Male,6793,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,45-49 Age Group,Rural,Female,6154,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,50-54 Age Group,Total,Both,121164,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,50-54 Age Group,Total,Male,61478,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,50-54 Age Group,Total,Female,59686,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,50-54 Age Group,Urban,Both,110261,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,50-54 Age Group,Urban,Male,55752,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,50-54 Age Group,Urban,Female,54509,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,50-54 Age Group,Rural,Both,10903,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,50-54 Age Group,Rural,Male,5726,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,50-54 Age Group,Rural,Female,5177,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,55-59 Age Group,Total,Both,90371,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,55-59 Age Group,Total,Male,46239,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,55-59 Age Group,Total,Female,44132,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,55-59 Age Group,Urban,Both,82360,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,55-59 Age Group,Urban,Male,42100,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,55-59 Age Group,Urban,Female,40260,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,55-59 Age Group,Rural,Both,8011,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,55-59 Age Group,Rural,Male,4139,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,55-59 Age Group,Rural,Female,3872,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,60-64 Age Group,Total,Both,60623,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,60-64 Age Group,Total,Male,30062,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,60-64 Age Group,Total,Female,30561,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,60-64 Age Group,Urban,Both,54851,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,60-64 Age Group,Urban,Male,27200,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,60-64 Age Group,Urban,Female,27651,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,60-64 Age Group,Rural,Both,5772,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,60-64 Age Group,Rural,Male,2862,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,60-64 Age Group,Rural,Female,2910,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,65-69 Age Group,Total,Both,41822,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,65-69 Age Group,Total,Male,21570,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,65-69 Age Group,Total,Female,20252,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,65-69 Age Group,Urban,Both,37295,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,65-69 Age Group,Urban,Male,19317,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,65-69 Age Group,Urban,Female,17978,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,65-69 Age Group,Rural,Both,4527,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,65-69 Age Group,Rural,Male,2253,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,65-69 Age Group,Rural,Female,2274,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,70-74 Age Group,Total,Both,31373,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,70-74 Age Group,Total,Male,16586,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,70-74 Age Group,Total,Female,14787,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,70-74 Age Group,Urban,Both,27504,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,70-74 Age Group,Urban,Male,14627,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,70-74 Age Group,Urban,Female,12877,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,70-74 Age Group,Rural,Both,3869,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,70-74 Age Group,Rural,Male,1959,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,70-74 Age Group,Rural,Female,1910,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,75-79 Age Group,Total,Both,22078,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,75-79 Age Group,Total,Male,11809,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,75-79 Age Group,Total,Female,10269,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,75-79 Age Group,Urban,Both,19161,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,75-79 Age Group,Urban,Male,10226,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,75-79 Age Group,Urban,Female,8935,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,75-79 Age Group,Rural,Both,2917,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,75-79 Age Group,Rural,Male,1583,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,75-79 Age Group,Rural,Female,1334,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,80-84 Age Group,Total,Both,12297,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,80-84 Age Group,Total,Male,5934,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,80-84 Age Group,Total,Female,6363,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,80-84 Age Group,Urban,Both,10656,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,80-84 Age Group,Urban,Male,5109,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,80-84 Age Group,Urban,Female,5547,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,80-84 Age Group,Rural,Both,1641,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,80-84 Age Group,Rural,Male,825,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,80-84 Age Group,Rural,Female,816,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,85-89 Age Group,Total,Both,6065,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,85-89 Age Group,Total,Male,2952,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,85-89 Age Group,Total,Female,3113,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,85-89 Age Group,Urban,Both,5254,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,85-89 Age Group,Urban,Male,2498,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,85-89 Age Group,Urban,Female,2756,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,85-89 Age Group,Rural,Both,811,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,85-89 Age Group,Rural,Male,454,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,85-89 Age Group,Rural,Female,357,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,90-94 Age Group,Total,Both,1400,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,90-94 Age Group,Total,Male,652,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,90-94 Age Group,Total,Female,748,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,90-94 Age Group,Urban,Both,1168,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,90-94 Age Group,Urban,Male,519,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,90-94 Age Group,Urban,Female,649,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,90-94 Age Group,Rural,Both,232,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,90-94 Age Group,Rural,Male,133,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,90-94 Age Group,Rural,Female,99,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,95-99 Age Group,Total,Both,325,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,95-99 Age Group,Total,Male,154,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,95-99 Age Group,Total,Female,171,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,95-99 Age Group,Urban,Both,286,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,95-99 Age Group,Urban,Male,135,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,95-99 Age Group,Urban,Female,151,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,95-99 Age Group,Rural,Both,39,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,95-99 Age Group,Rural,Male,19,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,95-99 Age Group,Rural,Female,20,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,100+ Age Group,Total,Both,206,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,100+ Age Group,Total,Male,81,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,100+ Age Group,Total,Female,125,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,100+ Age Group,Urban,Both,162,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,100+ Age Group,Urban,Male,57,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,100+ Age Group,Urban,Female,105,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,100+ Age Group,Rural,Both,44,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,100+ Age Group,Rural,Male,24,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,100+ Age Group,Rural,Female,20,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,Not Declared,Total,Both,1196,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,Not Declared,Total,Male,654,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,Not Declared,Total,Female,542,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,Not Declared,Urban,Both,1167,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,Not Declared,Urban,Male,633,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,Not Declared,Urban,Female,534,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,Not Declared,Rural,Both,29,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,Not Declared,Rural,Male,21,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,Not Declared,Rural,Female,8,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Ardabil,All Age Groups,Total,Both,1248488,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Ardabil,All Age Groups,Total,Male,631972,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Ardabil,All Age Groups,Total,Female,616516,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Ardabil,All Age Groups,Urban,Both,798942,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Ardabil,All Age Groups,Urban,Male,405050,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Ardabil,All Age Groups,Urban,Female,393892,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
