year_or_period,metric,value,unit,cited_source,country_iso3
1986,Economically active population,12855000,persons,"Iranica CENSUS i. In Iran, para on 1986 economic-activity aggregate (39.1% of working-age population)",IRN
1986,Employed population,11036000,persons,"Iranica CENSUS i. In Iran, para on 1986 economic-activity aggregate (85.8% of economically active)",IRN
1986,Unemployed population seeking work,1819000,persons,"Iranica CENSUS i. In Iran, para on 1986 economic-activity aggregate (14.2% of economically active)",IRN
1986,Census fieldwork staff (mainly teacher-training-college students),~40000,persons,"Iranica CENSUS i. In Iran, para on 1986 census organization",IRN
1986,Urban population,26845000,persons,"Iranica CENSUS i. In Iran, para on 1986 urbanization -- NOTE definition changed to administrative 'town' status (municipality) rather than 5000-population threshold, so not strictly comparable to prior censuses' urban %",IRN
1986,"Urban share of population (administrative-definition, not comparable to prior censuses)",54.3,percent,"Iranica CENSUS i. In Iran, para on 1986 urbanization",IRN
1956-1976,Census under-enumeration rate -- 1956 census,7.5,percent,"Iranica DEMOGRAPHY, para ~2, citing Bharier 1968 -- NOTE this figure differs from the World Bank/SCI's own official adjustment factor of ~2% cited in the 1974 WB statistical appendix; recorded as a genuine range per project bias-policy, not resolved",IRN
1956-1976,Census under-enumeration rate -- 1966 census,5.0,percent,"Iranica DEMOGRAPHY, para ~2, citing Bharier 1968 -- NOTE differs from WB/SCI's own ~1% adjustment factor; recorded as a range",IRN
1956-1976,Census under-enumeration rate -- 1976 census,2.5,percent,"Iranica DEMOGRAPHY, para ~2, citing Bharier 1968",IRN
1986,Estimated 'true' population if only natural growth (not census count) is used as the basis,45-47,million,"Iranica DEMOGRAPHY, para ~2, citing Amani 1988 -- vs. the ~50 million reported in the 1986 census itself, reflecting the more-complete-than-usual 1986 enumeration",IRN
1995,"Total population (estimate, not a census year)",~63,million,"Iranica DEMOGRAPHY, para ~3",IRN
1995,Annual population increase (estimate),1.8,million/year,"Iranica DEMOGRAPHY, para ~3",IRN
1995,Population density,38.5,persons per km2,"Iranica DEMOGRAPHY, para ~3",IRN
c.1900,Population density (for comparison),6.0,persons per km2,"Iranica DEMOGRAPHY, para ~3",IRN
c.1900,Total population (for comparison),<10,million,"Iranica DEMOGRAPHY, para ~3",IRN
c.1900,Annual population increase (for comparison),100000,persons/year,"Iranica DEMOGRAPHY, para ~3",IRN
post-WWII to 1995,Population doubling rate,every 20 years (2.9%/year),ratio,"Iranica DEMOGRAPHY, para ~3",IRN
1950s,Demographic-boom-era annual population increase rate,2.5,percent/year,"Iranica DEMOGRAPHY, para ~3",IRN
c.1990s,General (crude) mortality rate,9,per 1000,"Iranica DEMOGRAPHY, para ~7 (Fertility and mortality section)",IRN
c.1990s,Child mortality rate,88,per 1000,"Iranica DEMOGRAPHY, para ~7",IRN
1973-1976,Infant mortality rate -- rural areas (Population Growth Survey),130,per 1000 live births,"Iranica DEMOGRAPHY, para ~7, citing Markaz-e Amar 1357/1978 Population Growth Survey Final Report",IRN
1973-1976,Infant mortality rate -- urban areas (Population Growth Survey),76,per 1000 live births,"Iranica DEMOGRAPHY, para ~7, citing Markaz-e Amar 1357/1978 Population Growth Survey Final Report",IRN
1973-1976,General mortality rate -- rural areas (Population Growth Survey),13.9,per 1000,"Iranica DEMOGRAPHY, para ~7, citing Markaz-e Amar 1357/1978 Population Growth Survey Final Report",IRN
1973-1976,General mortality rate -- urban areas (Population Growth Survey),8.3,per 1000,"Iranica DEMOGRAPHY, para ~7, citing Markaz-e Amar 1357/1978 Population Growth Survey Final Report",IRN
1959,Life expectancy at birth,46,years,"Iranica DEMOGRAPHY, para ~7",IRN
1990,Life expectancy at birth,62,years,"Iranica DEMOGRAPHY, para ~7",IRN
1980s (Iran-Iraq war period),Average annual war deaths,~50000,persons/year,"Iranica DEMOGRAPHY, para ~7",IRN
c.1990s,Fertility rate (children born alive per woman),6-7,children per woman,"Iranica DEMOGRAPHY, para ~6 (birth rate ~43 per 1000 stated in same sentence)",IRN
1965,Rural fertility rate (comparison point -- essentially unchanged through 1986 per source),,see notes,"Iranica DEMOGRAPHY, para ~6, citing Chasteland et al. -- article states fertility 'remained stable until 1986' despite the intervening decades of socioeconomic development",IRN
1986,Average number of children born per woman,6.2,children per woman,"Iranica DEMOGRAPHY, para ~6",IRN
1991,Average number of children born per woman (post-1986 rapid decline begins),4.4,children per woman,"Iranica DEMOGRAPHY, para ~6",IRN
1971,Private-sector sales of birth-control pill sets,4200000,sets,"Iranica DEMOGRAPHY, para ~8 (Population Policy section), citing Moore et al. p.403",IRN
1971,Public-sector distribution of birth-control pill sets,900000,sets,"Iranica DEMOGRAPHY, para ~8, citing Moore et al. p.403",IRN
1960-1967,Share of births that were preceded by an abortion,11-17,percent,"Iranica DEMOGRAPHY, para ~8, citing Jalali et al. p.218 -- NOTE abortion was illegal but 'already widely practiced' during this period per source; legalized in 1976",IRN
1978,Share of Iranian women who had accepted the principle of family planning,11,percent,"Iranica DEMOGRAPHY, para ~8, citing Aghajanian 1992",IRN
1983-1987,Annual recipients of contraceptive devices (public-sector distribution program),6-7,million people/year,"Iranica DEMOGRAPHY, para ~8, citing Markaz-e Amar 1988 (31% of the relevant population per year)",IRN
1956-1991,Difference in mean age at first marriage between men and women,5.9 (1956) narrowing to 3.5 (1991),years,"Iranica DEMOGRAPHY, para ~9 (Marriage section)",IRN
1976,Share of women aged 10-49 who were married,58,percent,"Iranica DEMOGRAPHY, para ~9",IRN
1986,Share of women aged 10-49 who were married,57,percent,"Iranica DEMOGRAPHY, para ~9",IRN
1956-1986,Share of population still residing in their shahrestan of birth (i.e. non-migrants),89 (1956) declining to 77.6 (1986),percent,"Iranica DEMOGRAPHY, para ~11 (Migration section), Table 16 cross-reference",IRN
1978-79 revolution + Iran-Iraq war era,"Iranians who went into exile (US, Europe, India, Turkey combined)",~3,million,"Iranica DEMOGRAPHY, para ~11, citing Bozorgmehr and Sabbagh p.33",IRN
1986,Foreigners counted in census (first time nationalities specified),865307,persons,"Iranica DEMOGRAPHY, para ~11 (87.3% Afghan, 9.7% Iraqi, 1.5% Pakistani, remainder other)",IRN
1986,Estimated true foreign population in Iran (vs 865307 counted -- census figure considered an underestimate),~3.5,million (~7 percent of total population),"Iranica DEMOGRAPHY, para ~11, citing Amani 1988 p.547",IRN
1900-1956,Share of Tehran's inhabitants who were migrants,48,percent,"Iranica DEMOGRAPHY, para ~12, citing Bharier 1972 p.58",IRN
1900-1956,Share of migrants (nationally) who settled in Tehran,42,percent,"Iranica DEMOGRAPHY, para ~12, citing Bharier 1972 p.58",IRN
1956-1966,Share of migrants (nationally) who settled in Tehran,50,percent,"Iranica DEMOGRAPHY, para ~12, citing Bharier 1972",IRN
1976-1986,Total migrants from their native shahrestan,3277794,persons,"Iranica DEMOGRAPHY, para ~12",IRN
1976-1986,Share of shahrestan-migrants who moved to Tehran province,33.3,percent,"Iranica DEMOGRAPHY, para ~12",IRN
1956-1986,Share of city dwellers living in cities of 100000+ population,15.7 (1956) rising to 36.4 (1986),percent,"Iranica DEMOGRAPHY, para ~12",IRN
1987,"Total nomadic population (first dedicated nomad census, summer 1987)",1152099,persons,"Iranica DEMOGRAPHY, para ~13 (in 96 tribes / il and 547 independent clans / tayefa-ye mostaqell), citing Markaz-e Amar 1988 -- NOT comparable to prior general-census nomad estimates per source",IRN
1976,Nomadic population as counted in the general census (not comparable to the 1987 dedicated count),337176,persons,"Iranica DEMOGRAPHY, para ~13, citing Amirahmadi",IRN
c.1900,Estimated nomadic share of rural population (comparison point),32,percent (~2.5 million people),"Iranica DEMOGRAPHY, para ~13, citing Bharier 1972 p.59",IRN
1990s,"Nomadic share of rural population (comparison point, decline from ~1900)",5,percent,"Iranica DEMOGRAPHY, para ~13",IRN
1990s,Literacy rate (national),54.2,percent,"Iranica DEMOGRAPHY, para ~14 (Social and economic characteristics section)",IRN
1986,Illiteracy rate among population aged 25-64,58.1,percent,"Iranica DEMOGRAPHY, para ~14, citing Markaz-e Amar 1986",IRN
