table,province,area,year,metric,value,unit,source,country_iso3
Population & household trends 1986-2016,Total country,total,2011,male_population,37905669,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2011,female_population,37244000,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2011,sex_ratio,102,males_per_100_females,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2011,households,21185647,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2011,average_household_size,3.5,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2016,population,79926270,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2016,male_population,40498442,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2016,female_population,39427828,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2016,sex_ratio,103,males_per_100_females,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2016,households,24196035,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2016,average_household_size,3.3,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,1976,households,6711628,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,1976,average_household_size,5.0,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,1976,households,3265524,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,1976,average_household_size,4.9,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,1976,households,3446104,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,1976,average_household_size,5.2,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,1986,households,9673931,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,1986,average_household_size,5.1,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,1986,households,5528542,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,1986,average_household_size,4.0,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,1986,households,4145389,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,1986,average_household_size,5.5,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,1996,households,12398235,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,1996,average_household_size,4.8,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,1996,households,7948925,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,1996,average_household_size,4.6,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,1996,households,4449310,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,1996,average_household_size,5.2,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,2006,households,17501771,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,2006,average_household_size,4.0,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,2006,households,12405584,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,2006,average_household_size,3.9,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,2006,households,5096187,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,2006,average_household_size,4.4,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,2011,households,21185647,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,2011,average_household_size,3.5,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,2011,households,15427848,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,2011,average_household_size,3.5,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,2011,households,5757799,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,2011,average_household_size,3.7,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,2016,households,24196035,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,total,2016,average_household_size,3.3,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,2016,households,18125488,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,urban,2016,average_household_size,3.3,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,2016,households,6070547,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Household development by residence 1976-2016,Total country,rural,2016,average_household_size,3.4,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1956-66,absolute_increase,6834018,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1956-66,annualized_increase,683402,persons_per_year,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1966-76,absolute_increase,7920022,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1966-76,annualized_increase,792002,persons_per_year,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1976-86,absolute_increase,15736266,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1976-86,annualized_increase,1573627,persons_per_year,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1986-91,absolute_increase,6392153,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1986-91,annualized_increase,1278431,persons_per_year,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1991-96,absolute_increase,4218325,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1991-96,annualized_increase,843665,persons_per_year,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1996-2006,absolute_increase,10440294,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,1996-2006,annualized_increase,1044029,persons_per_year,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,2006-2011,absolute_increase,4653887,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,2006-2011,annualized_increase,930777,persons_per_year,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,2011-2016,absolute_increase,4776601,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population increase by period 1956-2016,Total country,total,2011-2016,annualized_increase,955320,persons_per_year,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,1986,age_share_0-14,45.5,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,1986,age_share_15-29,26.4,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,1986,age_share_30-64,25.1,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,1986,age_share_65+,3.1,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,1996,age_share_0-14,39.5,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,1996,age_share_15-29,28.4,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,1996,age_share_30-64,27.7,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,1996,age_share_65+,4.4,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2006,age_share_0-14,25.1,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2006,age_share_15-29,35.4,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2006,age_share_30-64,34.3,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2006,age_share_65+,5.2,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2011,age_share_0-14,23.4,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2011,age_share_15-29,31.5,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2011,age_share_30-64,39.3,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2011,age_share_65+,5.7,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2016,age_share_0-14,24.0,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2016,age_share_15-29,25.1,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2016,age_share_30-64,44.8,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population age structure, major groups, 1986-2016",Total country,total,2016,age_share_65+,6.1,percent,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,total,2006,mean_age_both_sexes,24.7,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,urban,2006,mean_age_both_sexes,25.4,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,rural,2006,mean_age_both_sexes,23.2,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,unsettled,2006,mean_age_both_sexes,21.3,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,total,2011,mean_age_both_sexes,29.8,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,urban,2011,mean_age_both_sexes,30.2,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,rural,2011,mean_age_both_sexes,28.9,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,unsettled,2011,mean_age_both_sexes,26.9,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,total,2016,mean_age_both_sexes,31.1,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,urban,2016,mean_age_both_sexes,31.5,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,rural,2016,mean_age_both_sexes,30.1,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Mean age of population by residence, 2006-2016",Total country,unsettled,2016,mean_age_both_sexes,30.8,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,total,2006,median_age_both_sexes,25,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,urban,2006,median_age_both_sexes,25,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,rural,2006,median_age_both_sexes,23,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,unsettled,2006,median_age_both_sexes,21,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,total,2011,median_age_both_sexes,27,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,urban,2011,median_age_both_sexes,28,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,rural,2011,median_age_both_sexes,26,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,unsettled,2011,median_age_both_sexes,24,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,total,2016,median_age_both_sexes,30,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,urban,2016,median_age_both_sexes,30,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,rural,2016,median_age_both_sexes,28,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Median age of population by residence, 2006-2016",Total country,unsettled,2016,median_age_both_sexes,29,years,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2016,marital_status_married_male,63.3,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2016,marital_status_widowed_spouse_death_male,1.0,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2016,marital_status_widowed_divorce_male,1.2,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2016,marital_status_never_married_male,34.4,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2016,marital_status_unstated_male,0.1,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2016,marital_status_married_female,64.3,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2016,marital_status_widowed_spouse_death_female,7.3,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2016,marital_status_widowed_divorce_female,2.2,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2016,marital_status_never_married_female,26.2,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2016,marital_status_unstated_female,0.0,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2011,marital_status_married_male,60.0,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2011,marital_status_widowed_spouse_death_male,1.0,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2011,marital_status_widowed_divorce_male,0.7,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2011,marital_status_never_married_male,38.0,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2011,marital_status_unstated_male,0.2,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2011,marital_status_married_female,61.0,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2011,marital_status_widowed_spouse_death_female,7.4,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2011,marital_status_widowed_divorce_female,1.4,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2011,marital_status_never_married_female,30.2,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2011,marital_status_unstated_female,0.0,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2006,marital_status_married_male,54.6,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2006,marital_status_widowed_spouse_death_male,1.0,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2006,marital_status_widowed_divorce_male,0.5,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2006,marital_status_never_married_male,43.4,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2006,marital_status_unstated_male,0.5,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2006,marital_status_married_female,56.7,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2006,marital_status_widowed_spouse_death_female,6.5,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2006,marital_status_widowed_divorce_female,0.9,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2006,marital_status_never_married_female,35.4,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population aged 10+ by marital status, 2006-2016",Total country,total,2006,marital_status_unstated_female,0.6,percent_of_population_10plus,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2006,nationality_iran,68901154,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2011,nationality_iran,73461474,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2016,nationality_iran,78166822,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2006,nationality_afghanistan,1211171,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2011,nationality_afghanistan,1452513,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2016,nationality_afghanistan,1583979,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2006,nationality_iraq,44094,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2011,nationality_iraq,51506,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2016,nationality_iraq,34532,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2006,nationality_pakistan,15455,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2011,nationality_pakistan,17731,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2016,nationality_pakistan,14320,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2006,nationality_turkey,886,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2011,nationality_turkey,1639,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2016,nationality_turkey,713,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2006,nationality_other_countries_and_unstated,323022,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2011,nationality_other_countries_and_unstated,164806,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Population by nationality, 2006-2016",Total country,total,2016,nationality_other_countries_and_unstated,125904,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,total,2016,tenure_owned_land_and_building,60.5,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,total,2016,tenure_rented,30.7,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,total,2016,tenure_other_unstated,8.8,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,total,2011,tenure_owned_land_and_building,62.7,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,total,2011,tenure_rented,26.6,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,total,2011,tenure_other_unstated,10.7,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,total,2006,tenure_owned_land_and_building,67.9,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,total,2006,tenure_rented,22.9,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,total,2006,tenure_other_unstated,9.1,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,urban,2016,tenure_owned_land_and_building,54.5,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,urban,2016,tenure_rented,36.7,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,urban,2016,tenure_other_unstated,8.8,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,urban,2011,tenure_owned_land_and_building,56.6,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,urban,2011,tenure_rented,33.2,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,urban,2011,tenure_other_unstated,10.2,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,urban,2006,tenure_owned_land_and_building,62.2,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,urban,2006,tenure_rented,29.0,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
"Household tenure type, 2006-2016",Total country,urban,2006,tenure_other_unstated,8.8,percent_of_households,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
