province,breakdown,population,male,female,households,level,source,country_iso3
Chaharmahal & Bakhtiyari,Setteled in urban areas,607444,307798,299646,175842,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Settled in rural areas,339667,174216,165451,94427,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Unsettled,652,342,310,165,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
South Khorasan,Total,768898,389917,378981,223984,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
South Khorasan,Setteled in urban areas,453827,230473,223354,129036,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
South Khorasan,Settled in rural areas,315070,159443,155627,94947,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
South Khorasan,Unsettled,1,1,0,1,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Total,6434501,3245185,3189316,1938703,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Setteled in urban areas,4700924,2362097,2338827,1422109,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Settled in rural areas,1733121,882815,850306,516419,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Khorasan-e-Razavi,Unsettled,456,273,183,175,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
North Khorasan,Total,863092,433633,429459,254747,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
North Khorasan,Setteled in urban areas,484346,243442,240904,143219,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
North Khorasan,Settled in rural areas,377533,189581,187952,111191,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
North Khorasan,Unsettled,1213,610,603,337,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Khuzestan,Total,4710509,2388674,2321835,1280645,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Khuzestan,Setteled in urban areas,3554205,1795196,1759009,985361,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Khuzestan,Settled in rural areas,1151596,590963,560633,294177,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Khuzestan,Unsettled,4708,2515,2193,1107,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Zanjan,Total,1057461,534849,522612,321983,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Zanjan,Setteled in urban areas,711177,359309,351868,217713,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Zanjan,Settled in rural areas,346283,175539,170744,104269,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Zanjan,Unsettled,1,1,0,1,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Semnan,Total,702360,356656,345704,215571,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Semnan,Setteled in urban areas,560502,282504,277998,169755,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Semnan,Settled in rural areas,141858,74152,67706,45816,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Semnan,Unsettled,0,0,0,0,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Total,2775014,1401931,1373083,704888,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Setteled in urban areas,1345642,685163,660479,334808,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Settled in rural areas,1427332,715618,711714,369226,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Sistan and Baluchestan,Unsettled,2040,1150,890,854,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Fars,Total,4851274,2461251,2390023,1443027,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Fars,Setteled in urban areas,3401675,1717520,1684155,1022402,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Fars,Settled in rural areas,1432355,734464,697891,415085,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Fars,Unsettled,17244,9267,7977,5540,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Qazvin,Total,1273761,650499,623262,397165,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Qazvin,Setteled in urban areas,952149,484027,468122,295019,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Qazvin,Settled in rural areas,321610,166470,155140,102144,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Qazvin,Unsettled,2,2,0,2,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Qom,Total,1292283,658540,633743,383532,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Qom,Setteled in urban areas,1229964,624509,605455,365334,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Qom,Settled in rural areas,62317,34029,28288,18196,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Qom,Unsettled,2,2,0,2,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kordestan,Total,1603011,812776,790235,471310,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kordestan,Setteled in urban areas,1134229,573147,561082,337240,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kordestan,Settled in rural areas,468778,239625,229153,134066,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kordestan,Unsettled,4,4,0,4,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kerman,Total,3164718,1617688,1547030,932721,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kerman,Setteled in urban areas,1858587,948571,910016,551141,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kerman,Settled in rural areas,1302557,667240,635317,380287,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kerman,Unsettled,3574,1877,1697,1293,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kermanshah,Total,1952434,988015,964419,576861,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kermanshah,Setteled in urban areas,1468615,737322,731293,440604,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kermanshah,Settled in rural areas,478444,247804,230640,134915,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kermanshah,Unsettled,5375,2889,2486,1342,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Total,713052,361386,351666,186320,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Setteled in urban areas,397461,201681,195780,103270,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Settled in rural areas,314009,158861,155148,82558,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Kohgiluyeh & Boyerahmad,Unsettled,1582,844,738,492,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Golestan,Total,1868819,938327,930492,550249,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Golestan,Setteled in urban areas,995615,498014,497601,301273,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Golestan,Settled in rural areas,871546,439373,432173,248422,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Golestan,Unsettled,1658,940,718,554,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Gilan,Total,2530696,1267597,1263099,851382,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Gilan,Setteled in urban areas,1603026,797470,805556,537417,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Gilan,Settled in rural areas,927660,470117,457543,313957,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Gilan,Unsettled,10,10,0,8,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Lorestan,Total,1760649,892889,867760,509025,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Lorestan,Setteled in urban areas,1134908,570113,564795,333954,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Lorestan,Settled in rural areas,623896,321786,302110,174525,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Lorestan,Unsettled,1845,990,855,546,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Mazandaran,Total,3283582,1653998,1629584,1084798,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Mazandaran,Setteled in urban areas,1897238,949576,947662,624661,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Mazandaran,Settled in rural areas,1386337,704417,681920,460131,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Mazandaran,Unsettled,7,5,2,6,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Markazi,Total,1429475,725751,703724,455866,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Markazi,Setteled in urban areas,1099764,557130,542634,346468,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Markazi,Settled in rural areas,329690,168601,161089,109378,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Markazi,Unsettled,21,20,1,20,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Hormozgan,Total,1776415,906814,869601,493660,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Hormozgan,Setteled in urban areas,971822,497899,473923,275619,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Hormozgan,Settled in rural areas,802512,407739,394773,217321,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Hormozgan,Unsettled,2081,1176,905,720,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Hamedan,Total,1738234,880318,857916,538803,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Hamedan,Setteled in urban areas,1097217,550587,546630,343606,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Hamedan,Settled in rural areas,639005,328663,310342,194698,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Hamedan,Unsettled,2012,1068,944,499,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Yazd,Total,1138533,586013,552520,340657,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Yazd,Setteled in urban areas,971355,496254,475101,290668,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Yazd,Settled in rural areas,166724,89456,77268,49688,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Yazd,Unsettled,454,303,151,301,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
