year_iranian,year_western,agriculture,oil,mining,industry,water_electricity_gas,construction,transport_storage,communication,trade_hotels_restaurants,services_financial,services_real_estate,services_public_social,uncategorized,total,country_iso3
1360,1981-1982,3072187.0,59037.0,33070.0,1515053.0,77949.0,1195190.0,519104.0,43219.0,713752.0,75059.0,26522.0,2397906.0,163914.0,9891959.0,IRN
1361,1982-1983,3109093.0,60800.0,32337.0,1505840.0,79686.0,1198299.0,548143.0,43793.0,730045.0,77871.0,29072.0,2568420.0,191817.0,10175216.0,IRN
1362,1983-1984,3131747.0,62385.0,30798.0,1486502.0,79612.0,1206905.0,578954.0,44540.0,799500.0,80974.0,33243.0,2773999.0,224470.0,10533630.0,IRN
1363,1984-1985,3162123.0,65354.0,29455.0,1469620.0,83640.0,1209784.0,587015.0,45272.0,821954.0,82206.0,30781.0,2810225.0,262682.0,10660111.0,IRN
1364,1985-1986,3182758.0,65564.0,27552.0,1445699.0,89186.0,1207005.0,587235.0,46212.0,842230.0,83211.0,30187.0,3020712.0,307398.0,10934950.0,IRN
1365,1986-1987,3190764.0,66884.0,27429.0,1444156.0,91057.0,1206265.0,584352.0,46195.0,875458.0,82730.0,31558.0,3049755.0,359727.0,11056330.0,IRN
1366,1987-1988,3194302.0,65823.0,27516.0,1553508.0,92579.0,1206717.0,593570.0,48846.0,931412.0,78404.0,32660.0,3155188.0,389188.0,11369713.0,IRN
1367,1988-1989,3193405.0,71853.0,26972.0,1641065.0,95442.0,1205509.0,601863.0,51480.0,988639.0,85992.0,37101.0,3197503.0,421061.0,11617885.0,IRN
1368,1989-1990,3198928.0,95031.0,26751.0,1715720.0,107528.0,1210096.0,614050.0,56199.0,1060186.0,89507.0,41631.0,3254749.0,455544.0,11925921.0,IRN
1369,1990-1991,3210856.0,96535.0,26194.0,1907107.0,125393.0,1251530.0,637857.0,81436.0,1129089.0,114454.0,56307.0,3417345.0,492852.0,12546955.0,IRN
1370,1991-1992,3220029.0,89745.0,25518.0,2013605.0,128997.0,1372437.0,671162.0,91019.0,1238305.0,128270.0,66416.0,3517897.0,533215.0,13096615.0,IRN
1371,1992-1993,3235422.0,92705.0,28250.0,2055844.0,133368.0,1413321.0,676770.0,90545.0,1361569.0,131894.0,75785.0,3505594.0,460806.0,13261874.0,IRN
1372,1993-1994,3251371.0,94580.0,29575.0,2096408.0,139011.0,1490031.0,733731.0,87919.0,1425306.0,138297.0,86615.0,3437417.0,398230.0,13408492.0,IRN
1373,1994-1995,3274237.0,102640.0,35210.0,2200050.0,140970.0,1527282.0,773585.0,86111.0,1559978.0,142460.0,111163.0,3390487.0,344151.0,13688326.0,IRN
1374,1995-1996,3335235.0,102923.0,33603.0,2322529.0,145132.0,1591895.0,816248.0,83153.0,1753036.0,148609.0,117287.0,3313690.0,297416.0,14060756.0,IRN
1375,1996-1997,3357263.0,104815.0,40075.0,2526956.0,150631.0,1650481.0,890840.0,81952.0,1927067.0,152872.0,149090.0,3282502.0,257028.0,14571572.0,IRN
1376,1997-1998,3382663.0,106151.0,43976.0,2652219.0,163996.0,1681458.0,958886.0,88962.0,1963086.0,157759.0,154796.0,3333663.0,274019.0,14961634.0,IRN
1377,1998-1999,3445209.0,107307.0,45713.0,2725668.0,168566.0,1694733.0,981879.0,93648.0,2008854.0,163899.0,167430.0,3472627.0,292133.0,15367666.0,IRN
1378,1999-2000,3483177.0,109491.0,47757.0,2868680.0,177993.0,1849616.0,1043187.0,102332.0,2070436.0,173677.0,206168.0,3530172.0,311444.0,15974130.0,IRN
1379,2000-2001,3535504.0,112297.0,50477.0,2993440.0,187089.0,1971373.0,1177636.0,119350.0,2155198.0,194807.0,220684.0,3607241.0,332033.0,16657129.0,IRN
1380,2001-2002,3555208.0,113264.0,53526.0,3052834.0,191542.0,2092516.0,1246975.0,123252.0,2215074.0,210543.0,224128.0,3679423.0,353982.0,17112267.0,IRN
1381,2002-2003,3615151.0,117142.0,55757.0,3131113.0,192429.0,2350191.0,1310427.0,135081.0,2345011.0,225988.0,309656.0,3716501.0,377382.0,17881829.0,IRN
1382,2003-2004,3643019.0,118270.0,56443.0,3157645.0,202417.0,2446216.0,1417138.0,146133.0,2494567.0,233942.0,338392.0,3744774.0,402328.0,18401284.0,IRN
1383,2004-2005,3668453.0,118995.0,57353.0,3204674.0,221842.0,2525829.0,1539029.0,149541.0,2754537.0,239727.0,418060.0,3763542.0,428924.0,19090506.0,IRN
1384,2005-2006,3678868.0,122101.0,59121.0,3374571.0,219007.0,2554741.0,1627777.0,164555.0,2927921.0,251813.0,407917.0,3849942.0,457279.0,19695613.0,IRN
1385,2006-2007,3686747.0,124540.0,66934.0,3445970.0,224811.0,2631142.0,1758203.0,183706.0,3019468.0,271366.0,443203.0,4132744.0,487507.0,20476341.0,IRN
1386,2007-2008,3730004.0,125788.0,71258.0,3366616.0,232136.0,2721774.0,1773582.0,185313.0,3015189.0,281307.0,473884.0,4107316.0,408266.0,20492433.0,IRN
1387,2008-2009,3771334.0,126946.0,75813.0,3286968.0,239544.0,2813711.0,1787941.0,186813.0,3009073.0,291425.0,506361.0,4079411.0,319956.0,20495295.0,IRN
1388,2009-2010,3813714.0,127679.0,80672.0,3209701.0,247227.0,2909205.0,1802696.0,188355.0,3003535.0,301953.0,541149.0,4052324.0,222684.0,20500893.0,IRN
1389,2010-2011,3858005.0,133954.0,85873.0,3135418.0,255252.0,3009060.0,1818249.0,189980.0,2999227.0,312978.0,578541.0,4026916.0,116169.0,20519624.0,IRN
1390,2011-2012,3902403.0,150878.0,91401.0,3062534.0,263510.0,3112017.0,1833745.0,191599.0,2994715.0,324371.0,618453.0,4001248.0,0.0,20546874.0,IRN
Source: Management and Planning Organization of Iran (published in August 2015),,,,,,,,,,,,,,,,IRN
