year_iranian,year_western,population_group,occupation_category,persons_employed
1384,2005-2006,"Urban Areas, Males",Service Workers and Shop/Market Sales Workers,1949346
1384,2005-2006,"Urban Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,577484
1384,2005-2006,"Urban Areas, Males",Crafts and Related Trades Workers,2486270
1384,2005-2006,"Urban Areas, Males",Machinery Operators/Assemblers/Drivers,1655705
1384,2005-2006,"Urban Areas, Males",Laborers,1414295
1384,2005-2006,"Urban Areas, Males",Other or Not Declared,398224
1384,2005-2006,"Urban Areas, Females",Total,2070294
1384,2005-2006,"Urban Areas, Females",Legislators/Senior Officials/Managers,98390
1384,2005-2006,"Urban Areas, Females",Professionals,691083
1384,2005-2006,"Urban Areas, Females",Technicians and Associate Professionals,153981
1384,2005-2006,"Urban Areas, Females",Clerical and Administrative Workers,225615
1384,2005-2006,"Urban Areas, Females",Service Workers and Shop/Market Sales Workers,221626
1384,2005-2006,"Urban Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,82693
1384,2005-2006,"Urban Areas, Females",Crafts and Related Trades Workers,475196
1384,2005-2006,"Urban Areas, Females",Machinery Operators/Assemblers/Drivers,18979
1384,2005-2006,"Urban Areas, Females",Laborers,97876
1384,2005-2006,"Urban Areas, Females",Other or Not Declared,4852
1384,2005-2006,"Rural Areas, Both Genders",Total,7397538
1384,2005-2006,"Rural Areas, Both Genders",Legislators/Senior Officials/Managers,51866
1384,2005-2006,"Rural Areas, Both Genders",Professionals,140140
1384,2005-2006,"Rural Areas, Both Genders",Technicians and Associate Professionals,105238
1384,2005-2006,"Rural Areas, Both Genders",Clerical and Administrative Workers,82991
1384,2005-2006,"Rural Areas, Both Genders",Service Workers and Shop/Market Sales Workers,408111
1384,2005-2006,"Rural Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3404199
1384,2005-2006,"Rural Areas, Both Genders",Crafts and Related Trades Workers,1156700
1384,2005-2006,"Rural Areas, Both Genders",Machinery Operators/Assemblers/Drivers,527791
1384,2005-2006,"Rural Areas, Both Genders",Laborers,1449646
1384,2005-2006,"Rural Areas, Both Genders",Other or Not Declared,70853
1384,2005-2006,"Rural Areas, Males",Total,5506172
1384,2005-2006,"Rural Areas, Males",Legislators/Senior Officials/Managers,47738
1384,2005-2006,"Rural Areas, Males",Professionals,98452
1384,2005-2006,"Rural Areas, Males",Technicians and Associate Professionals,87618
1384,2005-2006,"Rural Areas, Males",Clerical and Administrative Workers,69098
1384,2005-2006,"Rural Areas, Males",Service Workers and Shop/Market Sales Workers,340342
1384,2005-2006,"Rural Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,2461450
1384,2005-2006,"Rural Areas, Males",Crafts and Related Trades Workers,640426
1384,2005-2006,"Rural Areas, Males",Machinery Operators/Assemblers/Drivers,524013
1384,2005-2006,"Rural Areas, Males",Laborers,1166898
1384,2005-2006,"Rural Areas, Males",Other or Not Declared,70134
1384,2005-2006,"Rural Areas, Females",Total,1891366
1384,2005-2006,"Rural Areas, Females",Legislators/Senior Officials/Managers,4127
1384,2005-2006,"Rural Areas, Females",Professionals,41687
1384,2005-2006,"Rural Areas, Females",Technicians and Associate Professionals,17620
1384,2005-2006,"Rural Areas, Females",Clerical and Administrative Workers,13893
1384,2005-2006,"Rural Areas, Females",Service Workers and Shop/Market Sales Workers,67769
1384,2005-2006,"Rural Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,942749
1384,2005-2006,"Rural Areas, Females",Crafts and Related Trades Workers,516274
1384,2005-2006,"Rural Areas, Females",Machinery Operators/Assemblers/Drivers,3777
1384,2005-2006,"Rural Areas, Females",Laborers,282748
1384,2005-2006,"Rural Areas, Females",Other or Not Declared,719
1385,2006-2007,"Country, Both Genders",Total,20841420
1385,2006-2007,"Country, Both Genders",Legislators/Senior Officials/Managers,608556
1385,2006-2007,"Country, Both Genders",Professionals,1628215
1385,2006-2007,"Country, Both Genders",Technicians and Associate Professionals,969023
1385,2006-2007,"Country, Both Genders",Clerical and Administrative Workers,1003068
1385,2006-2007,"Country, Both Genders",Service Workers and Shop/Market Sales Workers,2635793
1385,2006-2007,"Country, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3966984
1385,2006-2007,"Country, Both Genders",Crafts and Related Trades Workers,4305122
1385,2006-2007,"Country, Both Genders",Machinery Operators/Assemblers/Drivers,2284250
1385,2006-2007,"Country, Both Genders",Laborers,2968155
1385,2006-2007,"Country, Both Genders",Other or Not Declared,472249
1385,2006-2007,"Country, Males",Total,16871814
1385,2006-2007,"Country, Males",Legislators/Senior Officials/Managers,519888
1385,2006-2007,"Country, Males",Professionals,905371
1385,2006-2007,"Country, Males",Technicians and Associate Professionals,788370
1385,2006-2007,"Country, Males",Clerical and Administrative Workers,746400
1385,2006-2007,"Country, Males",Service Workers and Shop/Market Sales Workers,2358692
1385,2006-2007,"Country, Males",Skilled Agriculture/Forestry/Fisheries Workers,2950447
1385,2006-2007,"Country, Males",Crafts and Related Trades Workers,3181716
1385,2006-2007,"Country, Males",Machinery Operators/Assemblers/Drivers,2259681
1385,2006-2007,"Country, Males",Laborers,2694480
1385,2006-2007,"Country, Males",Other or Not Declared,466765
1385,2006-2007,"Country, Females",Total,3969606
1385,2006-2007,"Country, Females",Legislators/Senior Officials/Managers,88668
1385,2006-2007,"Country, Females",Professionals,722844
1385,2006-2007,"Country, Females",Technicians and Associate Professionals,180652
1385,2006-2007,"Country, Females",Clerical and Administrative Workers,256668
1385,2006-2007,"Country, Females",Service Workers and Shop/Market Sales Workers,277100
1385,2006-2007,"Country, Females",Skilled Agriculture/Forestry/Fisheries Workers,1016537
1385,2006-2007,"Country, Females",Crafts and Related Trades Workers,1123406
1385,2006-2007,"Country, Females",Machinery Operators/Assemblers/Drivers,24569
1385,2006-2007,"Country, Females",Laborers,273674
1385,2006-2007,"Country, Females",Other or Not Declared,5484
1385,2006-2007,"Urban Areas, Both Genders",Total,13527276
1385,2006-2007,"Urban Areas, Both Genders",Legislators/Senior Officials/Managers,558366
1385,2006-2007,"Urban Areas, Both Genders",Professionals,1494507
1385,2006-2007,"Urban Areas, Both Genders",Technicians and Associate Professionals,861198
1385,2006-2007,"Urban Areas, Both Genders",Clerical and Administrative Workers,918031
1385,2006-2007,"Urban Areas, Both Genders",Service Workers and Shop/Market Sales Workers,2238875
1385,2006-2007,"Urban Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,649091
1385,2006-2007,"Urban Areas, Both Genders",Crafts and Related Trades Workers,3046412
1385,2006-2007,"Urban Areas, Both Genders",Machinery Operators/Assemblers/Drivers,1726278
1385,2006-2007,"Urban Areas, Both Genders",Laborers,1622225
1385,2006-2007,"Urban Areas, Both Genders",Other or Not Declared,412288
1385,2006-2007,"Urban Areas, Males",Total,11406443
1385,2006-2007,"Urban Areas, Males",Legislators/Senior Officials/Managers,475528
1385,2006-2007,"Urban Areas, Males",Professionals,818651
1385,2006-2007,"Urban Areas, Males",Technicians and Associate Professionals,700138
1385,2006-2007,"Urban Areas, Males",Clerical and Administrative Workers,675595
1385,2006-2007,"Urban Areas, Males",Service Workers and Shop/Market Sales Workers,2023819
1385,2006-2007,"Urban Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,566378
1385,2006-2007,"Urban Areas, Males",Crafts and Related Trades Workers,2495556
1385,2006-2007,"Urban Areas, Males",Machinery Operators/Assemblers/Drivers,1705920
1385,2006-2007,"Urban Areas, Males",Laborers,1537300
1385,2006-2007,"Urban Areas, Males",Other or Not Declared,407552
1385,2006-2007,"Urban Areas, Females",Total,2120833
1385,2006-2007,"Urban Areas, Females",Legislators/Senior Officials/Managers,82837
1385,2006-2007,"Urban Areas, Females",Professionals,675856
1385,2006-2007,"Urban Areas, Females",Technicians and Associate Professionals,161059
1385,2006-2007,"Urban Areas, Females",Clerical and Administrative Workers,242436
1385,2006-2007,"Urban Areas, Females",Service Workers and Shop/Market Sales Workers,215056
1385,2006-2007,"Urban Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,82712
1385,2006-2007,"Urban Areas, Females",Crafts and Related Trades Workers,550855
1385,2006-2007,"Urban Areas, Females",Machinery Operators/Assemblers/Drivers,20357
1385,2006-2007,"Urban Areas, Females",Laborers,84924
1385,2006-2007,"Urban Areas, Females",Other or Not Declared,4736
1385,2006-2007,"Rural Areas, Both Genders",Total,7314144
1385,2006-2007,"Rural Areas, Both Genders",Legislators/Senior Officials/Managers,50190
1385,2006-2007,"Rural Areas, Both Genders",Professionals,133707
1385,2006-2007,"Rural Areas, Both Genders",Technicians and Associate Professionals,107825
1385,2006-2007,"Rural Areas, Both Genders",Clerical and Administrative Workers,85037
1385,2006-2007,"Rural Areas, Both Genders",Service Workers and Shop/Market Sales Workers,396917
1385,2006-2007,"Rural Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3317893
1385,2006-2007,"Rural Areas, Both Genders",Crafts and Related Trades Workers,1258710
1385,2006-2007,"Rural Areas, Both Genders",Machinery Operators/Assemblers/Drivers,557972
1385,2006-2007,"Rural Areas, Both Genders",Laborers,1345929
1385,2006-2007,"Rural Areas, Both Genders",Other or Not Declared,59961
1385,2006-2007,"Rural Areas, Males",Total,5465371
1385,2006-2007,"Rural Areas, Males",Legislators/Senior Officials/Managers,44360
1385,2006-2007,"Rural Areas, Males",Professionals,86719
1385,2006-2007,"Rural Areas, Males",Technicians and Associate Professionals,88231
1385,2006-2007,"Rural Areas, Males",Clerical and Administrative Workers,70805
1385,2006-2007,"Rural Areas, Males",Service Workers and Shop/Market Sales Workers,334873
1385,2006-2007,"Rural Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,2384068
1385,2006-2007,"Rural Areas, Males",Crafts and Related Trades Workers,686159
1385,2006-2007,"Rural Areas, Males",Machinery Operators/Assemblers/Drivers,553760
1385,2006-2007,"Rural Areas, Males",Laborers,1157179
1385,2006-2007,"Rural Areas, Males",Other or Not Declared,59212
1385,2006-2007,"Rural Areas, Females",Total,1848773
1385,2006-2007,"Rural Areas, Females",Legislators/Senior Officials/Managers,5830
1385,2006-2007,"Rural Areas, Females",Professionals,46988
1385,2006-2007,"Rural Areas, Females",Technicians and Associate Professionals,19593
1385,2006-2007,"Rural Areas, Females",Clerical and Administrative Workers,14231
1385,2006-2007,"Rural Areas, Females",Service Workers and Shop/Market Sales Workers,62044
1385,2006-2007,"Rural Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,933824
1385,2006-2007,"Rural Areas, Females",Crafts and Related Trades Workers,572550
1385,2006-2007,"Rural Areas, Females",Machinery Operators/Assemblers/Drivers,4211
1385,2006-2007,"Rural Areas, Females",Laborers,188750
1385,2006-2007,"Rural Areas, Females",Other or Not Declared,748
1386,2007-2008,"Country, Both Genders",Total,21092477
1386,2007-2008,"Country, Both Genders",Legislators/Senior Officials/Managers,593133
1386,2007-2008,"Country, Both Genders",Professionals,1656749
1386,2007-2008,"Country, Both Genders",Technicians and Associate Professionals,977874
1386,2007-2008,"Country, Both Genders",Clerical and Administrative Workers,1009036
1386,2007-2008,"Country, Both Genders",Service Workers and Shop/Market Sales Workers,2689029
1386,2007-2008,"Country, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3995404
1386,2007-2008,"Country, Both Genders",Crafts and Related Trades Workers,4164568
1386,2007-2008,"Country, Both Genders",Machinery Operators/Assemblers/Drivers,2382471
1386,2007-2008,"Country, Both Genders",Laborers,3133266
1386,2007-2008,"Country, Both Genders",Other or Not Declared,490943
1386,2007-2008,"Country, Males",Total,17229988
1386,2007-2008,"Country, Males",Legislators/Senior Officials/Managers,514203
1386,2007-2008,"Country, Males",Professionals,933792
1386,2007-2008,"Country, Males",Technicians and Associate Professionals,811742
1386,2007-2008,"Country, Males",Clerical and Administrative Workers,764588
1386,2007-2008,"Country, Males",Service Workers and Shop/Market Sales Workers,2400355
1386,2007-2008,"Country, Males",Skilled Agriculture/Forestry/Fisheries Workers,2917289
1386,2007-2008,"Country, Males",Crafts and Related Trades Workers,3191789
1386,2007-2008,"Country, Males",Machinery Operators/Assemblers/Drivers,2357600
1386,2007-2008,"Country, Males",Laborers,2852278
1386,2007-2008,"Country, Males",Other or Not Declared,486350
1386,2007-2008,"Country, Females",Total,3862488
1386,2007-2008,"Country, Females",Legislators/Senior Officials/Managers,78930
1386,2007-2008,"Country, Females",Professionals,722957
1386,2007-2008,"Country, Females",Technicians and Associate Professionals,166131
1386,2007-2008,"Country, Females",Clerical and Administrative Workers,244448
1386,2007-2008,"Country, Females",Service Workers and Shop/Market Sales Workers,288674
1386,2007-2008,"Country, Females",Skilled Agriculture/Forestry/Fisheries Workers,1078115
1386,2007-2008,"Country, Females",Crafts and Related Trades Workers,972779
1386,2007-2008,"Country, Females",Machinery Operators/Assemblers/Drivers,24871
1386,2007-2008,"Country, Females",Laborers,280988
1386,2007-2008,"Country, Females",Other or Not Declared,4593
1386,2007-2008,"Urban Areas, Both Genders",Total,13847364
1386,2007-2008,"Urban Areas, Both Genders",Legislators/Senior Officials/Managers,542757
1386,2007-2008,"Urban Areas, Both Genders",Professionals,1515870
1386,2007-2008,"Urban Areas, Both Genders",Technicians and Associate Professionals,865410
1386,2007-2008,"Urban Areas, Both Genders",Clerical and Administrative Workers,933361
1386,2007-2008,"Urban Areas, Both Genders",Service Workers and Shop/Market Sales Workers,2300200
1386,2007-2008,"Urban Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,646378
1386,2007-2008,"Urban Areas, Both Genders",Crafts and Related Trades Workers,3054379
1386,2007-2008,"Urban Areas, Both Genders",Machinery Operators/Assemblers/Drivers,1804896
1386,2007-2008,"Urban Areas, Both Genders",Laborers,1758650
1386,2007-2008,"Urban Areas, Both Genders",Other or Not Declared,425457
1386,2007-2008,"Urban Areas, Males",Total,11801130
1386,2007-2008,"Urban Areas, Males",Legislators/Senior Officials/Managers,470126
1386,2007-2008,"Urban Areas, Males",Professionals,839724
1386,2007-2008,"Urban Areas, Males",Technicians and Associate Professionals,719834
1386,2007-2008,"Urban Areas, Males",Clerical and Administrative Workers,701775
1386,2007-2008,"Urban Areas, Males",Service Workers and Shop/Market Sales Workers,2072741
1386,2007-2008,"Urban Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,572709
1386,2007-2008,"Urban Areas, Males",Crafts and Related Trades Workers,2552269
1386,2007-2008,"Urban Areas, Males",Machinery Operators/Assemblers/Drivers,1784522
1386,2007-2008,"Urban Areas, Males",Laborers,1666113
1386,2007-2008,"Urban Areas, Males",Other or Not Declared,421313
1386,2007-2008,"Urban Areas, Females",Total,2046234
1386,2007-2008,"Urban Areas, Females",Legislators/Senior Officials/Managers,72631
1386,2007-2008,"Urban Areas, Females",Professionals,676146
1386,2007-2008,"Urban Areas, Females",Technicians and Associate Professionals,145576
1386,2007-2008,"Urban Areas, Females",Clerical and Administrative Workers,231585
1386,2007-2008,"Urban Areas, Females",Service Workers and Shop/Market Sales Workers,227459
1386,2007-2008,"Urban Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,73669
1386,2007-2008,"Urban Areas, Females",Crafts and Related Trades Workers,502110
1386,2007-2008,"Urban Areas, Females",Machinery Operators/Assemblers/Drivers,20374
1386,2007-2008,"Urban Areas, Females",Laborers,92537
1386,2007-2008,"Urban Areas, Females",Other or Not Declared,4143
1386,2007-2008,"Rural Areas, Both Genders",Total,7245112
1386,2007-2008,"Rural Areas, Both Genders",Legislators/Senior Officials/Managers,50375
1386,2007-2008,"Rural Areas, Both Genders",Professionals,140878
1386,2007-2008,"Rural Areas, Both Genders",Technicians and Associate Professionals,112463
1386,2007-2008,"Rural Areas, Both Genders",Clerical and Administrative Workers,75675
1386,2007-2008,"Rural Areas, Both Genders",Service Workers and Shop/Market Sales Workers,388829
1386,2007-2008,"Rural Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3349025
1386,2007-2008,"Rural Areas, Both Genders",Crafts and Related Trades Workers,1110188
1386,2007-2008,"Rural Areas, Both Genders",Machinery Operators/Assemblers/Drivers,577574
1386,2007-2008,"Rural Areas, Both Genders",Laborers,1374615
1386,2007-2008,"Rural Areas, Both Genders",Other or Not Declared,65486
1386,2007-2008,"Rural Areas, Males",Total,5428858
1386,2007-2008,"Rural Areas, Males",Legislators/Senior Officials/Managers,44076
1386,2007-2008,"Rural Areas, Males",Professionals,94067
1386,2007-2008,"Rural Areas, Males",Technicians and Associate Professionals,91908
1386,2007-2008,"Rural Areas, Males",Clerical and Administrative Workers,62812
1386,2007-2008,"Rural Areas, Males",Service Workers and Shop/Market Sales Workers,327613
1386,2007-2008,"Rural Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,2344579
1386,2007-2008,"Rural Areas, Males",Crafts and Related Trades Workers,639519
1386,2007-2008,"Rural Areas, Males",Machinery Operators/Assemblers/Drivers,573077
1386,2007-2008,"Rural Areas, Males",Laborers,1186165
1386,2007-2008,"Rural Areas, Males",Other or Not Declared,65036
1386,2007-2008,"Rural Areas, Females",Total,1816254
1386,2007-2008,"Rural Areas, Females",Legislators/Senior Officials/Managers,6298
1386,2007-2008,"Rural Areas, Females",Professionals,46810
1386,2007-2008,"Rural Areas, Females",Technicians and Associate Professionals,20554
1386,2007-2008,"Rural Areas, Females",Clerical and Administrative Workers,12862
1386,2007-2008,"Rural Areas, Females",Service Workers and Shop/Market Sales Workers,61215
1386,2007-2008,"Rural Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,1004445
1386,2007-2008,"Rural Areas, Females",Crafts and Related Trades Workers,470668
1386,2007-2008,"Rural Areas, Females",Machinery Operators/Assemblers/Drivers,4497
1386,2007-2008,"Rural Areas, Females",Laborers,188450
1386,2007-2008,"Rural Areas, Females",Other or Not Declared,449
1387,2008-2009,"Country, Both Genders",Total,20500310
1387,2008-2009,"Country, Both Genders",Legislators/Senior Officials/Managers,497167
1387,2008-2009,"Country, Both Genders",Professionals,1591664
1387,2008-2009,"Country, Both Genders",Technicians and Associate Professionals,993665
1387,2008-2009,"Country, Both Genders",Clerical and Administrative Workers,973882
1387,2008-2009,"Country, Both Genders",Service Workers and Shop/Market Sales Workers,2624991
1387,2008-2009,"Country, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3653772
1387,2008-2009,"Country, Both Genders",Crafts and Related Trades Workers,3948171
1387,2008-2009,"Country, Both Genders",Machinery Operators/Assemblers/Drivers,2474686
1387,2008-2009,"Country, Both Genders",Laborers,3218526
1387,2008-2009,"Country, Both Genders",Other or Not Declared,523783
1387,2008-2009,"Country, Males",Total,17118965
1387,2008-2009,"Country, Males",Legislators/Senior Officials/Managers,431408
1387,2008-2009,"Country, Males",Professionals,900301
1387,2008-2009,"Country, Males",Technicians and Associate Professionals,822966
1387,2008-2009,"Country, Males",Clerical and Administrative Workers,725045
1387,2008-2009,"Country, Males",Service Workers and Shop/Market Sales Workers,2355593
1387,2008-2009,"Country, Males",Skilled Agriculture/Forestry/Fisheries Workers,2760544
1387,2008-2009,"Country, Males",Crafts and Related Trades Workers,3156846
1387,2008-2009,"Country, Males",Machinery Operators/Assemblers/Drivers,2442902
1387,2008-2009,"Country, Males",Laborers,3007605
1387,2008-2009,"Country, Males",Other or Not Declared,515751
1387,2008-2009,"Country, Females",Total,3381344
1387,2008-2009,"Country, Females",Legislators/Senior Officials/Managers,65758
1387,2008-2009,"Country, Females",Professionals,691362
1387,2008-2009,"Country, Females",Technicians and Associate Professionals,170698
1387,2008-2009,"Country, Females",Clerical and Administrative Workers,248836
1387,2008-2009,"Country, Females",Service Workers and Shop/Market Sales Workers,269397
1387,2008-2009,"Country, Females",Skilled Agriculture/Forestry/Fisheries Workers,893228
1387,2008-2009,"Country, Females",Crafts and Related Trades Workers,791324
1387,2008-2009,"Country, Females",Machinery Operators/Assemblers/Drivers,31784
1387,2008-2009,"Country, Females",Laborers,210921
1387,2008-2009,"Country, Females",Other or Not Declared,8031
1387,2008-2009,"Urban Areas, Both Genders",Total,13734433
1387,2008-2009,"Urban Areas, Both Genders",Legislators/Senior Officials/Managers,451866
1387,2008-2009,"Urban Areas, Both Genders",Professionals,1455262
1387,2008-2009,"Urban Areas, Both Genders",Technicians and Associate Professionals,885178
1387,2008-2009,"Urban Areas, Both Genders",Clerical and Administrative Workers,895428
1387,2008-2009,"Urban Areas, Both Genders",Service Workers and Shop/Market Sales Workers,2257651
1387,2008-2009,"Urban Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,627175
1387,2008-2009,"Urban Areas, Both Genders",Crafts and Related Trades Workers,2981869
1387,2008-2009,"Urban Areas, Both Genders",Machinery Operators/Assemblers/Drivers,1897968
1387,2008-2009,"Urban Areas, Both Genders",Laborers,1839090
1387,2008-2009,"Urban Areas, Both Genders",Other or Not Declared,442944
1387,2008-2009,"Urban Areas, Males",Total,11827229
1387,2008-2009,"Urban Areas, Males",Legislators/Senior Officials/Managers,389001
1387,2008-2009,"Urban Areas, Males",Professionals,809123
1387,2008-2009,"Urban Areas, Males",Technicians and Associate Professionals,736838
1387,2008-2009,"Urban Areas, Males",Clerical and Administrative Workers,659695
1387,2008-2009,"Urban Areas, Males",Service Workers and Shop/Market Sales Workers,2038210
1387,2008-2009,"Urban Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,571803
1387,2008-2009,"Urban Areas, Males",Crafts and Related Trades Workers,2550360
1387,2008-2009,"Urban Areas, Males",Machinery Operators/Assemblers/Drivers,1872125
1387,2008-2009,"Urban Areas, Males",Laborers,1762712
1387,2008-2009,"Urban Areas, Males",Other or Not Declared,437359
1387,2008-2009,"Urban Areas, Females",Total,1907203
1387,2008-2009,"Urban Areas, Females",Legislators/Senior Officials/Managers,62764
1387,2008-2009,"Urban Areas, Females",Professionals,646139
1387,2008-2009,"Urban Areas, Females",Technicians and Associate Professionals,148340
1387,2008-2009,"Urban Areas, Females",Clerical and Administrative Workers,235733
1387,2008-2009,"Urban Areas, Females",Service Workers and Shop/Market Sales Workers,219440
1387,2008-2009,"Urban Areas, Females",Skilled Agriculture/Forestry/Fisheries Workers,55371
1387,2008-2009,"Urban Areas, Females",Crafts and Related Trades Workers,431508
1387,2008-2009,"Urban Areas, Females",Machinery Operators/Assemblers/Drivers,25843
1387,2008-2009,"Urban Areas, Females",Laborers,76377
1387,2008-2009,"Urban Areas, Females",Other or Not Declared,5584
1387,2008-2009,"Rural Areas, Both Genders",Total,6765876
1387,2008-2009,"Rural Areas, Both Genders",Legislators/Senior Officials/Managers,45301
1387,2008-2009,"Rural Areas, Both Genders",Professionals,136402
1387,2008-2009,"Rural Areas, Both Genders",Technicians and Associate Professionals,108486
1387,2008-2009,"Rural Areas, Both Genders",Clerical and Administrative Workers,78453
1387,2008-2009,"Rural Areas, Both Genders",Service Workers and Shop/Market Sales Workers,367339
1387,2008-2009,"Rural Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,3026597
1387,2008-2009,"Rural Areas, Both Genders",Crafts and Related Trades Workers,966301
1387,2008-2009,"Rural Areas, Both Genders",Machinery Operators/Assemblers/Drivers,576718
1387,2008-2009,"Rural Areas, Both Genders",Laborers,1379436
1387,2008-2009,"Rural Areas, Both Genders",Other or Not Declared,80839
1387,2008-2009,"Rural Areas, Males",Total,5291735
1387,2008-2009,"Rural Areas, Males",Legislators/Senior Officials/Managers,42407
1387,2008-2009,"Rural Areas, Males",Professionals,91178
1387,2008-2009,"Rural Areas, Males",Technicians and Associate Professionals,86128
1387,2008-2009,"Rural Areas, Males",Clerical and Administrative Workers,65350
1387,2008-2009,"Rural Areas, Males",Service Workers and Shop/Market Sales Workers,317382
1387,2008-2009,"Rural Areas, Males",Skilled Agriculture/Forestry/Fisheries Workers,2188740
1387,2008-2009,"Rural Areas, Males",Crafts and Related Trades Workers,606486
1387,2008-2009,"Rural Areas, Males",Machinery Operators/Assemblers/Drivers,570776
1387,2008-2009,"Rural Areas, Males",Laborers,1244892
1387,2008-2009,"Rural Areas, Males",Other or Not Declared,78392
1387,2008-2009,"Rural Areas, Females",Total,1474140
1387,2008-2009,"Rural Areas, Females",Legislators/Senior Officials/Managers,2893
1387,2008-2009,"Rural Areas, Females",Professionals,45223
1387,2008-2009,"Rural Areas, Females",Technicians and Associate Professionals,22358
1387,2008-2009,"Rural Areas, Females",Clerical and Administrative Workers,13103
