country_iso3,indicator_id,year,value,unit,source_dataset,source_commodity_label,flag,anomaly
IRN,energy__refinery_output_total,2015,607000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery, Total",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__refinery_output_total,2016,592000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery, Total",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__refinery_output_total,2017,613000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__refinery_output_total,2018,617000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__refinery_output_total,2014,185000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery, Total",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__refinery_output_total,2015,153000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__refinery_output_total,2016,164000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__refinery_output_total,2017,196000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__refinery_output_total,2018,262000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery, Total",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__refinery_output_total,2019,273000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery, Total",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__refinery_output_total,2020,215000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__refinery_output_total,2021,270000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__refinery_output_total,2014,437198,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery",r,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__refinery_output_total,2015,479658,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Refinery",r,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__refinery_output_total,2016,460481,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Refinery",r,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__refinery_output_total,2017,497991,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Refinery",r,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__refinery_output_total,2018,491409,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__refinery_output_total,2019,494528,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__refinery_output_total,2020,403383,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__refinery_output_total,2021,446577,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__refinery_output_total,2022,480378,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__refinery_output_total,2014,1030000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, refinery, Total",r,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__refinery_output_total,2015,1120000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__refinery_output_total,2016,1160000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__refinery_output_total,2017,1230000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__refinery_output_total,2018,1260000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__refinery_output_total,2019,1250000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__refinery_output_total,2020,1160000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__refinery_output_total,2021,1160000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery, Total",,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__refinery_output_total,2014,2371000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__refinery_output_total,2015,2308000,thousand 32-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__refinery_output_total,2016,2281000,thousand 32-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
