country_iso3,indicator_id,item,element,year,value,unit,source_dataset,year_iranian,notes
IRN,wheat__production,Wheat,Production,1994,11227546,t,iran-data-portal-wheat-production,1373,Iranian ag-year label 1373 (1994-1995); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1995,10015183,t,iran-data-portal-wheat-production,1374,Iranian ag-year label 1374 (1995-1996); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1996,10044715,t,iran-data-portal-wheat-production,1375,Iranian ag-year label 1375 (1996-1997); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1997,11955080,t,iran-data-portal-wheat-production,1376,Iranian ag-year label 1376 (1997-1998); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1998,8673197.5,t,iran-data-portal-wheat-production,1377,Iranian ag-year label 1377 (1998-1999); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1999,8087755.6,t,iran-data-portal-wheat-production,1378,Iranian ag-year label 1378 (1999-2000); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2000,9458617.1,t,iran-data-portal-wheat-production,1379,Iranian ag-year label 1379 (2000-2001); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2001,12450242,t,iran-data-portal-wheat-production,1380,Iranian ag-year label 1380 (2001-2002); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2002,13439565,t,iran-data-portal-wheat-production,1381,Iranian ag-year label 1381 (2002-2003); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2003,14568480,t,iran-data-portal-wheat-production,1382,Iranian ag-year label 1382 (2003-2004); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2004,14307970,t,iran-data-portal-wheat-production,1383,Iranian ag-year label 1383 (2004-2005); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2005,14663745,t,iran-data-portal-wheat-production,1384,Iranian ag-year label 1384 (2005-2006); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2006,15886609,t,iran-data-portal-wheat-production,1385,Iranian ag-year label 1385 (2006-2007); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2007,6999977,t,iran-data-portal-wheat-production,1386,Iranian ag-year label 1386 (2007-2008); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2008,12093028,t,iran-data-portal-wheat-production,1387,Iranian ag-year label 1387 (2008-2009); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2009,12142988,t,iran-data-portal-wheat-production,1388,Iranian ag-year label 1388 (2009-2010); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2010,8677966,t,iran-data-portal-wheat-production,1389,Iranian ag-year label 1389 (2010-2011); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2011,8816001,t,iran-data-portal-wheat-production,1390,Iranian ag-year label 1390 (2011-2012); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2012,9304246,t,iran-data-portal-wheat-production,1391,Iranian ag-year label 1391 (2012-2013); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,2013,10578699,t,iran-data-portal-wheat-production,1392,Iranian ag-year label 1392 (2013-2014); source cited in-file: Ministry of Agriculture.
IRN,red_meat__production,"Meat, cattle+sheep+goat (red meat)",Production,1991,595000,t,iran-data-portal-meat-milk,1370,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,milk__production,"Raw milk, all animals",Production,1991,4035000,t,iran-data-portal-meat-milk,1370,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,red_meat__production,"Meat, cattle+sheep+goat (red meat)",Production,1996,685000,t,iran-data-portal-meat-milk,1375,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,milk__production,"Raw milk, all animals",Production,1996,4705000,t,iran-data-portal-meat-milk,1375,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,red_meat__production,"Meat, cattle+sheep+goat (red meat)",Production,2001,743000,t,iran-data-portal-meat-milk,1380,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,milk__production,"Raw milk, all animals",Production,2001,5748000,t,iran-data-portal-meat-milk,1380,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,red_meat__production,"Meat, cattle+sheep+goat (red meat)",Production,2002,772000,t,iran-data-portal-meat-milk,1381,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,milk__production,"Raw milk, all animals",Production,2002,5877000,t,iran-data-portal-meat-milk,1381,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,red_meat__production,"Meat, cattle+sheep+goat (red meat)",Production,2003,752000,t,iran-data-portal-meat-milk,1382,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,milk__production,"Raw milk, all animals",Production,2003,6316000,t,iran-data-portal-meat-milk,1382,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,red_meat__production,"Meat, cattle+sheep+goat (red meat)",Production,2004,785000,t,iran-data-portal-meat-milk,1383,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,milk__production,"Raw milk, all animals",Production,2004,6720000,t,iran-data-portal-meat-milk,1383,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,red_meat__production,"Meat, cattle+sheep+goat (red meat)",Production,2005,800000,t,iran-data-portal-meat-milk,1384,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,milk__production,"Raw milk, all animals",Production,2005,7179000,t,iran-data-portal-meat-milk,1384,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,red_meat__production,"Meat, cattle+sheep+goat (red meat)",Production,2006,829000,t,iran-data-portal-meat-milk,1385,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,milk__production,"Raw milk, all animals",Production,2006,7741000,t,iran-data-portal-meat-milk,1385,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,poultry_meat__production,"Meat, chicken",Production,1991,420000,t,iran-data-portal-chicken-egg,1370,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,eggs__production,Hen eggs in shell,Production,1991,340000,t,iran-data-portal-chicken-egg,1370,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,poultry_meat__production,"Meat, chicken",Production,1996,676000,t,iran-data-portal-chicken-egg,1375,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,eggs__production,Hen eggs in shell,Production,1996,486000,t,iran-data-portal-chicken-egg,1375,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,poultry_meat__production,"Meat, chicken",Production,2001,885000,t,iran-data-portal-chicken-egg,1380,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,eggs__production,Hen eggs in shell,Production,2001,581000,t,iran-data-portal-chicken-egg,1380,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,poultry_meat__production,"Meat, chicken",Production,2002,942000,t,iran-data-portal-chicken-egg,1381,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,eggs__production,Hen eggs in shell,Production,2002,547000,t,iran-data-portal-chicken-egg,1381,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,poultry_meat__production,"Meat, chicken",Production,2003,1104000,t,iran-data-portal-chicken-egg,1382,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,eggs__production,Hen eggs in shell,Production,2003,629000,t,iran-data-portal-chicken-egg,1382,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,poultry_meat__production,"Meat, chicken",Production,2004,1152000,t,iran-data-portal-chicken-egg,1383,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,eggs__production,Hen eggs in shell,Production,2004,655000,t,iran-data-portal-chicken-egg,1383,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,poultry_meat__production,"Meat, chicken",Production,2005,1237000,t,iran-data-portal-chicken-egg,1384,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,eggs__production,Hen eggs in shell,Production,2005,759000,t,iran-data-portal-chicken-egg,1384,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,poultry_meat__production,"Meat, chicken",Production,2006,1360000,t,iran-data-portal-chicken-egg,1385,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,eggs__production,Hen eggs in shell,Production,2006,677000,t,iran-data-portal-chicken-egg,1385,National total. Source: Centre for Rural Researches and Agricultural Economy; Ministry of Jihad-e-Agriculture.
IRN,sheep__slaughtered_number,Sheep,Number slaughtered (authorized slaughterhouses),1991,7891000,head,iran-data-portal-livestock-slaughtered,1370,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_weight,Sheep,Carcass weight (authorized slaughterhouses),1991,154000,t,iran-data-portal-livestock-slaughtered,1370,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_number,Goats,Number slaughtered (authorized slaughterhouses),1991,2278000,head,iran-data-portal-livestock-slaughtered,1370,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_weight,Goats,Carcass weight (authorized slaughterhouses),1991,31000,t,iran-data-portal-livestock-slaughtered,1370,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_number,Cattle,Number slaughtered (authorized slaughterhouses),1991,1187000,head,iran-data-portal-livestock-slaughtered,1370,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_weight,Cattle,Carcass weight (authorized slaughterhouses),1991,144000,t,iran-data-portal-livestock-slaughtered,1370,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_number,Buffaloes,Number slaughtered (authorized slaughterhouses),1991,55000,head,iran-data-portal-livestock-slaughtered,1370,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_weight,Buffaloes,Carcass weight (authorized slaughterhouses),1991,9000,t,iran-data-portal-livestock-slaughtered,1370,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_number,Camels,Number slaughtered (authorized slaughterhouses),1991,18000,head,iran-data-portal-livestock-slaughtered,1370,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_weight,Camels,Carcass weight (authorized slaughterhouses),1991,4000,t,iran-data-portal-livestock-slaughtered,1370,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_number,Sheep,Number slaughtered (authorized slaughterhouses),1996,7946000,head,iran-data-portal-livestock-slaughtered,1375,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_weight,Sheep,Carcass weight (authorized slaughterhouses),1996,149000,t,iran-data-portal-livestock-slaughtered,1375,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_number,Goats,Number slaughtered (authorized slaughterhouses),1996,2030000,head,iran-data-portal-livestock-slaughtered,1375,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_weight,Goats,Carcass weight (authorized slaughterhouses),1996,27000,t,iran-data-portal-livestock-slaughtered,1375,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_number,Cattle,Number slaughtered (authorized slaughterhouses),1996,1205000,head,iran-data-portal-livestock-slaughtered,1375,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_weight,Cattle,Carcass weight (authorized slaughterhouses),1996,166000,t,iran-data-portal-livestock-slaughtered,1375,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_number,Buffaloes,Number slaughtered (authorized slaughterhouses),1996,65000,head,iran-data-portal-livestock-slaughtered,1375,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_weight,Buffaloes,Carcass weight (authorized slaughterhouses),1996,10000,t,iran-data-portal-livestock-slaughtered,1375,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_number,Camels,Number slaughtered (authorized slaughterhouses),1996,20000,head,iran-data-portal-livestock-slaughtered,1375,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_weight,Camels,Carcass weight (authorized slaughterhouses),1996,4000,t,iran-data-portal-livestock-slaughtered,1375,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_number,Sheep,Number slaughtered (authorized slaughterhouses),2001,8743000,head,iran-data-portal-livestock-slaughtered,1380,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_weight,Sheep,Carcass weight (authorized slaughterhouses),2001,141000,t,iran-data-portal-livestock-slaughtered,1380,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_number,Goats,Number slaughtered (authorized slaughterhouses),2001,2264000,head,iran-data-portal-livestock-slaughtered,1380,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_weight,Goats,Carcass weight (authorized slaughterhouses),2001,29000,t,iran-data-portal-livestock-slaughtered,1380,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_number,Cattle,Number slaughtered (authorized slaughterhouses),2001,1645000,head,iran-data-portal-livestock-slaughtered,1380,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_weight,Cattle,Carcass weight (authorized slaughterhouses),2001,228000,t,iran-data-portal-livestock-slaughtered,1380,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_number,Buffaloes,Number slaughtered (authorized slaughterhouses),2001,50000,head,iran-data-portal-livestock-slaughtered,1380,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_weight,Buffaloes,Carcass weight (authorized slaughterhouses),2001,8000,t,iran-data-portal-livestock-slaughtered,1380,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_number,Camels,Number slaughtered (authorized slaughterhouses),2001,67000,head,iran-data-portal-livestock-slaughtered,1380,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_weight,Camels,Carcass weight (authorized slaughterhouses),2001,13000,t,iran-data-portal-livestock-slaughtered,1380,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_number,Sheep,Number slaughtered (authorized slaughterhouses),2002,7793000,head,iran-data-portal-livestock-slaughtered,1381,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_weight,Sheep,Carcass weight (authorized slaughterhouses),2002,130000,t,iran-data-portal-livestock-slaughtered,1381,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_number,Goats,Number slaughtered (authorized slaughterhouses),2002,2401000,head,iran-data-portal-livestock-slaughtered,1381,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_weight,Goats,Carcass weight (authorized slaughterhouses),2002,31000,t,iran-data-portal-livestock-slaughtered,1381,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_number,Cattle,Number slaughtered (authorized slaughterhouses),2002,1489000,head,iran-data-portal-livestock-slaughtered,1381,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_weight,Cattle,Carcass weight (authorized slaughterhouses),2002,214000,t,iran-data-portal-livestock-slaughtered,1381,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_number,Buffaloes,Number slaughtered (authorized slaughterhouses),2002,39000,head,iran-data-portal-livestock-slaughtered,1381,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_weight,Buffaloes,Carcass weight (authorized slaughterhouses),2002,6000,t,iran-data-portal-livestock-slaughtered,1381,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_number,Camels,Number slaughtered (authorized slaughterhouses),2002,73000,head,iran-data-portal-livestock-slaughtered,1381,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_weight,Camels,Carcass weight (authorized slaughterhouses),2002,14000,t,iran-data-portal-livestock-slaughtered,1381,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_number,Sheep,Number slaughtered (authorized slaughterhouses),2003,6731000,head,iran-data-portal-livestock-slaughtered,1382,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_weight,Sheep,Carcass weight (authorized slaughterhouses),2003,115000,t,iran-data-portal-livestock-slaughtered,1382,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_number,Goats,Number slaughtered (authorized slaughterhouses),2003,2263000,head,iran-data-portal-livestock-slaughtered,1382,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_weight,Goats,Carcass weight (authorized slaughterhouses),2003,29000,t,iran-data-portal-livestock-slaughtered,1382,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_number,Cattle,Number slaughtered (authorized slaughterhouses),2003,1279000,head,iran-data-portal-livestock-slaughtered,1382,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_weight,Cattle,Carcass weight (authorized slaughterhouses),2003,198000,t,iran-data-portal-livestock-slaughtered,1382,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_number,Buffaloes,Number slaughtered (authorized slaughterhouses),2003,39000,head,iran-data-portal-livestock-slaughtered,1382,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_weight,Buffaloes,Carcass weight (authorized slaughterhouses),2003,6000,t,iran-data-portal-livestock-slaughtered,1382,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_number,Camels,Number slaughtered (authorized slaughterhouses),2003,46000,head,iran-data-portal-livestock-slaughtered,1382,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_weight,Camels,Carcass weight (authorized slaughterhouses),2003,9000,t,iran-data-portal-livestock-slaughtered,1382,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_number,Sheep,Number slaughtered (authorized slaughterhouses),2004,7637000,head,iran-data-portal-livestock-slaughtered,1383,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_weight,Sheep,Carcass weight (authorized slaughterhouses),2004,131000,t,iran-data-portal-livestock-slaughtered,1383,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_number,Goats,Number slaughtered (authorized slaughterhouses),2004,2331000,head,iran-data-portal-livestock-slaughtered,1383,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_weight,Goats,Carcass weight (authorized slaughterhouses),2004,31000,t,iran-data-portal-livestock-slaughtered,1383,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_number,Cattle,Number slaughtered (authorized slaughterhouses),2004,1323000,head,iran-data-portal-livestock-slaughtered,1383,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_weight,Cattle,Carcass weight (authorized slaughterhouses),2004,207000,t,iran-data-portal-livestock-slaughtered,1383,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_number,Buffaloes,Number slaughtered (authorized slaughterhouses),2004,46000,head,iran-data-portal-livestock-slaughtered,1383,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_weight,Buffaloes,Carcass weight (authorized slaughterhouses),2004,7000,t,iran-data-portal-livestock-slaughtered,1383,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_number,Camels,Number slaughtered (authorized slaughterhouses),2004,26000,head,iran-data-portal-livestock-slaughtered,1383,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_weight,Camels,Carcass weight (authorized slaughterhouses),2004,5000,t,iran-data-portal-livestock-slaughtered,1383,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_number,Sheep,Number slaughtered (authorized slaughterhouses),2005,8590000,head,iran-data-portal-livestock-slaughtered,1384,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_weight,Sheep,Carcass weight (authorized slaughterhouses),2005,145000,t,iran-data-portal-livestock-slaughtered,1384,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_number,Goats,Number slaughtered (authorized slaughterhouses),2005,2555000,head,iran-data-portal-livestock-slaughtered,1384,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_weight,Goats,Carcass weight (authorized slaughterhouses),2005,35000,t,iran-data-portal-livestock-slaughtered,1384,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_number,Cattle,Number slaughtered (authorized slaughterhouses),2005,1511000,head,iran-data-portal-livestock-slaughtered,1384,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_weight,Cattle,Carcass weight (authorized slaughterhouses),2005,237000,t,iran-data-portal-livestock-slaughtered,1384,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_number,Buffaloes,Number slaughtered (authorized slaughterhouses),2005,54000,head,iran-data-portal-livestock-slaughtered,1384,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_weight,Buffaloes,Carcass weight (authorized slaughterhouses),2005,8000,t,iran-data-portal-livestock-slaughtered,1384,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_number,Camels,Number slaughtered (authorized slaughterhouses),2005,19000,head,iran-data-portal-livestock-slaughtered,1384,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_weight,Camels,Carcass weight (authorized slaughterhouses),2005,4000,t,iran-data-portal-livestock-slaughtered,1384,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_number,Sheep,Number slaughtered (authorized slaughterhouses),2006,9870000,head,iran-data-portal-livestock-slaughtered,1385,Source: Statistical Centre of Iran.
IRN,sheep__slaughtered_weight,Sheep,Carcass weight (authorized slaughterhouses),2006,166000,t,iran-data-portal-livestock-slaughtered,1385,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_number,Goats,Number slaughtered (authorized slaughterhouses),2006,2914000,head,iran-data-portal-livestock-slaughtered,1385,Source: Statistical Centre of Iran.
IRN,goats__slaughtered_weight,Goats,Carcass weight (authorized slaughterhouses),2006,39000,t,iran-data-portal-livestock-slaughtered,1385,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_number,Cattle,Number slaughtered (authorized slaughterhouses),2006,1518000,head,iran-data-portal-livestock-slaughtered,1385,Source: Statistical Centre of Iran.
IRN,cattle__slaughtered_weight,Cattle,Carcass weight (authorized slaughterhouses),2006,246000,t,iran-data-portal-livestock-slaughtered,1385,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_number,Buffaloes,Number slaughtered (authorized slaughterhouses),2006,46000,head,iran-data-portal-livestock-slaughtered,1385,Source: Statistical Centre of Iran.
IRN,buffaloes__slaughtered_weight,Buffaloes,Carcass weight (authorized slaughterhouses),2006,7000,t,iran-data-portal-livestock-slaughtered,1385,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_number,Camels,Number slaughtered (authorized slaughterhouses),2006,27000,head,iran-data-portal-livestock-slaughtered,1385,Source: Statistical Centre of Iran.
IRN,camels__slaughtered_weight,Camels,Carcass weight (authorized slaughterhouses),2006,5000,t,iran-data-portal-livestock-slaughtered,1385,Source: Statistical Centre of Iran.
