category,commodity_slug,year,faostat_value_t,iran_official_value_t,diff_pct
crop,corn_maize,2010,1656995.9,2145000.0,29.45
crop,corn_maize,2011,1907007.0,2390000.0,25.33
crop,corn_maize,2012,1798000.0,2054000.0,14.24
crop,corn_maize,2013,1851999.0,1852000.0,0.0
crop,corn_maize,2014,1658874.6,1169000.0,-29.53
crop,corn_maize,2015,1168629.0,1171000.0,0.2
crop,corn_maize,2016,1170587.0,1069000.0,-8.68
crop,corn_maize,2017,693510.0,946000.0,36.41
crop,corn_maize,2018,608898.4,1101000.0,80.82
crop,corn_maize,2019,649747.8,1089000.0,67.6
crop,corn_maize,2020,563635.9,668000.0,18.52
crop,corn_maize,2021,437879.0,1136000.0,159.43
crop,cotton,1999,440766.9,441000.0,0.05
crop,cotton,2000,497123.9,497000.0,-0.02
crop,cotton,2001,411579.8,412000.0,0.1
crop,cotton,2002,345437.4,345000.0,-0.13
crop,cotton,2003,351777.0,300000.0,-14.72
crop,cotton,2004,420226.0,430000.0,2.33
crop,cotton,2005,363460.0,400000.0,10.05
crop,cotton,2006,283673.0,284000.0,0.12
crop,cotton,2007,312966.5,270000.0,-13.73
crop,cotton,2008,295684.0,294100.0,-0.54
crop,cotton,2009,253604.0,254000.0,0.16
crop,cotton,2010,167426.2,167000.0,-0.25
crop,cotton,2011,270810.0,357000.0,31.83
crop,cotton,2012,210000.0,337000.0,60.48
crop,cotton,2013,189595.0,190000.0,0.21
crop,cotton,2014,183997.2,175000.0,-4.89
crop,cotton,2015,175456.0,161000.0,-8.24
crop,cotton,2016,161163.0,180000.0,11.69
crop,cotton,2017,145971.0,165000.0,13.04
crop,cotton,2018,125474.2,229000.0,82.51
crop,cotton,2019,130000.0,278000.0,113.85
crop,cotton,2020,110000.0,219000.0,99.09
crop,cotton,2021,139563.0,374000.0,167.98
crop,grapes,2010,2369026.8,3073000.0,29.72
crop,grapes,2011,2426031.3,3537000.0,45.79
crop,grapes,2012,2389500.8,2422000.0,1.36
crop,grapes,2013,2753659.3,2651000.0,-3.73
crop,grapes,2014,2251551.0,3167000.0,40.66
crop,grapes,2015,2400000.0,3450000.0,43.75
crop,grapes,2016,1866340.0,3192000.0,71.03
crop,grapes,2017,1765538.0,3031000.0,71.68
crop,grapes,2018,1915050.2,3332000.0,73.99
crop,grapes,2019,1945930.5,3390000.0,74.21
crop,grapes,2020,1830192.5,2775000.0,51.62
crop,grapes,2021,1614554.5,3139000.0,94.42
crop,onions,1999,1676896.0,1677000.0,0.01
crop,onions,2000,1343588.0,1344000.0,0.03
crop,onions,2001,1419296.0,1419000.0,-0.02
crop,onions,2002,1528853.1,1529000.0,0.01
crop,onions,2003,1573812.0,1500000.0,-4.69
crop,onions,2004,1626885.0,1620000.0,-0.42
crop,onions,2005,1685450.0,1580000.0,-6.26
crop,onions,2006,2038363.0,2038000.0,-0.02
crop,onions,2007,2013564.0,2150000.0,6.78
crop,onions,2008,1851007.8,1848500.0,-0.14
crop,onions,2009,1529995.9,1512000.0,-1.18
crop,onions,2010,1929001.2,1923000.0,-0.31
crop,onions,2011,2173002.0,1966000.0,-9.53
crop,onions,2012,1938000.0,2376000.0,22.6
crop,onions,2013,2050000.0,2050000.0,0.0
crop,onions,2014,2065502.3,2426000.0,17.45
crop,onions,2015,2426050.0,2401000.0,-1.03
crop,onions,2016,2400585.0,2305000.0,-3.98
crop,onions,2017,1700943.0,2421000.0,42.33
crop,onions,2018,1517677.3,2880000.0,89.76
crop,onions,2019,1980683.3,3335000.0,68.38
crop,onions,2020,2127630.9,2453000.0,15.29
crop,onions,2021,2365544.2,2567000.0,8.52
crop,pistachios,1999,131171.8,131000.0,-0.13
crop,pistachios,2000,284454.0,304000.0,6.87
crop,pistachios,2001,112432.4,112000.0,-0.38
crop,pistachios,2002,248665.0,249000.0,0.13
crop,pistachios,2003,235162.9,233000.0,-0.92
crop,pistachios,2004,184897.9,183000.0,-1.03
crop,pistachios,2005,229657.0,150000.0,-34.69
crop,pistachios,2006,319827.1,250000.0,-21.83
crop,pistachios,2007,378029.7,315000.0,-16.67
crop,pistachios,2008,165073.0,154100.0,-6.65
crop,pistachios,2009,184073.0,230400.0,25.17
crop,pistachios,2010,216000.0,347000.0,60.65
crop,pistachios,2011,157000.0,358000.0,128.03
crop,pistachios,2012,183001.0,183000.0,-0.0
crop,pistachios,2013,225000.6,176000.0,-21.78
crop,pistachios,2014,440814.0,261000.0,-40.79
crop,pistachios,2015,430000.0,304000.0,-29.3
crop,pistachios,2016,574987.0,317000.0,-44.87
crop,pistachios,2017,648934.0,173000.0,-73.34
crop,pistachios,2018,143695.4,337000.0,134.52
crop,pistachios,2019,337815.4,387000.0,14.56
crop,pistachios,2020,190000.0,360000.0,89.47
crop,pistachios,2021,429908.5,287000.0,-33.24
crop,potatoes,1999,3433109.0,3433000.0,-0.0
crop,potatoes,2000,3658035.0,3658000.0,-0.0
crop,potatoes,2001,3485814.0,3419000.0,-1.92
crop,potatoes,2002,3755804.1,3756000.0,0.01
crop,potatoes,2003,4210637.0,4180000.0,-0.73
crop,potatoes,2004,4453789.0,4600000.0,3.28
crop,potatoes,2005,4830124.1,4300000.0,-10.98
crop,potatoes,2006,4218522.0,4219000.0,0.01
crop,potatoes,2007,4026412.0,4370000.0,8.53
crop,potatoes,2008,4733001.6,4640200.0,-1.96
crop,potatoes,2009,4109012.9,4108000.0,-0.02
crop,potatoes,2010,4275000.8,4274000.0,-0.02
crop,potatoes,2011,4708003.0,4656000.0,-1.1
crop,potatoes,2012,5069000.0,5632000.0,11.11
crop,potatoes,2013,4597631.0,4598000.0,0.01
crop,potatoes,2014,4988655.4,5141000.0,3.05
crop,potatoes,2015,5140623.0,4995000.0,-2.83
crop,potatoes,2016,4995327.0,5019000.0,0.47
crop,potatoes,2017,4117462.0,5143000.0,24.91
crop,potatoes,2018,3574933.7,5237000.0,46.49
crop,potatoes,2019,3562728.4,5637000.0,58.22
crop,potatoes,2020,3459515.4,3912000.0,13.08
crop,potatoes,2021,3214971.4,4687000.0,45.79
crop,rice,1999,2348241.0,2348000.0,-0.01
crop,rice,2000,1972504.8,1971000.0,-0.08
crop,rice,2001,1990223.0,1990000.0,-0.01
crop,rice,2002,2887541.1,2888000.0,0.02
crop,rice,2003,2931138.0,3100000.0,5.76
crop,rice,2004,2542443.0,3100000.0,21.93
crop,rice,2005,2736843.0,3100000.0,13.27
crop,rice,2006,2612175.0,2612000.0,-0.01
crop,rice,2007,2664237.0,3343000.0,25.48
crop,rice,2008,2070002.6,2184000.0,5.51
crop,rice,2009,2137005.7,2253000.0,5.43
crop,rice,2010,2489998.6,3013000.0,21.0
crop,rice,2011,1893013.0,3437000.0,81.56
crop,rice,2012,2360000.0,2791000.0,18.26
crop,rice,2013,2449995.0,2450000.0,0.0
crop,rice,2014,2347290.5,2348000.0,0.03
crop,rice,2015,2347701.0,2921000.0,24.42
crop,rice,2016,2921046.0,3206000.0,9.76
crop,rice,2017,3206100.0,3106000.0,-3.12
crop,rice,2018,3106400.0,4422000.0,42.35
crop,rice,2019,4422300.0,4561000.0,3.14
crop,rice,2020,4560700.0,3033000.0,-33.5
crop,rice,2021,3032900.0,3629000.0,19.65
crop,sugar_beet,1999,5548282.0,5548000.0,-0.01
crop,sugar_beet,2000,4332172.0,4332000.0,-0.0
crop,sugar_beet,2001,4649017.0,4648000.0,-0.02
crop,sugar_beet,2002,6097532.0,6098000.0,0.01
crop,sugar_beet,2003,5933174.0,6000000.0,1.13
crop,sugar_beet,2004,4916336.0,4900000.0,-0.33
crop,sugar_beet,2005,4902387.0,5100000.0,4.03
crop,sugar_beet,2006,6709112.5,6709000.0,-0.0
crop,sugar_beet,2007,5407236.0,4200000.0,-22.33
crop,sugar_beet,2008,1713654.3,1829300.0,6.75
crop,sugar_beet,2009,2014908.8,2041000.0,1.29
crop,sugar_beet,2010,3866498.6,4096000.0,5.94
crop,sugar_beet,2011,4702825.0,4578000.0,-2.65
crop,sugar_beet,2012,4069845.0,4655000.0,14.38
crop,sugar_beet,2013,3467395.0,3467000.0,-0.01
crop,sugar_beet,2014,4730995.4,5594000.0,18.24
crop,sugar_beet,2015,5594240.0,5966000.0,6.65
crop,sugar_beet,2016,5965628.0,8080000.0,35.44
crop,sugar_beet,2017,8388452.0,7394000.0,-11.86
crop,sugar_beet,2018,6290598.8,3834000.0,-39.05
crop,sugar_beet,2019,5473363.2,5607000.0,2.44
crop,sugar_beet,2020,5432626.3,6522000.0,20.05
crop,sugar_beet,2021,5435172.4,7467000.0,37.38
crop,sugar_cane,1999,2235934.0,2236000.0,0.0
crop,sugar_cane,2000,2367015.0,2367000.0,-0.0
crop,sugar_cane,2001,3195431.0,3195000.0,-0.01
crop,sugar_cane,2002,3712429.2,3712000.0,-0.01
crop,sugar_cane,2003,5196000.0,6200000.0,19.32
crop,sugar_cane,2004,5910996.6,6100000.0,3.2
crop,sugar_cane,2005,5530425.0,6450000.0,16.63
crop,sugar_cane,2006,4959391.0,4959000.0,-0.01
crop,sugar_cane,2007,5314825.0,5312000.0,-0.05
crop,sugar_cane,2008,3822682.6,3097500.0,-18.97
crop,sugar_cane,2009,2821883.2,3035000.0,7.55
crop,sugar_cane,2010,5647794.7,5685000.0,0.66
crop,sugar_cane,2011,5643371.0,6500000.0,15.18
crop,sugar_cane,2012,5361416.0,5378000.0,0.31
crop,sugar_cane,2013,6536976.0,6537000.0,0.0
crop,sugar_cane,2014,6588634.1,7407000.0,12.42
crop,sugar_cane,2015,7406990.0,7480000.0,0.99
crop,sugar_cane,2016,7479606.0,7800000.0,4.28
crop,sugar_cane,2017,7631923.0,5100000.0,-33.18
crop,sugar_cane,2018,9100206.3,4569000.0,-49.79
crop,sugar_cane,2019,8572287.4,7751000.0,-9.58
crop,sugar_cane,2020,8256209.0,5925000.0,-28.24
crop,sugar_cane,2021,7840012.2,6092000.0,-22.3
crop,tea,1999,275381.0,275000.0,-0.14
crop,tea,2000,222652.5,223000.0,0.16
crop,tea,2001,228393.3,228000.0,-0.17
crop,tea,2002,212538.2,213000.0,0.22
crop,tea,2004,134179.0,130000.0,-3.11
crop,tea,2012,103890.0,97000.0,-6.63
crop,tea,2013,97474.8,72000.0,-26.13
crop,tea,2014,72277.0,88000.0,21.75
crop,tea,2015,196957.0,144000.0,-26.89
crop,tea,2016,123662.4,108000.0,-12.67
crop,tea,2017,100580.0,113000.0,12.35
crop,tea,2018,99245.0,129000.0,29.98
crop,tea,2019,90832.3,132000.0,45.32
crop,tea,2020,94075.1,176000.0,87.08
crop,tea,2021,113899.0,179000.0,57.16
crop,tobacco,1999,22313.0,22000.0,-1.4
crop,tobacco,2000,20980.0,21000.0,0.1
crop,tobacco,2001,19849.0,20000.0,0.76
crop,tobacco,2002,26743.2,27000.0,0.96
crop,tobacco,2004,12521.0,26000.0,107.65
crop,tobacco,2005,22180.0,14000.0,-36.88
crop,tobacco,2006,15479.0,16000.0,3.37
crop,tobacco,2008,16703.0,16700.0,-0.02
crop,tobacco,2009,8826.0,11000.0,24.63
crop,tobacco,2010,14145.0,14000.0,-1.03
crop,tobacco,2012,19884.0,20000.0,0.58
crop,tobacco,2013,18927.0,19000.0,0.39
crop,tobacco,2014,19038.9,24000.0,26.06
crop,tobacco,2015,23586.0,21000.0,-10.96
crop,tobacco,2016,21000.0,19000.0,-9.52
crop,tobacco,2017,21208.3,19000.0,-10.41
crop,tobacco,2018,21931.4,25000.0,13.99
crop,tobacco,2019,21379.9,26000.0,21.61
crop,tobacco,2020,21506.5,10000.0,-53.5
crop,tobacco,2021,21606.0,21000.0,-2.8
crop,wheat,1999,8673197.0,8673000.0,-0.0
crop,wheat,2000,8087756.0,8088000.0,0.0
crop,wheat,2001,9458618.0,9453000.0,-0.06
crop,wheat,2002,12450241.5,12450000.0,-0.0
crop,wheat,2003,13439565.0,13500000.0,0.45
crop,wheat,2004,14568481.0,14000000.0,-3.9
crop,wheat,2005,14307970.0,15000000.0,4.84
crop,wheat,2006,14663745.0,14664000.0,0.0
crop,wheat,2007,15886608.5,15886000.0,-0.0
crop,wheat,2008,6999977.4,7956600.0,13.67
crop,wheat,2009,12093027.5,13484500.0,11.51
crop,wheat,2010,12142987.9,13500000.0,11.18
crop,wheat,2011,8677966.0,15098000.0,73.98
crop,wheat,2012,8816001.0,13205000.0,49.78
crop,wheat,2013,9304246.0,9304000.0,-0.0
crop,wheat,2014,10578698.6,11522000.0,8.92
crop,wheat,2015,11522318.0,14592000.0,26.64
crop,wheat,2016,14592003.0,12400000.0,-15.02
crop,wheat,2017,12400000.0,13300000.0,7.26
crop,wheat,2018,13300000.0,13715000.0,3.12
crop,wheat,2019,13715300.0,13541000.0,-1.27
crop,wheat,2020,13540500.0,11132000.0,-17.79
crop,wheat,2021,11132000.0,13284000.0,19.33
livestock,eggs,1996,486400.0,486000.0,-0.08
livestock,eggs,1997,470000.0,470000.0,0.0
livestock,eggs,1998,498000.0,625000.0,25.5
livestock,eggs,1999,493000.0,570000.0,15.62
livestock,eggs,2000,580000.0,580000.0,0.0
livestock,eggs,2001,581000.0,581000.0,0.0
livestock,eggs,2002,547000.0,547000.0,0.0
livestock,eggs,2003,629000.0,629000.0,0.0
livestock,eggs,2004,655000.0,655000.0,0.0
livestock,eggs,2005,759000.0,758000.0,-0.13
livestock,eggs,2006,677000.0,677000.0,0.0
livestock,eggs,2007,703000.0,703000.0,0.0
livestock,eggs,2008,727000.0,727000.0,0.0
livestock,eggs,2009,751000.0,751000.0,0.0
livestock,eggs,2010,767000.0,767000.0,0.0
livestock,eggs,2011,700000.0,700000.0,0.0
livestock,eggs,2012,913000.0,913000.0,0.0
livestock,eggs,2013,893000.0,893000.0,0.0
livestock,eggs,2014,761364.0,925000.0,21.49
livestock,eggs,2015,777119.0,931000.0,19.8
livestock,eggs,2016,810000.0,940000.0,16.05
livestock,eggs,2017,673689.0,888000.0,31.81
livestock,eggs,2018,723600.0,901000.0,24.52
livestock,eggs,2019,869421.0,514900.0,-40.78
livestock,eggs,2020,755570.0,6800.0,-99.1
livestock,eggs,2021,782863.7,8700.0,-98.89
livestock,eggs,2022,802618.2,7500.0,-99.07
livestock,honey,2004,28700.0,29000.0,1.05
livestock,honey,2005,34800.0,35000.0,0.57
livestock,honey,2006,36000.0,36000.0,0.0
livestock,honey,2007,47000.0,47000.0,0.0
livestock,honey,2008,40700.0,41000.0,0.74
livestock,honey,2009,46400.0,46000.0,-0.86
livestock,honey,2010,45000.0,45000.0,0.0
livestock,honey,2011,50700.0,51000.0,0.59
livestock,honey,2012,71100.0,71000.0,-0.14
livestock,honey,2013,74600.0,75000.0,0.54
livestock,honey,2014,77800.0,78000.0,0.26
livestock,honey,2015,72865.8,77000.0,5.67
livestock,honey,2016,67783.0,82000.0,20.97
livestock,honey,2017,72205.8,88000.0,21.87
livestock,honey,2018,73285.7,90000.0,22.81
livestock,honey,2019,72423.7,68650.0,-5.21
livestock,honey,2020,73946.4,2400.0,-96.75
livestock,honey,2021,74624.2,700.0,-99.06
livestock,honey,2022,76266.8,21400.0,-71.94
livestock,milk,1996,4819009.0,4705000.0,-2.37
livestock,milk,1997,4895000.0,4895000.0,0.0
livestock,milk,1998,5125000.0,5105000.0,-0.39
livestock,milk,1999,5520230.0,5564000.0,0.79
livestock,milk,2000,5889170.0,5623000.0,-4.52
livestock,milk,2001,6012830.0,5748000.0,-4.4
livestock,milk,2002,5877000.0,5877000.0,0.0
livestock,milk,2003,6316000.0,6316000.0,0.0
livestock,milk,2004,6720000.0,6720000.0,0.0
livestock,milk,2005,7179000.0,7179000.0,0.0
livestock,milk,2006,7741000.0,7741000.0,0.0
livestock,milk,2007,8251000.0,8251000.0,0.0
livestock,milk,2008,7024000.0,8772000.0,24.89
livestock,milk,2009,7204000.0,8378000.0,16.3
livestock,milk,2010,7438000.0,7438000.0,0.0
livestock,milk,2011,7686000.0,7686000.0,0.0
livestock,milk,2012,7952000.0,7951000.0,-0.01
livestock,milk,2013,8268000.0,8268000.0,0.0
livestock,milk,2014,8800000.0,8800000.0,0.0
livestock,milk,2015,6413198.0,9140000.0,42.52
livestock,milk,2016,6755598.4,9653000.0,42.89
livestock,milk,2017,7700825.0,10184000.0,32.25
livestock,milk,2018,7531857.0,10589000.0,40.59
livestock,milk,2019,7535691.8,5536000.0,-26.54
livestock,milk,2020,8344029.2,70500.0,-99.16
livestock,milk,2021,8791257.8,69400.0,-99.21
livestock,milk,2022,8335310.8,70600.0,-99.15
livestock,poultry_meat,1996,650000.0,676000.0,4.0
livestock,poultry_meat,1997,712000.0,712000.0,0.0
livestock,poultry_meat,1998,696000.0,720000.0,3.45
livestock,poultry_meat,1999,725000.0,725000.0,0.0
livestock,poultry_meat,2000,803000.0,803000.0,0.0
livestock,poultry_meat,2001,885000.0,885000.0,0.0
livestock,poultry_meat,2002,942000.0,942000.0,0.0
livestock,poultry_meat,2003,1104000.0,1104000.0,0.0
livestock,poultry_meat,2004,1152000.0,1152000.0,0.0
livestock,poultry_meat,2005,1237000.0,1237000.0,0.0
livestock,poultry_meat,2006,1360000.0,1360000.0,0.0
livestock,poultry_meat,2007,1468000.0,1468000.0,0.0
livestock,poultry_meat,2008,1565000.0,1565000.0,0.0
livestock,poultry_meat,2009,1610000.0,1610000.0,0.0
livestock,poultry_meat,2010,1666000.0,1666000.0,0.0
livestock,poultry_meat,2011,1783000.0,1783000.0,0.0
livestock,poultry_meat,2012,1871000.0,1871000.0,0.0
livestock,poultry_meat,2013,1967000.0,1967000.0,0.0
livestock,poultry_meat,2014,2033000.0,2033000.0,0.0
livestock,poultry_meat,2015,2122000.0,2122000.0,0.0
livestock,poultry_meat,2016,2069500.0,2069000.0,-0.02
livestock,poultry_meat,2017,2237000.0,2237000.0,0.0
livestock,poultry_meat,2018,2355000.0,2355000.0,0.0
livestock,poultry_meat,2019,2331967.7,1375200.0,-41.03
livestock,poultry_meat,2020,2430450.0,16500.0,-99.32
livestock,poultry_meat,2021,2106293.0,16800.0,-99.2
livestock,poultry_meat,2022,2089644.0,15700.0,-99.25
livestock,red_meat,1996,705946.0,685000.0,-2.97
livestock,red_meat,1997,741223.0,720000.0,-2.86
livestock,red_meat,1998,760791.0,763000.0,0.29
livestock,red_meat,1999,698660.0,721000.0,3.2
livestock,red_meat,2000,728666.0,729000.0,0.05
livestock,red_meat,2001,742720.0,743000.0,0.04
livestock,red_meat,2002,810104.0,742000.0,-8.41
livestock,red_meat,2003,751773.0,752000.0,0.03
livestock,red_meat,2004,785000.0,785000.0,0.0
livestock,red_meat,2005,800000.0,800000.0,0.0
livestock,red_meat,2006,829000.0,829000.0,0.0
livestock,red_meat,2007,866000.0,866000.0,0.0
livestock,red_meat,2008,690600.0,870000.0,25.98
livestock,red_meat,2009,702600.0,802500.0,14.22
livestock,red_meat,2010,737500.0,738000.0,0.07
livestock,red_meat,2011,740800.0,741000.0,0.03
livestock,red_meat,2012,747000.0,747000.0,0.0
livestock,red_meat,2013,755000.0,755000.0,0.0
livestock,red_meat,2014,785000.0,785000.0,0.0
livestock,red_meat,2015,723398.1,806000.0,11.42
livestock,red_meat,2016,665074.2,823000.0,23.75
livestock,red_meat,2017,542640.8,835000.0,53.88
livestock,red_meat,2018,417158.6,830000.0,98.97
livestock,red_meat,2019,321657.0,432250.0,34.38
livestock,red_meat,2020,441120.0,5500.0,-98.75
livestock,red_meat,2021,624592.0,5700.0,-99.09
livestock,red_meat,2022,598342.0,5500.0,-99.08
