chart_id,title,category,primary_source,alt_sources,underlying_codes,status,extends_chart_id,time_range,notes
frus__1973_76_foreign_investment_deal_pipeline,"Foreign Investment & Loan Deal-Flow Pipeline into Iran (IBRD, OECD, Pan Am)",Balance of Payments (Receipts),frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1973_76_oil_boom_era.csv|category=Foreign investment (25 rows),new,,1973-1976,"Deal-by-deal negotiation detail: IBRD loan under Treasury review, 30+ head-of-state/ministerial delegations seeking deals in a six-month span, the proposed $300M Iranian equity stake in Pan Am. WDI's BX.KLT.DINV is an aggregate annual FDI total, not deal-level detail -- new granularity regardless of period overlap."
frus__1973_76_trade_targets_historical_comparison,"Iran Trade-Volume Targets, Growth Citations & 1930-1976 Historical Comparison",Trade,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1973_76_oil_boom_era.csv|category=Trade (28 rows),new,,"c.1930, 1973-1976, 1983 (target)","AMBIGUOUS -- flagged for a future consolidation pass: roughly 4-6 of the 28 rows are actual-outturn import/export totals for 1974/1975/1976 that likely duplicate WDI's continuous NE.EXP.GNFS/NE.IMP.GNFS coverage for those years. The majority of the group is forward-looking 1983 trade targets and a unique c.1930-vs-1975-vs-1976 historical-comparison anchor WDI cannot provide, so the group is kept as one new row rather than split without a row-level read."
frus__1973_76_gnp_targets_comparator_growth,Iran's 1983 GNP & Per-Capita Income Targets + OECD/Japan Comparator Growth-Rate Citations,Macro / National Accounts,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1973_76_oil_boom_era.csv|category=Macro / National Accounts (11 rows),new,,"1973-1976, 1983 (target)","Forward-looking policy targets (the Shah's $190-193bn 1983 GNP target, $4,000 per-capita target) plus OECD/Japan comparator growth-rate citations -- distinct in kind from WDI's measured NY.GDP.* outturn series even where years nominally overlap."
frus__1973_76_inflation_and_import_prices,Iran & Comparator Inflation Citations + Specific Import Unit Prices (Sugar/Wheat/Vegetable Oil),Prices & Inflation,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1973_76_oil_boom_era.csv|category=Prices (19 rows),new,,1973-1976,"AMBIGUOUS -- flagged for a future consolidation pass: 3 of 19 rows (Iran's ~25% 1974 inflation rate, ~20-25% 1975 rate, ~35-40% purchasing-power erosion cited by the Shah) are the same underlying concept as wdi__FP.CPI.TOTL for years WDI's Iran CPI series already covers continuously -- a future pass could splice these onto that chart. The remaining ~16 rows (specific commodity import unit prices, OECD/Japan/Western inflation-contribution-of-oil citations) are genuinely new with no existing match, so the group as a whole is kept new."
frus__1973_76_demographics_population,"Iran Population, Literacy & Rural-Share Citations + Iraq/US-Resident Counts",Demographics & Population,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1973_76_oil_boom_era.csv|category=Demographics & Population (10 rows),new,,"1973-1975, 1983 (projected)","AMBIGUOUS -- flagged for a future consolidation pass: the 1973 rural-population-share and literacy-rate figures and the 1975 population-growth-rate figure are concepts WDI also tracks continuously for Iran and could plausibly extend those charts as corroborating alt-sources. The 1983 population projection is a forward target and the '~16,000 Americans resident in Iran' count is unique with no WDI equivalent. Kept as one new row given the small size (10 rows) and mixed content."
frus__1973_76_misc_smaller_categories,"Miscellaneous Smaller Economic Citation Categories (Manufacturing, Agriculture Targets, Metals/Minerals Targets, Labor & Employment, Iraq Land Use, Iraq Foreign-Exchange Reserves, Iran Borrowing Rate)",Other / Mixed,frus-iran,,"data/processed/frus_iran_economic_citations_series/frus_1973_76_oil_boom_era.csv|category in {Manufacturing,Agriculture,Metals & Minerals,Labor & Employment,External debt,Land Use,Foreign exchange} (7+3+4+6+1+1+1 = 23 rows)",new,,"1973-1976, 1983 (target)","Bundles 7 categories, each too thin individually for its own row. Metals & Minerals rows here are 1983 PRODUCTION TARGETS (steel/aluminum/copper) -- distinct in kind from the registry's already-present actual-production charts (iran_chromite_production_1961_1980, iran_copper_production_by_stage_1961_1980, etc.), so intentionally not merged with those as extends. Labor & Employment mixes an Iran skilled-labor-shortage estimate with Iraq military/labor-force/wage data (Iraq outside the project's core comparator set -- context only)."
cia_econ__shah_economy_overview_1974,"Pre-Revolution Shah's Economy Overview per CIA: GNP Growth, Fifth Plan Spending, Oil Outlook & Inequality",Macro / National Accounts,cia-iran-economy,,data/processed/cia_iran_economy_series/cia_iran_iraq_economic_assessments_1974_1988.csv|source_dataset=cia-shah-economy-overview-1974 (18 rows),new,,16 Oct 1974 (snapshot; some cumulative 1967-74 figures),"33%/40% GNP growth (1973/1974 expected), Fifth Plan spending expansion $23bn planned -> $45bn actual, ~$20bn/yr oil-revenue outlook, $8bn 1974 lending/investment commitments, $8bn cumulative 1967-73 arms spending, inflation acceleration 6% -> 11% -> 16% (1972-Q1 1974), top/bottom-20%-income-share inequality. A compact single-document snapshot -- CIA's own contemporaneous read on the boom, not an outturn series matching any existing chart."
cia_econ__iran_iraq_economic_balance_1986,"Iran-Iraq Economic Balance Under the 1986 Oil-Price Collapse (FX Earnings, Unemployment, Gulf Aid to Iraq)",Macro / National Accounts,cia-iran-economy,,data/processed/cia_iran_economy_series/cia_iran_iraq_economic_assessments_1974_1988.csv|source_dataset=cia-iran-iraq-economic-balance-1986 (37 rows),new,,"6 Jun 1986 (as of 1986, some 1985 comparison figures)",Iran's 50-55% real FX-earnings drop and $8.5bn 1986 FX-revenue estimate; 'false employment' plus unemployment estimated at 39% of a 12.3m labor force; Iraq's FX earnings falling $11.7bn(1985) -> $7.4bn(1986); Iraq's first-ever missed $120m France payment; up to $1bn in L/C defaults; $25bn cumulative Saudi/Kuwait aid to Iraq since the war began. This project's first primary-source coverage of the war's economic squeeze on both combatants simultaneously -- no existing chart_id captures this.
cia_econ__war_weary_demographic_macro_comparison_1988,"Iran vs. Iraq Wartime Demographic, Health & Macro Comparison",Demographics & Population,cia-iran-economy,,"data/processed/cia_iran_economy_series/cia_iran_iraq_economic_assessments_1974_1988.csv|source_dataset=cia-iran-iraq-war-weary-economies-1988 & category in {Demographics,Demographics & Population,Health,Social Protection,Macro / National Accounts} (24+9+2+2+7 = 44 rows)",new,,info as of 10 Nov 1988 (post-ceasefire); some 1978-88 trend figures,"Part of the full Table 1 side-by-side Iran/Iraq country comparison plus Tehran-ghetto housing statistics (two-thirds of families in single-room housing, 6,000 fires/year). Includes Iran's population surge (37m -> 52m, 1978-88). No existing chart_id attempts an Iran-Iraq side-by-side wartime demographic comparison."
cia_econ__war_weary_external_sector_comparison_1988,"Iran vs. Iraq Wartime External-Sector Comparison: Debt, FX, Trade & Oil",External Debt,cia-iran-economy,,"data/processed/cia_iran_economy_series/cia_iran_iraq_economic_assessments_1974_1988.csv|source_dataset=cia-iran-iraq-war-weary-economies-1988 & category in {External debt,Foreign exchange,Foreign aid,Trade,Oil production & trade,Balance of Payments (Net),Balance of Payments (misc)} (15+10+4+46+19+2+1 = 97 rows)",new,,info as of 10 Nov 1988 (post-ceasefire); some 1978-88 trend figures,"Iraq's $40bn non-Arab debt kept explicitly separate from $35bn Gulf-Arab soft debt per the source's own framing (never summed); Iran's oil-production-capacity halving (~6m -> ~3m b/d, 1978-88); the US-Iran trade collapse ($4bn/1978 -> $60m/1987 exports). Iraq is outside this project's core comparator-country list -- war-economics context, not a tracked Iraq indicator series. New topic regardless of time overlap."
cia_econ__war_weary_military_infra_govt_finance_1988,"Iran vs. Iraq Wartime Military, Infrastructure & Government-Finance Citations",Military Expenditure,cia-iran-economy,,"data/processed/cia_iran_economy_series/cia_iran_iraq_economic_assessments_1974_1988.csv|source_dataset=cia-iran-iraq-war-weary-economies-1988 & category in {Military expenditure,Infrastructure (Transport),Infrastructure & Technology,Energy,Government finance,Labor & Employment,Prices} (12+3+1+2+2+2+2 = 24 rows)",new,,info as of 10 Nov 1988 (post-ceasefire); some 1978-88 trend figures,Remaining smaller categories from the 1988 war-weary-economies document not covered by the demographic/macro or external-sector rows above.
cia_econ__gloomy_prospects_current_account_scenarios_1987,Iran & Iraq Current-Account Balance Under 1987 Oil-Price Scenarios ($18/$15/$10 per Barrel),Balance of Payments (Net),cia-iran-economy,,"data/processed/cia_iran_economy_series/cia_iran_iraq_economic_assessments_1974_1988.csv|source_dataset=cia-iran-iraq-gloomy-economic-prospects-1987 & category in {Balance of Payments (Net),Balance of Payments (misc)} (24+1 = 25 rows)",new,,1984-1987 (three 1987 oil-price scenarios: $18/$15/$10 per barrel),"AMBIGUOUS -- considered for extends against wdi__BN.CAB.XOKA (same underlying concept: current account balance; WDI's Iran BN.CAB.XOKA also has no data at all after 2000, confirmed against macro_wdi.csv) but kept new because these are three-scenario PROJECTIONS, not a measured outturn -- scenario-dependent by construction, fundamentally different in kind from a single reported value. A future pass could still splice the central/most-likely scenario onto the WDI chart if a downstream user wants one."
cia_econ__gloomy_prospects_trade_oil_1987,Iran/Iraq Trade & Oil-Export-Revenue Citations (incl. Iraq's Arab War Aid & OPEC Quota Dispute),Trade,cia-iran-economy,,"data/processed/cia_iran_economy_series/cia_iran_iraq_economic_assessments_1974_1988.csv|source_dataset=cia-iran-iraq-gloomy-economic-prospects-1987 & category in {Trade,Oil production & trade} (77+24 = 101 rows)",new,,"info as of 1 Apr 1987, published May 1987","Iraq's $33bn cumulative Arab war aid ($27bn from Saudi/Kuwait alone), Baghdad's OPEC-quota-parity dispute with Iran, plus detailed bilateral trade figures. Largest single category-group in the CIA war-era folder."
cia_econ__gloomy_prospects_iraq_debt_rescheduling_1987,Iraq's 1986 Debt-Rescheduling Agreements with 11 Creditors & 1987-1992 Repayment Schedule,External Debt,cia-iran-economy,,data/processed/cia_iran_economy_series/cia_iran_iraq_economic_assessments_1974_1988.csv|source_dataset=cia-iran-iraq-gloomy-economic-prospects-1987 & category=External debt (94 rows),new,,1986 agreements; 1987-1992 repayment schedule,"Creditor-by-creditor rescheduling terms (Table 2) plus Iraq's full 1987 foreign-payments balance (Table 4: requirements vs. revenues vs. the resulting $3.85bn financing gap) -- far finer granularity than any aggregate external-debt indicator, and Iraq-specific (outside core comparator set)."
cia_econ__gloomy_prospects_misc_1987,"Miscellaneous Smaller Categories: Foreign Aid, Foreign Exchange, Military Expenditure, Prices, Demographics, Labor, Infrastructure, Macro (1987 Doc)",Other / Mixed,cia-iran-economy,,"data/processed/cia_iran_economy_series/cia_iran_iraq_economic_assessments_1974_1988.csv|source_dataset=cia-iran-iraq-gloomy-economic-prospects-1987 & category in {Foreign aid,Foreign exchange,Military expenditure,Prices,Demographics & Population,Labor & Employment,Infrastructure & Technology,Macro / National Accounts} (17+10+5+6+1+1+1+2 = 43 rows)",new,,"info as of 1 Apr 1987, published May 1987","Bundles the remaining smaller categories from the 1987 gloomy-economic-prospects document not covered by the current-account-scenarios, trade/oil, or debt-rescheduling rows above."
nis33__land_use_irrigation_demographics,"Land Use, Irrigation & Demographics Baseline (Figure 4 Land-Utilization, Population)",Agriculture & Rural Development,cia-iran-economy,,"data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category in {Land Use,Demographics & Population} (39+4 = 43 rows)",new,,as of research cutoff Jan 1973,"Figure 4's two land-utilization pie charts (national land-use split) -- no general national land-utilization-survey chart exists elsewhere in the registry (the existing dam-related charts are project-specific, not a national land-use split)."
nis33__crop_livestock_production_opium,"Crop Production, Livestock Population & Opium Poppy Cultivation by Province",Agriculture Production,cia-iran-economy,,data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category=Agriculture (134 rows),new,,1961/62-1972 (crop production 1961/62-1971/72; opium output ramp-up 1969-1972 after the 1955-1969 ban; livestock population as of survey date),"AMBIGUOUS -- flagged for a future pass: crop-production figures (Figures 10/11) likely overlap FAOSTAT's Iran QCL coverage (which also starts 1961) concept- and year-wise for at least some commodities, but this is a multi-commodity table, not a single chart-mappable series, so kept as one new row rather than guessed apart. Opium poppy cultivation by province (Figure 12 -- Iran was one of three major legal opium producers alongside India and the USSR) is genuinely unique: FAOSTAT does not track illicit/licit-opium crops at all."
nis33__petroleum_revenue_series_1959_71,"Petroleum Revenue, Complete Annual Series",Government Finance,cia-iran-economy,,"data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category=Oil production & trade, subset (Figure 28 revenue table; exact row count not separately broken out by the category field -- filter subcategory text for 'petroleum revenue' or 'Figure 28')",extends,pahlavi__oil_revenue_by_allocation_1955_63,1959/60-1971/72 (13-year annual series),"README explicitly calls this 'a clean, complete 13-year annual series.' Overlaps and extends the existing pahlavi__oil_revenue_by_allocation_1955_63 chart (1955/56-1962/63) out to 1971/72 -- same underlying concept (oil revenue), longer run. Row count is an unbroken subset of the file's 183-row 'Oil production & trade' category tag (shared with nis33__oil_production_export_destination below); a future pass should split by subcategory text to get an exact count."
nis33__oil_production_export_destination,Crude Oil Production by Operator & Export Destination by Region,Energy / Oil Production & Trade,cia-iran-economy,,"data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category=Oil production & trade, subset (Figures 17 & 19; remainder of the 183-row category after nis33__petroleum_revenue_series_1959_71)",new,,1960-1971,"Physical production-by-operator (Figure 17, 1960-1971) may overlap an OWID physical-oil-production chart in concept -- not confirmed at row level, flagged ambiguous for a future consolidation pass. Export-destination-by-region breakdown (Figure 19) has no existing chart match regardless. Also folds in brief natural-gas/electric-power buildout narrative (IGAT pipeline to the USSR, TAVANIR) that the source document covers but which has no isolable category tag of its own in this CSV."
nis33__metals_minerals_production,Metals & Minerals Production (incl. Newly Discovered Sar Cheshmeh Copper Deposit),Industry / Value Added by Sector,cia-iran-economy,,data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category=Metals & Minerals (86 rows),extends,iran_copper_production_by_stage_1961_1980,1962/63-1970/71,"AMBIGUOUS SPLIT -- flagged for a future pass: this 86-row bucket (Figure 22) almost certainly covers multiple metals in one table (chromite, iron ore, lead, manganese, zinc, plus copper/Sar Cheshmeh), all of which sit inside the already-registered 1961-1980 per-metal charts' year range (iran_chromite_production_1961_1980, iran_iron_ore_production_1961_1980, iran_lead_production_by_stage_1961_1980, iran_manganese_ore_production_1961_1980, iran_zinc_production_1961_1980). Targeted the copper chart here since the newly discovered Sar Cheshmeh deposit is the document's own headline mineral finding, but a proper consolidation pass should read the subcategory column and splice the chromite/iron-ore/lead/manganese/zinc rows onto their respective existing charts instead of leaving them all bundled under copper."
nis33__manufactured_goods_output,"Manufactured Consumer & Industrial Goods Output (Cars, TVs, Refrigerators, Cement)",Industry / Value Added by Sector,cia-iran-economy,,data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category=Manufacturing (109 rows),new,,1965/66-1970/71,"AMBIGUOUS -- flagged for a future pass: this table (Figure 24) likely contains a cement line that overlaps iran_cement_production_1954_1980 and a passenger-car line that predates (and could extend the pre-1970 portion of) iran_automotive_national_vehicle_production_1970_2018. TVs, refrigerators and other items have no existing chart match. Kept as one new row rather than splitting without a subcategory-level read."
nis33__government_finance_table,"Government Finance: Revenue by Type, Expenditure by Function (incl. Defense), Deficit Financing & Development-Plan Investment",Government Finance,cia-iran-economy,,data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category=Government Finance (216 rows),extends,wdi__GC.XPN.TOTL,1965/66-1971/72 (draft budget),"WDI's Iran GC.* coverage only starts 1972, so this predates it for all but the final year (confirmed against macro_wdi.csv). Covers Figure 28 (revenue by oil/nonoil/tax type, expenditure, deficit financing), Figure 29 (expenditure by function incl. defense -- finer than WDI's single aggregate, same precedent as the pahlavi ministry-level extends rows), and Figure 30 (Third vs. Fourth Development Plan investment by sector, which also predates and could alternately extend iranplanbudgetorg__five_year_plan_investment_ceilings [FY1368-1378/1990-2000] -- kept bundled here rather than split into a separate row since Figure 30 has no isolable category tag of its own)."
nis33__money_supply,Money Supply & Banking-System Composition,Financial Sector (Monetary),cia-iran-economy,,data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category=Money supply (40 rows),extends,pahlavi__monetary_survey_1963_70,1964/65-1971/72,"Figure 31. Extends the existing pahlavi__monetary_survey_1963_70 chart (FY1963/64-1969/70) out to 1971/72. WDI's FM.LBL.BMNY also covers this era in principle (starts 1960) -- secondary possible extends target, noted here as an alt-source overlap rather than the primary target since the pahlavi chart is the closer era-specific match."
nis33__labor_force_by_sector,Labor Force by Sector,Labor & Employment,cia-iran-economy,,data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category=Labor & Employment (46 rows),extends,wdi__SL.TLF.TOTL,"as of survey (Figure 34; pre-1966 portion predates WDI's SL.TLF Iran coverage, which starts 1966)","Figure 34's sector-by-sector labor-force breakdown is finer than WDI's single aggregate SL.TLF.TOTL figure, and any pre-1966 portion is a genuine WDI coverage gap (confirmed against macro_wdi.csv)."
nis33__balance_of_payments_table,"Balance of Payments, Complete Table",Balance of Payments (Net),cia-iran-economy,,data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category=Balance of Payments (123 rows),extends,wdi__BN.CAB.XOKA,1965/66-1971/72,"HIGH VALUE: Figure 35's complete BOP table. WDI's Iran BN.* balance-of-payments coverage doesn't start until 1976 (confirmed against macro_wdi.csv), so this entire table predates WDI's Iran BOP coverage by up to 11 years -- a genuine gap-filler, alongside the FRUS 1951-54 government-finance/FX extends rows above, for the project's overall pre-WDI-era BOP coverage."
nis33__trade_by_commodity_and_partner,Imports & Exports by Commodity and Geographic Partner,Trade,cia-iran-economy,,data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category=Trade (293 rows),new,,as of survey (Figures 36-39),"Largest single category in the NIS-33 file. WDI's NE.EXP/NE.IMP are aggregate totals only, with no commodity or trading-partner breakdown -- this is genuinely finer granularity regardless of the 1960s-70s period's overlap with WDI's continuous trade-aggregate coverage (same 'different granularity = new' rule used throughout this file)."
nis33__external_debt_investment_fx,"External Debt, Foreign Investment & Foreign-Exchange Citations",External Debt,cia-iran-economy,,"data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category in {External debt,Foreign investment,Foreign exchange} (8+11+4 = 23 rows)",new,,as of survey (Jan 1973 research cutoff),"Too small and conceptually mixed (three different topics) to force onto a single extends target with confidence, even though WDI's DT.* external-debt coverage starts 1960 and could plausibly overlap part of this. Flagged ambiguous."
nis33__macro_national_accounts,Macro / National Accounts Citations,Macro / National Accounts,cia-iran-economy,,data/processed/cia_iran_economy_series/cia_nis33_iran_economy_survey_1973.csv|category=Macro / National Accounts (11 rows),new,,as of survey (Jan 1973 research cutoff),AMBIGUOUS -- small (11-row) bucket of GNP/national-accounts figures possibly duplicating WDI's NY.GNP.*/NY.GDP.* concepts for early-1970s years; kept new pending a row-level read rather than assumed identical.
usaid_pt4__ford_foundation_harvard_advisory_group,Ford Foundation Harvard Advisory Group & Plan Organization Economic Bureau Financing,Foreign Aid & Development Finance,usaid-point-four-iran,,"data/processed/usaid_point_four_series/usaid_point_four_rac_research_reports.csv|source_dataset=usaid-point-four-rac-research-reports, Brew (2017) subset (8 rows)",new,,1955-1963,"Oil consortium revenue growth $33M(1955) -> $338M(1960) funding the Second Seven Year Plan; the Plan's $930M/70bn-rial budget later raised to $1.1bn/84bn rials; the Ford Foundation's $1.2M three-year HAG grant; the Aug 1958 Hansen/Farmanfarmaian $933M spending-over-revenue projection. IMPORTANT CAVEAT (per the folder's own README): this is a SECONDARY academic source (2017 PhD research report), one citation-hop removed from the primary archival documents it cites -- kept as its own new row rather than spliced onto the closely-related pahlavi__oil_revenue_by_allocation_1955_63 chart, to avoid mixing a lower-evidentiary-weight secondary citation into a primary-sourced chart's alt_sources without a clear flag. If a primary source for the same $33M->$338M figure is ever found, prefer it over this one."
usaid_pt4__motheral_report_land_reform,"1950s-60s Land Reform Baseline: Motheral Report, Tenant-Farmer Share & Village Redistribution Counts",Agriculture & Rural Development,usaid-point-four-iran,,"data/processed/usaid_point_four_series/usaid_point_four_rac_research_reports.csv|source_dataset=usaid-point-four-rac-research-reports, Roush (2025) subset (7 rows)",new,,1951-1963,"Up to 60% of Iran's population as tenant farmers into the early 1960s (cited to Craig 1978); the Shah's 1951 firman redistributing 2,100 of his own villages; the 1952 Point Four program's initial 3,000-of-50,000-village scope; Motheral's proposed 1958-1962 redistribution timeline for 15,000+ villages; the 1958 founding of IDBI and 1958-1960 establishment of the Central Bank of Iran; the Shah's June 1963 White Revolution framing ('emancipating fifteen million Iranians'). Same secondary-source caveat as the row above (2025 PhD research report, one citation-hop removed) -- exactly the land-reform-baseline angle the task brief flagged as not otherwise tracked by this project's machine-readable sources."
