year_sh,month_fa,month_num_in_iranian_year,indicator,seasonally_adjusted_value,not_seasonally_adjusted_value,edition,period_number
1405,اردیبهشت,2,new_customer_orders,40.3,49.4,pmi-1405-02-period92,92
1405,اردیبهشت,2,order_fulfillment_delivery_speed,46.5,45.7,pmi-1405-02-period92,92
1405,اردیبهشت,2,raw_material_inventory,40.2,46.8,pmi-1405-02-period92,92
1405,اردیبهشت,2,employment_hiring,40.5,43.8,pmi-1405-02-period92,92
1405,اردیبهشت,2,input_price_raw_materials,91.9,91.9,pmi-1405-02-period92,92
1405,اردیبهشت,2,finished_goods_inventory_wip,46.9,46.7,pmi-1405-02-period92,92
1405,اردیبهشت,2,exports_of_goods_or_services,42.5,44.7,pmi-1405-02-period92,92
1405,اردیبهشت,2,output_price_products_services,68.5,68.5,pmi-1405-02-period92,92
1405,اردیبهشت,2,energy_consumption,54.2,60.1,pmi-1405-02-period92,92
1405,اردیبهشت,2,sales_volume,43.6,55.3,pmi-1405-02-period92,92
1405,اردیبهشت,2,future_expectations_next_month,46.1,48.8,pmi-1405-02-period92,92
