sector_table,indicator_label_fa_source,year_sh,month_fa,month_western,value
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Mordad1403,August2024,42.85
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Shahrivar1403,September2024,48.13
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Mehr1403,October2024,50.7
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Aban1403,November2024,50.98
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Azar1403,December2024,40.48
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Dey1403,January2025,45.27
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Bahman1403,February2025,47.16
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Esfand1403,March2025,54.84
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Farvardin1403,April2024,48.59
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Ordibehesht1403,May2024,61.52
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Khordad1403,June2024,50.06
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Tir1403,July2024,51.5
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Mordad1403,August2024,50.64
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Shahrivar1403,September2024,51.68
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Mehr1403,October2024,49.9
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Aban1403,November2024,56.26
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Azar1403,December2024,47.79
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Dey1403,January2025,49.11
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Bahman1403,February2025,48.96
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Suppliers ‘Delivery Times,1403,Esfand1403,March2025,56.54
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Farvardin1403,April2024,43.67
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Ordibehesht1403,May2024,51.12
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Khordad1403,June2024,43.46
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Tir1403,July2024,47.95
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Mordad1403,August2024,50.67
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Shahrivar1403,September2024,46.28
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Mehr1403,October2024,44.49
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Aban1403,November2024,51.99
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Azar1403,December2024,42.35
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Dey1403,January2025,43.86
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Bahman1403,February2025,47.35
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input inventories,1403,Esfand1403,March2025,51.53
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Farvardin1403,April2024,50.98
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Ordibehesht1403,May2024,55.64
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Khordad1403,June2024,50.29
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Tir1403,July2024,49.63
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Mordad1403,August2024,45.84
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Shahrivar1403,September2024,51.12
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Mehr1403,October2024,54.07
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Aban1403,November2024,48.2
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Azar1403,December2024,47.84
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Dey1403,January2025,43.24
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Bahman1403,February2025,51.0
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Employment,1403,Esfand1403,March2025,47.61
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Farvardin1403,April2024,77.69
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Ordibehesht1403,May2024,71.25
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Khordad1403,June2024,64.26
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Tir1403,July2024,68.49
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Mordad1403,August2024,66.2
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Shahrivar1403,September2024,69.35
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Mehr1403,October2024,75.9
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Aban1403,November2024,82.17
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Azar1403,December2024,83.93
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Dey1403,January2025,82.02
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Bahman1403,February2025,84.38
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Input Prices,1403,Esfand1403,March2025,74.84
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Farvardin1403,April2024,51.02
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Ordibehesht1403,May2024,52.21
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Khordad1403,June2024,47.83
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Tir1403,July2024,54.92
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Mordad1403,August2024,52.49
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Shahrivar1403,September2024,49.16
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Mehr1403,October2024,50.96
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Aban1403,November2024,48.68
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Azar1403,December2024,43.03
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Dey1403,January2025,46.78
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Bahman1403,February2025,45.01
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Inventories,1403,Esfand1403,March2025,46.08
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Farvardin1403,April2024,47.16
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Ordibehesht1403,May2024,51.24
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Khordad1403,June2024,41.85
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Tir1403,July2024,46.75
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Mordad1403,August2024,46.26
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Shahrivar1403,September2024,47.98
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Mehr1403,October2024,53.23
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Aban1403,November2024,47.9
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Azar1403,December2024,41.36
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Dey1403,January2025,45.89
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Bahman1403,February2025,48.56
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Export of goods and services,1403,Esfand1403,March2025,47.43
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Farvardin1403,April2024,62.06
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Ordibehesht1403,May2024,59.14
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Khordad1403,June2024,53.22
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Tir1403,July2024,54.16
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Mordad1403,August2024,54.48
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Shahrivar1403,September2024,57.62
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Mehr1403,October2024,61.14
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Aban1403,November2024,61.37
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Azar1403,December2024,61.52
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Dey1403,January2025,58.18
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Bahman1403,February2025,68.71
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output Prices,1403,Esfand1403,March2025,62.61
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Farvardin1403,April2024,35.41
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Ordibehesht1403,May2024,53.07
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Khordad1403,June2024,55.9
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Tir1403,July2024,59.97
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Mordad1403,August2024,49.25
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Shahrivar1403,September2024,46.05
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Mehr1403,October2024,54.31
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Aban1403,November2024,57.01
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Azar1403,December2024,50.84
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Dey1403,January2025,58.17
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Bahman1403,February2025,56.83
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Energy Consumption,1403,Esfand1403,March2025,48.0
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Farvardin1403,April2024,35.69
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Ordibehesht1403,May2024,58.0
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Khordad1403,June2024,44.6
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Tir1403,July2024,44.44
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Mordad1403,August2024,43.56
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Shahrivar1403,September2024,46.53
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Mehr1403,October2024,56.92
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Aban1403,November2024,49.98
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Azar1403,December2024,45.95
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Dey1403,January2025,46.04
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Bahman1403,February2025,51.45
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Quantity of Purchases,1403,Esfand1403,March2025,63.6
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Farvardin1403,April2024,82.85
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Ordibehesht1403,May2024,65.99
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Khordad1403,June2024,58.46
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Tir1403,July2024,55.02
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Mordad1403,August2024,64.85
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Shahrivar1403,September2024,64.23
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Mehr1403,October2024,57.64
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Aban1403,November2024,56.0
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Azar1403,December2024,42.6
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Dey1403,January2025,55.13
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Bahman1403,February2025,46.65
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Business expectations,1403,Esfand1403,March2025,28.96
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Farvardin1403,April2024,33.51
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Ordibehesht1403,May2024,64.7
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Khordad1403,June2024,49.78
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Tir1403,July2024,43.57
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Mordad1403,August2024,46.22
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Shahrivar1403,September2024,49.17
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Mehr1403,October2024,57.39
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Aban1403,November2024,52.24
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Azar1403,December2024,44.8
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Dey1403,January2025,50.63
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Bahman1403,February2025,49.87
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Total PMI index,1403,Esfand1403,March2025,54.43
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Farvardin1403,April2024,21.31
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Ordibehesht1403,May2024,73.01
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Khordad1403,June2024,50.13
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Tir1403,July2024,39.39
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Mordad1403,August2024,43.68
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Shahrivar1403,September2024,47.74
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Mehr1403,October2024,62.17
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Aban1403,November2024,54.11
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Azar1403,December2024,42.3
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Dey1403,January2025,50.15
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Bahman1403,February2025,50.8
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Output,1403,Esfand1403,March2025,53.27
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Farvardin1403,April2024,28.85
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Ordibehesht1403,May2024,66.21
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Khordad1403,June2024,46.29
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Tir1403,July2024,40.53
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Mordad1403,August2024,44.44
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Shahrivar1403,September2024,48.97
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Mehr1403,October2024,56.91
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Aban1403,November2024,50.57
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Azar1403,December2024,44.11
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Dey1403,January2025,52.67
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Bahman1403,February2025,51.36
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,New Orders,1403,Esfand1403,March2025,58.98
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Farvardin1403,April2024,41.89
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Ordibehesht1403,May2024,65.57
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Khordad1403,June2024,53.48
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Tir1403,July2024,49.89
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Mordad1403,August2024,48.56
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Shahrivar1403,September2024,51.79
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Mehr1403,October2024,60.16
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Aban1403,November2024,57.36
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Azar1403,December2024,49.2
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Dey1403,January2025,54.26
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Bahman1403,February2025,52.82
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Suppliers ‘Delivery Times,1403,Esfand1403,March2025,60.39
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Farvardin1403,April2024,41.59
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Ordibehesht1403,May2024,50.11
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Khordad1403,June2024,45.23
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Tir1403,July2024,44.28
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Mordad1403,August2024,46.5
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Shahrivar1403,September2024,48.26
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Mehr1403,October2024,50.1
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Aban1403,November2024,46.88
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Azar1403,December2024,42.94
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Dey1403,January2025,45.41
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Bahman1403,February2025,43.79
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Raw Materials Inventories,1403,Esfand1403,March2025,49.84
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Farvardin1403,April2024,45.44
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Ordibehesht1403,May2024,58.7
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Khordad1403,June2024,54.07
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Tir1403,July2024,48.26
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Mordad1403,August2024,50.2
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Shahrivar1403,September2024,49.75
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Mehr1403,October2024,53.72
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Aban1403,November2024,51.23
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Azar1403,December2024,46.61
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Dey1403,January2025,48.04
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Bahman1403,February2025,47.28
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Employment,1403,Esfand1403,March2025,46.9
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Farvardin1403,April2024,80.47
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Ordibehesht1403,May2024,77.07
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Khordad1403,June2024,68.12
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Tir1403,July2024,64.6
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Mordad1403,August2024,63.6
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Shahrivar1403,September2024,67.5
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Mehr1403,October2024,79.46
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Aban1403,November2024,81.64
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Azar1403,December2024,86.47
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Dey1403,January2025,89.52
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Bahman1403,February2025,89.46
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Input price,1403,Esfand1403,March2025,84.38
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Stocks of Finished Goods,1403,Farvardin1403,April2024,46.12
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Stocks of Finished Goods,1403,Ordibehesht1403,May2024,54.01
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Stocks of Finished Goods,1403,Khordad1403,June2024,49.61
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Stocks of Finished Goods,1403,Tir1403,July2024,50.35
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Stocks of Finished Goods,1403,Mordad1403,August2024,47.74
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Stocks of Finished Goods,1403,Shahrivar1403,September2024,47.6
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Stocks of Finished Goods,1403,Mehr1403,October2024,50.53
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Stocks of Finished Goods,1403,Aban1403,November2024,49.9
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Stocks of Finished Goods,1403,Azar1403,December2024,47.24
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Stocks of Finished Goods,1403,Dey1403,January2025,47.05
3-12-Purchasing Managers’ Index (PMI) – Manufacturing Sector,Stocks of Finished Goods,1403,Bahman1403,February2025,47.62
