country_iso3,group,weight_pct_of_1395_basket,solar_year,gregorian_year_approx,cpi_index_1395_100,pct_change_1399_vs_1398,source,notes
IRN,Foods,25.55,1397,2018,153.5,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Foods,25.55,1398,2019,218.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Foods,25.55,1399,2020,303.2,38.7,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Bread and cereals,6.67,1390,2011,40.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Bread and cereals,6.67,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Bread and cereals,6.67,1396,2017,108.1,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Bread and cereals,6.67,1397,2018,129.8,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Bread and cereals,6.67,1398,2019,173.3,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Bread and cereals,6.67,1399,2020,257.2,48.5,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Meat, poultry and fish and related products",5.91,1390,2011,40.0,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Meat, poultry and fish and related products",5.91,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Meat, poultry and fish and related products",5.91,1396,2017,114.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Meat, poultry and fish and related products",5.91,1397,2018,170.3,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Meat, poultry and fish and related products",5.91,1398,2019,255.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Meat, poultry and fish and related products",5.91,1399,2020,321.9,26.2,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Meat and poultry,5.14,1390,2011,42.0,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Meat and poultry,5.14,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Meat and poultry,5.14,1396,2017,116.4,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Meat and poultry,5.14,1397,2018,172.5,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Meat and poultry,5.14,1398,2019,256.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Meat and poultry,5.14,1399,2020,321.5,25.2,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fish and sea food,0.77,1390,2011,29.6,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fish and sea food,0.77,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fish and sea food,0.77,1396,2017,104.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fish and sea food,0.77,1397,2018,156.1,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fish and sea food,0.77,1398,2019,243.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fish and sea food,0.77,1399,2020,324.6,33.2,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Dairy products and eggs,2.8,1390,2011,39.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Dairy products and eggs,2.8,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Dairy products and eggs,2.8,1396,2017,110.0,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Dairy products and eggs,2.8,1397,2018,147.4,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Dairy products and eggs,2.8,1398,2019,199.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Dairy products and eggs,2.8,1399,2020,298.2,49.3,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fats and oils,1.29,1390,2011,39.5,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fats and oils,1.29,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fats and oils,1.29,1396,2017,109.5,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fats and oils,1.29,1397,2018,143.8,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fats and oils,1.29,1398,2019,187.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fats and oils,1.29,1399,2020,271.6,45.1,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fruit and nut,3.43,1390,2011,35.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fruit and nut,3.43,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fruit and nut,3.43,1396,2017,110.8,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fruit and nut,3.43,1397,2018,170.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fruit and nut,3.43,1398,2019,230.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Fruit and nut,3.43,1399,2020,346.8,50.2,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Vegetables, pulses and vegetable products",3.02,1390,2011,25.5,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Vegetables, pulses and vegetable products",3.02,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Vegetables, pulses and vegetable products",3.02,1396,2017,127.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Vegetables, pulses and vegetable products",3.02,1397,2018,169.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Vegetables, pulses and vegetable products",3.02,1398,2019,263.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Vegetables, pulses and vegetable products",3.02,1399,2020,349.4,32.7,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Sugar, sugar lump, chocolate",1.44,1390,2011,43.5,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Sugar, sugar lump, chocolate",1.44,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Sugar, sugar lump, chocolate",1.44,1396,2017,105.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Sugar, sugar lump, chocolate",1.44,1397,2018,131.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Sugar, sugar lump, chocolate",1.44,1398,2019,199.4,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Sugar, sugar lump, chocolate",1.44,1399,2020,282.4,41.6,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Spices and seasonings,0.98,1390,2011,39.3,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Spices and seasonings,0.98,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Spices and seasonings,0.98,1396,2017,105.8,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Spices and seasonings,0.98,1397,2018,169.4,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Spices and seasonings,0.98,1398,2019,250.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Spices and seasonings,0.98,1399,2020,294.6,17.4,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tea and other beverages (non-alcoholic),1.1,1390,2011,33.5,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tea and other beverages (non-alcoholic),1.1,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tea and other beverages (non-alcoholic),1.1,1396,2017,110.6,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tea and other beverages (non-alcoholic),1.1,1397,2018,155.4,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tea and other beverages (non-alcoholic),1.1,1398,2019,242.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tea and other beverages (non-alcoholic),1.1,1399,2020,358.8,47.7,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tobacco,0.59,1390,2011,29.1,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tobacco,0.59,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tobacco,0.59,1396,2017,106.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tobacco,0.59,1397,2018,216.4,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tobacco,0.59,1398,2019,281.1,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Tobacco,0.59,1399,2020,383.8,36.6,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Clothing and footwear,4.78,1390,2011,38.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Clothing and footwear,4.78,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Clothing and footwear,4.78,1396,2017,106.1,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Clothing and footwear,4.78,1397,2018,137.5,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Clothing and footwear,4.78,1398,2019,197.8,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Clothing and footwear,4.78,1399,2020,274.4,38.7,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Housing, water, electricity, gas and other fuels",35.5,1390,2011,49.5,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Housing, water, electricity, gas and other fuels",35.5,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Housing, water, electricity, gas and other fuels",35.5,1396,2017,107.3,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Housing, water, electricity, gas and other fuels",35.5,1397,2018,125.3,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Housing, water, electricity, gas and other fuels",35.5,1398,2019,155.1,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Housing, water, electricity, gas and other fuels",35.5,1399,2020,194.3,25.3,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Housing,31.12,1390,2011,51.0,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Housing,31.12,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Housing,31.12,1396,2017,106.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Housing,31.12,1397,2018,126.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Housing,31.12,1398,2019,155.8,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Housing,31.12,1399,2020,198.5,27.4,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Rent of residential houses,30.72,1390,2011,51.4,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Rent of residential houses,30.72,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Rent of residential houses,30.72,1396,2017,106.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Rent of residential houses,30.72,1397,2018,126.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Rent of residential houses,30.72,1398,2019,155.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Rent of residential houses,30.72,1399,2020,198.1,27.2,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Maintenance and repair services,0.41,1390,2011,40.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Maintenance and repair services,0.41,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Maintenance and repair services,0.41,1396,2017,106.1,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Maintenance and repair services,0.41,1397,2018,126.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Maintenance and repair services,0.41,1398,2019,163.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Maintenance and repair services,0.41,1399,2020,227.1,39.2,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Water, electricity, gas and other fuels",4.38,1390,2011,42.8,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Water, electricity, gas and other fuels",4.38,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Water, electricity, gas and other fuels",4.38,1396,2017,110.3,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Water, electricity, gas and other fuels",4.38,1397,2018,115.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Water, electricity, gas and other fuels",4.38,1398,2019,149.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,"Water, electricity, gas and other fuels",4.38,1399,2020,164.4,9.7,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Household furnishings and appliances and their repair and maintenance,3.93,1390,2011,40.5,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Household furnishings and appliances and their repair and maintenance,3.93,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Household furnishings and appliances and their repair and maintenance,3.93,1396,2017,105.4,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Household furnishings and appliances and their repair and maintenance,3.93,1397,2018,150.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Household furnishings and appliances and their repair and maintenance,3.93,1398,2019,225.0,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Household furnishings and appliances and their repair and maintenance,3.93,1399,2020,329.6,46.5,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Health & medical care,7.14,1390,2011,38.8,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Health & medical care,7.14,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Health & medical care,7.14,1396,2017,107.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Health & medical care,7.14,1397,2018,125.6,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Health & medical care,7.14,1398,2019,158.1,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Health & medical care,7.14,1399,2020,205.4,29.9,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Transportation,9.41,1390,2011,42.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Transportation,9.41,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Transportation,9.41,1396,2017,104.9,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Transportation,9.41,1397,2018,133.4,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
