country_iso3,line_item,price_basis,solar_year,gregorian_year_approx,value_bln_rials,source,notes
IRN,"Transport, storage and post",current prices,1396,2017,1191304,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Transport, storage and post",current prices,1397,2018,1551432,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Accommodation and food service activities,current prices,1390,2011,64012,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Accommodation and food service activities,current prices,1393,2014,153864,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Accommodation and food service activities,current prices,1394,2015,179125,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Accommodation and food service activities,current prices,1395,2016,195541,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Accommodation and food service activities,current prices,1396,2017,211143,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Accommodation and food service activities,current prices,1397,2018,294019,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Information and communication,current prices,1390,2011,107823,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Information and communication,current prices,1393,2014,220393,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Information and communication,current prices,1394,2015,240957,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Information and communication,current prices,1395,2016,296140,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Information and communication,current prices,1396,2017,353712,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Information and communication,current prices,1397,2018,425304,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Financial and insurance services,current prices,1390,2011,176054,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Financial and insurance services,current prices,1393,2014,253861,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Financial and insurance services,current prices,1394,2015,268967,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Financial and insurance services,current prices,1395,2016,295484,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Financial and insurance services,current prices,1396,2017,320124,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Financial and insurance services,current prices,1397,2018,620306,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Real estate activities,current prices,1390,2011,710144,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Real estate activities,current prices,1393,2014,1405835,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Real estate activities,current prices,1394,2015,1626565,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Real estate activities,current prices,1395,2016,1887556,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Real estate activities,current prices,1396,2017,2170157,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Real estate activities,current prices,1397,2018,2814681,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,"Professional, scientific and technical service activities",current prices,1390,2011,56517,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,"Professional, scientific and technical service activities",current prices,1393,2014,107869,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Professional, scientific and technical service activities",current prices,1394,2015,133992,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Professional, scientific and technical service activities",current prices,1395,2016,148452,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Professional, scientific and technical service activities",current prices,1396,2017,184152,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Professional, scientific and technical service activities",current prices,1397,2018,232692,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Administration and support service activities,current prices,1390,2011,21712,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Administration and support service activities,current prices,1393,2014,48047,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Administration and support service activities,current prices,1394,2015,57844,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Administration and support service activities,current prices,1395,2016,67516,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Administration and support service activities,current prices,1396,2017,82138,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Administration and support service activities,current prices,1397,2018,88636,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Public administration and urban services,current prices,1390,2011,304577,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Public administration and urban services,current prices,1393,2014,555771,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Public administration and urban services,current prices,1394,2015,654020,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Public administration and urban services,current prices,1395,2016,766733,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Public administration and urban services,current prices,1396,2017,872669,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Public administration and urban services,current prices,1397,2018,1093479,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Education,current prices,1390,2011,227801,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Education,current prices,1393,2014,360570,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Education,current prices,1394,2015,434518,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Education,current prices,1395,2016,527353,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Education,current prices,1396,2017,612323,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Education,current prices,1397,2018,683918,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Human health and social work activities,current prices,1390,2011,205816,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Human health and social work activities,current prices,1393,2014,524098,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Human health and social work activities,current prices,1394,2015,654144,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Human health and social work activities,current prices,1395,2016,721438,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Human health and social work activities,current prices,1396,2017,838906,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Human health and social work activities,current prices,1397,2018,1010967,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,"Other community, social, personal and household service activities",current prices,1390,2011,55521,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,"Other community, social, personal and household service activities",current prices,1393,2014,110098,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Other community, social, personal and household service activities",current prices,1394,2015,123234,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Other community, social, personal and household service activities",current prices,1395,2016,135669,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Other community, social, personal and household service activities",current prices,1396,2017,160653,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Other community, social, personal and household service activities",current prices,1397,2018,195874,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Total value added,current prices,1390,2011,6838136,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Total value added,current prices,1393,2014,12559983,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Total value added,current prices,1394,2015,12130490,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Total value added,current prices,1395,2016,14758565,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Total value added,current prices,1396,2017,17756713,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Total value added,current prices,1397,2018,25646210,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Net taxes on imports,current prices,1390,2011,28675,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Net taxes on imports,current prices,1393,2014,-9023,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Net taxes on imports,current prices,1394,2015,49526,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Net taxes on imports,current prices,1395,2016,147692,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Net taxes on imports,current prices,1396,2017,215158,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Net taxes on imports,current prices,1397,2018,183502,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Taxes on imports,current prices,1390,2011,75778,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Taxes on imports,current prices,1393,2014,90734,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Taxes on imports,current prices,1394,2015,113323,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Taxes on imports,current prices,1395,2016,184729,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Taxes on imports,current prices,1396,2017,242981,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Taxes on imports,current prices,1397,2018,200971,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Subsidies on imports,current prices,1390,2011,-47103,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Subsidies on imports,current prices,1393,2014,-99757,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Subsidies on imports,current prices,1394,2015,-63797,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Subsidies on imports,current prices,1395,2016,-37037,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Subsidies on imports,current prices,1396,2017,-27823,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Subsidies on imports,current prices,1397,2018,-17468,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Gross domestic product (at market prices),current prices,1390,2011,6866811,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Gross domestic product (at market prices),current prices,1393,2014,12550960,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Gross domestic product (at market prices),current prices,1394,2015,12180016,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Gross domestic product (at market prices),current prices,1395,2016,14906258,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Gross domestic product (at market prices),current prices,1396,2017,17971871,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Gross domestic product (at market prices),current prices,1397,2018,25829712,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Net income from abroad,current prices,1390,2011,490,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Net income from abroad,current prices,1393,2014,34365,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Net income from abroad,current prices,1394,2015,28863,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Net income from abroad,current prices,1395,2016,40303,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Net income from abroad,current prices,1396,2017,28503,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Net income from abroad,current prices,1397,2018,105131,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Gross national product = Gross national income,current prices,1390,2011,6867302,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Gross national product = Gross national income,current prices,1393,2014,12585325,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Gross national product = Gross national income,current prices,1394,2015,12208880,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Gross national product = Gross national income,current prices,1395,2016,14946560,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Gross national product = Gross national income,current prices,1396,2017,18000374,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Gross national product = Gross national income,current prices,1397,2018,25934843,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Less: consumption of fixed capital,current prices,1390,2011,814187,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
