country_iso3,area,sex,solar_year,gregorian_year_approx,economic_participation_rate_pct,unemployment_rate_pct,unemployment_rate_15_24_pct,unemployment_rate_15_29_pct,underemployment_share_pct,employment_share_agriculture_pct,employment_share_manufacturing_pct,employment_share_services_pct,source,notes
IRN,urban,both,1399,2020,40.4,10.4,26.0,23.8,8.2,6.5,34.9,58.5,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,urban,female,1380,2001,9.9,28.5,61.5,49.6,,3.5,21.6,74.9,"SCI Iran Statistical Yearbook 1399, Table 4.2",1380 figures relate to the month of Aban (survey methodology pre-dates annual Labour Force Survey).
IRN,urban,female,1385,2006,14.0,23.7,47.0,40.7,4.2,5.2,32.0,62.7,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,female,1390,2011,11.7,26.2,53.9,47.7,4.0,2.7,24.8,72.5,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,female,1395,2016,14.5,24.8,50.6,46.8,5.1,3.3,26.1,70.6,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,female,1396,2017,15.5,24.0,51.1,46.0,5.2,4.0,26.5,69.5,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,female,1397,2018,15.7,22.8,47.7,43.9,5.9,3.3,27.3,69.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,female,1398,2019,16.4,21.0,44.8,33.0,5.7,3.7,27.6,68.8,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,urban,female,1399,2020,13.5,18.3,41.2,38.7,4.0,3.4,25.5,71.2,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,urban,male,1380,2001,60.8,12.6,31.9,25.6,,5.3,35.9,58.8,"SCI Iran Statistical Yearbook 1399, Table 4.2",1380 figures relate to the month of Aban (survey methodology pre-dates annual Labour Force Survey).
IRN,urban,male,1385,2006,63.0,11.1,24.4,20.5,6.0,6.3,35.0,58.7,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,male,1390,2011,59.3,11.2,24.7,21.4,8.1,5.3,37.4,57.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,male,1395,2016,63.3,11.2,27.5,22.6,9.4,5.7,36.0,58.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,male,1396,2017,63.7,10.9,26.2,22.0,10.1,5.7,36.1,58.2,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,male,1397,2018,63.7,11.2,26.9,23.3,10.2,6.7,35.5,57.9,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,male,1398,2019,69.6,9.6,24.7,15.7,9.4,6.9,35.2,57.9,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,urban,male,1399,2020,67.2,8.8,22.8,20.2,8.9,7.1,36.6,56.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
