province,metric,year_sh,value,rank
خراسان رضوی,gdp_per_capita_excl_oil_thousand_rial,1395,121053,20
خراسان رضوی,gdp_per_capita_excl_oil_thousand_rial,1396,136156,21
خراسان رضوی,gdp_per_capita_excl_oil_thousand_rial,1397,185890,21
خراسان شمالی,gdp_per_capita_excl_oil_thousand_rial,1393,76807,28
خراسان شمالی,gdp_per_capita_excl_oil_thousand_rial,1394,79093,30
خراسان شمالی,gdp_per_capita_excl_oil_thousand_rial,1395,96733,29
خراسان شمالی,gdp_per_capita_excl_oil_thousand_rial,1396,112155,28
خراسان شمالی,gdp_per_capita_excl_oil_thousand_rial,1397,160043,26
خوزستان,gdp_per_capita_excl_oil_thousand_rial,1393,132595,10
خوزستان,gdp_per_capita_excl_oil_thousand_rial,1394,132599,11
خوزستان,gdp_per_capita_excl_oil_thousand_rial,1395,154674,11
خوزستان,gdp_per_capita_excl_oil_thousand_rial,1396,180092,11
خوزستان,gdp_per_capita_excl_oil_thousand_rial,1397,233042,12
زنجان,gdp_per_capita_excl_oil_thousand_rial,1393,101394,19
زنجان,gdp_per_capita_excl_oil_thousand_rial,1394,119233,13
زنجان,gdp_per_capita_excl_oil_thousand_rial,1395,142916,12
زنجان,gdp_per_capita_excl_oil_thousand_rial,1396,172711,12
زنجان,gdp_per_capita_excl_oil_thousand_rial,1397,220241,13
سمنان,gdp_per_capita_excl_oil_thousand_rial,1393,146631,5
سمنان,gdp_per_capita_excl_oil_thousand_rial,1394,158580,5
سمنان,gdp_per_capita_excl_oil_thousand_rial,1395,204271,4
سمنان,gdp_per_capita_excl_oil_thousand_rial,1396,223237,4
سمنان,gdp_per_capita_excl_oil_thousand_rial,1397,284131,6
سيستان و بلوچستان,gdp_per_capita_excl_oil_thousand_rial,1393,59207,31
سيستان و بلوچستان,gdp_per_capita_excl_oil_thousand_rial,1394,64721,31
سيستان و بلوچستان,gdp_per_capita_excl_oil_thousand_rial,1395,77961,31
سيستان و بلوچستان,gdp_per_capita_excl_oil_thousand_rial,1396,91171,31
سيستان و بلوچستان,gdp_per_capita_excl_oil_thousand_rial,1397,123350,31
فارس,gdp_per_capita_excl_oil_thousand_rial,1393,120516,12
فارس,gdp_per_capita_excl_oil_thousand_rial,1394,121015,12
فارس,gdp_per_capita_excl_oil_thousand_rial,1395,141615,13
فارس,gdp_per_capita_excl_oil_thousand_rial,1396,158959,15
فارس,gdp_per_capita_excl_oil_thousand_rial,1397,212662,15
قزوين,gdp_per_capita_excl_oil_thousand_rial,1393,150453,4
قزوين,gdp_per_capita_excl_oil_thousand_rial,1394,170085,4
قزوين,gdp_per_capita_excl_oil_thousand_rial,1395,203278,5
قزوين,gdp_per_capita_excl_oil_thousand_rial,1396,217977,6
قزوين,gdp_per_capita_excl_oil_thousand_rial,1397,288955,5
قم,gdp_per_capita_excl_oil_thousand_rial,1393,90404,22
قم,gdp_per_capita_excl_oil_thousand_rial,1394,103325,20
قم,gdp_per_capita_excl_oil_thousand_rial,1395,124317,19
قم,gdp_per_capita_excl_oil_thousand_rial,1396,131714,23
قم,gdp_per_capita_excl_oil_thousand_rial,1397,176319,23
کردستان,gdp_per_capita_excl_oil_thousand_rial,1393,71901,30
کردستان,gdp_per_capita_excl_oil_thousand_rial,1394,77868,29
کردستان,gdp_per_capita_excl_oil_thousand_rial,1395,91993,30
کردستان,gdp_per_capita_excl_oil_thousand_rial,1396,105957,30
کردستان,gdp_per_capita_excl_oil_thousand_rial,1397,141919,30
کرمان,gdp_per_capita_excl_oil_thousand_rial,1393,114840,14
کرمان,gdp_per_capita_excl_oil_thousand_rial,1394,117061,14
کرمان,gdp_per_capita_excl_oil_thousand_rial,1395,139363,14
کرمان,gdp_per_capita_excl_oil_thousand_rial,1396,171422,13
کرمان,gdp_per_capita_excl_oil_thousand_rial,1397,233333,11
کرمانشاه,gdp_per_capita_excl_oil_thousand_rial,1393,94606,21
کرمانشاه,gdp_per_capita_excl_oil_thousand_rial,1394,100575,22
کرمانشاه,gdp_per_capita_excl_oil_thousand_rial,1395,121990,21
کرمانشاه,gdp_per_capita_excl_oil_thousand_rial,1396,143715,19
کرمانشاه,gdp_per_capita_excl_oil_thousand_rial,1397,205139,18
كهگیلويه و بوير احمد,gdp_per_capita_excl_oil_thousand_rial,1393,108172,16
كهگیلويه و بوير احمد,gdp_per_capita_excl_oil_thousand_rial,1394,116236,15
كهگیلويه و بوير احمد,gdp_per_capita_excl_oil_thousand_rial,1395,126504,18
كهگیلويه و بوير احمد,gdp_per_capita_excl_oil_thousand_rial,1396,147268,18
كهگیلويه و بوير احمد,gdp_per_capita_excl_oil_thousand_rial,1397,192276,20
گلستان,gdp_per_capita_excl_oil_thousand_rial,1393,77693,25
گلستان,gdp_per_capita_excl_oil_thousand_rial,1394,86342,26
گلستان,gdp_per_capita_excl_oil_thousand_rial,1395,103257,25
گلستان,gdp_per_capita_excl_oil_thousand_rial,1396,114021,27
گلستان,gdp_per_capita_excl_oil_thousand_rial,1397,149052,28
گيلان,gdp_per_capita_excl_oil_thousand_rial,1393,113117,15
گيلان,gdp_per_capita_excl_oil_thousand_rial,1394,112878,18
گيلان,gdp_per_capita_excl_oil_thousand_rial,1395,137699,15
گيلان,gdp_per_capita_excl_oil_thousand_rial,1396,166146,14
گيلان,gdp_per_capita_excl_oil_thousand_rial,1397,210457,16
لرستان,gdp_per_capita_excl_oil_thousand_rial,1393,75908,29
لرستان,gdp_per_capita_excl_oil_thousand_rial,1394,86277,27
لرستان,gdp_per_capita_excl_oil_thousand_rial,1395,98958,26
لرستان,gdp_per_capita_excl_oil_thousand_rial,1396,115651,26
لرستان,gdp_per_capita_excl_oil_thousand_rial,1397,160372,25
مازندران,gdp_per_capita_excl_oil_thousand_rial,1393,121175,11
مازندران,gdp_per_capita_excl_oil_thousand_rial,1394,134359,9
مازندران,gdp_per_capita_excl_oil_thousand_rial,1395,161142,7
مازندران,gdp_per_capita_excl_oil_thousand_rial,1396,182288,9
مازندران,gdp_per_capita_excl_oil_thousand_rial,1397,241361,10
مرکزي,gdp_per_capita_excl_oil_thousand_rial,1393,148413,6
مرکزي,gdp_per_capita_excl_oil_thousand_rial,1394,155815,6
مرکزي,gdp_per_capita_excl_oil_thousand_rial,1395,181685,6
مرکزي,gdp_per_capita_excl_oil_thousand_rial,1396,220437,5
مرکزي,gdp_per_capita_excl_oil_thousand_rial,1397,323326,4
هرمزگان,gdp_per_capita_excl_oil_thousand_rial,1393,132516,7
هرمزگان,gdp_per_capita_excl_oil_thousand_rial,1394,141111,7
هرمزگان,gdp_per_capita_excl_oil_thousand_rial,1395,158871,9
هرمزگان,gdp_per_capita_excl_oil_thousand_rial,1396,185607,8
هرمزگان,gdp_per_capita_excl_oil_thousand_rial,1397,262089,7
همدان,gdp_per_capita_excl_oil_thousand_rial,1393,93026,23
همدان,gdp_per_capita_excl_oil_thousand_rial,1394,95244,23
همدان,gdp_per_capita_excl_oil_thousand_rial,1395,109569,23
همدان,gdp_per_capita_excl_oil_thousand_rial,1396,132367,22
همدان,gdp_per_capita_excl_oil_thousand_rial,1397,195606,19
يزد,gdp_per_capita_excl_oil_thousand_rial,1393,209568,3
يزد,gdp_per_capita_excl_oil_thousand_rial,1394,207969,3
يزد,gdp_per_capita_excl_oil_thousand_rial,1395,235308,3
يزد,gdp_per_capita_excl_oil_thousand_rial,1396,273381,3
يزد,gdp_per_capita_excl_oil_thousand_rial,1397,400518,2
