province,indicator,year_sh,value,unit,value_label_fa,rank,edition,source_title_fa
زنجان,bank_loans_to_deposits_ratio_pct,1398,85.4,(درصد),نسبت,9,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
زنجان,bank_loans_to_deposits_ratio_pct,1399,79.5,(درصد),نسبت,10,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
زنجان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
زنجان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
زنجان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
سمنان,bank_loans_to_deposits_ratio_pct,1398,85.5,(درصد),نسبت,8,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
سمنان,bank_loans_to_deposits_ratio_pct,1399,82.7,(درصد),نسبت,7,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
سمنان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
سمنان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
سمنان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
سيستان و بلوچستان,bank_loans_to_deposits_ratio_pct,1398,55.9,(درصد),نسبت,24,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
سيستان و بلوچستان,bank_loans_to_deposits_ratio_pct,1399,38.2,(درصد),نسبت,30,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
سيستان و بلوچستان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
سيستان و بلوچستان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
سيستان و بلوچستان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
فارس,bank_loans_to_deposits_ratio_pct,1398,49.9,(درصد),نسبت,29,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
فارس,bank_loans_to_deposits_ratio_pct,1399,45.5,(درصد),نسبت,28,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
فارس,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
فارس,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
فارس,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
قزوين,bank_loans_to_deposits_ratio_pct,1398,76,(درصد),نسبت,14,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
قزوين,bank_loans_to_deposits_ratio_pct,1399,72.2,(درصد),نسبت,13,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
قزوين,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
قزوين,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
قزوين,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
قم,bank_loans_to_deposits_ratio_pct,1398,51.7,(درصد),نسبت,28,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
قم,bank_loans_to_deposits_ratio_pct,1399,55.3,(درصد),نسبت,23,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
قم,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
قم,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
قم,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کردستان,bank_loans_to_deposits_ratio_pct,1398,73,(درصد),نسبت,16,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کردستان,bank_loans_to_deposits_ratio_pct,1399,67.9,(درصد),نسبت,14,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کردستان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کردستان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کردستان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کرمان,bank_loans_to_deposits_ratio_pct,1398,71.7,(درصد),نسبت,17,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کرمان,bank_loans_to_deposits_ratio_pct,1399,53.2,(درصد),نسبت,25,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کرمان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کرمان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کرمان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کرمانشاه,bank_loans_to_deposits_ratio_pct,1398,79.9,(درصد),نسبت,12,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کرمانشاه,bank_loans_to_deposits_ratio_pct,1399,75.4,(درصد),نسبت,12,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کرمانشاه,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کرمانشاه,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کرمانشاه,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
كهگیلويه و بوير احمد,bank_loans_to_deposits_ratio_pct,1398,105.5,(درصد),نسبت,1,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
كهگیلويه و بوير احمد,bank_loans_to_deposits_ratio_pct,1399,93.9,(درصد),نسبت,3,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
كهگیلويه و بوير احمد,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
كهگیلويه و بوير احمد,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
كهگیلويه و بوير احمد,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
گلستان,bank_loans_to_deposits_ratio_pct,1398,88.7,(درصد),نسبت,6,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
گلستان,bank_loans_to_deposits_ratio_pct,1399,81.3,(درصد),نسبت,9,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
گلستان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
گلستان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
گلستان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
گيلان,bank_loans_to_deposits_ratio_pct,1398,68.2,(درصد),نسبت,18,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
گيلان,bank_loans_to_deposits_ratio_pct,1399,57.4,(درصد),نسبت,21,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
گيلان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
گيلان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
گيلان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
لرستان,bank_loans_to_deposits_ratio_pct,1398,90,(درصد),نسبت,5,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
لرستان,bank_loans_to_deposits_ratio_pct,1399,83.3,(درصد),نسبت,6,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
لرستان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
لرستان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
لرستان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
مازندران,bank_loans_to_deposits_ratio_pct,1398,75.1,(درصد),نسبت,15,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
مازندران,bank_loans_to_deposits_ratio_pct,1399,66.6,(درصد),نسبت,15,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
مازندران,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
مازندران,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
مازندران,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
مرکزي,bank_loans_to_deposits_ratio_pct,1398,65.1,(درصد),نسبت,21,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
مرکزي,bank_loans_to_deposits_ratio_pct,1399,59.6,(درصد),نسبت,18,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
مرکزي,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
مرکزي,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
مرکزي,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
هرمزگان,bank_loans_to_deposits_ratio_pct,1398,63.4,(درصد),نسبت,22,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
هرمزگان,bank_loans_to_deposits_ratio_pct,1399,58.6,(درصد),نسبت,20,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
هرمزگان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
هرمزگان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
هرمزگان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
همدان,bank_loans_to_deposits_ratio_pct,1398,65.2,(درصد),نسبت,20,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
همدان,bank_loans_to_deposits_ratio_pct,1399,62.3,(درصد),نسبت,17,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
همدان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
همدان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
همدان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
يزد,bank_loans_to_deposits_ratio_pct,1398,76.9,(درصد),نسبت,13,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
يزد,bank_loans_to_deposits_ratio_pct,1399,63.9,(درصد),نسبت,16,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
يزد,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
يزد,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
يزد,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کل کشور,insurance_premium_written_share_pct,1397,100,(درصد),سهم,××,jaygah_1398-1402,9- توزیع حق بیمه تولیدی
