country_iso3,category,commodity,unit,year,value,flag,source_yearbook_edition
ARG,INDUSTRIAL MINERALS,"Clay, Kaolin","metric tons, gross weight",2020,20628,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Kaolin","metric tons, gross weight",2021,21000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Diatomite,"metric tons, gross weight",2014,52039,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Diatomite,"metric tons, gross weight",2015,60951,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Diatomite,"metric tons, gross weight",2016,57113,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Diatomite,"metric tons, gross weight",2017,70419,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Diatomite,"metric tons, gross weight",2018,72419,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Diatomite,"metric tons, gross weight",2019,94610,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Diatomite,"metric tons, gross weight",2020,98575,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Diatomite,"metric tons, gross weight",2021,100000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Feldspar,"metric tons, gross weight",2015,186974,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Feldspar,"metric tons, gross weight",2016,155217,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Feldspar,"metric tons, gross weight",2017,88465,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Feldspar,"metric tons, gross weight",2018,56500,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Feldspar,"metric tons, gross weight",2019,50000,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Feldspar,"metric tons, gross weight",2020,32000,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Feldspar,"metric tons, gross weight",2021,90000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Feldspar, mine","metric tons, gross weight",2014,162854,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Feldspar, mine","metric tons, gross weight",2015,186974,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Feldspar, mine","metric tons, gross weight",2016,155217,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Feldspar, mine","metric tons, gross weight",2017,88465,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Feldspar, mine","metric tons, gross weight",2018,56500,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Fluorspar,"metric tons, gross weight",2014,39433,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Fluorspar,"metric tons, gross weight",2015,65282,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Fluorspar,"metric tons, gross weight",2016,14222,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Fluorspar,"metric tons, gross weight",2017,13696,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Fluorspar,"metric tons, gross weight",2018,7924,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Fluorspar,"metric tons, gross weight",2019,1500,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Fluorspar,"metric tons, gross weight",2020,1500,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Fluorspar,"metric tons, gross weight",2021,1500,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gemstones, Other, unspecified",kilograms,2014,7330,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Gemstones, Other, unspecified",kilograms,2015,11781,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Gemstones, Other, unspecified",kilograms,2016,15863,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Gemstones, Other, unspecified",kilograms,2017,5548,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gemstones, Other, unspecified",kilograms,2018,5000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gemstones, Other, unspecified",kilograms,2019,5000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gemstones, Other, unspecified",kilograms,2020,5000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gemstones, Other, unspecified",kilograms,2021,5000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gemstones, Rhodochrosite",kilograms,2014,58889,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Gemstones, Rhodochrosite",kilograms,2015,79405,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Gemstones, Rhodochrosite",kilograms,2016,48152,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Gemstones, Rhodochrosite",kilograms,2017,15443,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gemstones, Rhodochrosite",kilograms,2018,22534,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gemstones, Rhodochrosite",kilograms,2019,127152,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gemstones, Rhodochrosite",kilograms,2020,120000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gemstones, Rhodochrosite",kilograms,2021,120000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gypsum, mine","metric tons, gross weight",2014,1560960,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Gypsum, mine","metric tons, gross weight",2015,1314655,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Gypsum, mine","metric tons, gross weight",2016,1558390,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Gypsum, mine","metric tons, gross weight",2017,1275608,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gypsum, mine","metric tons, gross weight",2018,897217,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gypsum, mine","metric tons, gross weight",2019,761016,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gypsum, mine","metric tons, gross weight",2020,499092,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Gypsum, mine","metric tons, gross weight",2021,500000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Lithium, Carbonate","metric tons, gross weight",2017,26559,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Lithium, Carbonate","metric tons, gross weight",2018,29707,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Lithium, Carbonate","metric tons, gross weight",2019,29994,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Lithium, Carbonate","metric tons, gross weight",2020,26911,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Lithium, Carbonate","metric tons, gross weight",2021,28520,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Lithium, Chloride","metric tons, gross weight",2017,4501,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Lithium, Chloride","metric tons, gross weight",2018,5005,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Lithium, Chloride","metric tons, gross weight",2019,4284,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Lithium, Chloride","metric tons, gross weight",2020,4836,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Lithium, Chloride","metric tons, gross weight",2021,3723,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium carbonate","metric tons, gross weight",2014,11698,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium carbonate","metric tons, gross weight",2015,21111,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium carbonate","metric tons, gross weight",2016,24409,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium carbonate","metric tons, gross weight",2017,26559,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium carbonate","metric tons, gross weight",2018,29707,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium carbonate","metric tons, gross weight",2019,29994,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium chloride","metric tons, gross weight",2014,7370,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium chloride","metric tons, gross weight",2015,5848,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium chloride","metric tons, gross weight",2016,6468,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium chloride","metric tons, gross weight",2017,4501,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium chloride","metric tons, gross weight",2018,5005,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium, chloride","metric tons, gross weight",2015,5848,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium, chloride","metric tons, gross weight",2016,6468,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium, chloride","metric tons, gross weight",2017,4501,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium, chloride","metric tons, gross weight",2018,5005,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Lithium, Lithium, chloride","metric tons, gross weight",2019,4284,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Mica,"metric tons, gross weight",2014,575,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Mica,"metric tons, gross weight",2015,583,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Mica,"metric tons, gross weight",2016,564,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Mica,"metric tons, gross weight",2017,189,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Mica,"metric tons, gross weight",2018,120,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Mica,"metric tons, gross weight",2019,120,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Mica,"metric tons, gross weight",2020,100,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Mica,"metric tons, gross weight",2021,100,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Perlite,"metric tons, gross weight",2014,22680,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Perlite,"metric tons, gross weight",2015,23282,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Perlite,"metric tons, gross weight",2016,17905,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Perlite,"metric tons, gross weight",2017,19924,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Perlite,"metric tons, gross weight",2018,18794,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Perlite,"metric tons, gross weight",2019,19000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Perlite,"metric tons, gross weight",2020,18000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Perlite,"metric tons, gross weight",2021,18000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Pumice and related materials,"metric tons, gross weight",2014,7320,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Pumice and related materials,"metric tons, gross weight",2015,7110,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Pumice and related materials,"metric tons, gross weight",2016,7000,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Pumice and related materials,"metric tons, gross weight",2017,7000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Pumice and related materials,"metric tons, gross weight",2018,2310,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Pumice and related materials,"metric tons, gross weight",2019,2300,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Pumice and related materials,"metric tons, gross weight",2020,2300,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Pumice and related materials,"metric tons, gross weight",2021,2300,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Salt, common","metric tons, gross weight",2014,1537478,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Salt, common","metric tons, gross weight",2015,1400762,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Salt, common","metric tons, gross weight",2016,1812191,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Salt, common","metric tons, gross weight",2017,1461065,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Salt, common","metric tons, gross weight",2018,1405893,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Salt, common","metric tons, gross weight",2019,1412251,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Salt, common","metric tons, gross weight",2020,1256963,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Salt, common","metric tons, gross weight",2021,1300000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Sand and gravel, industrial, silica","metric tons, gross weight",2015,673253,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Sand and gravel, industrial, silica","metric tons, gross weight",2016,1098056,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Sand and gravel, industrial, silica","metric tons, gross weight",2017,1136740,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Sand and gravel, industrial, silica","metric tons, gross weight",2018,1599755,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Sand and gravel, industrial, silica","metric tons, gross weight",2019,3942180,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Sand and gravel, industrial, silica","metric tons, gross weight",2020,2435345,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Sand and gravel, industrial, silica","metric tons, gross weight",2021,3600000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Silica, mine","metric tons, gross weight",2014,658673,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Silica, mine","metric tons, gross weight",2015,673253,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Silica, mine","metric tons, gross weight",2016,1098056,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Silica, mine","metric tons, gross weight",2017,949313,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Silica, mine","metric tons, gross weight",2018,950000,e,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Construction","metric tons, gross weight",2014,42748291,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Construction","metric tons, gross weight",2015,43531705,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Construction","metric tons, gross weight",2016,37149385,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Construction","metric tons, gross weight",2017,39902023,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Construction","metric tons, gross weight",2018,22975589,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Gravel","metric tons, gross weight",2014,29963911,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Gravel","metric tons, gross weight",2015,28014042,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Gravel","metric tons, gross weight",2016,18578513,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Gravel","metric tons, gross weight",2017,17560089,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Gravel","metric tons, gross weight",2018,16221770,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Gravel","metric tons, gross weight",2019,17000000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Gravel","metric tons, gross weight",2020,3932821,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Gravel","metric tons, gross weight",2021,17000000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Sand","metric tons, gross weight",2015,43531705,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Sand","metric tons, gross weight",2016,37149385,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Sand","metric tons, gross weight",2017,39902023,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Sand","metric tons, gross weight",2018,22975589,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Sand","metric tons, gross weight",2019,21027517,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Sand","metric tons, gross weight",2020,14802117,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Sand and gravel, Sand","metric tons, gross weight",2021,15000000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Basalt","metric tons, gross weight",2014,1826751,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Basalt","metric tons, gross weight",2015,2120290,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Basalt","metric tons, gross weight",2016,1639955,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Basalt","metric tons, gross weight",2017,2766811,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Basalt","metric tons, gross weight",2018,1390000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Basalt","metric tons, gross weight",2019,1072094,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Basalt","metric tons, gross weight",2020,974161,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Basalt","metric tons, gross weight",2021,1000000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Dolomite, calcareous","metric tons, gross weight",2014,1280570,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Dolomite, calcareous","metric tons, gross weight",2015,1616428,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Dolomite, calcareous","metric tons, gross weight",2016,2730786,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Dolomite, calcareous","metric tons, gross weight",2017,1790178,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Dolomite, calcareous","metric tons, gross weight",2018,2351264,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Dolomite, calcareous","metric tons, gross weight",2019,920602,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Dolomite, calcareous","metric tons, gross weight",2020,577794,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Dolomite, calcareous","metric tons, gross weight",2021,700000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Granite, block","metric tons, gross weight",2014,30808,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Granite, block","metric tons, gross weight",2015,39353,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Granite, block","metric tons, gross weight",2016,11768,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Granite, block","metric tons, gross weight",2017,41680,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Granite, block","metric tons, gross weight",2018,40000,e,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Granite, block","metric tons, gross weight",2019,31146,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Limestone, calcareous","metric tons, gross weight",2014,20220775,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Limestone, calcareous","metric tons, gross weight",2015,21543473,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Limestone, calcareous","metric tons, gross weight",2016,19798241,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Limestone, calcareous","metric tons, gross weight",2017,20649475,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Limestone, calcareous","metric tons, gross weight",2018,19797787,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Limestone, calcareous","metric tons, gross weight",2019,5494773,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Limestone, calcareous","metric tons, gross weight",2020,3930767,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Limestone, calcareous","metric tons, gross weight",2021,5000000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Serpentine","metric tons, gross weight",2014,346800,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Serpentine","metric tons, gross weight",2015,361800,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Serpentine","metric tons, gross weight",2016,210000,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Serpentine","metric tons, gross weight",2017,52000,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Stone, sand and gravel, construction, Stone, Crushed, Serpentine","metric tons, gross weight",2018,25000,,MYB3-2020-21
