changed,rule,chart_id,primary_source,category,old_title,new_title
Y,faostat-commodity,faostat__Cloves__trade,faostat-fbs+fbsh,Agriculture Trade,"Cloves, imports and exports (1000 tonnes)",Cloves
Y,faostat-commodity,"faostat__Coarse Grain, Total__price",faostat-pp+pa,Agriculture Prices,"Coarse Grain, Total, producer price","Coarse Grain, Total"
Y,faostat-commodity,faostat__Cocoa Beans and products__consumption,faostat-fbs+fbsh,Food Consumption,"Cocoa Beans and products, per-capita food consumption",Cocoa Beans and products
Y,faostat-commodity,faostat__Cocoa Beans and products__trade,faostat-fbs+fbsh,Agriculture Trade,"Cocoa Beans and products, imports and exports (1000 tonnes)",Cocoa Beans and products
Y,faostat-commodity,faostat__Coconut Oil__consumption,faostat-fbs+fbsh,Food Consumption,"Coconut Oil, per-capita food consumption",Coconut Oil
Y,faostat-commodity,faostat__Coconut Oil__trade,faostat-fbs+fbsh,Agriculture Trade,"Coconut Oil, imports and exports (1000 tonnes)",Coconut Oil
Y,faostat-commodity,faostat__Coconuts - Incl Copra__consumption,faostat-fbs+fbsh,Food Consumption,"Coconuts - Incl Copra, per-capita food consumption",Coconuts - Incl Copra
Y,faostat-commodity,faostat__Coconuts - Incl Copra__trade,faostat-fbs+fbsh,Agriculture Trade,"Coconuts - Incl Copra, imports and exports (1000 tonnes)",Coconuts - Incl Copra
Y,faostat-commodity,faostat__Coffee and products__consumption,faostat-fbs+fbsh,Food Consumption,"Coffee and products, per-capita food consumption",Coffee and products
Y,faostat-commodity,faostat__Coffee and products__trade,faostat-fbs+fbsh,Agriculture Trade,"Coffee and products, imports and exports (1000 tonnes)",Coffee and products
Y,faostat-commodity,"faostat__Cotton lint, ginned__price",faostat-pp+pa,Agriculture Prices,"Cotton lint, ginned, producer price","Cotton lint, ginned"
Y,faostat-commodity,"faostat__Cotton lint, ginned__production",faostat-qcl,Agriculture Production,"Cotton lint, ginned, production (tonnes)","Cotton lint, ginned"
Y,faostat-commodity,faostat__Cotton seed__price,faostat-pp+pa,Agriculture Prices,"Cotton seed, producer price",Cotton seed
Y,faostat-commodity,faostat__Cotton seed__production,faostat-qcl,Agriculture Production,"Cotton seed, production (tonnes)",Cotton seed
Y,faostat-commodity,faostat__Cottonseed Oil__consumption,faostat-fbs+fbsh,Food Consumption,"Cottonseed Oil, per-capita food consumption",Cottonseed Oil
Y,faostat-commodity,faostat__Cottonseed Oil__trade,faostat-fbs+fbsh,Agriculture Trade,"Cottonseed Oil, imports and exports (1000 tonnes)",Cottonseed Oil
Y,faostat-commodity,faostat__Cottonseed oil__production,faostat-qcl,Agriculture Production,"Cottonseed oil, production (tonnes)",Cottonseed oil
Y,faostat-commodity,faostat__Cottonseed__trade,faostat-fbs+fbsh,Agriculture Trade,"Cottonseed, imports and exports (1000 tonnes)",Cottonseed
Y,faostat-commodity,"faostat__Cream, fresh__production",faostat-qcl,Agriculture Production,"Cream, fresh, production (tonnes)","Cream, fresh"
Y,faostat-commodity,faostat__Cream__consumption,faostat-fbs+fbsh,Food Consumption,"Cream, per-capita food consumption",Cream
Y,faostat-commodity,faostat__Cream__trade,faostat-fbs+fbsh,Agriculture Trade,"Cream, imports and exports (1000 tonnes)",Cream
Y,faostat-commodity,faostat__Crustaceans__consumption,faostat-fbs+fbsh,Food Consumption,"Crustaceans, per-capita food consumption",Crustaceans
Y,faostat-commodity,faostat__Crustaceans__trade,faostat-fbs+fbsh,Agriculture Trade,"Crustaceans, imports and exports (1000 tonnes)",Crustaceans
Y,faostat-commodity,faostat__Cucumbers and gherkins__price,faostat-pp+pa,Agriculture Prices,"Cucumbers and gherkins, producer price",Cucumbers and gherkins
Y,faostat-commodity,faostat__Cucumbers and gherkins__production,faostat-qcl,Agriculture Production,"Cucumbers and gherkins, Production, Area & Yield",Cucumbers and gherkins
Y,faostat-commodity,faostat__Dates__consumption,faostat-fbs+fbsh,Food Consumption,"Dates, per-capita food consumption",Dates
Y,faostat-commodity,faostat__Dates__price,faostat-pp+pa,Agriculture Prices,"Dates, producer price",Dates
Y,faostat-commodity,faostat__Dates__production,faostat-qcl,Agriculture Production,"Dates, Production, Area & Yield",Dates
Y,faostat-commodity,faostat__Dates__trade,faostat-fbs+fbsh,Agriculture Trade,"Dates, imports and exports (1000 tonnes)",Dates
Y,faostat-commodity,faostat__Demersal Fish__consumption,faostat-fbs+fbsh,Food Consumption,"Demersal Fish, per-capita food consumption",Demersal Fish
Y,faostat-commodity,faostat__Demersal Fish__trade,faostat-fbs+fbsh,Agriculture Trade,"Demersal Fish, imports and exports (1000 tonnes)",Demersal Fish
Y,faostat-commodity,faostat__Ducks__production,faostat-qcl,Agriculture Production,"Ducks, livestock stocks (head)",Ducks
Y,faostat-commodity,"faostat__Edible offal of buffalo, fresh, chilled or frozen__production",faostat-qcl,Agriculture Production,"Edible offal of buffalo, fresh, chilled or frozen, Production, Area & Yield","Edible offal of buffalo, fresh, chilled or frozen"
Y,faostat-commodity,"faostat__Edible offal of cattle, fresh, chilled or frozen__production",faostat-qcl,Agriculture Production,"Edible offal of cattle, fresh, chilled or frozen, Production, Area & Yield","Edible offal of cattle, fresh, chilled or frozen"
Y,faostat-commodity,"faostat__Edible offal of goat, fresh, chilled or frozen__production",faostat-qcl,Agriculture Production,"Edible offal of goat, fresh, chilled or frozen, Production, Area & Yield","Edible offal of goat, fresh, chilled or frozen"
Y,faostat-commodity,"faostat__Edible offal of pigs, fresh, chilled or frozen__production",faostat-qcl,Agriculture Production,"Edible offal of pigs, fresh, chilled or frozen, Production, Area & Yield","Edible offal of pigs, fresh, chilled or frozen"
Y,faostat-commodity,"faostat__Edible offal of sheep, fresh, chilled or frozen__production",faostat-qcl,Agriculture Production,"Edible offal of sheep, fresh, chilled or frozen, Production, Area & Yield","Edible offal of sheep, fresh, chilled or frozen"
Y,faostat-commodity,"faostat__Edible offals of camels and other camelids, fresh, chilled or frozen__production",faostat-qcl,Agriculture Production,"Edible offals of camels and other camelids, fresh, chilled or frozen, Production, Area & Yield","Edible offals of camels and other camelids, fresh, chilled or frozen"
Y,faostat-commodity,faostat__Eggplants (aubergines)__price,faostat-pp+pa,Agriculture Prices,"Eggplants (aubergines), producer price",Eggplants (aubergines)
Y,faostat-commodity,faostat__Eggplants (aubergines)__production,faostat-qcl,Agriculture Production,"Eggplants (aubergines), Production, Area & Yield",Eggplants (aubergines)
Y,faostat-commodity,faostat__Eggs Primary__price,faostat-pp+pa,Agriculture Prices,"Eggs Primary, producer price",Eggs Primary
Y,faostat-commodity,faostat__Eggs Primary__production,faostat-qcl,Agriculture Production,"Eggs Primary, Production, Area & Yield",Eggs Primary
Y,faostat-commodity,faostat__Eggs__consumption,faostat-fbs+fbsh,Food Consumption,"Eggs, per-capita food consumption",Eggs
Y,faostat-commodity,faostat__Eggs__trade,faostat-fbs+fbsh,Agriculture Trade,"Eggs, imports and exports (1000 tonnes)",Eggs
Y,faostat-commodity,faostat__Evaporated & Condensed Milk__production,faostat-qcl,Agriculture Production,"Evaporated & Condensed Milk, production (tonnes)",Evaporated & Condensed Milk
Y,faostat-commodity,faostat__Fat of camels__production,faostat-qcl,Agriculture Production,"Fat of camels, Production, Area & Yield",Fat of camels
Y,faostat-commodity,faostat__Fat of pigs__production,faostat-qcl,Agriculture Production,"Fat of pigs, Production, Area & Yield",Fat of pigs
Y,faostat-commodity,"faostat__Fats, Animals, Raw__consumption",faostat-fbs+fbsh,Food Consumption,"Fats, Animals, Raw, per-capita food consumption","Fats, Animals, Raw"
Y,faostat-commodity,"faostat__Fats, Animals, Raw__trade",faostat-fbs+fbsh,Agriculture Trade,"Fats, Animals, Raw, imports and exports (1000 tonnes)","Fats, Animals, Raw"
Y,faostat-commodity,faostat__Fibre Crops Primary__price,faostat-pp+pa,Agriculture Prices,"Fibre Crops Primary, producer price",Fibre Crops Primary
Y,faostat-commodity,"faostat__Fibre Crops, Fibre Equivalent__production",faostat-qcl,Agriculture Production,"Fibre Crops, Fibre Equivalent, Production, Area & Yield","Fibre Crops, Fibre Equivalent"
Y,faostat-commodity,faostat__Figs__price,faostat-pp+pa,Agriculture Prices,"Figs, producer price",Figs
Y,faostat-commodity,faostat__Figs__production,faostat-qcl,Agriculture Production,"Figs, Production, Area & Yield",Figs
Y,faostat-commodity,"faostat__Fish, Body Oil__trade",faostat-fbs+fbsh,Agriculture Trade,"Fish, Body Oil, imports and exports (1000 tonnes)","Fish, Body Oil"
Y,faostat-commodity,"faostat__Fish, Liver Oil__trade",faostat-fbs+fbsh,Agriculture Trade,"Fish, Liver Oil, imports and exports (1000 tonnes)","Fish, Liver Oil"
Y,faostat-commodity,"faostat__Fish, Seafood__consumption",faostat-fbs+fbsh,Food Consumption,"Fish, Seafood, per-capita food consumption","Fish, Seafood"
Y,faostat-commodity,"faostat__Fish, Seafood__trade",faostat-fbs+fbsh,Agriculture Trade,"Fish, Seafood, imports and exports (1000 tonnes)","Fish, Seafood"
Y,faostat-commodity,faostat__Freshwater Fish__consumption,faostat-fbs+fbsh,Food Consumption,"Freshwater Fish, per-capita food consumption",Freshwater Fish
Y,faostat-commodity,faostat__Freshwater Fish__trade,faostat-fbs+fbsh,Agriculture Trade,"Freshwater Fish, imports and exports (1000 tonnes)",Freshwater Fish
Y,faostat-commodity,faostat__Fruit Primary__price,faostat-pp+pa,Agriculture Prices,"Fruit Primary, producer price",Fruit Primary
Y,faostat-commodity,faostat__Fruit Primary__production,faostat-qcl,Agriculture Production,"Fruit Primary, Production, Area & Yield",Fruit Primary
Y,faostat-commodity,"faostat__Fruit excl Melons, Total__price",faostat-pp+pa,Agriculture Prices,"Fruit excl Melons, Total, producer price","Fruit excl Melons, Total"
Y,faostat-commodity,faostat__Fruits - Excluding Wine__consumption,faostat-fbs+fbsh,Food Consumption,"Fruits - Excluding Wine, per-capita food consumption",Fruits - Excluding Wine
Y,faostat-commodity,faostat__Fruits - Excluding Wine__trade,faostat-fbs+fbsh,Agriculture Trade,"Fruits - Excluding Wine, imports and exports (1000 tonnes)",Fruits - Excluding Wine
Y,faostat-commodity,"faostat__Fruits, other__consumption",faostat-fbs+fbsh,Food Consumption,"Fruits, other, per-capita food consumption","Fruits, other"
Y,faostat-commodity,"faostat__Fruits, other__trade",faostat-fbs+fbsh,Agriculture Trade,"Fruits, other, imports and exports (1000 tonnes)","Fruits, other"
Y,faostat-commodity,"faostat__Game meat, fresh, chilled or frozen__price",faostat-pp+pa,Agriculture Prices,"Game meat, fresh, chilled or frozen, producer price","Game meat, fresh, chilled or frozen"
Y,faostat-commodity,"faostat__Game meat, fresh, chilled or frozen__production",faostat-qcl,Agriculture Production,"Game meat, fresh, chilled or frozen, production (tonnes)","Game meat, fresh, chilled or frozen"
Y,faostat-commodity,faostat__Geese__production,faostat-qcl,Agriculture Production,"Geese, livestock stocks (head)",Geese
Y,faostat-commodity,"faostat__Goat fat, unrendered__production",faostat-qcl,Agriculture Production,"Goat fat, unrendered, Production, Area & Yield","Goat fat, unrendered"
Y,faostat-commodity,faostat__Goats__production,faostat-qcl,Agriculture Production,"Goats, livestock stocks (head)",Goats
Y,faostat-commodity,faostat__Grand Total__consumption,faostat-fbs+fbsh,Food Consumption,"Grand Total, per-capita food consumption",Grand Total
Y,faostat-commodity,faostat__Grapefruit and products__consumption,faostat-fbs+fbsh,Food Consumption,"Grapefruit and products, per-capita food consumption",Grapefruit and products
Y,faostat-commodity,faostat__Grapefruit and products__trade,faostat-fbs+fbsh,Agriculture Trade,"Grapefruit and products, imports and exports (1000 tonnes)",Grapefruit and products
Y,faostat-commodity,faostat__Grapes and products (excl wine)__consumption,faostat-fbs+fbsh,Food Consumption,"Grapes and products (excl wine), per-capita food consumption",Grapes and products (excl wine)
Y,faostat-commodity,faostat__Grapes and products (excl wine)__trade,faostat-fbs+fbsh,Agriculture Trade,"Grapes and products (excl wine), imports and exports (1000 tonnes)",Grapes and products (excl wine)
Y,faostat-commodity,faostat__Grapes__price,faostat-pp+pa,Agriculture Prices,"Grapes, producer price",Grapes
Y,faostat-commodity,faostat__Grapes__production,faostat-qcl,Agriculture Production,"Grapes, Production, Area & Yield",Grapes
Y,faostat-commodity,faostat__Green garlic__price,faostat-pp+pa,Agriculture Prices,"Green garlic, producer price",Green garlic
Y,faostat-commodity,faostat__Green garlic__production,faostat-qcl,Agriculture Production,"Green garlic, Production, Area & Yield",Green garlic
