chart_id,title,category,primary_source,verdict,flags,n_variants,n_countries,iran_points,iran_nonzero,iran_span,iran_distinct,iran_ymin,iran_ymax,best_variant
faostat__Cereals n.e.c.__price,Cereals n.e.c.,Agriculture Prices,faostat-pp+pa,OK,,1,5,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Cereals, Other__consumption","Cereals, Other",Food Consumption,faostat-fbs+fbsh,THIN,SPARSE,2,11,28,6,14,5,2010,2023,Food supply (kcal/capita/day)
"faostat__Cereals, Other__trade","Cereals, Other",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,42,10,14,5,2010,2023,Import quantity
"faostat__Cereals, primary__price","Cereals, primary",Agriculture Prices,faostat-pp+pa,OK,,1,10,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Cereals, primary__production","Cereals, primary",Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,64,1961,2024,Area harvested
faostat__Cheese (All Kinds)__production,Cheese (All Kinds),Agriculture Production,faostat-qcl,OK,,1,10,63,63,63,63,1961,2023,Production
"faostat__Cheese from milk of goats, fresh or processed__production","Cheese from milk of goats, fresh or processed",Agriculture Production,faostat-qcl,OK,,1,5,63,63,63,58,1961,2023,Production
"faostat__Cheese from milk of sheep, fresh or processed__production","Cheese from milk of sheep, fresh or processed",Agriculture Production,faostat-qcl,OK,,1,6,63,63,63,50,1961,2023,Production
faostat__Cheese from skimmed cow milk__production,Cheese from skimmed cow milk,Agriculture Production,faostat-qcl,OK,,1,7,63,63,63,63,1961,2023,Production
faostat__Cheese from whole cow milk__production,Cheese from whole cow milk,Agriculture Production,faostat-qcl,OK,,1,10,63,63,63,63,1961,2023,Production
faostat__Cherries__price,Cherries,Agriculture Prices,faostat-pp+pa,OK,,4,7,124,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Cherries__production,Cherries,Agriculture Production,faostat-qcl,OK,,3,7,192,64,64,64,1961,2024,Yield
"faostat__Chick peas, dry__price","Chick peas, dry",Agriculture Prices,faostat-pp+pa,OK,,4,8,159,58,58,58,1966,2023,Producer Price (LCU/tonne)
"faostat__Chick peas, dry__production","Chick peas, dry",Agriculture Production,faostat-qcl,OK,,3,8,192,64,64,63,1961,2024,Area harvested
faostat__Chickens__production,Chickens,Agriculture Production,faostat-qcl,OK,,1,11,64,64,64,56,1961,2024,Stocks
"faostat__Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw__price","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Agriculture Prices,faostat-pp+pa,OK,,2,5,59,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw__production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Agriculture Production,faostat-qcl,OK,,3,6,192,64,64,63,1961,2024,Production
"faostat__Chillies and peppers, green (Capsicum spp. and Pimenta spp.)__price","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Agriculture Prices,faostat-pp+pa,OK,,1,9,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Chillies and peppers, green (Capsicum spp. and Pimenta spp.)__production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Agriculture Production,faostat-qcl,OK,,3,10,105,35,35,35,1990,2024,Area harvested
"faostat__Citrus Fruit, Total__price","Citrus Fruit, Total",Agriculture Prices,faostat-pp+pa,OK,,1,9,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Citrus Fruit, Total__production","Citrus Fruit, Total",Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,64,1961,2024,Area harvested
"faostat__Citrus, Other__consumption","Citrus, Other",Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,52,1961,2023,Food supply quantity (kg/capita/yr)
"faostat__Citrus, Other__trade","Citrus, Other",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,52,1961,2023,Domestic supply quantity
faostat__Cloves__consumption,Cloves,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,37,62,4,1962,2023,Food supply (kcal/capita/day)
"faostat__Coarse Grain, Total__price","Coarse Grain, Total",Agriculture Prices,faostat-pp+pa,OK,,1,10,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Cocoa Beans and products__consumption,Cocoa Beans and products,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,66,63,40,1961,2023,Food supply (kcal/capita/day)
faostat__Cocoa Beans and products__trade,Cocoa Beans and products,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,56,61,23,1963,2023,Domestic supply quantity
faostat__Coconut Oil__consumption,Coconut Oil,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,54,63,44,1961,2023,Food supply (kcal/capita/day)
faostat__Coconut Oil__trade,Coconut Oil,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,93,35,63,10,1961,2023,Domestic supply quantity
faostat__Coconuts - Incl Copra__consumption,Coconuts - Incl Copra,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,56,63,49,1961,2023,Food supply (kcal/capita/day)
faostat__Coconuts - Incl Copra__trade,Coconuts - Incl Copra,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,53,59,35,1965,2023,Domestic supply quantity
faostat__Coffee and products__consumption,Coffee and products,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,50,63,24,1961,2023,Food supply (kcal/capita/day)
faostat__Coffee and products__trade,Coffee and products,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,35,51,21,1973,2023,Domestic supply quantity
"faostat__Cotton lint, ginned__price","Cotton lint, ginned",Agriculture Prices,faostat-pp+pa,OK,,4,7,68,35,35,34,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Cotton lint, ginned__production","Cotton lint, ginned",Agriculture Production,faostat-qcl,OK,,1,9,63,63,63,59,1961,2023,Production
faostat__Cotton seed__price,Cotton seed,Agriculture Prices,faostat-pp+pa,OK,,4,7,69,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Cotton seed__production,Cotton seed,Agriculture Production,faostat-qcl,OK,,1,9,63,63,63,56,1961,2023,Production
faostat__Cottonseed Oil__consumption,Cottonseed Oil,Food Consumption,faostat-fbs+fbsh,OK,,2,10,134,67,63,64,1961,2023,Food supply (kcal/capita/day)
faostat__Cottonseed Oil__trade,Cottonseed Oil,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,84,67,63,48,1961,2023,Domestic supply quantity
faostat__Cottonseed oil__production,Cottonseed oil,Agriculture Production,faostat-qcl,OK,,1,10,63,63,63,63,1961,2023,Production
faostat__Cottonseed__trade,Cottonseed,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,94,67,63,59,1961,2023,Domestic supply quantity
"faostat__Cream, fresh__production","Cream, fresh",Agriculture Production,faostat-qcl,OK,,1,9,63,63,63,63,1961,2023,Production
faostat__Cream__consumption,Cream,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,24,1961,2023,Food supply (kcal/capita/day)
faostat__Cream__trade,Cream,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,89,34,30,13,1994,2023,Domestic supply quantity
faostat__Crustaceans__consumption,Crustaceans,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,30,1961,2023,Food supply (kcal/capita/day)
faostat__Crustaceans__trade,Crustaceans,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,93,67,63,60,1961,2023,Domestic supply quantity
faostat__Cucumbers and gherkins__price,Cucumbers and gherkins,Agriculture Prices,faostat-pp+pa,OK,,4,10,124,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Cucumbers and gherkins__production,Cucumbers and gherkins,Agriculture Production,faostat-qcl,OK,,3,10,192,64,64,63,1961,2024,Yield
faostat__Dates__consumption,Dates,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply (kcal/capita/day)
faostat__Dates__price,Dates,Agriculture Prices,faostat-pp+pa,OK,,4,6,158,57,57,57,1967,2023,Producer Price (LCU/tonne)
faostat__Dates__production,Dates,Agriculture Production,faostat-qcl,OK,,3,6,192,64,64,59,1961,2024,Yield
faostat__Dates__trade,Dates,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,90,67,63,61,1961,2023,Domestic supply quantity
faostat__Demersal Fish__consumption,Demersal Fish,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,66,63,38,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Demersal Fish__trade,Demersal Fish,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,91,67,63,55,1961,2023,Domestic supply quantity
faostat__Ducks__production,Ducks,Agriculture Production,faostat-qcl,OK,,1,9,64,64,64,39,1961,2024,Stocks
"faostat__Edible offal of buffalo, fresh, chilled or frozen__production","Edible offal of buffalo, fresh, chilled or frozen",Agriculture Production,faostat-qcl,OK,,2,6,128,64,64,46,1961,2024,Production
"faostat__Edible offal of cattle, fresh, chilled or frozen__production","Edible offal of cattle, fresh, chilled or frozen",Agriculture Production,faostat-qcl,OK,,2,11,128,64,64,60,1961,2024,Production
"faostat__Edible offal of goat, fresh, chilled or frozen__production","Edible offal of goat, fresh, chilled or frozen",Agriculture Production,faostat-qcl,OK,,2,11,128,64,64,53,1961,2024,Production
"faostat__Edible offal of pigs, fresh, chilled or frozen__production","Edible offal of pigs, fresh, chilled or frozen",Agriculture Production,faostat-qcl,OK,,2,9,76,19,19,5,1961,1979,Production
"faostat__Edible offal of sheep, fresh, chilled or frozen__production","Edible offal of sheep, fresh, chilled or frozen",Agriculture Production,faostat-qcl,OK,,2,11,128,64,64,59,1961,2024,Producing Animals/Slaughtered
"faostat__Edible offals of camels and other camelids, fresh, chilled or frozen__production","Edible offals of camels and other camelids, fresh, chilled or frozen",Agriculture Production,faostat-qcl,OK,,2,5,128,64,64,39,1961,2024,Producing Animals/Slaughtered
faostat__Eggplants (aubergines)__price,Eggplants (aubergines),Agriculture Prices,faostat-pp+pa,OK,,4,9,119,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Eggplants (aubergines)__production,Eggplants (aubergines),Agriculture Production,faostat-qcl,OK,,3,9,105,35,35,35,1990,2024,Area harvested
faostat__Eggs Primary__price,Eggs Primary,Agriculture Prices,faostat-pp+pa,OK,,1,10,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Eggs Primary__production,Eggs Primary,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,59,1961,2024,Yield/Carcass Weight
faostat__Eggs__consumption,Eggs,Food Consumption,faostat-fbs+fbsh,OK,,2,11,268,134,63,81,1961,2023,Food supply (kcal/capita/day)
faostat__Eggs__trade,Eggs,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,190,134,63,64,1961,2023,Domestic supply quantity
faostat__Evaporated & Condensed Milk__production,Evaporated & Condensed Milk,Agriculture Production,faostat-qcl,OK,,1,10,63,53,63,53,1961,2023,Production
faostat__Fat of camels__production,Fat of camels,Agriculture Production,faostat-qcl,OK,,2,5,128,64,64,39,1961,2024,Producing Animals/Slaughtered
faostat__Fat of pigs__production,Fat of pigs,Agriculture Production,faostat-qcl,OK,,2,9,76,19,19,5,1961,1979,Production
"faostat__Fats, Animals, Raw__consumption","Fats, Animals, Raw",Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,38,1961,2023,Food supply (kcal/capita/day)
"faostat__Fats, Animals, Raw__trade","Fats, Animals, Raw",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,37,1961,2023,Domestic supply quantity
faostat__Fibre Crops Primary__price,Fibre Crops Primary,Agriculture Prices,faostat-pp+pa,OK,,1,7,35,35,35,34,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Fibre Crops, Fibre Equivalent__production","Fibre Crops, Fibre Equivalent",Agriculture Production,faostat-qcl,OK,,3,10,192,64,64,63,1961,2024,Area harvested
faostat__Figs__price,Figs,Agriculture Prices,faostat-pp+pa,OK,,4,8,125,46,57,46,1967,2023,Producer Price (LCU/tonne)
faostat__Figs__production,Figs,Agriculture Production,faostat-qcl,OK,,3,9,192,64,64,47,1961,2024,Yield
"faostat__Fish, Body Oil__trade","Fish, Body Oil",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,90,35,53,16,1961,2013,Domestic supply quantity
"faostat__Fish, Liver Oil__trade","Fish, Liver Oil",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,89,15,18,7,1996,2013,Domestic supply quantity
"faostat__Fish, Seafood__consumption","Fish, Seafood",Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,62,1961,2023,Food supply quantity (kg/capita/yr)
"faostat__Fish, Seafood__trade","Fish, Seafood",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,64,1961,2023,Domestic supply quantity
faostat__Freshwater Fish__consumption,Freshwater Fish,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,64,1961,2023,Food supply (kcal/capita/day)
faostat__Freshwater Fish__trade,Freshwater Fish,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,63,1961,2023,Domestic supply quantity
faostat__Fruit Primary__price,Fruit Primary,Agriculture Prices,faostat-pp+pa,OK,,1,10,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Fruit Primary__production,Fruit Primary,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,64,1961,2024,Area harvested
"faostat__Fruit excl Melons, Total__price","Fruit excl Melons, Total",Agriculture Prices,faostat-pp+pa,OK,,1,10,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Fruits - Excluding Wine__consumption,Fruits - Excluding Wine,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Fruits - Excluding Wine__trade,Fruits - Excluding Wine,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,66,1961,2023,Domestic supply quantity
"faostat__Fruits, other__consumption","Fruits, other",Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,66,1961,2023,Food supply (kcal/capita/day)
"faostat__Fruits, other__trade","Fruits, other",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,65,1961,2023,Domestic supply quantity
"faostat__Game meat, fresh, chilled or frozen__price","Game meat, fresh, chilled or frozen",Agriculture Prices,faostat-pp+pa,OK,,2,4,59,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Game meat, fresh, chilled or frozen__production","Game meat, fresh, chilled or frozen",Agriculture Production,faostat-qcl,OK,,1,4,64,64,64,42,1961,2024,Production
faostat__Geese__production,Geese,Agriculture Production,faostat-qcl,OK,,1,8,64,64,64,38,1961,2024,Stocks
"faostat__Goat fat, unrendered__production","Goat fat, unrendered",Agriculture Production,faostat-qcl,OK,,2,11,128,64,64,53,1961,2024,Production
faostat__Goats__production,Goats,Agriculture Production,faostat-qcl,OK,,1,11,64,64,64,51,1961,2024,Stocks
faostat__Grand Total__consumption,Grand Total,Food Consumption,faostat-fbs+fbsh,OK,,1,11,67,67,63,65,1961,2023,Food supply (kcal/capita/day)
faostat__Grapefruit and products__consumption,Grapefruit and products,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,45,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Grapefruit and products__trade,Grapefruit and products,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,43,1961,2023,Domestic supply quantity
faostat__Grapes and products (excl wine)__consumption,Grapes and products (excl wine),Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,65,1961,2023,Food supply (kcal/capita/day)
faostat__Grapes and products (excl wine)__trade,Grapes and products (excl wine),Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,66,1961,2023,Domestic supply quantity
faostat__Grapes__price,Grapes,Agriculture Prices,faostat-pp+pa,OK,,4,11,158,57,57,57,1967,2023,Producer Price (LCU/tonne)
faostat__Grapes__production,Grapes,Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,62,1961,2024,Yield
faostat__Green garlic__price,Green garlic,Agriculture Prices,faostat-pp+pa,OK,,4,10,119,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Green garlic__production,Green garlic,Agriculture Production,faostat-qcl,OK,,3,10,105,35,35,35,1990,2024,Area harvested
