chart_id,action,n_variants_before,keep_variant_codes,drop_reason,split_into,notes
iran_provincial__financial_markets_insurance_1397_1401,split,128,bank_loans_to_deposits_ratio_pct_آذربايجان_شرقي|bank_loans_to_deposits_ratio_pct_آذربايجان_غربي|bank_loans_to_deposits_ratio_pct_اردبيل|bank_loans_to_deposits_ratio_pct_اصفهان|bank_loans_to_deposits_ratio_pct_البرز|bank_loans_to_deposits_ratio_pct_ايلام|bank_loans_to_deposits_ratio_pct_بوشهر|bank_loans_to_deposits_ratio_pct_تهران|bank_loans_to_deposits_ratio_pct_خراسان_جنوبی|bank_loans_to_deposits_ratio_pct_خراسان_رضوی|bank_loans_to_deposits_ratio_pct_خراسان_شمالی|bank_loans_to_deposits_ratio_pct_خوزستان|bank_loans_to_deposits_ratio_pct_زنجان|bank_loans_to_deposits_ratio_pct_سمنان|bank_loans_to_deposits_ratio_pct_سيستان_و_بلوچستان|bank_loans_to_deposits_ratio_pct_فارس|bank_loans_to_deposits_ratio_pct_قزوين|bank_loans_to_deposits_ratio_pct_قم|bank_loans_to_deposits_ratio_pct_كهگیلويه_و_بوير_احمد|bank_loans_to_deposits_ratio_pct_لرستان|bank_loans_to_deposits_ratio_pct_مازندران|bank_loans_to_deposits_ratio_pct_مرکزي|bank_loans_to_deposits_ratio_pct_هرمزگان|bank_loans_to_deposits_ratio_pct_همدان|bank_loans_to_deposits_ratio_pct_يزد|bank_loans_to_deposits_ratio_pct_چهارمحال_و_بختیاری|bank_loans_to_deposits_ratio_pct_کردستان|bank_loans_to_deposits_ratio_pct_کرمان|bank_loans_to_deposits_ratio_pct_کرمانشاه|bank_loans_to_deposits_ratio_pct_کل_کشور|bank_loans_to_deposits_ratio_pct_گلستان|bank_loans_to_deposits_ratio_pct_گيلان|insurance_premium_per_capita_million_rial_آذربايجان_شرقي|insurance_premium_per_capita_million_rial_آذربايجان_غربي|insurance_premium_per_capita_million_rial_اردبيل|insurance_premium_per_capita_million_rial_اصفهان|insurance_premium_per_capita_million_rial_البرز|insurance_premium_per_capita_million_rial_ايلام|insurance_premium_per_capita_million_rial_بوشهر|insurance_premium_per_capita_million_rial_تهران|insurance_premium_per_capita_million_rial_خراسان_جنوبی|insurance_premium_per_capita_million_rial_خراسان_رضوی|insurance_premium_per_capita_million_rial_خراسان_شمالی|insurance_premium_per_capita_million_rial_خوزستان|insurance_premium_per_capita_million_rial_زنجان|insurance_premium_per_capita_million_rial_سمنان|insurance_premium_per_capita_million_rial_سيستان_و_بلوچستان|insurance_premium_per_capita_million_rial_فارس|insurance_premium_per_capita_million_rial_قزوين|insurance_premium_per_capita_million_rial_قم|insurance_premium_per_capita_million_rial_كهگیلويه_و_بوير_احمد|insurance_premium_per_capita_million_rial_لرستان|insurance_premium_per_capita_million_rial_مازندران|insurance_premium_per_capita_million_rial_مرکزي|insurance_premium_per_capita_million_rial_هرمزگان|insurance_premium_per_capita_million_rial_همدان|insurance_premium_per_capita_million_rial_يزد|insurance_premium_per_capita_million_rial_چهارمحال_و_بختیاری|insurance_premium_per_capita_million_rial_کردستان|insurance_premium_per_capita_million_rial_کرمان|insurance_premium_per_capita_million_rial_کرمانشاه|insurance_premium_per_capita_million_rial_کل_کشور|insurance_premium_per_capita_million_rial_گلستان|insurance_premium_per_capita_million_rial_گيلان|insurance_claims_paid_share_pct_آذربايجان_شرقي|insurance_claims_paid_share_pct_آذربايجان_غربي|insurance_claims_paid_share_pct_اردبيل|insurance_claims_paid_share_pct_اصفهان|insurance_claims_paid_share_pct_البرز|insurance_claims_paid_share_pct_ايلام|insurance_claims_paid_share_pct_بوشهر|insurance_claims_paid_share_pct_تهران|insurance_claims_paid_share_pct_خراسان_جنوبی|insurance_claims_paid_share_pct_خراسان_رضوی|insurance_claims_paid_share_pct_خراسان_شمالی|insurance_claims_paid_share_pct_خوزستان|insurance_claims_paid_share_pct_زنجان|insurance_claims_paid_share_pct_سمنان|insurance_claims_paid_share_pct_سيستان_و_بلوچستان|insurance_claims_paid_share_pct_فارس|insurance_claims_paid_share_pct_قزوين|insurance_claims_paid_share_pct_قم|insurance_claims_paid_share_pct_كهگیلويه_و_بوير_احمد|insurance_claims_paid_share_pct_لرستان|insurance_claims_paid_share_pct_مازندران|insurance_claims_paid_share_pct_مرکزي|insurance_claims_paid_share_pct_هرمزگان|insurance_claims_paid_share_pct_همدان|insurance_claims_paid_share_pct_يزد|insurance_claims_paid_share_pct_چهارمحال_و_بختیاری|insurance_claims_paid_share_pct_کردستان|insurance_claims_paid_share_pct_کرمان|insurance_claims_paid_share_pct_کرمانشاه|insurance_claims_paid_share_pct_کل_کشور|insurance_claims_paid_share_pct_گلستان|insurance_claims_paid_share_pct_گيلان|insurance_premium_written_share_pct_آذربايجان_شرقي|insurance_premium_written_share_pct_آذربايجان_غربي|insurance_premium_written_share_pct_اردبيل|insurance_premium_written_share_pct_اصفهان|insurance_premium_written_share_pct_البرز|insurance_premium_written_share_pct_ايلام|insurance_premium_written_share_pct_بوشهر|insurance_premium_written_share_pct_تهران|insurance_premium_written_share_pct_خراسان_جنوبی|insurance_premium_written_share_pct_خراسان_رضوی|insurance_premium_written_share_pct_خراسان_شمالی|insurance_premium_written_share_pct_خوزستان|insurance_premium_written_share_pct_زنجان|insurance_premium_written_share_pct_سمنان|insurance_premium_written_share_pct_سيستان_و_بلوچستان|insurance_premium_written_share_pct_فارس|insurance_premium_written_share_pct_قزوين|insurance_premium_written_share_pct_قم|insurance_premium_written_share_pct_كهگیلويه_و_بوير_احمد|insurance_premium_written_share_pct_لرستان|insurance_premium_written_share_pct_مازندران|insurance_premium_written_share_pct_مرکزي|insurance_premium_written_share_pct_هرمزگان|insurance_premium_written_share_pct_همدان|insurance_premium_written_share_pct_يزد|insurance_premium_written_share_pct_چهارمحال_و_بختیاری|insurance_premium_written_share_pct_کردستان|insurance_premium_written_share_pct_کرمان|insurance_premium_written_share_pct_کرمانشاه|insurance_premium_written_share_pct_کل_کشور|insurance_premium_written_share_pct_گلستان|insurance_premium_written_share_pct_گيلان,"No variants dropped within each measure -- province is the informative dimension for a ""by Province"" chart (kept consistent with iran_census province-chart treatment). All 128 variants are retained, just regrouped into 4 single-measure charts instead of 1 four-measure chart.",Bank Loan-to-Deposit Ratio by Province (SH1397-1401) [32 variants: bank_loans_to_deposits_ratio_pct_*] | Insurance Premium Per Capita by Province (SH1397-1401) [32 variants: insurance_premium_per_capita_million_rial_*] | Insurance Claims Paid Share by Province (SH1397-1401) [32 variants: insurance_claims_paid_share_pct_*] | Insurance Premium Written Share by Province (SH1397-1401) [32 variants: insurance_premium_written_share_pct_*],"Title ""Financial Markets Insurance"" bundles 4 unrelated measures (1 banking ratio + 3 insurance stats), each x ~32 provinces (31 provinces + national total). Split by measure, one clean province map per chart, matching the household-size/sex-ratio province-chart precedent of keeping full province breakdown."
iran_provincial__foreign_investment_1398_1400,keep,32,foreign_investment_value_thousand_usd_آذربايجان_شرقي|foreign_investment_value_thousand_usd_آذربايجان_غربي|foreign_investment_value_thousand_usd_اردبيل|foreign_investment_value_thousand_usd_اصفهان|foreign_investment_value_thousand_usd_البرز|foreign_investment_value_thousand_usd_ايلام|foreign_investment_value_thousand_usd_بوشهر|foreign_investment_value_thousand_usd_تهران|foreign_investment_value_thousand_usd_خراسان_جنوبي|foreign_investment_value_thousand_usd_خراسان_رضوي|foreign_investment_value_thousand_usd_خراسان_شمالي|foreign_investment_value_thousand_usd_خوزستان|foreign_investment_value_thousand_usd_زنجان|foreign_investment_value_thousand_usd_سمنان|foreign_investment_value_thousand_usd_سيستان_و_بلوچستان|foreign_investment_value_thousand_usd_فارس|foreign_investment_value_thousand_usd_قزوين|foreign_investment_value_thousand_usd_قم|foreign_investment_value_thousand_usd_لرستان|foreign_investment_value_thousand_usd_مازندران|foreign_investment_value_thousand_usd_مرکزي|foreign_investment_value_thousand_usd_هرمزگان|foreign_investment_value_thousand_usd_همدان|foreign_investment_value_thousand_usd_يزد|foreign_investment_value_thousand_usd_چهارمحال_و_بختياري|foreign_investment_value_thousand_usd_کردستان|foreign_investment_value_thousand_usd_کرمان|foreign_investment_value_thousand_usd_کرمانشاه|foreign_investment_value_thousand_usd_کل_کشور_1|foreign_investment_value_thousand_usd_کهگيلويه_و_بويراحمد|foreign_investment_value_thousand_usd_گلستان|foreign_investment_value_thousand_usd_گيلان,,,"Single measure (foreign_investment_value_thousand_usd), one variant per province -- province is the point of the chart. Not a cross-tab explosion. Keep all."
iran_provincial__gdp_per_capita_excl_oil_1393_1397,keep,32,gdp_per_capita_excl_oil_thousand_rial_آذربايجان_شرقي|gdp_per_capita_excl_oil_thousand_rial_آذربايجان_غربي|gdp_per_capita_excl_oil_thousand_rial_اردبيل|gdp_per_capita_excl_oil_thousand_rial_اصفهان|gdp_per_capita_excl_oil_thousand_rial_البرز|gdp_per_capita_excl_oil_thousand_rial_ايلام|gdp_per_capita_excl_oil_thousand_rial_بوشهر|gdp_per_capita_excl_oil_thousand_rial_تهران|gdp_per_capita_excl_oil_thousand_rial_خراسان_جنوبی|gdp_per_capita_excl_oil_thousand_rial_خراسان_رضوی|gdp_per_capita_excl_oil_thousand_rial_خراسان_شمالی|gdp_per_capita_excl_oil_thousand_rial_خوزستان|gdp_per_capita_excl_oil_thousand_rial_زنجان|gdp_per_capita_excl_oil_thousand_rial_سمنان|gdp_per_capita_excl_oil_thousand_rial_سيستان_و_بلوچستان|gdp_per_capita_excl_oil_thousand_rial_فارس|gdp_per_capita_excl_oil_thousand_rial_قزوين|gdp_per_capita_excl_oil_thousand_rial_قم|gdp_per_capita_excl_oil_thousand_rial_كهگیلويه_و_بوير_احمد|gdp_per_capita_excl_oil_thousand_rial_لرستان|gdp_per_capita_excl_oil_thousand_rial_مازندران|gdp_per_capita_excl_oil_thousand_rial_مرکزي|gdp_per_capita_excl_oil_thousand_rial_هرمزگان|gdp_per_capita_excl_oil_thousand_rial_همدان|gdp_per_capita_excl_oil_thousand_rial_يزد|gdp_per_capita_excl_oil_thousand_rial_چهارمحال_و_بختیاری|gdp_per_capita_excl_oil_thousand_rial_کردستان|gdp_per_capita_excl_oil_thousand_rial_کرمان|gdp_per_capita_excl_oil_thousand_rial_کرمانشاه|gdp_per_capita_excl_oil_thousand_rial_کل_کشور|gdp_per_capita_excl_oil_thousand_rial_گلستان|gdp_per_capita_excl_oil_thousand_rial_گيلان,,,"Single measure (non-oil GDP per capita), one variant per province -- province is the point of the chart. Keep all."
iran_provincial__government_budget_execution_1397_1401,split,64,capital_expenditure_share_pct_آذربايجان_شرقي|capital_expenditure_share_pct_آذربايجان_غربي|capital_expenditure_share_pct_اردبيل|capital_expenditure_share_pct_اصفهان|capital_expenditure_share_pct_البرز|capital_expenditure_share_pct_ايلام|capital_expenditure_share_pct_بوشهر|capital_expenditure_share_pct_تهران|capital_expenditure_share_pct_خراسان_جنوبي|capital_expenditure_share_pct_خراسان_رضوي|capital_expenditure_share_pct_خراسان_شمالي|capital_expenditure_share_pct_خوزستان|capital_expenditure_share_pct_زنجان|capital_expenditure_share_pct_سمنان|capital_expenditure_share_pct_سيستان_و_بلوچستان|capital_expenditure_share_pct_فارس|capital_expenditure_share_pct_قزوين|capital_expenditure_share_pct_قم|capital_expenditure_share_pct_كردستان|capital_expenditure_share_pct_كرمان|capital_expenditure_share_pct_كرمانشاه|capital_expenditure_share_pct_كهگيلويه_و_بوير_احمد|capital_expenditure_share_pct_لرستان|capital_expenditure_share_pct_مازندران|capital_expenditure_share_pct_مركزي|capital_expenditure_share_pct_هرمزگان|capital_expenditure_share_pct_همدان|capital_expenditure_share_pct_يزد|capital_expenditure_share_pct_چهار_محال_و_بختياري|capital_expenditure_share_pct_کل_کشور|capital_expenditure_share_pct_گلستان|capital_expenditure_share_pct_گيلان|current_expenditure_share_pct_آذربايجان_شرقي|current_expenditure_share_pct_آذربايجان_غربي|current_expenditure_share_pct_اردبيل|current_expenditure_share_pct_اصفهان|current_expenditure_share_pct_البرز|current_expenditure_share_pct_ايلام|current_expenditure_share_pct_بوشهر|current_expenditure_share_pct_تهران|current_expenditure_share_pct_خراسان_جنوبي|current_expenditure_share_pct_خراسان_رضوي|current_expenditure_share_pct_خراسان_شمالي|current_expenditure_share_pct_خوزستان|current_expenditure_share_pct_زنجان|current_expenditure_share_pct_سمنان|current_expenditure_share_pct_سيستان_و_بلوچستان|current_expenditure_share_pct_فارس|current_expenditure_share_pct_قزوين|current_expenditure_share_pct_قم|current_expenditure_share_pct_كردستان|current_expenditure_share_pct_كرمان|current_expenditure_share_pct_كرمانشاه|current_expenditure_share_pct_كهگيلويه_و_بوير_احمد|current_expenditure_share_pct_لرستان|current_expenditure_share_pct_مازندران|current_expenditure_share_pct_مركزي|current_expenditure_share_pct_هرمزگان|current_expenditure_share_pct_همدان|current_expenditure_share_pct_يزد|current_expenditure_share_pct_چهار_محال_و_بختياري|current_expenditure_share_pct_کل_کشور|current_expenditure_share_pct_گلستان|current_expenditure_share_pct_گيلان,No variants dropped -- province is the informative dimension. Just regrouped into 2 single-measure charts.,Capital Expenditure Budget Execution Share by Province (SH1397-1401) [32 variants: capital_expenditure_share_pct_*] | Current Expenditure Budget Execution Share by Province (SH1397-1401) [32 variants: current_expenditure_share_pct_*],"Two measures (capital vs. current expenditure share) x ~32 provinces jammed into one chart. Split by measure, keep full province breakdown in each (consistent with province-chart precedent)."
iran_provincial__industry_workshops_1396_1400,split,64,industrial_production_value_share_pct_آذربايجان_شرقي|industrial_production_value_share_pct_آذربايجان_غربي|industrial_production_value_share_pct_اردبيل|industrial_production_value_share_pct_اصفهان|industrial_production_value_share_pct_البرز|industrial_production_value_share_pct_ايلام|industrial_production_value_share_pct_بوشهر|industrial_production_value_share_pct_تهران|industrial_production_value_share_pct_خراسان_جنوبي|industrial_production_value_share_pct_خراسان_رضوي|industrial_production_value_share_pct_خراسان_شمالي|industrial_production_value_share_pct_خوزستان|industrial_production_value_share_pct_زنجان|industrial_production_value_share_pct_سمنان|industrial_production_value_share_pct_سيستان_و_بلوچستان|industrial_production_value_share_pct_فارس|industrial_production_value_share_pct_قزوين|industrial_production_value_share_pct_قم|industrial_production_value_share_pct_كردستان|industrial_production_value_share_pct_كرمان|industrial_production_value_share_pct_كرمانشاه|industrial_production_value_share_pct_كهگيلويه_و_بوير_احمد|industrial_production_value_share_pct_لرستان|industrial_production_value_share_pct_مازندران|industrial_production_value_share_pct_مركزي|industrial_production_value_share_pct_هرمزگان|industrial_production_value_share_pct_همدان|industrial_production_value_share_pct_يزد|industrial_production_value_share_pct_چهار_محال_و_بختياري|industrial_production_value_share_pct_کل_كشور|industrial_production_value_share_pct_گلستان|industrial_production_value_share_pct_گيلان|industrial_workshop_count_share_pct_آذربايجان_شرقي|industrial_workshop_count_share_pct_آذربايجان_غربي|industrial_workshop_count_share_pct_اردبيل|industrial_workshop_count_share_pct_اصفهان|industrial_workshop_count_share_pct_البرز|industrial_workshop_count_share_pct_ايلام|industrial_workshop_count_share_pct_بوشهر|industrial_workshop_count_share_pct_تهران|industrial_workshop_count_share_pct_خراسان_جنوبي|industrial_workshop_count_share_pct_خراسان_رضوي|industrial_workshop_count_share_pct_خراسان_شمالي|industrial_workshop_count_share_pct_خوزستان|industrial_workshop_count_share_pct_زنجان|industrial_workshop_count_share_pct_سمنان|industrial_workshop_count_share_pct_سيستان_و_بلوچستان|industrial_workshop_count_share_pct_فارس|industrial_workshop_count_share_pct_قزوين|industrial_workshop_count_share_pct_قم|industrial_workshop_count_share_pct_كردستان|industrial_workshop_count_share_pct_كرمان|industrial_workshop_count_share_pct_كرمانشاه|industrial_workshop_count_share_pct_كهگيلويه_و_بوير_احمد|industrial_workshop_count_share_pct_لرستان|industrial_workshop_count_share_pct_مازندران|industrial_workshop_count_share_pct_مركزي|industrial_workshop_count_share_pct_هرمزگان|industrial_workshop_count_share_pct_همدان|industrial_workshop_count_share_pct_يزد|industrial_workshop_count_share_pct_چهار_محال_و_بختياري|industrial_workshop_count_share_pct_کل_كشور|industrial_workshop_count_share_pct_گلستان|industrial_workshop_count_share_pct_گيلان,No variants dropped -- province is the informative dimension. Just regrouped into 2 single-measure charts.,Industrial Production Value Share by Province (SH1396-1400) [32 variants: industrial_production_value_share_pct_*] | Industrial Workshop Count Share by Province (SH1396-1400) [32 variants: industrial_workshop_count_share_pct_*],"Two measures (production value share vs. workshop count share, both for 10+-employee workshops) x ~32 provinces jammed into one chart. Split by measure, keep full province breakdown in each."
iran_provincial__mining_production_value_1397_1401,keep,32,mine_production_value_share_pct_آذربايجان_شرقی|mine_production_value_share_pct_آذربايجان_غربي|mine_production_value_share_pct_اردبيل|mine_production_value_share_pct_اصفهان|mine_production_value_share_pct_البرز|mine_production_value_share_pct_ايلام|mine_production_value_share_pct_بوشهر|mine_production_value_share_pct_تهران|mine_production_value_share_pct_خراسان_جنوبي|mine_production_value_share_pct_خراسان_رضوي|mine_production_value_share_pct_خراسان_شمالي|mine_production_value_share_pct_خوزستان|mine_production_value_share_pct_زنجان|mine_production_value_share_pct_سمنان|mine_production_value_share_pct_سيستان_و_بلوچستان|mine_production_value_share_pct_فارس|mine_production_value_share_pct_قزوين|mine_production_value_share_pct_قم|mine_production_value_share_pct_كردستان|mine_production_value_share_pct_كرمان|mine_production_value_share_pct_كرمانشاه|mine_production_value_share_pct_كهگيلويه_و_بوير_احمد|mine_production_value_share_pct_لرستان|mine_production_value_share_pct_مازندران|mine_production_value_share_pct_مركزي|mine_production_value_share_pct_هرمزگان|mine_production_value_share_pct_همدان|mine_production_value_share_pct_يزد|mine_production_value_share_pct_چهار_محال_و_بختياري|mine_production_value_share_pct_کل_کشور|mine_production_value_share_pct_گلستان|mine_production_value_share_pct_گيلان,,,"Single measure (mine production value share), one variant per province -- province is the point of the chart. Keep all."
iran_sci1399__cpi_by_coicop_group_1390_1399,trim,114,general_index_cpi_index_1395_100|food_and_beverages_cpi_index_1395_100|tobacco_cpi_index_1395_100|clothing_and_footwear_cpi_index_1395_100|housing_water_electricity_gas_and_other_fuels_cpi_index_1395_100|household_furnishings_and_appliances_and_their_repair_and_maintenance_cpi_index_1395_100|health_medical_care_cpi_index_1395_100|transportation_cpi_index_1395_100|communication_cpi_index_1395_100|recreation_and_culture_cpi_index_1395_100|education_cpi_index_1395_100|hotels_and_restaurants_cpi_index_1395_100|miscellaneous_goods_and_services_cpi_index_1395_100,"Dropped ~100 nested COICOP sub-groups (e.g. bread_and_cereals, meat_and_poultry, fish_and_sea_food under food_and_beverages), plus the weight_pct_of_1395_basket variants (static basket weights, not a time series) and pct_change_1399_vs_1398 variants (single-year snapshot, not a time series).",,"Exactly the brief's example: kept the general index plus the 12 top-level COICOP-equivalent divisions (food & beverages, tobacco, clothing & footwear, housing & utilities, furnishings, health, transport, communication, recreation & culture, education, hotels & restaurants, misc.), each with its real 6-year cpi_index series. 13 variants total."
iran_sci1399__gdp_by_expenditure_component_1390_1397,trim,53,private_final_consumption_expenditures_current_prices|private_final_consumption_expenditures_constant_1390_prices|government_final_consumption_expenditure_current_prices|government_final_consumption_expenditure_constant_1390_prices|gross_fixed_capital_formation_current_prices|gross_fixed_capital_formation_constant_1390_prices|net_exports_of_goods_and_services_current_prices|net_exports_of_goods_and_services_constant_1390_prices|change_in_stocks_and_statistical_discrepancies_current_prices|change_in_stocks_and_statistical_discrepancies_constant_1390_prices|gross_domestic_product_at_market_prices_current_prices|gross_domestic_product_at_market_prices_constant_1390_prices,"Dropped GFCF asset-type sub-splits (machinery/construction each by public vs private sector, cultivated assets, mineral exploration, software, literary/artistic originals), the household-vs-NPISHs split of private consumption, exports/imports shown separately (kept net), and secondary income-account aggregates (GNP, national income, net income from abroad, consumption of fixed capital).",,"Kept the 6 standard national-accounts expenditure components (private consumption, government consumption, GFCF, net exports, stock changes, GDP) x current/constant prices -- the current-vs-constant doubling mirrors this project's existing nominal/real convention, not a measure explosion, so both bases were kept. 12 variants total."
iran_sci1399__gdp_value_added_by_sector_1390_1397,trim,55,accommodation_and_food_service_activities_current_prices|accommodation_and_food_service_activities_constant_1390_prices|administration_and_support_service_activities_current_prices|administration_and_support_service_activities_constant_1390_prices|agriculture_hunting_forestry_and_fishing_current_prices|agriculture_hunting_forestry_and_fishing_constant_1390_prices|construction_current_prices|construction_constant_1390_prices|education_current_prices|education_constant_1390_prices|electricity_gas_steam_and_air_conditioning_supply_current_prices|electricity_gas_steam_and_air_conditioning_supply_constant_1390_prices|financial_and_insurance_services_current_prices|financial_and_insurance_services_constant_1390_prices|human_health_and_social_work_activities_current_prices|human_health_and_social_work_activities_constant_1390_prices|information_and_communication_current_prices|information_and_communication_constant_1390_prices|manufacturing_current_prices|manufacturing_constant_1390_prices|mining_and_quarrying_current_prices|mining_and_quarrying_constant_1390_prices|other_community_social_personal_and_household_service_activities_current_prices|other_community_social_personal_and_household_service_activities_constant_1390_prices|professional_scientific_and_technical_service_activities_current_prices|professional_scientific_and_technical_service_activities_constant_1390_prices|public_administration_and_urban_services_current_prices|public_administration_and_urban_services_constant_1390_prices|real_estate_activities_current_prices|real_estate_activities_constant_1390_prices|transport_storage_and_post_current_prices|transport_storage_and_post_constant_1390_prices|water_supply_sewerage_waste_management_and_remediation_activities_current_prices|water_supply_sewerage_waste_management_and_remediation_activities_constant_1390_prices|wholesale_retail_trade_repair_of_motor_vehicles_and_goods_current_prices|wholesale_retail_trade_repair_of_motor_vehicles_and_goods_constant_1390_prices|total_value_added_current_prices|total_value_added_constant_1390_prices,"Dropped 8 macro income-account identities that do not belong on a ""value added by sector"" table (gross_domestic_product_at_market_prices, gross_national_product, national_income, net_income_from_abroad, net_taxes_on_imports, taxes_on_imports, subsidies_on_imports, less_consumption_of_fixed_capital, from_changes_in_the_terms_of_trade) -- these appear to be copy-pasted from the sibling GDP-by-expenditure chart's structure and are out of scope here.",,"Sector breakdown IS the point of this chart (title: ""18 Economic-Activity Sectors""), so all 18 ISIC-style sectors were kept x current/constant prices (mirrors the project's nominal/real convention), plus total_value_added as the headline check-total. 38 variants -- above the usual <=12 guideline, but justified because the sector dimension is the explicit subject, not an artificial cross-tab."
iran_sci1399__government_budget_summary_1385_1400,trim,28,total_budget_resources|government_general_budget_resources|government_special_resources|resources_of_public_corporations_banks_and_government_affiliated_for_profit_institutions|less_duplications_resources_side|total_country_budget_uses|government_general_budget_uses|government_special_uses|uses_of_public_corporations_banks_and_government_affiliated_for_profit_enterprises|less_duplications_uses_side,"Dropped 3rd-level sub-items on both sides: resources side (disposal_of_non_financial_assets, disposal_of_financial_assets, special_revenues, public_corporations/banks/government-affiliated-institution resource sub-splits) and uses side (expenditures_current, acquisition_of_non/financial_assets, expenses/capital special-use sub-splits, from_government_special_revenues, public_corporations/banks/enterprise use sub-splits), plus near-duplicate labels like government_general_resources/government_general_revenues that shadow government_general_budget_resources.",,"Kept as ONE chart (not split) since resources and uses of a government budget are conventionally shown together as a balanced statement, matching the existing title ""Total Country Budget: Resources & Uses Breakdown"". Kept the top-level total plus the 3 major sub-categories (general/special/public-corporations) and the duplication adjustment on each side -- 10 of 28 variants, all with a real 8-point time series (2006-2021)."
iran_sci1399__labor_force_indicators_1380_1399,trim,72,national_both_economic_participation_rate_pct|national_male_economic_participation_rate_pct|national_female_economic_participation_rate_pct|national_both_unemployment_rate_pct|national_male_unemployment_rate_pct|national_female_unemployment_rate_pct|national_both_unemployment_rate_15_24_pct|national_male_unemployment_rate_15_24_pct|national_female_unemployment_rate_15_24_pct|national_both_underemployment_share_pct|national_male_underemployment_share_pct|national_female_underemployment_share_pct,"Dropped the urban/rural area breakdown entirely (collapsed to national), dropped sectoral employment-share indicators (agriculture/manufacturing/services) and the redundant unemployment_rate_15_29 age band -- a (national/urban/rural) x (both/male/female) x (8 indicators) = 72-cell cross-tab.",,"Exactly the brief's cited example. Sex breakdown is genuinely the point (male vs. female labor-market gap is the headline story) so it was kept per the ""sex is the point"" exception; urban/rural was collapsed since it is a secondary cross-tab. Kept 4 headline indicators (participation, overall unemployment, youth unemployment, underemployment) x 3 sex categories = 12 variants."
iran_telecom__radio_tv_ownership_1940_1989,hide,16,,,,"Grab-bag of 16 disparate one-off radio/TV milestones (station founding dates, 1974 audience-reach survey cells, 1978 coverage projections, 1988/89 channel counts); 14 of 16 variants are single-year (n=1) facts. Only 2 variants have 2 sparse points a decade+ apart, not a real trend. No measure here is genuinely tracked over time -- propose hiding the whole chart."
pahlavi__consortium_disbursements_1954_62,trim,17,grand_total|payments_to_iranian_government_under_oil_agreement_subtotal|income_tax_subtotal|other_payments_consortium_estimate_total|other_payments_consortium_estimate_wages_and_salaries|consortium_disbursements_as_of_gnp,"Dropped the cash-vs-petroleum-products split of oil-agreement payments, the trading-vs-operating-company split of income tax, 4 of 5 ""other payments"" sub-items (import duties, social-insurance contributions, payments to Iranian contractors, catch-all ""other""), 2 of 3 ratio metrics, and the redundant cross-check total.",,"Kept the grand total plus the 3 major subtotals (oil-agreement payments, income tax, other payments) and explicitly kept the wages-and-salaries line since the chart title itself calls out ""incl. Aggregate Oil-Sector Wage Bill"". Added consortium_disbursements_as_of_gnp as one normalized headline ratio for context. 6 of 17 variants, all real 1954-1962 annual series."
pahlavi__electric_power_generation_by_use_1968_72,trim,68,electric_power_generation_by_use_grand_total_total|electric_power_generation_by_use_total_of_industrial_plants_total|electric_power_generation_by_use_total_of_power_agencies_agricultural|electric_power_generation_by_use_total_of_power_agencies_domestic|electric_power_generation_by_use_total_of_power_agencies_industrial|electric_power_generation_by_use_total_of_power_agencies_public_commercial_other|electric_power_generation_by_use_total_of_power_agencies_street_lighting|electric_power_generation_by_use_total_of_power_agencies_total,"Dropped the 11 regional-electric-company x 6 end-use cross-tab (66 of 68 variants) -- the chart title's point is END-USE (""by End-Use, incl. Residential""), not the regional utility company.",,"The source table already provides a national ""total_of_power_agencies"" rollup by end-use (agricultural/domestic/industrial/public&commercial/street-lighting/total) plus a grand total and industrial-plants total -- exactly the national end-use breakdown the title promises. Kept those 8, dropped all 11 regional-company rows."
pahlavi__exports_by_commodity_value_1956_59,trim,30,raw_cotton_export_value|carpets_export_value|fruits_export_value|wool_export_value|hides_and_skins_export_value|rice_export_value|gums_export_value|hair_export_value|animal_casings_export_value|minerals_export_value|cumin_seeds_export_value|oilseeds_export_value|timber_export_value|other_export_value|total_export_value,"Dropped the 15 share_of_total_exports variants (a derived %, computable from value/total, doubling the variant count without adding new information).",,"Commodity is the point of a ""by Commodity"" chart, so all 14 commodities plus the total were kept (15 variants) using the value series only; the parallel %-share series were dropped as redundant."
pahlavi__imports_by_commodity_value_1956_59,trim,40,automotive_and_spare_parts_import_value|chemicals_and_drugs_import_value|cotton_textiles_import_value|dyes_import_value|edible_oils_and_fats_import_value|glassware_import_value|hats_umbrellas_and_shoes_import_value|iron_and_steel_import_value|leather_goods_import_value|lubricants_import_value|machinery_import_value|other_import_value|paper_products_import_value|radios_import_value|silk_textiles_import_value|sugar_import_value|tea_import_value|tires_and_tubes_import_value|total_import_value|woolen_textiles_import_value,"Dropped the 20 share_of_total_imports variants (a derived %, computable from value/total).",,"Same pattern as the sibling exports chart: commodity is the point, kept all 19 commodities plus total using the value series (20 variants), dropped the redundant %-share series."
