source_file,date,title,title_fa,description_fa,note
iran.csv,1973-10-16,Oil price shock,شوک قیمت نفت,افزایش قیمت‌های اوپک پس از تحریم نفتی اعراب درآمد نفتی ایران را تقریباً چهار برابر کرد و رونق پرشتاب اما داغِ هزینه‌کرد دولتی را دامن زد (برنامه پنجم توسعه، 1352-1357).,
iran.csv,1977-01-01,Anti-profiteering campaign,کارزار مبارزه با گرانفروشی,سرکوب دولتی قیمت‌ها علیه کاسبان در پی تورم ناشی از داغ شدن بیش از حد اقتصاد در دوران رونق نفتی، که به نارضایتی بازاریان پیش از انقلاب دامن زد.,
iran.csv,1979-02-11,Islamic Revolution,انقلاب اسلامی,حکومت محمدرضا شاه سقوط کرد و جمهوری اسلامی در اول فروردین 1358 (1 آوریل 1979) به رهبری آیت‌الله خمینی اعلام شد.,
iran.csv,1979-06-01,Nationalization of banks and major industries,ملی شدن بانک‌ها و صنایع بزرگ,شورای انقلاب نظام بانکی و کنگلومراهای بزرگ خصوصی صنعتی و بازرگانی را ملی کرد و بخش بزرگی از اقتصاد را تحت کنترل دولت و بنیادها بازسازی کرد.,
iran.csv,1979-11-14,US freezes Iranian assets,توقیف دارایی‌های ایران توسط آمریکا,فرمان اجرایی 12170 حدود 12 میلیارد دلار از دارایی‌های ایران را در پی بحران گروگان‌گیری سفارت آمریکا (4 آبان 1358 تا 30 دی 1359) توقیف کرد.,
iran.csv,1980-09-22,Iran-Iraq War begins,آغاز جنگ ایران و عراق,جنگی هشت‌ساله (1359-1367) که هزینه‌های مالی سنگینی تحمیل کرد، صادرات نفت را مختل ساخت و نظام جیره‌بندی و کوپن کالاهای اساسی را نهادینه کرد.,
iran.csv,1980-04-07,US trade embargo,تحریم تجاری آمریکا,ایالات متحده روابط دیپلماتیک را قطع و تحریم تجاری کامل علیه ایران اعمال کرد.,
iran.csv,1989-08-01,First Post-War Five-Year Plan (Rafsanjani reconstruction),نخستین برنامه پنج‌ساله پس از جنگ (بازسازی رفسنجانی),دولت رفسنجانی پس از درگذشت آیت‌الله خمینی (خرداد 1368) آزادسازی اقتصادی و برنامه‌ریزی بازسازی پس از جنگ را آغاز کرد.,
iran.csv,1993-03-21,Exchange-rate unification attempt,تلاش برای یکسان‌سازی نرخ ارز,دولت رفسنجانی می‌کوشد نظام چندنرخی ارز ایران را یکسان کند؛ این تلاش پس از فشار بر ذخایر ارزی تا حدی ناکام می‌ماند.,
iran.csv,1995-05-06,US comprehensive trade and investment ban,ممنوعیت جامع تجارت و سرمایه‌گذاری آمریکا,فرمان اجرایی 12959 تقریباً تمام تجارت و سرمایه‌گذاری آمریکا با ایران را ممنوع می‌کند.,
iran.csv,1996-08-05,Iran-Libya Sanctions Act (ILSA),قانون تحریم‌های ایران و لیبی,قانون آمریکا تحریم‌های ثانویه علیه شرکت‌های خارجی‌ای که سالانه بیش از 40 میلیون دلار (بعدها 20 میلیون دلار) در بخش انرژی ایران سرمایه‌گذاری می‌کنند، وضع می‌کند.,
iran.csv,2002-03-21,Official/market exchange-rate unification,یکسان‌سازی نرخ رسمی و بازار ارز,ایران در آغاز سال مالی 1381 نرخ رسمی و بازار ارز خود را یکسان کرد؛ یکی از معدود تجربه‌های موفق یکسان‌سازی نرخ ارز.,
iran.csv,2006-12-23,First UN Security Council sanctions,نخستین تحریم‌های شورای امنیت سازمان ملل,قطعنامه 1737 شورای امنیت نخستین تحریم‌های چندجانبه را به دلیل برنامه هسته‌ای ایران وضع کرد که تجارت و دارایی‌های حساس به اشاعه را هدف می‌گرفت.,
iran.csv,2010-06-09,UNSC Resolution 1929,قطعنامه 1929 شورای امنیت,گسترش تحریم‌های سازمان ملل با هدف قرار دادن بخش مالی، تجارت تسلیحاتی و نهادهای وابسته به سپاه پاسداران ایران.,
iran.csv,2010-12-19,Targeted Subsidies Reform Law implemented,اجرای قانون هدفمندسازی یارانه‌ها,قیمت حامل‌های انرژی 3 تا 9 برابر و قیمت نان دو برابر شد؛ حدود 90 درصد خانوارها در برنامه ماهانه یارانه نقدی (حدود 45 دلار به ازای هر نفر) ثبت‌نام شدند، یکی از بزرگ‌ترین طرح‌های انتقال نقدی بدون شرط در جهان که در سال 2010 حدود 10 درصد تولید ناخالص داخلی هزینه در برداشت.,
iran.csv,2012-03-01,SWIFT disconnection and oil-export sanctions,قطع دسترسی به سوئیفت و تحریم صادرات نفت,بانک‌های بزرگ ایرانی از شبکه پیام‌رسانی سوئیفت قطع شدند؛ تحریم‌های قانون بودجه دفاعی آمریکا خریداران خارجی نفت ایران را هدف گرفت و به کاهش شدید ارزش ریال در سال‌های 1391-1392 انجامید.,
iran.csv,2015-07-14,JCPOA signed,امضای برجام,ایران و کشورهای 1+5 برنامه جامع اقدام مشترک را امضا کردند که در ازای محدودسازی برنامه هسته‌ای، تحریم‌ها را لغو می‌کرد.,
iran.csv,2016-01-16,JCPOA Implementation Day,روز اجرای برجام,آژانس بین‌المللی انرژی اتمی پایبندی ایران را تأیید کرد؛ آمریکا، اتحادیه اروپا و سازمان ملل تحریم‌های هسته‌ای در حوزه نفت، بانکداری، کشتیرانی و دیگر بخش‌ها را لغو کردند و حدود 56 میلیارد دلار از دارایی‌های مسدودشده پیشین آزاد شد.,
iran.csv,2018-05-08,US withdraws from JCPOA,خروج آمریکا از برجام,رئیس‌جمهور ترامپ خروج آمریکا از برجام و بازگرداندن تحریم‌ها پس از دوره‌های مهلت 90 و 180 روزه (مؤثر از 16 مرداد و 14 آبان 1397) را اعلام کرد.,
iran.csv,2018-08-07,First snapback sanctions take effect,اجرای نخستین دسته تحریم‌های بازگردانده‌شده,فرمان اجرایی 13846 تحریم‌ها را بر بخش خودروسازی، تجارت فلزات گران‌بها و تراکنش‌های ریالی ایران بازمی‌گرداند.,
iran.csv,2018-11-05,Second snapback: oil and banking sanctions,دومین بازگشت تحریم‌ها: نفت و بانکداری,باقی‌مانده تحریم‌های لغوشده در برجام بر صادرات نفت، کشتیرانی و بانک مرکزی ایران به‌طور کامل بازمی‌گردد و افت شدید ریال را در اواخر سال 2018 رقم می‌زند.,
iran.csv,2019-11-15,Gasoline price hike triggers nationwide protests,افزایش قیمت بنزین اعتراضات سراسری را برمی‌انگیزد,دولت قیمت سوخت یارانه‌ای را افزایش داد و یک‌شبه سهمیه‌بندی اعمال کرد؛ اعتراضات به بیش از 190 شهر گسترش یافت (آبان خونین)؛ سازمان عفو بین‌الملل 304 کشته در سرکوب دولتی را تأیید کرد و پس از آن قطعی چهار روزه اینترنت سراسری رخ داد.,
iran.csv,2019-06-25,FATF blacklists Iran,قرارگیری ایران در فهرست سیاه گروه ویژه اقدام مالی,گروه ویژه اقدام مالی (اف‌ای‌تی‌اف) ایران را به دلیل نپذیرفتن استانداردهای مبارزه با پول‌شویی و تأمین مالی تروریسم در فهرست سیاه خود قرار داد که اصطکاک بیشتری بر کانال‌های بانکی بین‌المللی باقی‌مانده تحمیل کرد.,
iran.csv,2022-05-01,"Preferential ""4,200 toman"" import-currency rate eliminated",حذف ارز ترجیحی 4200 تومانی,مجلس حذف تخصیص ارز یارانه‌ای برای واردات کالاهای اساسی (آرد، دارو) را تصویب کرد و با آن یارانه‌ای به ارزش تقریبی 10 تا 14 میلیارد دلار در سال حذف شد و قیمت نان برای بسیاری از نانوایی‌ها تقریباً دو برابر شد.,
iran.csv,2022-09-16,Mahsa Amini protests,اعتراضات مهسا امینی,مرگ مهسا امینی در بازداشت گشت ارشاد ماه‌ها ناآرامی سراسری را برانگیخت که فعالیت کسب‌وکارها را مختل و کاهش ارزش ریال را تسریع کرد.,
iran.csv,2024-05-19,President Raisi dies in helicopter crash,درگذشت رئیس‌جمهور رئیسی در سانحه بالگرد,مرگ ابراهیم رئیسی، رئیس‌جمهور وقت، انتخابات زودهنگام ریاست‌جمهوری را رقم زد؛ بازارها و ریال به این بی‌ثباتی سیاسی واکنش نشان دادند.,
iran.csv,2024-07-28,Pezeshkian elected president,انتخاب پزشکیان به ریاست‌جمهوری,مسعود پزشکیان با گرایش اصلاح‌طلبانه و برنامه‌ای شامل مذاکره برای رفع تحریم‌ها، دور دوم انتخابات ریاست‌جمهوری را برد.,
iran.csv,1925-01-01,Sugar and tea consumption tax enacted,وضع مالیات بر مصرف قند و چای,مجلس مالیات‌های غیرمستقیم بر مصرف قند و چای را تصویب کرد، منبع اصلی درآمد داخلی برای تأمین مالی ساخت راه‌آهن سراسری ایران بدون وام خارجی.,
iran.csv,1928-05-01,Capitulations abolished,لغو نظام کاپیتولاسیون,ایران به‌طور یک‌جانبه به نظام کاپیتولاسیون قرن نوزدهمی که بر اساس آن اتباع خارجی از مصونیت قضایی فراسرزمینی در برابر دادگاه‌های ایران برخوردار بودند، پایان داد و حاکمیت کامل قضایی ایران بر اتباع خارجی را تثبیت کرد.,
iran.csv,1928-05-01,Tariff autonomy law enacted,تصویب قانون استقلال تعرفه‌ای,قانون گمرکی جدید (11 اردیبهشت 1307) استقلال ایران در تعیین تعرفه‌های وارداتی خود را بازمی‌گرداند، محدودیت‌های عصر قاجار ناشی از معاهدات بر عوارض گمرکی ایران را لغو می‌کند و ساختار تعرفه ارزشی را معرفی می‌کند.,
iran.csv,1930-01-01,Progressive income tax introduced,معرفی مالیات تصاعدی بر درآمد,نخستین قانون مالیات تصاعدی بر درآمد ایران نرخ‌های حاشیه‌ای از نیم تا حداکثر 4 درصد را تعیین کرد، هرچند عمدتاً شامل حقوق‌بگیران بخش دولتی می‌شد و درآمد محدودی برای دولت ایجاد کرد.,
iran.csv,1931-02-01,Foreign Trade Monopoly Law,قانون انحصار تجارت خارجی,مجلس انحصار تجارت خارجی را به دولت واگذار کرد و به آن اختیار داد سهمیه‌های وارداتی را متناسب با درآمد صادرات غیرنفتی تعیین و شرکت‌های بازرگانی دولتی برای قند، چای، تریاک، تنباکو و غلات تأسیس کند؛ این قانون مبنای حقوقی راهبرد صنعتی‌سازی جایگزینی واردات شد.,
iran.csv,1932-11-27,D'Arcy oil concession unilaterally cancelled,لغو یک‌جانبه امتیاز نفتی دارسی,دولت رضاشاه امتیاز نفتی دارسی مصوب سال 1901 را به دلیل اختلاف بر سر حق‌الامتیاز لغو کرد که بریتانیا را واداشت این اختلاف را به جامعه ملل و دیوان دائمی دادگستری بین‌المللی ارجاع دهد؛ این اختلاف با قرارداد امتیاز شصت‌ساله جدیدی در سال 1933 حل شد.,
iran.csv,1933-05-29,D'Arcy oil concession renegotiated,تجدید مذاکره امتیاز نفتی دارسی,قرارداد شصت‌ساله جدید با شرکت نفت انگلیس و پارس که در 28 مه به تصویب مجلس رسید و روز بعد مورد تأیید سلطنتی قرار گرفت، مساحت امتیاز را سه‌چهارم کاهش داد و حق‌الامتیاز ثابتی به ازای هر تن به‌علاوه 20 درصد از سود تقسیمی شرکت را برای ایران تضمین کرد.,
iran.csv,1934-01-01,State-led industrialization drive accelerates,شتاب گرفتن صنعتی‌سازی دولت‌محور,با پشتیبانی تعرفه‌های حمایتی سنگین و تأمین مالی بانک ملی، سرمایه‌گذاری دولتی و خصوصی حدود 265 کارخانه جدید (نساجی، قندسازی، سیمان، کبریت، شیشه) بین سال‌های 1930 تا 1940 ایجاد کرد؛ رشد صنعتی در سال‌های 1934 تا 1938 تحت هدایت مستقیم دولت به اوج خود رسید.,
iran.csv,1955-09-01,Second Seven-Year Plan launched,آغاز برنامه دوم هفت‌ساله,سازمان برنامه دومین برنامه توسعه ملی ایران (1955-1962) را که عمدتاً از محل درآمد نفتی پس از قرارداد کنسرسیوم 1954 تأمین مالی می‌شد، آغاز کرد؛ بخش‌های ارتباطات، کشاورزی و سازمان عمران خوزستان (سدهای کرج، سفیدرود و دز) بیشترین سهم بودجه را دریافت کردند.,
iran.csv,1956-11-01,First national census of Iran,نخستین سرشماری ملی ایران,"اداره کل آمار عمومی نخستین سرشماری نوین جمعیت و مسکن ایران (1 تا 16 آبان 1335) را با 27,607 مأمور آمارگیری انجام داد و جمعیتی برابر با 18,954,704 نفر ثبت کرد.",
iran.csv,1960-05-28,Central Bank of Iran established,تأسیس بانک مرکزی ایران,قانون پولی و بانکی مصوب 7 خرداد 1339 بانک مرکزی ایران را تأسیس کرد و وظایف بانکداری مرکزی، شامل انتشار پول، نظارت بانکی و سیاست پولی، را از بانک ملی ایران به بانک مرکزی مستقلی با سرمایه اولیه 3.6 میلیارد ریال منتقل کرد.,
iran.csv,1960-10-10,First IMF stand-by arrangement and stabilization program,نخستین توافق آماده‌به‌کار صندوق بین‌المللی پول و برنامه تثبیت اقتصادی,در پی بحران تراز پرداخت‌ها ناشی از کاهش قیمت نفت که ذخایر ارزی را به سطحی معادل یک تا دو هفته واردات رساند، ایران از تسهیلات آماده‌به‌کار صندوق بین‌المللی پول به ارزش 35 میلیون حق برداشت مخصوص استفاده کرد و برنامه ریاضتی‌ای را پذیرفت که تا سال 1962 رشد اعتبارات بانکی و هزینه‌های دولتی را به‌شدت مهار کرد.,
iran.csv,1962-01-09,Land Reform Law first stage enacted,تصویب مرحله نخست قانون اصلاحات ارضی,دولت نخست‌وزیر علی امینی، از طریق وزیر کشاورزی حسن ارسنجانی، قانون اصلاحات ارضی را تصویب کرد که مالکیت فردی زمین را به یک روستا محدود و فروش زمین‌های مازاد به کشاورزان مستأجر با قیمت‌های کنترل‌شده را الزامی می‌کرد؛ این اقدام آغازین بعدها در برنامه انقلاب سفید گنجانده شد.,
iran.csv,1962-10-26,Literacy Corps founded,تأسیس سپاه دانش,فرمان‌های دولتی 26 آبان و 12 آذر 1341 سپاه دانش را تأسیس کرد که جوانان تحصیل‌کرده را به‌جای خدمت نظامی به تدریس سوادآموزی در روستاها می‌گمارد؛ مجلس این برنامه را در 6 بهمن 1341 به‌عنوان بخشی از انقلاب سفید تصویب کرد.,
iran.csv,1963-01-26,Industrial profit-sharing law enacted,تصویب قانون سهیم شدن کارگران در سود صنایع,به‌عنوان یکی از شش اصل انقلاب سفید که در همه‌پرسی ملی تصویب شد، به کارگران و کارکنان بنگاه‌های بزرگ خصوصی 20 درصد از سود خالص تعلق گرفت؛ مجموع پرداخت‌های سهم سود بین سال‌های 1963 تا 1975، 128 برابر افزایش یافت.,
iran.csv,1963-01-26,Forests and rangelands nationalized,ملی شدن جنگل‌ها و مراتع,همه‌پرسی انقلاب سفید ملی شدن تمام جنگل‌ها و مراتع را تصویب کرد؛ این اقدام بعدها به‌صورت قانون ملی شدن جنگل‌ها رسمیت یافت که توسط مجلس تصویب و در سال 1967 اجرا شد و به مالکیت خصوصی و عشایری بر جنگل‌های ایران پایان داد.,
iran.csv,1966-10-30,Second national census,دومین سرشماری ملی,مرکز آمار ایران دومین سرشماری جمعیت و مسکن کشور (8 تا 28 آبان 1345) را انجام داد.,
iran.csv,1967-01-01,General Income Tax Law reform,اصلاح قانون عمومی مالیات بر درآمد,ایران قانون مالیاتی خود را بازنگری کرد و جدول تصاعدی یکپارچه‌ای با نرخ‌های حاشیه‌ای از 10 تا 55 درصد معرفی کرد، هرچند مالیات بر درآمد نسبت به نفت همچنان سهم کوچکی از کل درآمد دولت باقی ماند.,
iran.csv,1971-02-14,Tehran Agreement raises oil prices,قرارداد تهران قیمت نفت را افزایش می‌دهد,ایران و پنج تولیدکننده دیگر اوپک در خلیج فارس قرارداد تهران را با شرکت‌های بزرگ نفتی غربی امضا کردند که نرخ مالیات بر درآمد خالص را از 50 به 55 درصد و قیمت‌های اعلامی را 21 درصد (38 سنت در هر بشکه) افزایش داد، با افزایش‌های سالانه برنامه‌ریزی‌شده تا سال 1975؛ پیش‌بینی می‌شد درآمد نفتی ایران به ازای هر بشکه از 87 سنت به 1.37 دلار در سال مالی 1975 برسد.,
iran.csv,1971-10-12,Persepolis 2500th anniversary celebrations,جشن‌های 2500 سال شاهنشاهی ایران در تخت جمشید,شاه میزبان جشنی چندروزه برای 2500مین سالگرد سلطنت پارسی در تخت جمشید برای ده‌ها سرکرده کشورها و اعضای خاندان‌های سلطنتی بود. ارقام رسمی ایران هزینه این رویداد را 16.6 تا 16.8 میلیون دلار اعلام کردند، در حالی که برآوردهای هم‌زمان مجله تایم تا 100 میلیون دلار نیز رسیده بود؛ این رویداد به نمادی از تجمل مالی پیش از انقلاب بدل شد.,
iran.csv,1973-07-19,Sale and Purchase Agreement replaces Consortium,قرارداد خرید و فروش جایگزین کنسرسیوم می‌شود,قراردادی بیست‌ساله برای خرید و فروش (با اجرای عطف‌به‌ماسبق از 1 فروردین 1352) به ساختار عملیاتی قرارداد کنسرسیوم 1954 پایان داد: شرکت ملی نفت ایران مالکیت، بهره‌برداری و کنترل کامل صنعت نفت ایران را بر عهده گرفت، درحالی‌که اعضای پیشین کنسرسیوم از طریق شرکت خدمات نفت ایران (اسکو) به ارائه خدمات و برداشت نفت ادامه دادند.,
iran.csv,1974-08-01,Great Civilization spending surge -- Fifth Plan revised,موج هزینه‌کرد تمدن بزرگ؛ بازنگری برنامه پنجم,پس از چهار برابر شدن قیمت نفت در سال‌های 1973-1974، درآمد نفتی دولت از 5 به 19 میلیارد دلار در یک سال رسید؛ شاه برنامه پنجم توسعه را بازنگری کرد و کل سرمایه‌گذاری برنامه‌ریزی‌شده را تقریباً دو برابر از 36.5 به 70 میلیارد دلار و کل هزینه‌های دولتی را از 44 به 123 میلیارد دلار افزایش داد که به گلوگاه‌های شدید ظرفیت جذب و تورم دامن زد.,
iran.csv,1975-03-02,Rastakhiz single-party system established,تأسیس نظام تک‌حزبی رستاخیز,شاه نظام دوحزبی موجود ایران را منحل و حزب رستاخیز را به‌عنوان تنها حزب سیاسی قانونی کشور تأسیس کرد و اعلام کرد شهروندانی که آن را نمی‌پذیرند، آزادند کشور را ترک کنند؛ این حزب بعدها ابزار سازمان‌دهی کارزار مبارزه با گرانفروشی در سال‌های 1975-1977 شد.,
iran.csv,1975-10-01,Anti-profiteering campaign launched,آغاز کارزار مبارزه با گرانفروشی,"شاه اجرای کنترل قیمت‌ها را چهاردهمین اصل انقلاب سفید اعلام کرد؛ گروه‌های ضربت حزب رستاخیز در سراسر کشور به مغازه‌های بازار یورش بردند و تا مرداد 1355 حدود 25,000 متهم زندانی یا جریمه شدند که به بیگانگی عمیق طبقه بازاری پیش از انقلاب انجامید.",
iran.csv,1976-01-01,Credit squeeze collapses construction boom,فشار اعتباری رونق ساخت‌وساز را فرومی‌پاشد,افزایش شدید تورم همراه با محدودسازی اعتبار توسط بانک مرکزی به رونق ساخت‌وساز ناشی از رونق نفتی که از اوایل دهه 1970 پیمانکاران بین‌المللی را به ایران کشانده بود، پایان داد و رشد سرمایه‌گذاری و تولید ناخالص داخلی را به‌شدت کند کرد.,
iran.csv,1976-11-01,Fourth national census,چهارمین سرشماری ملی,"مرکز آمار ایران سرشماری جمعیت و مسکن سال 1976 (8 تا 27 آبان 1355) را انجام داد که با نزدیک به 30,000 آمارگیر، جمعیتی نزدیک به 33.7 میلیون نفر را ثبت کرد.",
iran.csv,1977-08-07,Amouzegar austerity program,برنامه ریاضتی آموزگار,شاه تکنوکرات جمشید آموزگار را با مأموریت مهار تورم از طریق ریاضت مالی به نخست‌وزیری منصوب کرد؛ دولت او هزینه‌های عمومی را کاهش داد، طرح‌های توسعه را متوقف و اعتبارات را تنگ‌تر کرد که بیکاری و تنگنای کسب‌وکارها را در حالی که ناآرامی‌های انقلابی اوج می‌گرفت، تشدید کرد.,
iran.csv,1978-10-31,Oil workers' strike paralyzes economy,اعتصاب کارگران نفت اقتصاد را فلج می‌کند,کارگران پالایشگاه‌های نفت ملی‌شده از اواخر مهر 1357 با خواست آزادی زندانیان سیاسی دست به اعتصاب زدند؛ تا آبان اعتصاب سراسری پالایشگاه‌ها، بانک‌ها، بنادر و کارخانه‌ها را تعطیل کرد و تولید نفت را از حدود 6 میلیون به 1.5 میلیون بشکه در روز کاهش داد که برآورد می‌شد روزانه 60 میلیون دلار برای دولت هزینه داشت.,
iran.csv,1980-11-01,Wartime rationing coupon system introduced,معرفی نظام کوپن جیره‌بندی دوران جنگ,در بحبوحه حمله عراق، تنگنای تجاری و کمبود مواد غذایی، دولت توزیع کوپن‌های جیره‌بندی برای قند، برنج، گوشت، روغن پخت‌وپز و دیگر اقلام اساسی را از طریق تعاونی‌های محلی آغاز کرد؛ نظام کوپن در طول دهه 1980 برقرار ماند و تنها در اواخر دوران احمدی‌نژاد به‌طور کامل حذف شد.,
iran.csv,2006-07-01,Article 44 privatization policy issued,ابلاغ سیاست‌های خصوصی‌سازی اصل 44,رهبر معظم انقلاب آیت‌الله خامنه‌ای «سیاست‌های کلی اصل 44» را ابلاغ کرد که فرمان انتقال تا 80 درصد سهام بنگاه‌های بزرگ دولتی (به‌جز بخش‌های اصلی مانند بالادستی نفت) به بخش‌های خصوصی و تعاونی از طریق عرضه عمومی سهام را می‌داد و برنامه متوقف‌شده خصوصی‌سازی را احیا کرد.,
iran.csv,2012-01-23,EU decides Iranian oil embargo,تصمیم اتحادیه اروپا به تحریم نفتی ایران,تصمیم شورای اتحادیه اروپا 2012/35/سیاست خارجی و امنیت مشترک واردات نفت خام و فرآورده‌های نفتی ایران را ممنوع و دارایی‌های بانک مرکزی ایران را مسدود می‌کند، با دوره گذاری که به قراردادهای موجود اجازه می‌دهد تا 1 تیر 1391 به پایان برسند.,
iran.csv,2012-03-15,SWIFT disconnects sanctioned Iranian banks,سوئیفت بانک‌های تحریم‌شده ایرانی را قطع می‌کند,در پی تصمیم شورای اتحادیه اروپا، سوئیفت اعلام کرد خدمات پیام‌رسانی مالی به حدود 30 بانک ایرانی تحریم‌شده اتحادیه اروپا را از 26 اسفند 1390 قطع خواهد کرد که آن‌ها را از کانال اصلی پرداخت‌های بین‌بانکی بین‌المللی محروم کرد.,
iran.csv,2014-04-01,Targeted Subsidies Reform phase two,مرحله دوم هدفمندسازی یارانه‌ها,دولت روحانی مرحله دوم برنامه یارانه‌ها را آغاز کرد: قیمت بنزین 75 درصد افزایش یافت (از 4000 به 7000 ریال در لیتر) و برای نخستین بار واجد شرایط بودن دریافت یارانه نقدی بر اساس آزمون درآمد تعیین شد که خانوارها را ملزم به اظهار درآمد و دارایی کرد؛ بودجه سال 1394 متعاقباً هدفمندسازی بیشتر پرداخت‌های نقدی را الزامی کرد.,
iran.csv,2019-04-22,US ends oil waivers -- push to zero exports,آمریکا معافیت‌های نفتی را لغو می‌کند؛ فشار برای صفر کردن صادرات,دولت ترامپ اعلام کرد معافیت‌های تحریمی برای کشورهایی (چین، هند، ژاپن، کره جنوبی، ترکیه و دیگران) که همچنان نفت خام ایران را پس از 12 اردیبهشت 1398 وارد می‌کردند، تمدید نخواهد شد و هدف کاهش صادرات نفت ایران به صفر بود؛ صادرات از بیش از 2.5 میلیون بشکه در روز پیش از تحریم به کمتر از یک میلیون بشکه در روز کاهش یافت.,
iran.csv,2021-12-01,Raisi budget cuts National Development Fund savings rate,بودجه دولت رئیسی نرخ پس‌انداز صندوق توسعه ملی را کاهش می‌دهد,نخستین لایحه بودجه دولت رئیسی سهم الزامی درآمد نفتی برای صندوق توسعه ملی را از 40 درصد مقرر در اساسنامه صندوق به 20 درصد نصف کرد و منابع آزادشده را به هزینه‌های جاری دولت هدایت کرد.,
iran.csv,2023-03-10,Iran-Saudi Arabia relations restored,از سرگیری روابط ایران و عربستان سعودی,توافقی با میانجی‌گری پکن میان ایران و عربستان سعودی روابط دیپلماتیک را از سر گرفت و سفارتخانه‌ها را پس از هفت سال قطع رابطه بازگشایی کرد که تنش‌های منطقه‌ای را با پیامدهایی برای تجارت و سرمایه‌گذاری منطقه‌ای کاهش داد.,
iran.csv,2024-01-01,Iran formally joins BRICS,پیوستن رسمی ایران به بریکس,عضویت ایران در بلوک اقتصادی بریکس (در کنار مصر، اتیوپی و امارات متحده عربی) پس از دعوت در مرداد 1402، از 1 ژانویه 2024 رسمیت یافت؛ تهران این عضویت را حفاظتی در برابر انزوای اقتصادی غرب توصیف می‌کند.,
iran.csv,2025-06-13,Israel-Iran Twelve-Day War,جنگ دوازده‌روزه ایران و اسرائیل,"اسرائیل عملیات «شیر خیزان» را آغاز کرد و از 23 خرداد تا 3 تیر 1404 اهداف هسته‌ای و نظامی ایران را هدف قرار داد؛ صادرات نفت ایران در میانه جنگ به حدود 102,000 بشکه در روز کاهش یافت، پالایشگاهی نزدیک تهران و بخشی از میدان گازی پارس جنوبی آسیب دید و ریال در هفته‌های پس از آن به‌شدت کاهش ارزش یافت.",
