chart_id,old_title_fa,new_title_fa,note
faostat__Butter and Ghee__production,تولید کره و روغن حیوانی (تن),کره و روغن حیوانی,faostat-commodity term
faostat__Butter and ghee of sheep milk__production,تولید کره و روغن حیوانی از شیر گوسفند (تن),کره و روغن حیوانی از شیر گوسفند,faostat-commodity term
faostat__Butter of cow milk__production,تولید کره از شیر گاو (تن),کره از شیر گاو,faostat-commodity term
"faostat__Butter, Ghee__consumption",سرانه مصرف کره و روغن حیوانی,کره، روغن حیوانی,faostat-commodity term
"faostat__Butter, Ghee__trade",صادرات و واردات کره و روغن حیوانی,کره، روغن حیوانی,faostat-commodity term
"faostat__Buttermilk, dry__production",تولید دوغ کره، خشک (تن),دوغ خشک,faostat-commodity term
faostat__Cabbages__price,قیمت تولیدکننده کلم,کلم,faostat-commodity term
faostat__Cabbages__production,تولید، سطح زیر کشت و عملکرد کلم,کلم,faostat-commodity term
faostat__Camels__production,تولید، سطح زیر کشت و عملکرد شتر,شتر,faostat-commodity term
faostat__Cantaloupes and other melons__price,قیمت تولیدکننده طالبی و سایر خربزه‌ها,طالبی و سایر خربزه‌ها,faostat-commodity term
faostat__Cantaloupes and other melons__production,تولید، سطح زیر کشت و عملکرد طالبی و سایر خربزه‌ها,طالبی و سایر خربزه‌ها,faostat-commodity term
faostat__Carrots and turnips__price,قیمت تولیدکننده هویج و شلغم,هویج و شلغم,faostat-commodity term
faostat__Carrots and turnips__production,تولید، سطح زیر کشت و عملکرد هویج و شلغم,هویج و شلغم,faostat-commodity term
faostat__Cassava and products__trade,صادرات و واردات کاساوا و فرآورده‌های آن,کاساوا و فرآورده‌های آن,faostat-commodity term
faostat__Castor oil seeds__production,تولید، سطح زیر کشت و عملکرد دانه کرچک,دانه کرچک,faostat-commodity term
faostat__Cattle and Buffaloes__production,تولید، سطح زیر کشت و عملکرد گاو و گاومیش,گاو و گاومیش,faostat-commodity term
"faostat__Cattle fat, unrendered__production",تولید، سطح زیر کشت و عملکرد چربی گاو، خام,چربی خام گاو,faostat-commodity term
faostat__Cattle__production,تولید، سطح زیر کشت و عملکرد گاو,گاو,faostat-commodity term
faostat__Cauliflowers and broccoli__price,قیمت تولیدکننده گل‌کلم و بروکلی,گل‌کلم و کلم بروکلی,faostat-commodity term
faostat__Cauliflowers and broccoli__production,تولید، سطح زیر کشت و عملکرد گل‌کلم و بروکلی,گل‌کلم و کلم بروکلی,faostat-commodity term
faostat__Cephalopods__consumption,سرانه مصرف سرپایان,سرپایان,faostat-commodity term
faostat__Cephalopods__trade,صادرات و واردات سرپایان,سرپایان,faostat-commodity term
faostat__Cereals - Excluding Beer__consumption,سرانه مصرف غلات (به‌جز آبجو),غلات (به استثنای آبجو),faostat-commodity term
faostat__Cereals - Excluding Beer__trade,صادرات و واردات غلات (به‌جز آبجو),غلات (به استثنای آبجو),faostat-commodity term
faostat__Cereals n.e.c.__price,قیمت تولیدکننده غلات، طبقه‌بندی‌نشده,سایر غلات,faostat-commodity term
"faostat__Cereals, Other__consumption",سرانه مصرف سایر غلات,سایر غلات,faostat-commodity term
"faostat__Cereals, Other__trade",صادرات و واردات سایر غلات,سایر غلات,faostat-commodity term
"faostat__Cereals, primary__price",قیمت تولیدکننده غلات، اولیه,غلات، اولیه,faostat-commodity term
"faostat__Cereals, primary__production",تولید، سطح زیر کشت و عملکرد غلات، اولیه,غلات، اولیه,faostat-commodity term
faostat__Cheese (All Kinds)__production,تولید پنیر (همه انواع) (تن),پنیر (همه انواع),faostat-commodity term
"faostat__Cheese from milk of goats, fresh or processed__production",تولید پنیر از شیر بز، تازه یا فرآوری‌شده (تن),پنیر از شیر بز,faostat-commodity term
"faostat__Cheese from milk of sheep, fresh or processed__production",تولید پنیر از شیر گوسفند، تازه یا فرآوری‌شده (تن),پنیر از شیر گوسفند,faostat-commodity term
faostat__Cheese from skimmed cow milk__production,تولید پنیر از شیر پس‌چرخ گاو (تن),پنیر از شیر بدون چربی گاو,faostat-commodity term
faostat__Cheese from whole cow milk__production,تولید پنیر از شیر کامل گاو (تن),پنیر از شیر کامل گاو,faostat-commodity term
faostat__Cherries__price,قیمت تولیدکننده گیلاس,گیلاس,faostat-commodity term
faostat__Cherries__production,تولید، سطح زیر کشت و عملکرد گیلاس,گیلاس,faostat-commodity term
"faostat__Chick peas, dry__price",قیمت تولیدکننده نخود، خشک,نخود خشک,faostat-commodity term
"faostat__Chick peas, dry__production",تولید، سطح زیر کشت و عملکرد نخود، خشک,نخود خشک,faostat-commodity term
faostat__Chickens__production,تولید، سطح زیر کشت و عملکرد مرغ,مرغ,faostat-commodity term
"faostat__Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw__price",قیمت تولیدکننده فلفل تند و فلفل، خشک (گونه‌های Capsicum و Pimenta)، خام,فلفل تند و فلفل، خشک,faostat-commodity term
"faostat__Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw__production",تولید، سطح زیر کشت و عملکرد فلفل تند و فلفل، خشک (گونه‌های Capsicum و Pimenta)، خام,فلفل تند و فلفل، خشک,faostat-commodity term
"faostat__Chillies and peppers, green (Capsicum spp. and Pimenta spp.)__price",قیمت تولیدکننده فلفل تند و فلفل، سبز (گونه‌های Capsicum و Pimenta),فلفل تند و فلفل، سبز,faostat-commodity term
"faostat__Chillies and peppers, green (Capsicum spp. and Pimenta spp.)__production",تولید، سطح زیر کشت و عملکرد فلفل تند و فلفل، سبز (گونه‌های Capsicum و Pimenta),فلفل تند و فلفل، سبز,faostat-commodity term
"faostat__Citrus Fruit, Total__price",قیمت تولیدکننده مرکبات، جمع کل,مرکبات (کل),faostat-commodity term
"faostat__Citrus Fruit, Total__production",تولید، سطح زیر کشت و عملکرد مرکبات، جمع کل,مرکبات (کل),faostat-commodity term
"faostat__Citrus, Other__consumption",سرانه مصرف سایر مرکبات,سایر مرکبات,faostat-commodity term
"faostat__Citrus, Other__trade",صادرات و واردات سایر مرکبات,سایر مرکبات,faostat-commodity term
faostat__Cloves__consumption,سرانه مصرف میخک,میخک,faostat-commodity term
faostat__Cloves__trade,صادرات و واردات میخک,میخک,faostat-commodity term
"faostat__Coarse Grain, Total__price",قیمت تولیدکننده غلات درشت‌دانه، جمع کل,غلات دانه‌درشت (کل),faostat-commodity term
faostat__Cocoa Beans and products__consumption,سرانه مصرف دانه کاکائو و فرآورده‌های آن,دانه کاکائو و فرآورده‌های آن,faostat-commodity term
faostat__Cocoa Beans and products__trade,صادرات و واردات دانه کاکائو و فرآورده‌های آن,دانه کاکائو و فرآورده‌های آن,faostat-commodity term
faostat__Coconut Oil__consumption,سرانه مصرف روغن نارگیل,روغن نارگیل,faostat-commodity term
faostat__Coconut Oil__trade,صادرات و واردات روغن نارگیل,روغن نارگیل,faostat-commodity term
faostat__Coconuts - Incl Copra__consumption,سرانه مصرف نارگیل (شامل کوپرا),نارگیل (شامل کوپرا),faostat-commodity term
faostat__Coconuts - Incl Copra__trade,صادرات و واردات نارگیل (شامل کوپرا),نارگیل (شامل کوپرا),faostat-commodity term
faostat__Coffee and products__consumption,سرانه مصرف قهوه و فرآورده‌های آن,قهوه و فرآورده‌های آن,faostat-commodity term
faostat__Coffee and products__trade,صادرات و واردات قهوه و فرآورده‌های آن,قهوه و فرآورده‌های آن,faostat-commodity term
"faostat__Cotton lint, ginned__price",قیمت تولیدکننده الیاف پنبه حلاجی‌شده,الیاف پنبه، حلاجی‌شده,faostat-commodity term
"faostat__Cotton lint, ginned__production",تولید الیاف پنبه حلاجی‌شده (تن),الیاف پنبه، حلاجی‌شده,faostat-commodity term
faostat__Cotton seed__price,قیمت تولیدکننده پنبه‌دانه,دانه پنبه,faostat-commodity term
faostat__Cotton seed__production,تولید پنبه‌دانه (تن),دانه پنبه,faostat-commodity term
faostat__Cottonseed Oil__consumption,سرانه مصرف روغن پنبه‌دانه,روغن دانه پنبه,faostat-commodity term
faostat__Cottonseed Oil__trade,صادرات و واردات روغن پنبه‌دانه,روغن دانه پنبه,faostat-commodity term
faostat__Cottonseed oil__production,تولید روغن پنبه‌دانه (تن),روغن دانه پنبه,faostat-commodity term
faostat__Cottonseed__trade,صادرات و واردات پنبه‌دانه,تخم پنبه,faostat-commodity term
"faostat__Cream, fresh__production",تولید خامه، تازه (تن),خامه تازه,faostat-commodity term
faostat__Cream__consumption,سرانه مصرف خامه,خامه,faostat-commodity term
faostat__Cream__trade,صادرات و واردات خامه,خامه,faostat-commodity term
faostat__Crustaceans__consumption,سرانه مصرف سخت‌پوستان,سخت‌پوستان,faostat-commodity term
faostat__Crustaceans__trade,صادرات و واردات سخت‌پوستان,سخت‌پوستان,faostat-commodity term
faostat__Cucumbers and gherkins__price,قیمت تولیدکننده خیار و خیارترشی,خیار و خیارترشی,faostat-commodity term
faostat__Cucumbers and gherkins__production,تولید، سطح زیر کشت و عملکرد خیار و خیارترشی,خیار و خیارترشی,faostat-commodity term
faostat__Dates__consumption,سرانه مصرف خرما,خرما,faostat-commodity term
faostat__Dates__price,قیمت تولیدکننده خرما,خرما,faostat-commodity term
faostat__Dates__production,تولید، سطح زیر کشت و عملکرد خرما,خرما,faostat-commodity term
faostat__Dates__trade,صادرات و واردات خرما,خرما,faostat-commodity term
faostat__Demersal Fish__consumption,سرانه مصرف ماهیان کف‌زی,ماهیان کف‌زی,faostat-commodity term
faostat__Demersal Fish__trade,صادرات و واردات ماهیان کف‌زی,ماهیان کف‌زی,faostat-commodity term
faostat__Ducks__production,تولید، سطح زیر کشت و عملکرد اردک,اردک,faostat-commodity term
"faostat__Edible offal of buffalo, fresh, chilled or frozen__production",تولید، سطح زیر کشت و عملکرد احشای خوراکی گاومیش، تازه، سردکرده یا منجمد,احشای خوراکی گاومیش، تازه، سردکرده یا منجمد,faostat-commodity term
"faostat__Edible offal of cattle, fresh, chilled or frozen__production",تولید، سطح زیر کشت و عملکرد احشای خوراکی گاو، تازه، سردکرده یا منجمد,احشای خوراکی گاو، تازه، سردکرده یا منجمد,faostat-commodity term
"faostat__Edible offal of goat, fresh, chilled or frozen__production",تولید، سطح زیر کشت و عملکرد احشای خوراکی بز، تازه، سردکرده یا منجمد,احشای خوراکی بز، تازه، سردکرده یا منجمد,faostat-commodity term
"faostat__Edible offal of pigs, fresh, chilled or frozen__production",تولید، سطح زیر کشت و عملکرد احشای خوراکی خوک، تازه، سردکرده یا منجمد,احشای خوراکی خوک، تازه، سردکرده یا منجمد,faostat-commodity term
"faostat__Edible offal of sheep, fresh, chilled or frozen__production",تولید، سطح زیر کشت و عملکرد احشای خوراکی گوسفند، تازه، سردکرده یا منجمد,احشای خوراکی گوسفند، تازه، سردکرده یا منجمد,faostat-commodity term
"faostat__Edible offals of camels and other camelids, fresh, chilled or frozen__production",تولید، سطح زیر کشت و عملکرد احشای خوراکی شتر و سایر شتریان، تازه، سردکرده یا منجمد,احشای خوراکی شتر و سایر شتریان، تازه، سردکرده یا منجمد,faostat-commodity term
faostat__Eggplants (aubergines)__price,قیمت تولیدکننده بادمجان,بادمجان,faostat-commodity term
faostat__Eggplants (aubergines)__production,تولید، سطح زیر کشت و عملکرد بادمجان,بادمجان,faostat-commodity term
faostat__Eggs Primary__price,قیمت تولیدکننده تخم‌مرغ، اولیه,تخم‌مرغ، اولیه,faostat-commodity term
faostat__Eggs Primary__production,تولید، سطح زیر کشت و عملکرد تخم‌مرغ، اولیه,تخم‌مرغ، اولیه,faostat-commodity term
faostat__Eggs__consumption,سرانه مصرف تخم‌مرغ,تخم‌مرغ,faostat-commodity term
faostat__Eggs__trade,صادرات و واردات تخم‌مرغ,تخم‌مرغ,faostat-commodity term
faostat__Evaporated & Condensed Milk__production,تولید شیر تبخیرشده و غلیظ‌شده (تن),شیر تبخیرشده و غلیظ‌شده,faostat-commodity term
faostat__Fat of camels__production,تولید، سطح زیر کشت و عملکرد چربی شتر,چربی شتر,faostat-commodity term
faostat__Fat of pigs__production,تولید، سطح زیر کشت و عملکرد چربی خوک,چربی خوک,faostat-commodity term
"faostat__Fats, Animals, Raw__consumption",سرانه مصرف چربی‌های حیوانی، خام,چربی‌های حیوانی، خام,faostat-commodity term
"faostat__Fats, Animals, Raw__trade",صادرات و واردات چربی‌های حیوانی، خام,چربی‌های حیوانی، خام,faostat-commodity term
faostat__Fibre Crops Primary__price,قیمت تولیدکننده محصولات الیافی، اولیه,محصولات الیافی، اولیه,faostat-commodity term
"faostat__Fibre Crops, Fibre Equivalent__production",تولید، سطح زیر کشت و عملکرد محصولات الیافی (معادل الیاف),محصولات الیافی (معادل الیاف),faostat-commodity term
faostat__Figs__price,قیمت تولیدکننده انجیر,انجیر,faostat-commodity term
faostat__Figs__production,تولید، سطح زیر کشت و عملکرد انجیر,انجیر,faostat-commodity term
"faostat__Fish, Body Oil__trade",صادرات و واردات روغن بدن ماهی,روغن بدن ماهی,faostat-commodity term
"faostat__Fish, Liver Oil__trade",صادرات و واردات روغن جگر ماهی,روغن جگر ماهی,faostat-commodity term
"faostat__Fish, Seafood__consumption",سرانه مصرف ماهی و غذاهای دریایی,ماهی و غذاهای دریایی,faostat-commodity term
"faostat__Fish, Seafood__trade",صادرات و واردات ماهی و غذاهای دریایی,ماهی و غذاهای دریایی,faostat-commodity term
faostat__Freshwater Fish__consumption,سرانه مصرف ماهیان آب شیرین,ماهیان آب شیرین,faostat-commodity term
faostat__Freshwater Fish__trade,صادرات و واردات ماهیان آب شیرین,ماهیان آب شیرین,faostat-commodity term
faostat__Fruit Primary__price,قیمت تولیدکننده میوه، اولیه,میوه، اولیه,faostat-commodity term
faostat__Fruit Primary__production,تولید، سطح زیر کشت و عملکرد میوه، اولیه,میوه، اولیه,faostat-commodity term
"faostat__Fruit excl Melons, Total__price",قیمت تولیدکننده میوه به‌جز خربزه و هندوانه، جمع کل,میوه به‌جز خربزه (کل),faostat-commodity term
faostat__Fruits - Excluding Wine__consumption,سرانه مصرف میوه‌ها (به‌جز شراب),میوه (به استثنای شراب),faostat-commodity term
faostat__Fruits - Excluding Wine__trade,صادرات و واردات میوه‌ها (به‌جز شراب),میوه (به استثنای شراب),faostat-commodity term
"faostat__Fruits, other__consumption",سرانه مصرف سایر میوه‌ها,سایر میوه‌ها,faostat-commodity term
"faostat__Fruits, other__trade",صادرات و واردات سایر میوه‌ها,سایر میوه‌ها,faostat-commodity term
"faostat__Game meat, fresh, chilled or frozen__price",قیمت تولیدکننده گوشت شکار، تازه، سردکرده یا منجمد,گوشت شکار، تازه، سردکرده یا منجمد,faostat-commodity term
"faostat__Game meat, fresh, chilled or frozen__production",تولید گوشت شکار، تازه، سردکرده یا منجمد (تن),گوشت شکار، تازه، سردکرده یا منجمد,faostat-commodity term
faostat__Geese__production,تولید، سطح زیر کشت و عملکرد غاز,غاز,faostat-commodity term
"faostat__Goat fat, unrendered__production",تولید، سطح زیر کشت و عملکرد چربی بز، خام,چربی خام بز,faostat-commodity term
faostat__Goats__production,تولید، سطح زیر کشت و عملکرد بز,بز,faostat-commodity term
faostat__Grand Total__consumption,سرانه مصرف جمع کل,جمع کل,faostat-commodity term
faostat__Grapefruit and products__consumption,سرانه مصرف گریپ‌فروت و فرآورده‌های آن,گریپ‌فروت و فرآورده‌های آن,faostat-commodity term
faostat__Grapefruit and products__trade,صادرات و واردات گریپ‌فروت و فرآورده‌های آن,گریپ‌فروت و فرآورده‌های آن,faostat-commodity term
faostat__Grapes and products (excl wine)__consumption,سرانه مصرف انگور و فرآورده‌های آن (به‌جز شراب),انگور و فرآورده‌های آن (به‌جز شراب),faostat-commodity term
faostat__Grapes and products (excl wine)__trade,صادرات و واردات انگور و فرآورده‌های آن (به‌جز شراب),انگور و فرآورده‌های آن (به‌جز شراب),faostat-commodity term
faostat__Grapes__price,قیمت تولیدکننده انگور,انگور,faostat-commodity term
faostat__Grapes__production,تولید، سطح زیر کشت و عملکرد انگور,انگور,faostat-commodity term
faostat__Green garlic__price,قیمت تولیدکننده سیر سبز,سیر سبز,faostat-commodity term
faostat__Green garlic__production,تولید، سطح زیر کشت و عملکرد سیر سبز,سیر سبز,faostat-commodity term
"faostat__Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg__production",تولید چای سبز (تخمیرنشده)، چای سیاه (تخمیرشده) و چای نیمه‌تخمیری، در بسته‌بندی‌های حداکثر 3 کیلوگرم (تن),چای سبز، چای سیاه و چای نیمه‌تخمیر,faostat-commodity term
faostat__Groundnut Oil__consumption,سرانه مصرف روغن بادام‌زمینی,روغن بادام‌زمینی,faostat-commodity term
faostat__Groundnut Oil__trade,صادرات و واردات روغن بادام‌زمینی,روغن بادام‌زمینی,faostat-commodity term
faostat__Groundnuts (Shelled Eq)__consumption,سرانه مصرف بادام‌زمینی (معادل پوست‌کنده),بادام‌زمینی (معادل بدون پوست),faostat-commodity term
faostat__Groundnuts (Shelled Eq)__trade,صادرات و واردات بادام‌زمینی (معادل پوست‌کنده),بادام‌زمینی (معادل بدون پوست),faostat-commodity term
"faostat__Groundnuts, excluding shelled__price",قیمت تولیدکننده بادام‌زمینی، با پوست,بادام‌زمینی (با پوست),faostat-commodity term
"faostat__Groundnuts, excluding shelled__production",تولید، سطح زیر کشت و عملکرد بادام‌زمینی، با پوست,بادام‌زمینی (با پوست),faostat-commodity term
faostat__Groundnuts__consumption,سرانه مصرف بادام‌زمینی,بادام‌زمینی,faostat-commodity term
faostat__Groundnuts__trade,صادرات و واردات بادام‌زمینی,بادام‌زمینی,faostat-commodity term
"faostat__Hazelnuts, in shell__price",قیمت تولیدکننده فندق با پوست,فندق با پوست,faostat-commodity term
"faostat__Hazelnuts, in shell__production",تولید، سطح زیر کشت و عملکرد فندق با پوست,فندق با پوست,faostat-commodity term
faostat__Hempseed__production,تولید، سطح زیر کشت و عملکرد دانه شاهدانه,دانه شاهدانه,faostat-commodity term
"faostat__Hen eggs in shell, fresh__price",قیمت تولیدکننده تخم‌مرغ با پوست، تازه,تخم‌مرغ با پوست، تازه,faostat-commodity term
faostat__Honey__consumption,سرانه مصرف عسل,عسل,faostat-commodity term
faostat__Honey__trade,صادرات و واردات عسل,عسل,faostat-commodity term
faostat__Horses__production,تولید، سطح زیر کشت و عملکرد اسب,اسب,faostat-commodity term
faostat__Infant food__consumption,سرانه مصرف غذای کودک,غذای کودک,faostat-commodity term
faostat__Infant food__trade,صادرات و واردات غذای کودک,غذای کودک,faostat-commodity term
"faostat__Jute, raw or retted__price",قیمت تولیدکننده چتایی، خام یا خیس‌خورده,کنف، خام یا خیسانده,faostat-commodity term
"faostat__Jute, raw or retted__production",تولید، سطح زیر کشت و عملکرد کنف، خام یا خیس‌خورده,کنف، خام یا خیسانده,faostat-commodity term
faostat__Kiwi fruit__price,قیمت تولیدکننده کیوی,کیوی,faostat-commodity term
faostat__Kiwi fruit__production,تولید، سطح زیر کشت و عملکرد کیوی,کیوی,faostat-commodity term
faostat__Leeks and other alliaceous vegetables__price,قیمت تولیدکننده تره‌فرنگی و سایر سبزیجات پیازی,تره‌فرنگی و سایر سبزیجات پیازی,faostat-commodity term
faostat__Leeks and other alliaceous vegetables__production,تولید، سطح زیر کشت و عملکرد تره‌فرنگی و سایر سبزیجات پیازی,تره‌فرنگی و سایر سبزیجات پیازی,faostat-commodity term
faostat__Lemons and limes__price,قیمت تولیدکننده لیموترش و لایم,لیمو ترش و لیمو شیرین,faostat-commodity term
faostat__Lemons and limes__production,تولید، سطح زیر کشت و عملکرد لیموترش و لایم,لیمو ترش و لیمو شیرین,faostat-commodity term
"faostat__Lemons, Limes and products__consumption",سرانه مصرف لیموترش، لایم و فرآورده‌های آن,لیمو ترش، لیمو شیرین و فرآورده‌های آن,faostat-commodity term
"faostat__Lemons, Limes and products__trade",صادرات و واردات لیموترش، لایم و فرآورده‌های آن,لیمو ترش، لیمو شیرین و فرآورده‌های آن,faostat-commodity term
"faostat__Lentils, dry__price",قیمت تولیدکننده عدس، خشک,عدس خشک,faostat-commodity term
"faostat__Lentils, dry__production",تولید، سطح زیر کشت و عملکرد عدس، خشک,عدس خشک,faostat-commodity term
faostat__Lettuce and chicory__price,قیمت تولیدکننده کاهو و کاسنی,کاهو و کاسنی,faostat-commodity term
faostat__Lettuce and chicory__production,تولید، سطح زیر کشت و عملکرد کاهو و کاسنی,کاهو و کاسنی,faostat-commodity term
faostat__Linseed__price,قیمت تولیدکننده دانه کتان (بزرک),دانه کتان,faostat-commodity term
faostat__Linseed__production,تولید، سطح زیر کشت و عملکرد دانه کتان (بزرک),دانه کتان,faostat-commodity term
faostat__Livestock__price,قیمت تولیدکننده دام,دام,faostat-commodity term
faostat__Maize (corn)__price,قیمت تولیدکننده ذرت,ذرت,faostat-commodity term
faostat__Maize (corn)__production,تولید، سطح زیر کشت و عملکرد ذرت,ذرت,faostat-commodity term
faostat__Maize Germ Oil__consumption,سرانه مصرف روغن جوانه ذرت,روغن جوانه ذرت,faostat-commodity term
faostat__Maize Germ Oil__trade,صادرات و واردات روغن جوانه ذرت,روغن جوانه ذرت,faostat-commodity term
faostat__Maize and products__consumption,سرانه مصرف ذرت و فرآورده‌های آن,ذرت و فرآورده‌های آن,faostat-commodity term
faostat__Maize and products__trade,صادرات و واردات ذرت و فرآورده‌های آن,ذرت و فرآورده‌های آن,faostat-commodity term
"faostat__Mangoes, guavas and mangosteens__price",قیمت تولیدکننده انبه، گواوا و منگوستین,انبه، گواوا و منگوستین,faostat-commodity term
"faostat__Mangoes, guavas and mangosteens__production",تولید، سطح زیر کشت و عملکرد انبه، گواوا و منگوستین,انبه، گواوا و منگوستین,faostat-commodity term
faostat__Margarine and shortening__production,تولید مارگارین و روغن جامد (شورتنینگ) (تن),مارگارین و روغن جامد,faostat-commodity term
"faostat__Marine Fish, Other__consumption",سرانه مصرف سایر ماهیان دریایی,سایر ماهیان دریایی,faostat-commodity term
