chart_id,fa_verdict,proposed_title_fa,proposed_category_fa,reason
wdi__TX.VAL.AGRI.ZS,keep,,,
wdi__NY.GDP.COAL.RT,keep,,,
wdi__EN.GHG.N2O.TR.MT.CE,keep,,,
wdi__NY.ADJ.DPEM.GN,keep,,,
wdi__TX.UVI.MRCH.XD,keep,,,
wdi__SH.ALC.PCAP.FE,keep,,,
wdi__NY.ADJ.SVNG,keep,,,
wdi__SE.SEC.CMPT.LO.MA,keep,,,
wdi__DT.NFL.UNCF,keep,,,
wdi__FM.AST.PRVT.GD,keep,,,
wdi__SL.TLF.INTM.MA,keep,,,
wdi__per_allsp.ben_q1_tot,keep,,,
wdi__TM.TAX.MANF.WM.FN,keep,,,
wdi__SL.UEM.1524.FE,keep,,,
wdi__TX.VAL.MRCH.XD,keep,,,
wdi__AG.PRD.LVSK,keep,,,
wdi__SP.POP.4549.MA,keep,,,
wdi__NY.GDP.NGAS.RT,keep,,,
wdi__IC.BUS,keep,,,
wdi__SH.TBS.CURE,keep,,,
wdi__NE.CON.PRVT,keep,,,
wdi__SE.SEC.UNER.LO,keep,,,
wdi__NY.ADJ.DNGY.GN,keep,,,
wdi__SL.EMP.WORK.FE,keep,,,
wdi__SL.EMP.TOTL.SP.FE.NE,keep,,,
wdi__SH.H2O.SMDW.RU,keep,,,
wdi__SP.POP.6569.MA,keep,,,
wdi__GOV_WGI_VA,retitle,امتیاز حکمرانی: صدای مردم و پاسخگویی (0 تا 100),,dash suffix: same WGI pattern fix as GOV_WGI_RQ
wdi__DT.ODA.ODAT,keep,,,
wdi__SL.EMP.TOTL.SP.FE,keep,,,
wdi__SI.DST.02ND,keep,,,
wdi__SH.DTH.NCOM,keep,,,
wdi__SH_UHC,retitle,شاخص پوشش خدمات سلامت همگانی (UHC),,"terminology: بهداشت (hygiene/public-health) replaced with سلامت (health) - UHC concerns health-service coverage, not hygiene"
wdi__DT.NFL.MLAT,keep,,,
wdi__EG.CFT.ACCS.RU,keep,,,
wdi__EN.GHG.CH4.PI.MT.CE,keep,,,
wdi__SL.UEM.TOTL,keep,,,
wdi__SE.XPD.TERT.PC,keep,,,
wdi__SE.SEC.ENRR,keep,,,
wdi__DC.DAC.AUTL,keep,,,
wdi__DC.DAC.KORL,keep,,,
wdi__AG.SRF.TOTL,keep,,,
wdi__SE.XPD.PRIM.PC,keep,,,
wdi__FP.CPI,keep,,,
wdi__SE.XPD.CSEC,keep,,,
wdi__ST.INT.XPND,keep,,,
wdi__TM.VAL.MRCH.OR,keep,,,
wdi__EN.GHG.CH4.IC.MT.CE,keep,,,
wdi__DC.DAC.NZLL,keep,,,
wdi__NY.GDY.TOTL,keep,,,
wdi__BN.CAB.XOKA.GD,keep,,,
wdi__NE.IMP.GNFS.KD,keep,,,
wdi__SE.ENR.TERT.FM,keep,,,
wdi__SL.UEM.INTM,keep,,,
wdi__SP.POP.0014.TO,keep,,,
wdi__NE.CON.TOTL.KD,keep,,,
wdi__SL.UEM.1524,keep,,,
wdi__NY.GDP.TOTL.RT,keep,,,
wdi__EN.GHG.CH4.TR.MT.CE,keep,,,
wdi__SH.SGR.CRSK,keep,,,
wdi__SH.XPD.GHED.GD,keep,,,
wdi__per_sa_allsa.cov_q3_tot,keep,,,
wdi__AG.PRD.CREL,keep,,,
wdi__SP.DYN.TO65.FE,keep,,,
wdi__DT.DOD.DIMF,keep,,,
wdi__LP.LPI.LOGS,keep,,,
wdi__CM.MKT,keep,,,
wdi__SP.REG.DTHS,keep,,,
wdi__TM.VAL.MRCH.AL,keep,,,
wdi__SP.POP,keep,,,
wdi__CM.MKT.LCAP,keep,,,
wdi__ST.INT.XPND.MP,keep,,,
wdi__SE.ADT.LITR,keep,,,
wdi__EN.URB.MCTY.TL,keep,,,
wdi__SL.UEM.INTM.MA,keep,,,
wdi__ER.MRN.PTMR,keep,,,
wdi__SN.ITK.SVFI,keep,,,
wdi__SH.STA.SUIC.MA,keep,,,
wdi__EG.ELC.PETR,keep,,,
wdi__SH.XPD.PVTD.PP,keep,,,
wdi__SE.PRE.TCAQ,keep,,,
wdi__SL.TLF.INTM,keep,,,
wdi__SL.EMP.TOTL.SP.MA,keep,,,
wdi__PA.NUS,keep,,,
wdi__NY.GNP.MKTP.KD,keep,,,
wdi__SE.PRM.CMPT.FE,keep,,,
wdi__SH.STA,keep,,,
wdi__EN.POP.EL5M.RU,keep,,,
wdi__SH.STA.SUIC,keep,,,
wdi__SE.PRM.PRSL.FE,keep,,,
wdi__DC.DAC.CZEL,keep,,,
wdi__SP.URB,keep,,,
wdi__EG.IMP.CONS,keep,,,
wdi__NY.GDP.PCAP.KD,keep,,,
wdi__SP.POP.3034.MA,keep,,,
wdi__EN.ATM.PM25.MC.T1,keep,,,
wdi__EN.GHG.CO2.BU.MT.CE,keep,,,
wdi__GC.AST.TOTL,keep,,,
wdi__ST.INT.RCPT,keep,,,
wdi__SE.PRM.NENR,keep,,,
wdi__EN.GHG.CH4.IP.MT.CE,keep,,,
wdi__BM.GSR.NFSV,keep,,,
wdi__TX.VAL.INSF.ZS,keep,,,
wdi__AG.LND.EL5M.UR,keep,,,
wdi__SE.SEC.TCAQ.LO.MA,keep,,,
wdi__SL.UEM.TOTL.FE,keep,,,
wdi__SL.TLF.ACTI,keep,,,
wdi__AG.LND.CROP,keep,,,
wdi__SP.POP.1519.FE,keep,,,
wdi__GC.XPN.INTP,keep,,,
wdi__IC.BUS.NDNS,keep,,,
wdi__per_allsp.cov_pop_tot,keep,,,
wdi__SP.POP.6569.FE,keep,,,
wdi__DT.NFL.UNDP,keep,,,
wdi__NY.ADJ.DCO2.GN,keep,,,
wdi__DT.NFL.SPRP,keep,,,
wdi__NV.AGR.TOTL.KD,keep,,,
wdi__EN.GHG.CO2.MT.CE,keep,,,
wdi__AG.LND.TOTL,keep,,,
wdi__SL.TLF.BASC,keep,,,
wdi__NY.ADJ.DKAP.GN,keep,,,
wdi__NY.ADJ.SVNG.GN,keep,,,
wdi__EN.GHG.FGAS.IP.MT.CE,keep,,,
wdi__SH_UHC_SCI,retitle,زیرشاخص پوشش خدمات سلامت همگانی (UHC) در بیماری‌های عفونی,,terminology: same بهداشت->سلامت fix as SH_UHC
wdi__SP.ADO,keep,,,
wdi__NY.GNP.MKTP,keep,,,
wdi__SE.SEC.CUAT.UP,keep,,,
wdi__SE.SEC.TCAQ,keep,,,
wdi__EG.CFT.ACCS.UR,keep,,,
wdi__SL.UEM.NEET.FE.ME,keep,,,
wdi__SP.POP.65UP.MA,keep,,,
wdi__NV.MNF.TXTL.ZS,keep,,,
wdi__SL.TLF.CACT.MA.NE,keep,,,
wdi__SH.TBS,keep,,,
wdi__SH.MED.BEDS,keep,,,
wdi__IT.NET.USER,keep,,,
wdi__GC.TAX.GSRV,keep,,,
wdi__SH.XPD.OOPC.CH,keep,,,
wdi__NY.GDP.DISC,keep,,,
wdi__GOV_WGI_PV,retitle,امتیاز حکمرانی: ثبات سیاسی (0 تا 100),,dash suffix: same WGI pattern fix as GOV_WGI_RQ
wdi__EN.GHG.CO2.RT.GDP,keep,,,
wdi__TX.VAL.TECH.MF,keep,,,
wdi__SH.MED.SAOP,keep,,,
wdi__SH.STA.AIRP,keep,,,
wdi__SH.STA.BFED,keep,,,
wdi__DC.DAC.AUSL,keep,,,
wdi__IS.SHP.GCNW,keep,,,
wdi__DT.DOD.DSTC,keep,,,
wdi__TM.VAL.MANF.ZS,keep,,,
wdi__NY.GSR.NFCY,keep,,,
wdi__DT.TDS.MLAT,keep,,,
wdi__NY.GNP.MKTP.PP,retitle,تولید ناخالص ملی، برابری قدرت خرید (دلار بین‌المللی جاری),,terminology: PPP left untranslated; fa.wikipedia term is برابری قدرت خرید (also matches this dataset's own category_fa for Purchasing Power Parity and sibling chart SH.XPD.PVTD.PP)
wdi__SE.PRE.ENRL.TC,keep,,,
wdi__SL.IND.EMPL,keep,,,
wdi__SH.TBS.DTEC,keep,,,
wdi__FP.WPI,keep,,,
wdi__SH.STA.SUIC.FE,keep,,,
wdi__LP.EXP.DURS,keep,,,
wdi__FB.CBK.BRCH,keep,,,
wdi__SP.POP.TOTL.MA,keep,,,
wdi__EG.USE.COMM.GD.PP,retitle,مصرف انرژی (کیلوگرم معادل نفت) به ازای هر 1000 دلار تولید ناخالص داخلی (دلار ثابت برابری قدرت خرید، پایه 2021),,terminology: PPP -> برابری قدرت خرید (fa.wikipedia standard term)
wdi__FX.OWN.TOTL.60,needs_review,,,"category mismatch: indicator is financial-account ownership/inclusion (Findex), not exchange rates; category_fa ""نرخ ارز"" is a correct translation of the given English category but the category assignment itself looks wrong at the source-data level"
wdi__SE.SEC.UNER.LO.MA,keep,,,
wdi__FM.AST.PRVT.ZG,keep,,,
wdi__NY.GDP.DEFL.ZS,keep,,,
wdi__EG.ELC.COAL,keep,,,
wdi__SP.POP.65UP.TO,keep,,,
wdi__SE.SEC.CUAT.LO,keep,,,
wdi__SH.DTH.COMM,keep,,,
wdi__SH.STA.BRTC,keep,,,
wdi__VC.IHR.PSRC,keep,,,
wdi__SP.POP.0509.MA,keep,,,
wdi__SE.SEC.ENRL.LO.TC,keep,,,
wdi__TX.VAL.ICTG.ZS,keep,,,
wdi__SE.TER.CUAT.DO,keep,,,
wdi__LP.IMP.DURS,keep,,,
wdi__SP.POP.5054.FE,keep,,,
wdi__DT.DOD.DPPG,keep,,,
wdi__DT.NFL.UNTA,keep,,,
wdi__SE.SEC.TCAQ.UP,keep,,,
wdi__DT.ODA.ALLD,keep,,,
wdi__SL.SRV.EMPL,keep,,,
wdi__EN.FSH.THRD,keep,,,
wdi__SE.PRM.REPT.FE,keep,,,
wdi__DC.DAC.LUXL,keep,,,
wdi__NY.ADJ.ICTR.GN,keep,,,
wdi__EG.EGY.PRIM.PP,retitle,شدت انرژی اولیه (مگاژول به ازای هر دلار برابری قدرت خرید تولید ناخالص داخلی، پایه 2021),,terminology: PPP -> برابری قدرت خرید
wdi__SE.XPD.TOTL.GD,keep,,,
wdi__DT.NFL.BLAT,keep,,,
wdi__EG.GDP.PUSE.KO,retitle,تولید ناخالص داخلی به ازای هر واحد مصرف انرژی (دلار برابری قدرت خرید به ازای هر کیلوگرم معادل نفت),,terminology: PPP -> برابری قدرت خرید
wdi__NE.GDI.FTOT.KD,keep,,,
wdi__SP.DYN.IMRT.MA,keep,,,
wdi__SH.STA.AIRP.FE,keep,,,
wdi__NV.IND.MANF.KD,keep,,,
wdi__per_allsp.adq_pop_tot,keep,,,
wdi__SP.POP.7074.FE,keep,,,
wdi__FI.RES.TOTL.DT,keep,,,
wdi__SL.UEM.ADVN.MA,keep,,,
wdi__EN.GHG.CO2.ZG,keep,,,
wdi__SE.PRE,keep,,,
wdi__SP.POP.2529.FE,keep,,,
wdi__EN.GHG.TOT.ZG,keep,,,
wdi__BG.GSR.NFSV.GD,keep,,,
wdi__SE.LPV,keep,,,
wdi__GC.TAX.OTHR.RV,keep,,,
wdi__TX.VAL.MRCH.OR,keep,,,
wdi__SL.TLF.BASC.MA,keep,,,
wdi__LP.LPI.TRAC,keep,,,
wdi__SH.XPD.GHED.GE,keep,,,
wdi__NE.GDI.TOTL.KD,keep,,,
wdi__VC.BTL,keep,,,
wdi__EN.GHG.N2O.IC.MT.CE,keep,,,
wdi__GC.TAX.GSRV.RV,keep,,,
wdi__FM.AST.CGOV.ZG,keep,,,
wdi__AG.LND.EL5M,keep,,,
wdi__SP.POP.7074.MA,keep,,,
wdi__EG.ELC.LOSS,keep,,,
wdi__SH.STA.STNT,keep,,,
wdi__TX.VAL.MRCH.R1,keep,,,
wdi__BN.FIN.TOTL,keep,,,
wdi__SH.STA.ODFC.RU,keep,,,
wdi__SE.PRM.CUAT.FE,keep,,,
wdi__SP.POP.4549.FE,keep,,,
wdi__NV.IND.TOTL,keep,,,
wdi__IE.PPI.ENGY,keep,,,
wdi__DT.DOD.MIBR,keep,,,
wdi__FM.LBL.BMNY.GD,keep,,,
wdi__GC.XPN.COMP,keep,,,
wdi__TX.QTY.MRCH.XD,keep,,,
wdi__SE.SEC.TCHR,keep,,,
wdi__TM.VAL.TRAN.ZS,keep,,,
wdi__SL.UEM.BASC.MA,keep,,,
wdi__NV.MNF.MTRN.ZS,keep,,,
wdi__SL.EMP.SELF.FE,keep,,,
wdi__EN.GHG.N2O.FE.MT.CE,keep,,,
wdi__DT.NFL.IMFN,keep,,,
wdi__NY.GDP.MINR.RT,keep,,,
wdi__EG.GDP.PUSE.KO.PP,retitle,تولید ناخالص داخلی به ازای هر واحد مصرف انرژی (دلار ثابت برابری قدرت خرید، پایه 2021 به ازای هر کیلوگرم معادل نفت),,terminology: PPP -> برابری قدرت خرید
wdi__TX.VAL.TECH,keep,,,
wdi__SL.EMP.1524.SP,keep,,,
wdi__SL.TLF.ACTI.1524,keep,,,
wdi__GC.TAX.GSRV.VA,keep,,,
wdi__SH.STA.OWGH.ME.MA,keep,,,
wdi__FX.OWN.TOTL.40,needs_review,,,"category mismatch: same Findex/account-ownership vs ""Exchange Rates"" category issue as FX.OWN.TOTL.60"
wdi__SE.SEC.TCAQ.FE,keep,,,
wdi__SL.TLF.ACTI.1524.FE,keep,,,
wdi__IT.NET.SECR,keep,,,
wdi__EN.GHG.CH4.WA.MT.CE,keep,,,
wdi__BX.GSR.FCTY,keep,,,
wdi__DT.NFL.OFFT,keep,,,
wdi__EN.GHG.CH4.AG.MT.CE,keep,,,
wdi__NV.SRV.TOTL.KD,keep,,,
wdi__GOV_WGI_CC,retitle,امتیاز حکمرانی: کنترل فساد (0 تا 100),,dash suffix: same WGI pattern fix as GOV_WGI_RQ
wdi__ER.H2O.FWDM,keep,,,
wdi__AG.PRD.FOOD,keep,,,
wdi__VC.IHR.PSRC.MA,keep,,,
wdi__SE.ADT.LITR.FE,keep,,,
wdi__LP.LPI.OVRL,keep,,,
wdi__DT.ODA.ODAT.XP,keep,,,
wdi__SH.XPD.OOPC.PC,keep,,,
wdi__DT.NFL.PCBK,keep,,,
wdi__SE.PRM.TCHR.FE,keep,,,
wdi__DT.TDS.DPPG.GN,keep,,,
wdi__EN.ATM.PM25.MC.T2,keep,,,
wdi__SH.STA.ORCF,keep,,,
wdi__EG.FEC.RNEW,keep,,,
wdi__FP.CPI.TOTL,keep,,,
wdi__IT.NET,keep,,,
wdi__BN.KAC.EOMS,keep,,,
wdi__SH.STA.BASS,keep,,,
wdi__SP.POP.7579.FE,keep,,,
wdi__BN.CAB.XOKA,keep,,,
wdi__SE.SEC.ENRL.GC.FE,keep,,,
wdi__DT.TDS.DECT.GN,keep,,,
wdi__NE.DAB.DEFL,keep,,,
wdi__SH.DTH.OCVD,keep,,,
wdi__SE.ENR.PRIM.FM,keep,,,
wdi__AG.LND.ARBL.HA,keep,,,
wdi__EN.HPT.THRD,keep,,,
wdi__ER.FSH.AQUA,keep,,,
wdi__CM.MKT.LDOM,keep,,,
wdi__SE.TER.CUAT.DO.MA,keep,,,
wdi__DC.DAC.CECL,keep,,,
wdi__EN.GHG.CO2.RT.GDP.PP,retitle,شدت کربن تولید ناخالص داخلی (کیلوگرم معادل CO2 به ازای هر دلار برابری قدرت خرید پایه 2021 تولید ناخالص داخلی),,terminology: PPP -> برابری قدرت خرید
wdi__SH.STA.STNT.MA,keep,,,
wdi__SM.POP.RHCR,keep,,,
wdi__SL.UEM.TOTL.MA,keep,,,
wdi__EN.GHG.N2O.WA.MT.CE,keep,,,
wdi__SH.STA.OWGH.ME,keep,,,
wdi__BN.GSR.GNFS,keep,,,
wdi__SL.AGR.EMPL.MA,keep,,,
wdi__TM.VAL.FOOD.ZS,keep,,,
wdi__SP.M15.2024.FE,keep,,,
wdi__TG.VAL.TOTL.GD,keep,,,
wdi__NY.ADJ.DPEM,keep,,,
wdi__SP.POP.1564.FE,keep,,,
wdi__DT.TDS.DECT,keep,,,
wdi__FS.AST.PRVT.GD,keep,,,
wdi__SL.UEM.BASC,keep,,,
wdi__DT.TDS.DECT.EX,keep,,,
wdi__TX.VAL.MRCH.R3,keep,,,
wdi__GC.TAX.YPKG.RV,keep,,,
wdi__SH.H2O.BASW,keep,,,
wdi__SH.STA.OWGH,keep,,,
wdi__SM.POP.ASYS,keep,,,
wdi__SN.ITK.DEFC,keep,,,
wdi__SH.H2O.SMDW.UR,keep,,,
wdi__SH.STA.ANVC,keep,,,
wdi__IS.RRS.GOOD.MT,keep,,,
wdi__DC.DAC.SVKL,keep,,,
wdi__NY.ADJ.NNTY.PC,keep,,,
wdi__SE.PRM.TCAQ,keep,,,
wdi__SH.PRV.SMOK,keep,,,
wdi__TM.TAX.TCOM.WM.AR,keep,,,
wdi__GC.TAX.TOTL.GD,keep,,,
wdi__DT.DOD.DECT,keep,,,
wdi__EN.MAM.THRD,keep,,,
wdi__SH.STA.STNT.FE,keep,,,
wdi__DC.DAC.POLL,keep,,,
wdi__FX.OWN.TOTL.SO,needs_review,,,"category mismatch: same Findex/account-ownership vs ""Exchange Rates"" category issue as FX.OWN.TOTL.60"
wdi__BM.GSR.TRAN,keep,,,
wdi__BM.KLT.DINV.CD,keep,,,
wdi__NY.GDP.FRST.RT,keep,,,
wdi__TX.VAL.MRCH.WR,keep,,,
wdi__DT.NFL.ILOG,keep,,,
wdi__TX.VAL.MRCH.R6,keep,,,
