Average expenses and percentage distribution	Expenditure quintile	Expenditure codes (2 digits)	Period	Total
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2012	578.11
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2011	605.81
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2010	617.85
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2009	618.11
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2008	612.62
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2007	595.96
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2006	558.84
Average expenditure per household	Total	03 Clothing and footwear	2023	1,319.38
Average expenditure per household	Total	03 Clothing and footwear	2022	1,231.61
Average expenditure per household	Total	03 Clothing and footwear	2021	1,155.97
Average expenditure per household	Total	03 Clothing and footwear	2020	1,009.03
Average expenditure per household	Total	03 Clothing and footwear	2019	1,417.49
Average expenditure per household	Total	03 Clothing and footwear	2018	1,463.11
Average expenditure per household	Total	03 Clothing and footwear	2017	1,514.84
Average expenditure per household	Total	03 Clothing and footwear	2016	1,451.41
Average expenditure per household	Total	03 Clothing and footwear	2015	1,395.27
Average expenditure per household	Total	03 Clothing and footwear	2014	1,375.75
Average expenditure per household	Total	03 Clothing and footwear	2013	1,348.38
Average expenditure per household	Total	03 Clothing and footwear	2012	1,403.10
Average expenditure per household	Total	03 Clothing and footwear	2011	1,544.77
Average expenditure per household	Total	03 Clothing and footwear	2010	1,654.10
Average expenditure per household	Total	03 Clothing and footwear	2009	1,743.99
Average expenditure per household	Total	03 Clothing and footwear	2008	1,942.64
Average expenditure per household	Total	03 Clothing and footwear	2007	2,075.51
Average expenditure per household	Total	03 Clothing and footwear	2006	2,056.19
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2023	10,367.26
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2022	10,242.59
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2021	9,893.03
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2020	9,621.46
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2019	9,441.17
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2018	9,180.75
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2017	8,774.12
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2016	8,705.62
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2015	8,714.49
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2014	8,751.02
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2013	8,968.18
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2012	9,097.94
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2011	9,164.90
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2010	8,880.82
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2009	8,919.89
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2008	8,656.29
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2007	8,140.65
Average expenditure per household	Total	04 Housing, water, electricity, gas and other fuels	2006	7,551.90
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2023	1,349.33
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2022	1,296.13
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2021	1,286.20
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2020	1,170.34
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2019	1,330.46
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2018	1,371.91
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2017	1,337.58
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2016	1,282.65
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2015	1,164.95
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2014	1,099.99
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2013	1,147.28
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2012	1,239.88
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2011	1,371.88
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2010	1,432.91
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2009	1,525.54
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2008	1,644.30
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2007	1,792.77
Average expenditure per household	Total	05 Furnishings, household equipment and routine household maintenance	2006	1,795.16
Average expenditure per household	Total	06 Health	2023	1,242.68
Average expenditure per household	Total	06 Health	2022	1,228.27
Average expenditure per household	Total	06 Health	2021	1,203.71
Average expenditure per household	Total	06 Health	2020	1,000.96
Average expenditure per household	Total	06 Health	2019	1,047.71
Average expenditure per household	Total	06 Health	2018	1,009.72
Average expenditure per household	Total	06 Health	2017	980.39
Average expenditure per household	Total	06 Health	2016	966.69
Average expenditure per household	Total	06 Health	2015	971.98
Average expenditure per household	Total	06 Health	2014	954.74
Average expenditure per household	Total	06 Health	2013	869.91
Average expenditure per household	Total	06 Health	2012	896.72
Average expenditure per household	Total	06 Health	2011	894.71
Average expenditure per household	Total	06 Health	2010	932.74
Average expenditure per household	Total	06 Health	2009	956.15
Average expenditure per household	Total	06 Health	2008	1,009.45
Average expenditure per household	Total	06 Health	2007	942.01
Average expenditure per household	Total	06 Health	2006	876.34
Average expenditure per household	Total	07 Transport	2023	3,777.71
Average expenditure per household	Total	07 Transport	2022	3,794.37
Average expenditure per household	Total	07 Transport	2021	3,230.17
Average expenditure per household	Total	07 Transport	2020	2,741.47
Average expenditure per household	Total	07 Transport	2019	3,888.03
Average expenditure per household	Total	07 Transport	2018	3,790.21
Average expenditure per household	Total	07 Transport	2017	3,667.29
Average expenditure per household	Total	07 Transport	2016	3,263.58
Average expenditure per household	Total	07 Transport	2015	3,158.07
Average expenditure per household	Total	07 Transport	2014	3,227.06
Average expenditure per household	Total	07 Transport	2013	3,120.60
Average expenditure per household	Total	07 Transport	2012	3,320.84
Average expenditure per household	Total	07 Transport	2011	3,493.51
Average expenditure per household	Total	07 Transport	2010	3,635.72
Average expenditure per household	Total	07 Transport	2009	3,610.69
Average expenditure per household	Total	07 Transport	2008	4,342.94
Average expenditure per household	Total	07 Transport	2007	4,528.97
Average expenditure per household	Total	07 Transport	2006	4,468.46
Average expenditure per household	Total	08 Communication	2023	896.08
Average expenditure per household	Total	08 Communication	2022	924.61
Average expenditure per household	Total	08 Communication	2021	936.62
Average expenditure per household	Total	08 Communication	2020	939.69
Average expenditure per household	Total	08 Communication	2019	946.12
Average expenditure per household	Total	08 Communication	2018	964.01
Average expenditure per household	Total	08 Communication	2017	929.62
Average expenditure per household	Total	08 Communication	2016	882.15
Average expenditure per household	Total	08 Communication	2015	791.98
Average expenditure per household	Total	08 Communication	2014	793.23
Average expenditure per household	Total	08 Communication	2013	823.25
Average expenditure per household	Total	08 Communication	2012	861.30
Average expenditure per household	Total	08 Communication	2011	903.83
Average expenditure per household	Total	08 Communication	2010	920.12
Average expenditure per household	Total	08 Communication	2009	949.58
Average expenditure per household	Total	08 Communication	2008	967.94
Average expenditure per household	Total	08 Communication	2007	927.07
Average expenditure per household	Total	08 Communication	2006	862.70
Average expenditure per household	Total	09 Recreation and culture	2023	1,651.06
Average expenditure per household	Total	09 Recreation and culture	2022	1,534.44
Average expenditure per household	Total	09 Recreation and culture	2021	1,293.60
Average expenditure per household	Total	09 Recreation and culture	2020	1,125.89
Average expenditure per household	Total	09 Recreation and culture	2019	1,653.69
Average expenditure per household	Total	09 Recreation and culture	2018	1,643.16
Average expenditure per household	Total	09 Recreation and culture	2017	1,662.14
Average expenditure per household	Total	09 Recreation and culture	2016	1,593.76
Average expenditure per household	Total	09 Recreation and culture	2015	1,593.08
Average expenditure per household	Total	09 Recreation and culture	2014	1,532.81
Average expenditure per household	Total	09 Recreation and culture	2013	1,536.88
Average expenditure per household	Total	09 Recreation and culture	2012	1,670.30
Average expenditure per household	Total	09 Recreation and culture	2011	1,852.41
Average expenditure per household	Total	09 Recreation and culture	2010	1,945.40
Average expenditure per household	Total	09 Recreation and culture	2009	2,049.23
Average expenditure per household	Total	09 Recreation and culture	2008	2,180.90
Average expenditure per household	Total	09 Recreation and culture	2007	2,218.20
Average expenditure per household	Total	09 Recreation and culture	2006	2,083.41
Average expenditure per household	Total	10 Education	2023	485.80
Average expenditure per household	Total	10 Education	2022	467.57
Average expenditure per household	Total	10 Education	2021	438.59
Average expenditure per household	Total	10 Education	2020	437.28
Average expenditure per household	Total	10 Education	2019	480.59
Average expenditure per household	Total	10 Education	2018	460.66
Average expenditure per household	Total	10 Education	2017	414.22
Average expenditure per household	Total	10 Education	2016	399.05
Average expenditure per household	Total	10 Education	2015	407.42
Average expenditure per household	Total	10 Education	2014	395.86
Average expenditure per household	Total	10 Education	2013	388.73
Average expenditure per household	Total	10 Education	2012	361.33
Average expenditure per household	Total	10 Education	2011	340.46
Average expenditure per household	Total	10 Education	2010	338.62
Average expenditure per household	Total	10 Education	2009	315.97
Average expenditure per household	Total	10 Education	2008	327.17
Average expenditure per household	Total	10 Education	2007	320.54
Average expenditure per household	Total	10 Education	2006	308.19
Average expenditure per household	Total	11 Restaurants and hotels	2023	3,310.67
Average expenditure per household	Total	11 Restaurants and hotels	2022	2,953.27
Average expenditure per household	Total	11 Restaurants and hotels	2021	2,288.09
Average expenditure per household	Total	11 Restaurants and hotels	2020	1,752.21
Average expenditure per household	Total	11 Restaurants and hotels	2019	2,944.35
Average expenditure per household	Total	11 Restaurants and hotels	2018	2,947.56
Average expenditure per household	Total	11 Restaurants and hotels	2017	3,002.75
Average expenditure per household	Total	11 Restaurants and hotels	2016	2,780.46
Average expenditure per household	Total	11 Restaurants and hotels	2015	2,597.01
Average expenditure per household	Total	11 Restaurants and hotels	2014	2,383.03
Average expenditure per household	Total	11 Restaurants and hotels	2013	2,299.47
Average expenditure per household	Total	11 Restaurants and hotels	2012	2,505.62
Average expenditure per household	Total	11 Restaurants and hotels	2011	2,703.69
Average expenditure per household	Total	11 Restaurants and hotels	2010	2,747.40
Average expenditure per household	Total	11 Restaurants and hotels	2009	2,908.93
Average expenditure per household	Total	11 Restaurants and hotels	2008	3,126.98
Average expenditure per household	Total	11 Restaurants and hotels	2007	3,295.00
Average expenditure per household	Total	11 Restaurants and hotels	2006	3,057.07
Average expenditure per household	Total	12 Other goods and services	2023	2,409.58
Average expenditure per household	Total	12 Other goods and services	2022	2,363.88
Average expenditure per household	Total	12 Other goods and services	2021	2,216.18
Average expenditure per household	Total	12 Other goods and services	2020	2,108.35
Average expenditure per household	Total	12 Other goods and services	2019	2,290.88
Average expenditure per household	Total	12 Other goods and services	2018	2,297.98
Average expenditure per household	Total	12 Other goods and services	2017	2,261.39
Average expenditure per household	Total	12 Other goods and services	2016	2,214.87
Average expenditure per household	Total	12 Other goods and services	2015	2,031.15
Average expenditure per household	Total	12 Other goods and services	2014	2,038.78
Average expenditure per household	Total	12 Other goods and services	2013	2,016.28
Average expenditure per household	Total	12 Other goods and services	2012	2,121.18
Average expenditure per household	Total	12 Other goods and services	2011	2,161.83
Average expenditure per household	Total	12 Other goods and services	2010	2,194.34
Average expenditure per household	Total	12 Other goods and services	2009	2,329.78
Average expenditure per household	Total	12 Other goods and services	2008	2,384.45
Average expenditure per household	Total	12 Other goods and services	2007	2,405.03
Average expenditure per household	Total	12 Other goods and services	2006	2,351.86
Average expenditure per household	Quintile 1	Overall index	2023	15,879.55
Average expenditure per household	Quintile 1	Overall index	2022	15,573.89
Average expenditure per household	Quintile 1	Overall index	2021	14,534.83
Average expenditure per household	Quintile 1	Overall index	2020	13,497.60
Average expenditure per household	Quintile 1	Overall index	2019	14,324.20
Average expenditure per household	Quintile 1	Overall index	2018	14,075.96
Average expenditure per household	Quintile 1	Overall index	2017	13,734.10
Average expenditure per household	Quintile 1	Overall index	2016	13,429.72
Average expenditure per household	Quintile 1	Overall index	2015	13,043.25
Average expenditure per household	Quintile 1	Overall index	2014	12,685.49
Average expenditure per household	Quintile 1	Overall index	2013	12,999.62
Average expenditure per household	Quintile 1	Overall index	2012	13,571.02
Average expenditure per household	Quintile 1	Overall index	2011	13,868.78
Average expenditure per household	Quintile 1	Overall index	2010	13,844.76
Average expenditure per household	Quintile 1	Overall index	2009	14,040.96
Average expenditure per household	Quintile 1	Overall index	2008	14,402.46
Average expenditure per household	Quintile 1	Overall index	2007	13,361.80
Average expenditure per household	Quintile 1	Overall index	2006	12,108.35
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2023	3,333.96
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2022	3,187.63
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2021	3,001.45
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2020	2,983.37
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2019	2,901.76
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2018	2,860.54
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2017	2,788.51
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2016	2,777.27
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2015	2,775.58
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2014	2,645.85
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2013	2,707.59
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2012	2,845.26
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2011	2,894.12
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2010	2,944.84
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2009	3,034.17
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2008	3,141.33
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2007	2,944.10
Average expenditure per household	Quintile 1	01 Food and non-alcoholic beverages	2006	2,637.44
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2023	225.51
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2022	236.08
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2021	237.36
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2020	260.05
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2019	318.86
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2018	311.22
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2017	341.04
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2016	356.92
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2015	334.13
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2014	334.42
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2013	330.31
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2012	385.72
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2011	449.81
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2010	439.35
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2009	422.59
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2008	392.36
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2007	349.34
Average expenditure per household	Quintile 1	02 Alcoholic beverages and tobacco	2006	327.23
Average expenditure per household	Quintile 1	03 Clothing and footwear	2023	557.16
Average expenditure per household	Quintile 1	03 Clothing and footwear	2022	503.71
Average expenditure per household	Quintile 1	03 Clothing and footwear	2021	445.50
Average expenditure per household	Quintile 1	03 Clothing and footwear	2020	355.54
Average expenditure per household	Quintile 1	03 Clothing and footwear	2019	519.75
Average expenditure per household	Quintile 1	03 Clothing and footwear	2018	522.15
Average expenditure per household	Quintile 1	03 Clothing and footwear	2017	515.79
Average expenditure per household	Quintile 1	03 Clothing and footwear	2016	501.70
Average expenditure per household	Quintile 1	03 Clothing and footwear	2015	487.04
Average expenditure per household	Quintile 1	03 Clothing and footwear	2014	438.24
Average expenditure per household	Quintile 1	03 Clothing and footwear	2013	445.61
Average expenditure per household	Quintile 1	03 Clothing and footwear	2012	493.52
Average expenditure per household	Quintile 1	03 Clothing and footwear	2011	546.00
Average expenditure per household	Quintile 1	03 Clothing and footwear	2010	547.66
Average expenditure per household	Quintile 1	03 Clothing and footwear	2009	591.79
Average expenditure per household	Quintile 1	03 Clothing and footwear	2008	656.04
Average expenditure per household	Quintile 1	03 Clothing and footwear	2007	629.94
Average expenditure per household	Quintile 1	03 Clothing and footwear	2006	617.04
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2023	6,747.73
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2022	6,640.44
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2021	6,339.99
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2020	5,944.75
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2019	5,792.81
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2018	5,631.70
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2017	5,437.24
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2016	5,385.59
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2015	5,351.87
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2014	5,355.57
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2013	5,460.89
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2012	5,533.16
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2011	5,461.50
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2010	5,358.01
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2009	5,304.70
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2008	5,234.55
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2007	4,909.90
Average expenditure per household	Quintile 1	04 Housing, water, electricity, gas and other fuels	2006	4,457.38
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2023	496.49
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2022	464.80
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2021	457.17
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2020	423.22
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2019	465.56
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2018	444.39
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2017	439.66
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2016	407.50
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2015	361.68
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2014	344.71
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2013	337.20
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2012	381.98
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2011	418.49
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2010	423.61
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2009	463.36
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2008	526.49
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2007	519.04
Average expenditure per household	Quintile 1	05 Furnishings, household equipment and routine household maintenance	2006	451.21
Average expenditure per household	Quintile 1	06 Health	2023	392.45
Average expenditure per household	Quintile 1	06 Health	2022	402.74
Average expenditure per household	Quintile 1	06 Health	2021	400.70
Average expenditure per household	Quintile 1	06 Health	2020	334.83
Average expenditure per household	Quintile 1	06 Health	2019	359.11
Average expenditure per household	Quintile 1	06 Health	2018	326.06
Average expenditure per household	Quintile 1	06 Health	2017	308.78
Average expenditure per household	Quintile 1	06 Health	2016	309.63
Average expenditure per household	Quintile 1	06 Health	2015	270.37
Average expenditure per household	Quintile 1	06 Health	2014	244.66
Average expenditure per household	Quintile 1	06 Health	2013	235.01
Average expenditure per household	Quintile 1	06 Health	2012	224.70
Average expenditure per household	Quintile 1	06 Health	2011	231.76
Average expenditure per household	Quintile 1	06 Health	2010	248.24
Average expenditure per household	Quintile 1	06 Health	2009	243.72
Average expenditure per household	Quintile 1	06 Health	2008	278.93
Average expenditure per household	Quintile 1	06 Health	2007	226.20
Average expenditure per household	Quintile 1	06 Health	2006	200.64
Average expenditure per household	Quintile 1	07 Transport	2023	989.00
Average expenditure per household	Quintile 1	07 Transport	2022	1,027.19
Average expenditure per household	Quintile 1	07 Transport	2021	836.57
Average expenditure per household	Quintile 1	07 Transport	2020	669.65
Average expenditure per household	Quintile 1	07 Transport	2019	1,004.92
Average expenditure per household	Quintile 1	07 Transport	2018	1,062.37
Average expenditure per household	Quintile 1	07 Transport	2017	983.51
Average expenditure per household	Quintile 1	07 Transport	2016	956.58
Average expenditure per household	Quintile 1	07 Transport	2015	908.26
Average expenditure per household	Quintile 1	07 Transport	2014	907.38
Average expenditure per household	Quintile 1	07 Transport	2013	995.17
Average expenditure per household	Quintile 1	07 Transport	2012	1,025.48
Average expenditure per household	Quintile 1	07 Transport	2011	1,053.93
Average expenditure per household	Quintile 1	07 Transport	2010	1,019.24
Average expenditure per household	Quintile 1	07 Transport	2009	977.50
Average expenditure per household	Quintile 1	07 Transport	2008	1,010.39
Average expenditure per household	Quintile 1	07 Transport	2007	897.32
Average expenditure per household	Quintile 1	07 Transport	2006	836.60
Average expenditure per household	Quintile 1	08 Communication	2023	662.11
Average expenditure per household	Quintile 1	08 Communication	2022	693.01
Average expenditure per household	Quintile 1	08 Communication	2021	692.41
Average expenditure per household	Quintile 1	08 Communication	2020	703.37
Average expenditure per household	Quintile 1	08 Communication	2019	641.54
Average expenditure per household	Quintile 1	08 Communication	2018	665.65
Average expenditure per household	Quintile 1	08 Communication	2017	634.49
Average expenditure per household	Quintile 1	08 Communication	2016	582.69
Average expenditure per household	Quintile 1	08 Communication	2015	529.47
Average expenditure per household	Quintile 1	08 Communication	2014	520.34
Average expenditure per household	Quintile 1	08 Communication	2013	529.31
Average expenditure per household	Quintile 1	08 Communication	2012	542.75
Average expenditure per household	Quintile 1	08 Communication	2011	566.23
Average expenditure per household	Quintile 1	08 Communication	2010	546.64
Average expenditure per household	Quintile 1	08 Communication	2009	555.92
Average expenditure per household	Quintile 1	08 Communication	2008	557.46
Average expenditure per household	Quintile 1	08 Communication	2007	486.18
Average expenditure per household	Quintile 1	08 Communication	2006	434.60
Average expenditure per household	Quintile 1	09 Recreation and culture	2023	438.45
Average expenditure per household	Quintile 1	09 Recreation and culture	2022	416.36
Average expenditure per household	Quintile 1	09 Recreation and culture	2021	370.70
Average expenditure per household	Quintile 1	09 Recreation and culture	2020	305.78
Average expenditure per household	Quintile 1	09 Recreation and culture	2019	428.95
Average expenditure per household	Quintile 1	09 Recreation and culture	2018	412.00
Average expenditure per household	Quintile 1	09 Recreation and culture	2017	417.00
Average expenditure per household	Quintile 1	09 Recreation and culture	2016	406.01
Average expenditure per household	Quintile 1	09 Recreation and culture	2015	425.87
Average expenditure per household	Quintile 1	09 Recreation and culture	2014	397.43
Average expenditure per household	Quintile 1	09 Recreation and culture	2013	432.19
Average expenditure per household	Quintile 1	09 Recreation and culture	2012	490.30
Average expenditure per household	Quintile 1	09 Recreation and culture	2011	506.54
Average expenditure per household	Quintile 1	09 Recreation and culture	2010	549.07
Average expenditure per household	Quintile 1	09 Recreation and culture	2009	570.16
Average expenditure per household	Quintile 1	09 Recreation and culture	2008	629.82
Average expenditure per household	Quintile 1	09 Recreation and culture	2007	563.34
Average expenditure per household	Quintile 1	09 Recreation and culture	2006	483.73
Average expenditure per household	Quintile 1	10 Education	2023	141.43
Average expenditure per household	Quintile 1	10 Education	2022	133.02
Average expenditure per household	Quintile 1	10 Education	2021	111.60
Average expenditure per household	Quintile 1	10 Education	2020	112.20
Average expenditure per household	Quintile 1	10 Education	2019	97.51
Average expenditure per household	Quintile 1	10 Education	2018	93.88
