country_iso3,source_table,table_title,series,year,value
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1855,2433364.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1855,3.34
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1856,2272325.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1856,3.38
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1856,2369111.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1856,3.25
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1857,2221143.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1857,3.31
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1857,2349150.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1857,3.23
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1858,2273666.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1858,3.39
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1858,2396909.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1858,3.29
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1859,2374989.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1859,3.54
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1859,2513137.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1859,3.45
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1860,2455767.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1860,3.66
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1860,2602846.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1860,3.57
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1861,2488611.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1861,3.71
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1861,2639740.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1861,3.62
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1862,2505668.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1862,3.73
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1862,2655403.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1862,3.65
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1863,2564225.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1863,3.82
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1863,2714773.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1863,3.73
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1864,2566251.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1864,3.82
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1864,2713642.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1864,3.73
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1865,2487441.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1865,3.7
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1865,2632885.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1865,3.61
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1866,2617832.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1866,3.9
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1866,2764922.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1866,3.8
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1867,2611887.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1867,3.89
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1867,2756171.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1867,3.78
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1868,2348302.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1868,3.5
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1868,2460186.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1868,3.38
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1869,2422373.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1869,3.61
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1869,2534400.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1869,3.48
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1870,2483696.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1870,3.7
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1870,2602254.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1870,3.57
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1871,2680278.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1871,3.99
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1871,2805604.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1871,3.85
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1872,3052417.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1872,4.55
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1872,3187645.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1872,4.38
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1873,3321865.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1873,4.95
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1873,3469661.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1873,4.76
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1874,3044008.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1874,4.53
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1874,3236322.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1874,4.44
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1875,3133120.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1875,4.67
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1875,3321044.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1875,4.56
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1876,3192342.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1876,4.75
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1876,3401622.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1876,4.67
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1877,3518112.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1877,5.24
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1877,3743748.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1877,5.14
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1878,3426825.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1878,5.1
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1878,3646297.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1878,5.01
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1879,3237533.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1879,4.82
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1879,3456017.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1879,4.74
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1880,3524342.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1880,5.25
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1880,3758723.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1880,5.16
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1881,3614741.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1881,5.38
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1881,3849704.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1881,5.29
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1882,3661565.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1882,5.45
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1882,3899982.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1882,5.35
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1883,3744034.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1883,5.58
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1883,3973794.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1883,5.46
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1884,3754359.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1884,5.59
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1884,3984894.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1884,5.47
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1885,3654382.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1885,5.44
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1885,3886446.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1885,5.34
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1886,3576036.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1886,5.33
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1886,3804608.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1886,5.22
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1887,3526243.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1887,5.25
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1887,3759277.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1887,5.16
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1888,3669177.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1888,5.47
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1888,3894737.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1888,5.35
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1889,3660627.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1889,5.45
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1889,3912928.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1889,5.37
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1890,3662609.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1890,5.46
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1890,3928319.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1890,5.39
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1891,3745909.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1891,5.58
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1891,4010339.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1891,5.51
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1892,4026866.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1892,6.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1892,4302089.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1892,5.91
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1893,3885863.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1893,5.79
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1893,4193731.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1893,5.76
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1894,3929361.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1894,5.85
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1894,4226586.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1894,5.8
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1895,3894922.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1895,5.8
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1895,4186717.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1895,5.75
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1896,3584471.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1896,5.34
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1896,3861631.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1896,5.3
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1897,3766845.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1897,5.61
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1897,4033403.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1897,5.54
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1898,4057131.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1898,6.04
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1898,4340806.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1898,5.96
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1899,4122092.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1899,6.14
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1899,4445639.0
