ردیف,ماه,سال,نام گمرک,نام کشور,شماره تعرفه,عنوان تعرفه,وزن - کیلو گرم,ارزش - ریال,ارزش - دلار
34,12,1401,غرب تهران,سوریه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,700000,601159487500,1585606
35,12,1401,اصفهان,افغانستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,645800,598778801400,1677780
36,12,1401,اراک,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,625000,592028255000,1606035
37,7,1401,اراک,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,825000,581583340000,2145000
38,5,1401,اراک,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,825000,568627213960,2144746
39,1,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,865500,547371077500,2250300
40,4,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,800000,534775345000,2077475
41,6,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,725000,504979085000,1885000
42,7,1401,اصفهان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,705000,496169757200,1831478
43,9,1401,خسروی,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,648580,492957847276,1676918
44,5,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,707500,488167296500,1839500
45,7,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,657500,463499348000,1709500
46,8,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,633450,455256784190,1646970
47,11,1401,غرب تهران,سوریه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,500000,450120255000,1466524
48,6,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,637675,443783995460,1656405
49,11,1401,منطقه ویژه اقتصادی نوشهر,قزاقستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,552500,440904945000,1436500
50,11,1401,خسروی,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,496760,435615313380,1419266
51,3,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,675000,435476340000,1755099
52,4,1401,اراک,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,650000,434605080000,1690000
53,9,1401,اراک,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,575000,429363805000,1483434
54,11,1401,اراک,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,450000,419803507500,1367750
55,10,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,510000,405952589250,1326000
56,8,1401,اراک,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,550000,394981600000,1429797
57,5,1401,اصفهان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,566625,390336785800,1472531
58,10,1401,اراک,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,475000,386194672500,1263250
59,9,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,517500,378303075000,1313263
60,2,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,580000,372928783500,1508000
61,10,1401,اصفهان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,447000,361997309700,1186749
62,5,1401,خسروی,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,510189,350172604444,1324453
63,12,1401,قم,سوریه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,325000,337412465000,845000
64,8,1401,خسروی,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,465860,334665060808,1212536
65,11,1401,مشهد,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,349500,329197771500,1072550
66,11,1401,غرب تهران,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,350000,322660162500,1051250
67,8,1401,پرویز خان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,443000,319744547200,1151800
68,7,1401,منطقه ویژه اقتصادی شیراز,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,435000,306058168000,1130437
69,4,1401,قم,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,450000,299742300000,1169721
70,10,1401,غرب تهران,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,375000,296540790000,968060
71,1,1401,اراک,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,450000,283317190000,1168798
72,4,1401,غرب تهران,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,425000,281965710000,1100531
73,7,1401,غرب تهران,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,400000,281250710000,1037757
74,5,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,400000,274967680000,1039673
75,9,1401,مشهد,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,367000,274293988800,945157
76,11,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,346478,274023727770,892789
77,9,1401,اصفهان,افغانستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,335000,261063231000,871000
78,12,1401,غرب تهران,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,292000,260178768200,759200
79,6,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,372500,258787165000,968160
80,12,1401,مشهد,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,269000,258041518800,681194
81,6,1401,خسروی,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,378014,255445549545,953835
82,8,1401,قم,سوریه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,350000,254964710000,910000
83,1,1401,شهرکرد,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,425000,253237367000,1045567
84,7,1401,خسروی,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,354722,249757630492,921706
85,12,1401,غرب تهران,امارات متحده عربی,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,250000,248816490000,650000
86,8,1401,مشهد,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,344035,247233443678,894191
87,7,1401,غرب تهران,سوریه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,350000,246570155000,909548
88,2,1401,منطقه ویژه اقتصادی نوشهر,ازبکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,375000,243392175000,975000
89,4,1401,غرب تهران,ترکیه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,361500,241301465600,938743
90,9,1401,غرب تهران,ترکیه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,321750,240266519350,831002
91,11,1401,منطقه ویژه اقتصادی شیراز,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,245000,237720968160,774512
92,9,1401,منطقه ویژه اقتصادی شیراز,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,300000,224278210000,775373
93,3,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,345000,222944111000,897000
94,11,1401,اصفهان,افغانستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,245975,219823266000,716200
95,11,1401,مشهد,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,203000,215062781700,700690
96,8,1401,منطقه ویژه اقتصادی نوشهر,ازبکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,300000,214359132000,780000
97,8,1401,غرب تهران,سوریه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,300000,213930210000,773642
98,8,1401,منطقه ویژه اقتصادی شیراز,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,300000,213777460000,779924
99,11,1401,تبریز,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,200000,211628235000,689500
100,12,1401,اصفهان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,225400,211593045040,566962
101,3,1401,غرب تهران,سوریه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,325000,210763355000,849610
102,6,1401,غرب تهران,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,300000,209070290000,779613
103,2,1401,مشهد,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,323000,208093059200,838168
104,5,1401,اصفهان,افغانستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,300000,206235445000,779634
105,1,1401,اصفهان,افغانستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,325500,204142775200,846569
106,10,1401,پرویز خان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,255900,203578920480,665340
107,9,1401,اصفهان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,257000,196000974000,659234
108,12,1401,مشهد,تاجیکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,211000,195872463800,505584
109,8,1401,اصفهان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,273000,193850563400,709110
110,10,1401,مشهد,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,243000,192946392600,631800
111,9,1401,تبریز,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,250000,188121310000,640747
112,10,1401,اصفهان,افغانستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,237000,187968261000,615833
113,3,1401,قم,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,283000,181634788400,735816
114,1,1401,غرب تهران,سوریه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,285000,180492574000,741905
115,5,1401,غرب تهران,ترکیه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,263000,179812110400,681955
116,10,1401,منطقه ویژه اقتصادی شیراز,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,225000,177998535000,581812
117,6,1401,قم,سوریه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,250000,174003570000,650000
118,1,1401,غرب تهران,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,274400,172841441760,713748
119,5,1401,قم,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,250000,171879890000,650000
120,12,1401,منطقه ویژه اقتصادی شیراز,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,175000,171484950000,455000
121,5,1401,غرب تهران,سوریه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,250000,171436850000,649018
122,12,1401,تبریز,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,175000,170258010000,451820
123,4,1401,قم,سوریه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,250000,165727640000,650000
124,11,1401,اصفهان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,196000,164388638700,535590
125,1,1401,مشهد,افغانستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,258500,163533477900,670970
126,2,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,250000,161522465000,649027
127,2,1401,اراک,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,250000,161454670000,650000
128,5,1401,غرب تهران,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,235000,161317936000,610228
129,2,1401,اینچه برون,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,250000,160496505000,649351
130,8,1401,غرب تهران,ترکیه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,225000,159666780000,582495
131,12,1401,مشهد,افغانستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,172500,157174329000,439018
132,2,1401,غرب تهران,ترکیه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,245000,157071681000,628756
133,2,1401,منطقه ویژه اقتصادی نوشهر,ترکیه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,242000,155916654400,629200
134,9,1401,منطقه ویژه اقتصادی نوشهر,گرجستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,202500,153535531500,522336
135,9,1401,اینچه برون,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,200000,151937305000,515373
136,4,1401,اصفهان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,226250,151837198500,588094
