law_id,law_title_fa,law_title_en,law_summary_en,law_summary_fa,note
72e5e6d06fba,قانون وظايف وزارت كشاورزي,Act on the Duties of the Ministry of Agriculture,"Passed in 1968, this law defines the statutory duties and powers of the Ministry of Agriculture, including agricultural and livestock policy-making, research, extension services, and authority to reorganize its affiliated agencies.",این قانون که در سال ۱۳۴۷ تصویب شد، وظایف و اختیارات وزارت کشاورزی را شامل تدوین خط‌مشی کشاورزی و دامپروری، انجام تحقیقات علمی، ترویج یافته‌ها و ارشاد کشاورزان و همچنین اختیار بازسازی سازمان‌های وابسته به آن تعیین می‌کند.,
781e8c3880d3,قانون مقررات صادرات و واردات,Export and Import Regulations Act,"Passed in 1993, this law is Iran's core foreign trade statute, classifying goods into permitted, conditional and prohibited categories for import and export and requiring a business card for commercial trading, with the Ministry of Industry, Mines and Trade issuing import authorizations.",این قانون که در سال ۱۳۷۲ تصویب شد، چارچوب اصلی تجارت خارجی ایران را تعیین می‌کند، کالاهای صادراتی و وارداتی را به گروه‌های مجاز، مشروط و ممنوع تقسیم می‌کند و فعالیت تجاری صادرات و واردات را منوط به داشتن کارت بازرگانی می‌کند که توسط وزارت صنعت، معدن و تجارت صادر می‌شود.,
a83c8d5e39a5,قانون الحاق دو تبصره به قانون تضمين خريد محصولات اساسي كشاورزي مصوب 1368,Act Adding Two Notes to the Guaranteed Purchase of Essential Agricultural Products Act of 1989,"Passed in 2005, this law amends the 1989 Guaranteed Purchase of Essential Agricultural Products Act by requiring the government to raise the guaranteed purchase price of staple crops each farming year by at least the rate of inflation reported by the Central Bank, applied retroactively to the 2004-2005 crop year.",این قانون که در سال ۱۳۸۴ تصویب شد، قانون تضمین خرید محصولات اساسی کشاورزی مصوب ۱۳۶۸ را اصلاح می‌کند و دولت را موظف می‌سازد قیمت خرید تضمینی محصولات اساسی را در هر سال زراعی حداقل به اندازه نرخ تورم اعلامی بانک مرکزی افزایش دهد، حکمی که به‌طور عطف‌به‌ماسبق برای سال زراعی ۸۴-۱۳۸۳ نیز اجرا شد.,
5686b98d513f,اصلاح تبصره  4  الحاقي ماده  3  و ماده   ... نگاههاي كوچك اقتصادي زودبازده و كارآفرين,"Amendment to Note 4 of Article 3 and to Article 16 of the Executive Bylaw for the Expansion of Quick-Return, Entrepreneurial Small Enterprises","Issued in 2006, this cabinet decision amends the executive bylaw of the Quick-Return and Entrepreneurial Small Enterprises scheme, letting provincial employment task forces direct up to 20 percent of allocated credit toward completing unfinished projects, and raises the scheme's total credit ceiling from 18,000 billion to 180,000 billion rials.",این مصوبه که در سال ۱۳۸۵ صادر شد، آیین‌نامه اجرایی طرح بنگاه‌های کوچک اقتصادی زودبازده و کارآفرین را اصلاح می‌کند، به کارگروه اشتغال استان‌ها اجازه می‌دهد تا بیست درصد تسهیلات ابلاغی را صرف تکمیل واحدهای نیمه‌تمام کنند و سقف کل اعتبار طرح را از هجده هزار میلیارد ریال به صد و هشتاد هزار میلیارد ریال افزایش می‌دهد.,
f889219d6c13,قانون تشکیل شورایعالی اشتغال با اصلاحات و الحاقات بعدی,Act on the Establishment of the Supreme Employment Council,"Passed in 1998, this law creates the Supreme Employment Council, chaired by the President and made up of relevant ministers, to study labor supply and demand, coordinate government decisions affecting employment, and monitor progress toward the employment targets set in national development plans.",این قانون که در سال ۱۳۷۷ تصویب شد، شورای‌عالی اشتغال را به ریاست رئیس‌جمهور و با عضویت وزرای ذی‌ربط تشکیل می‌دهد تا عرضه و تقاضای بازار کار را بررسی کند، میان تصمیمات دستگاه‌های مختلف در حوزه اشتغال هماهنگی ایجاد کند و بر تحقق اهداف اشتغال در برنامه‌های توسعه نظارت کند.,
ce97bf638795,خلاصه برنامه پنجم عمراني كشور,Summary of the Fifth National Development Plan,"Approved in 1973, this document sets out the summary framework of Iran's Fifth National Development Plan (1973-1978), the pre-revolution government's five-year plan for investment across agriculture, industry and infrastructure; most of its individual provisions have since been repealed as obsolete.",این سند که در سال ۱۳۵۲ تصویب شد، چارچوب خلاصه برنامه پنجم عمرانی کشور (۱۳۵۲ تا ۱۳۵۶) را تعیین می‌کند، برنامه پنج‌ساله دولت پیش از انقلاب برای سرمایه‌گذاری در بخش‌های کشاورزی، صنعت و زیرساخت، که بیشتر احکام آن بعدها منسوخ اعلام شده است.,
d6740ad5a538,آئيننامه اجرائي قانون مقررات صادرات و واردات,Executive Bylaw of the Export and Import Regulations Act (1987),"Issued in 1987 to implement that year's Export and Import Regulations Act, this bylaw sets the administrative procedures for trade licensing, including a minimum six-month validity for ministry import/export authorizations and designation of deprived border regions eligible for special trade treatment.",این آیین‌نامه که در سال ۱۳۶۶ برای اجرای قانون مقررات صادرات و واردات همان سال صادر شد، رویه‌های اداری صدور مجوز تجارت خارجی را مشخص می‌کند، از جمله اعتبار حداقل شش‌ماهه مجوزهای صادراتی و وارداتی وزارتخانه‌ها و تعیین مناطق مرزی محروم مشمول تسهیلات ویژه.,
ee62c4029b96,قانون مقررات صادرات و واردات سال 1364,Export and Import Regulations Act of 1985 (1364),"Passed in 1985 as that year's annual foreign trade law, this act requires a business card for commercial import and export activity, sorts goods into permitted, conditional and prohibited categories, and assigns import authorization power to the Ministry of Industry, Mines and Trade.",این قانون که در سال ۱۳۶۴ به عنوان قانون سالانه تجارت خارجی تصویب شد، فعالیت تجاری صادرات و واردات را منوط به داشتن کارت بازرگانی می‌کند، کالاها را به گروه‌های مجاز، مشروط و ممنوع تقسیم می‌کند و اختیار صدور مجوز واردات را به وزارت صنعت، معدن و تجارت می‌سپارد.,
7ba0519df5f9,آيين نامه اجرايي قانون مقررات صادرات و و ... جرايي قانون مقررات صادرات و واردات 1369,Executive Bylaw of the Export and Import Regulations Act (1988),"Issued in 1988, this bylaw implements that year's Export and Import Regulations Act, prescribing administrative procedures such as inter-ministerial committee review of import and export requests and a minimum six-month validity period for trade authorizations.",این آیین‌نامه که در سال ۱۳۶۷ برای اجرای قانون مقررات صادرات و واردات صادر شد، رویه‌های اداری از جمله بررسی درخواست‌های صادرات و واردات توسط کمیسیون بین‌وزارتی و حداقل اعتبار شش‌ماهه مجوزهای تجاری را مشخص می‌کند.,
6998f10f4010,قانون مبارزه با قاچاق كالا و ارز,Anti-Smuggling of Goods and Currency Act,"Passed in 2013, this law is Iran's principal anti-smuggling statute, defining goods and currency smuggling, establishing specialized courts and enforcement task forces, and setting penalties such as confiscation and fines, with a share of recovered funds paid as rewards to whistleblowers and enforcement agencies.",این قانون که در سال ۱۳۹۲ تصویب شد، قانون اصلی مبارزه با قاچاق در ایران است، قاچاق کالا و ارز را تعریف می‌کند، دادگاه‌ها و نهادهای تخصصی مبارزه با قاچاق را ایجاد می‌کند و مجازات‌هایی مانند ضبط کالا و جریمه نقدی تعیین می‌کند، ضمن آنکه بخشی از وجوه کشف‌شده به عنوان پاداش به مخبران و دستگاه‌های کاشف پرداخت می‌شود.,
f9cc0eb92958,آيين نامه اجرايي قانون نحوه اعمال تعزيرات حكومتي راجع به قاچاق كالا و ارز,Executive Bylaw of the Act on Government Discretionary Punishments for Goods and Currency Smuggling,"Issued in 2000, this bylaw implements the 1995 Government Discretionary Punishments (Ta'zirat) Act for smuggling, defining agencies such as the ""discovering agency"" and setting procedures for revenue bodies like customs and the central bank to pursue and penalize smugglers, including confidential rewards for informants.",این آیین‌نامه که در سال ۱۳۷۹ صادر شد، قانون نحوه اعمال تعزیرات حکومتی راجع به قاچاق کالا و ارز مصوب ۱۳۷۴ را اجرایی می‌کند، نهادهایی مانند «سازمان کاشف» را تعریف می‌کند و رویه رسیدگی دستگاه‌های وصول درآمد مانند گمرک و بانک مرکزی به پرونده‌های قاچاق، از جمله پرداخت پاداش محرمانه به مخبران را مشخص می‌کند.,
243c4fae96be,قانون مقررات صادرات و واردات,Export and Import Regulations Act (1987),"Passed in 1987, this earlier version of Iran's annual foreign trade law made import and export of any good subject to this act and repealed conflicting rules; it was later implicitly superseded by the 1993 Export and Import Regulations Act of the same name.",این قانون که در سال ۱۳۶۶ تصویب شد، نسخه پیشین قانون سالانه تجارت خارجی ایران است که صدور و ورود هر نوع کالا را منوط به رعایت آن می‌کرد؛ این قانون بعدها به‌طور ضمنی با قانون مقررات صادرات و واردات مصوب ۱۳۷۲ با همین عنوان نسخ شد.,"title duplicate/variant of law_id 781e8c3880d3 (same title, different enactment year; the 1993 act implicitly repealed this one)"
33a5157df624,قانون مقررات صادرات و واردات سال 1365,Export and Import Regulations Act of 1986 (1365),"Passed in 1986 as that year's annual foreign trade law, this act requires a business card for commercial trade, sorts goods into four categories, permitted, conditionally permitted, restricted and prohibited, and delegates authorization power to the Ministry of Industry, Mines and Trade.",این قانون که در سال ۱۳۶۵ به عنوان قانون سالانه تجارت خارجی تصویب شد، فعالیت تجاری را منوط به داشتن کارت بازرگانی می‌کند، کالاها را به چهار گروه مجاز، مجاز مشروط، غیرمجاز و ممنوع تقسیم می‌کند و اختیار صدور مجوز را به وزارت صنعت، معدن و تجارت می‌سپارد.,
d1430034d38e,قانون احكام دائمي برنامه هاي توسعه كشور,Permanent Provisions of the Development Plans Act,"Passed in 2017, this law consolidates a set of economic and administrative provisions, spanning taxation, welfare and employment, that apply permanently rather than expiring with each five-year development plan, reducing the need to re-legislate them every planning cycle.",این قانون که در سال ۱۳۹۵ تصویب شد، مجموعه‌ای از احکام اقتصادی و اداری در حوزه‌هایی مانند مالیات، رفاه و اشتغال را به‌صورت دائمی و نه صرفاً در چارچوب یک برنامه پنج‌ساله تعیین می‌کند تا نیاز به تصویب مجدد آن‌ها در هر برنامه توسعه از میان برود.,
88b5593dfcb8,قانون الحاق موادی به قانون تنظیم بخشی از مقررات مالی دولت (۱) - مصوب ۱۳۸۰ / ۱۱ / ۲۷ با اصلاحات و الحاقات بعدی,Act Adding Articles to the Act on Regulating Part of the Government's Financial Regulations (1),"Passed in 2005, this law adds provisions to the 2002 framework act on government financial regulations, requiring the Central Bank to net foreign debt repayments against the annual budget and authorizing government agencies and utilities to open rial letters of credit for domestic contractors on capital projects.",این قانون که در سال ۱۳۸۴ تصویب شد، موادی را به قانون تنظیم بخشی از مقررات مالی دولت مصوب ۱۳۸۰ الحاق می‌کند، بانک مرکزی را موظف می‌سازد بازپرداخت تعهدات ارزی را از بدهی دولت کسر کند و به دستگاه‌های دولتی و شرکت‌های آب و برق اجازه می‌دهد برای طرح‌های عمرانی به نفع پیمانکاران داخلی اعتبار اسنادی ریالی افتتاح کنند.,
f5c836a80295,قانون الحاق موادي به قانون تنظيم بخشي از مقررات مالي دولت (1),Act Adding Articles to the Act on Regulating Part of the Government's Financial Regulations (1),"Passed in 2002, this law adds provisions to the framework act on government financial regulations, requiring the Central Bank to net foreign debt repayments against the annual budget and authorizing government agencies and utilities to open rial letters of credit for domestic contractors on capital projects.",این قانون که در سال ۱۳۸۴ تصویب شد، موادی را به قانون تنظیم بخشی از مقررات مالی دولت مصوب ۱۳۸۰ الحاق می‌کند، بانک مرکزی را موظف می‌سازد بازپرداخت تعهدات ارزی را از بدهی دولت کسر کند و به دستگاه‌های دولتی و شرکت‌های آب و برق اجازه می‌دهد برای طرح‌های عمرانی به نفع پیمانکاران داخلی اعتبار اسنادی ریالی افتتاح کنند.,"appears to be the same instrument as law_id 88b5593dfcb8 (identical title and text), likely a duplicate scrape entry"
07abeae3acce,قانون  بودجه  سال  1370 كل  كشور,National Budget Act for 1991-92 (1370),"Passed in 1991, this is Iran's annual state budget law for the 1991-92 fiscal year, setting the government's total revenue and expenditure ceilings and containing dozens of numbered notes authorizing specific spending, borrowing and administrative actions for that year.",این قانون که در سال ۱۳۶۹ تصویب شد، بودجه سالانه کل کشور برای سال ۱۳۷۰ را تعیین می‌کند، سقف درآمدها و هزینه‌های دولت را مشخص می‌سازد و شامل ده‌ها تبصره برای اجازه هزینه‌کرد، استقراض و اقدامات اداری مشخص در آن سال است.,
9ab6055a3d4c,بخشنامه گمرك در خصوص ابلاغ احكام قانون بودجه سال 1404 كل كشور,Customs Circular Communicating the Provisions of the 2025-26 (1404) National Budget Act,"Issued in 2025 by Iran Customs to implement that year's budget law, this circular raises the value-added tax rate by one percentage point to 10 percent and sets the exchange rate used to calculate import customs duties based on the average rate at the Gold and Currency Exchange Center.",این بخشنامه که در سال ۱۴۰۴ توسط گمرک برای ابلاغ احکام قانون بودجه همان سال صادر شد، نرخ مالیات بر ارزش افزوده را یک واحد درصد افزایش داده و به ده درصد می‌رساند و مبنای نرخ ارز محاسبه حقوق ورودی واردات را بر اساس میانگین نرخ مرکز مبادله طلا و ارز تعیین می‌کند.,
c2c3a7d94bf8,قانون اصلاح موادي از قانون مالياتهاي مستقيم,Act Amending Certain Provisions of the Direct Taxation Act,"Passed in 2002, this law amends numerous articles of Iran's Direct Taxation Act, including redefining which entities, such as government ministries and publicly funded agencies, are exempt from direct taxes.",این قانون که در سال ۱۳۸۰ تصویب شد، مواد متعددی از قانون مالیات‌های مستقیم را اصلاح می‌کند، از جمله تعیین اینکه کدام نهادها مانند وزارتخانه‌ها و دستگاه‌های بودجه‌ای از پرداخت مالیات‌های مستقیم معاف هستند.,
4883ef711ab7,قانون  بودجه  سال  1357 كل كشور,National Budget Act for 1978-79 (1357),"Passed in 1978, this is the annual state budget law setting total government revenue at about 4,039 billion rials and expenditure at about 4,178 billion rials for that fiscal year.",این قانون که در سال ۱۳۵۶ تصویب شد، بودجه کل کشور برای سال ۱۳۵۷ را تعیین می‌کند، با درآمدهای پیش‌بینی‌شده حدود چهار هزار و سی و نه میلیارد ریال و هزینه‌های حدود چهار هزار و صد و هفتاد و هشت میلیارد ریال.,
12661d47d036,لايحه بودجه سال 1360,Budget Bill for 1981-82 (1360),"Passed in 1981, this is the annual state budget law setting total government revenue and expenditure at about 3,166 billion rials for that fiscal year, amid the Iran-Iraq war.",این لایحه که در سال ۱۳۶۰ تصویب شد، بودجه دولت برای همان سال را در دوران جنگ تحمیلی تعیین می‌کند، با درآمدها و هزینه‌های پیش‌بینی‌شده حدود سه هزار و صد و شصت و پنج میلیارد ریال.,
f1d74a02b7f1,قانون برنامه و بودجه كشور,Planning and Budget Act,"Passed in 1973, this law establishes the Plan and Budget Organization and defines the country's planning hierarchy, from long-term and five-year development plans down to the annual state budget, setting out how development and current expenditures are classified and approved.",این قانون که در سال ۱۳۵۱ تصویب شد، سازمان برنامه و بودجه را تشکیل می‌دهد و سلسله‌مراتب برنامه‌ریزی کشور، از برنامه درازمدت و برنامه‌های عمرانی پنج‌ساله تا بودجه سالانه، و نحوه طبقه‌بندی و تصویب اعتبارات جاری و عمرانی را مشخص می‌کند.,
3a193b0c0416,قانون محاسبات عمومي كشور,Public Accounting Act,"Passed in 1987, this law is Iran's core public financial management statute, governing how government revenue is collected, budgets executed, and public funds accounted for and audited across ministries, state agencies and public universities.",این قانون که در سال ۱۳۶۶ تصویب شد، قانون اصلی مدیریت مالی بخش عمومی ایران است و نحوه وصول درآمدها، اجرای بودجه و حسابرسی وجوه عمومی در وزارتخانه‌ها، دستگاه‌های دولتی و دانشگاه‌ها را تعیین می‌کند.,
76703fdbc108,قانون تنظيم بخشي از مقررات مالي دولت,Act on Regulating Part of the Government's Financial Regulations,"Passed in 2002, this framework law regulates a range of government financial matters, including the legal and financial-reporting status of state-owned companies, in order to streamline public financial management.",این قانون که در سال ۱۳۸۰ تصویب شد، بخشی از مقررات مالی دولت از جمله وضعیت حقوقی و تکالیف گزارش‌دهی مالی شرکت‌های دولتی را ساماندهی می‌کند تا مدیریت مالی بخش عمومی تسهیل شود.,
6c8721f34c66,قانون الحاق برخي مواد به قانون تنظيم بخشي از مقررات مالي دولت (2),Act Adding Certain Articles to the Act on Regulating Part of the Government's Financial Regulations (2),"Passed in 2015, this law adds a further set of articles to the government's financial regulations framework, covering matters such as National Development Fund lending terms and additional levies on tobacco products.",این قانون که در سال ۱۳۹۳ تصویب شد، موادی دیگر به قانون تنظیم بخشی از مقررات مالی دولت الحاق می‌کند، از جمله شرایط تسهیلات‌دهی صندوق توسعه ملی و عوارض اضافی بر محصولات دخانی.,
a4cc71315c8b,قانون  بودجه  سال  1368 كل  كشور,National Budget Act for 1989-90 (1368),"Passed in 1989, this is the annual state budget law setting total government revenue and expenditure at about 9,744 billion rials for that fiscal year, the first budget after the end of the Iran-Iraq war.",این قانون که در سال ۱۳۶۷ تصویب شد، بودجه کل کشور برای سال ۱۳۶۸، اولین بودجه پس از پایان جنگ تحمیلی، را با درآمدها و هزینه‌های پیش‌بینی‌شده حدود نه هزار و هفتصد و چهل و سه میلیارد ریال تعیین می‌کند.,
b5346004c583,قانون بودجه سال 1386 كل كشور,National Budget Act for 2007-08 (1386),"Passed in 2007, this is the annual state budget law setting total government resources and expenditures at roughly 2,317,000 billion rials for that fiscal year.",این قانون که در سال ۱۳۸۵ تصویب شد، بودجه کل کشور برای سال ۱۳۸۶ را با منابع و مصارف حدود دو میلیون و سیصد و هفده هزار میلیارد ریال تعیین می‌کند.,
b436524acd70,قانون متمم بودجه سال 1362 كل كشور,Supplementary Budget Act for 1983-84 (1362),"Passed in 1984, this law adds 50 billion rials to the approved 1983-84 state budget, reallocating funds across agencies including the War Refugees Foundation, Ministry of Roads and the Ports and Shipping Organization, and sets eligibility rules for the year-end bonus paid to lower-paid government employees.",این قانون که در سال ۱۳۶۲ تصویب شد، پنجاه میلیارد ریال به اعتبارات مصوب بودجه همان سال اضافه می‌کند، آن را میان دستگاه‌هایی مانند بنیاد امور مهاجرین جنگ تحمیلی و وزارت راه بازتوزیع می‌کند و شرایط پرداخت عیدی به کارکنان کم‌درآمد دولت را تعیین می‌کند.,
d3e3babe371d,اصلاحيه عبارتي قانون  اصلاح  برخي  از ارقام  و تبصره هاي  قانون  بودجه  سال  1367 كل  كشور,Textual Correction to the Act Amending Certain Figures and Notes of the 1988-89 (1367) National Budget Act,"Passed in 1988, this law revises specific budget figures and notes in that year's national budget act, including raising a credit ceiling from 160 to 175 billion rials and reallocating funds between current and development accounts.",این قانون که در سال ۱۳۶۷ تصویب شد، برخی ارقام و تبصره‌های قانون بودجه سال ۱۳۶۷ را اصلاح می‌کند، از جمله افزایش سقف اعتبار از صد و شصت به صد و هفتاد و پنج میلیارد ریال و بازتوزیع اعتبارات میان ردیف‌های جاری و عمرانی.,
16ff8da9aeab,آئين نامه  اجرايي  قانون  ماليات  تعاون  ملي  براي  بازسازي  مصوب 1367 12 9,Executive Bylaw of the National Cooperation Tax for Reconstruction Act,"Issued in 1989 to implement the 1988 National Cooperation Tax for Reconstruction Act, a post-war reconstruction levy, this bylaw sets up the tax administration office and the filing procedure, including installment plans of up to two years for taxpayers unable to pay in full.",این آیین‌نامه که در سال ۱۳۶۸ برای اجرای قانون مالیات تعاون ملی برای بازسازی مصوب ۱۳۶۷ صادر شد، اداره کل مالیات تعاون ملی را تشکیل می‌دهد و رویه ثبت اظهارنامه و پرداخت مالیات، از جمله تقسیط تا دو سال برای مؤدیانی که توان پرداخت یکجا ندارند، را مشخص می‌کند.,
52ac7180adc9,قانون اجازه تعيين ميزان حقوق گمركي و سود بازرگاني كالاهاي وارداتي توسط دولت,Act Authorizing the Government to Set Customs Duties and Commercial Profit Rates on Imported Goods,"Passed in 1993, this law authorizes the government to revise import customs duties and the commercial profit surcharge based on the floating exchange rate, in order to protect domestic production and limit imports of non-essential luxury goods while meeting the year's tax revenue target.",این قانون که در سال ۱۳۷۲ تصویب شد، به دولت اجازه می‌دهد حقوق گمرکی و سود بازرگانی کالاهای وارداتی را بر مبنای ارز شناور بازنگری کند تا ضمن حمایت از تولید داخلی، واردات کالاهای غیرضروری و لوکس را محدود و درآمد مالیاتی مصوب همان سال را تأمین کند.,
8ac2d4f2eec6,قانون بودجه ارزي سال 1364 كل كشور,Foreign Exchange Budget Act for 1985-86 (1364),"Passed in 1985, this law authorizes the government to allocate up to 15 billion dollars of the country's foreign currency earnings for that year, setting up a Currency Allocation Committee to prioritize hard-currency spending across sectors including basic goods, electricity, gas injection and private-sector raw material imports.",این قانون که در سال ۱۳۶۴ تصویب شد، به دولت اجازه می‌دهد تا سقف پانزده میلیارد دلار از دریافت‌های ارزی کشور در همان سال را تخصیص دهد و کمیته تخصیص ارز را برای اولویت‌بندی مصارف ارزی در بخش‌هایی مانند کالاهای اساسی، برق، تزریق گاز و مواد اولیه بخش خصوصی تشکیل می‌دهد.,
