law_id,law_date,law_title_fa,n_charts,source_path
8ac2d4f2eec6,1985,قانون بودجه ارزي سال 1364 كل كشور,42,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_ارزي_سال_1364_كل_كشور_9221098165314418575.txt
23c49d04deb8,2002,اصلاح  سود بازرگاني  و زيرنويس  تعرفه ها ...   صادرات  و واردات  به  شرح جداول  پيوست,42,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/اصلاح__سود_بازرگاني__و_زيرنويس__تعرفه_ها_...___صادرات__و_واردات__به__شرح_جداول__پيوست_13691892960614072597.txt
982f83755dba,1995,قانون تعيين حقوق گمركي كالاهاي وارداتي بر اساس سيستم هماهنگ شده توصيف و كدگذاري كالا,42,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تعيين_حقوق_گمركي_كالاهاي_وارداتي_بر_اساس_سيستم_هماهنگ_شده_توصيف_و_كدگذاري_كالا_3109979576450451410.txt
fb5974d83761,1958,قانون اصلاح تعرفه گمركي,41,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاح_تعرفه_گمركي_1842832634575479117.txt
452b1bc985a0,1991,قانون الحاق دولت جمهوري اسلامي ايران به  ... رجيحات بازرگاني بين كشورهاي در حال توسعه,41,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_الحاق_دولت_جمهوري_اسلامي_ايران_به__..._رجيحات_بازرگاني_بين_كشورهاي_در_حال_توسعه_12645640230328746823.txt
3b5772ac4b6c,2015,تصويب نامه درخصوص تعيين مجموع حقوق گمركي ... نامه اجرايي قانون مقررات صادرات و واردات,41,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/تصويب_نامه_درخصوص_تعيين_مجموع_حقوق_گمركي_..._نامه_اجرايي_قانون_مقررات_صادرات_و_واردات_16529170100189702763.txt
b2316d0a7016,1404 AH (issued 1404/01/27 = April 2025),بخشنامه گمرك در خصوص ابلاغ احكام قانون بودجه سال 1404 كل كشور,41,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/بخشنامه_گمرك_در_خصوص_ابلاغ_احكام_قانون_بودجه_سال_1404_كل_كشور_5775278626612494259.txt
2721f4206e69,1972,قانون توسعه صنعت گاز,38,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_توسعه_صنعت_گاز_10372982892016868667.txt
4788b64a027c,1987,قانون نفت,38,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_نفت_4437959238588748802.txt
535568d9e9da,1955,قانون تشويق صادرات و توليد,32,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تشويق_صادرات_و_توليد_2062346173005034233.txt
ae6c710d1bad,1387/04/22 (2008-07-13),تصويب نامه در خصوص الحاق يك تبصره به تصويب نامه موضوع پرداخت جوايز و مشوق هاي صادراتي,32,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/تصويب_نامه_در_خصوص_الحاق_يك_تبصره_به_تصويب_نامه_موضوع_پرداخت_جوايز_و_مشوق_هاي_صادراتي_2254310464129788037.txt
cbbc533ebfbc,1989,قانون تضمين خريد محصولات اساسي كشاورزي,30,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تضمين_خريد_محصولات_اساسي_كشاورزي_1624869257940894228.txt
434027d4033c,1983,قانون عمليات بانكي بدون ربا   بهره,30,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_عمليات_بانكي_بدون_ربا___بهره__12436796647911528692.txt
fd5c7d2e9443,2018,دستورالعمل بسته پرداخت كمك جبراني و حمايت غذايي از گروه هاي كم درآمد جامعه,27,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/دستورالعمل_بسته_پرداخت_كمك_جبراني_و_حمايت_غذايي_از_گروه_هاي_كم_درآمد_جامعه_828210585993029469.txt
58feb3a2e835,1971,قانون مواد الحاقي بقانون تقسيم و فروش املاك مورد اجاره بزارعين مستاجر  مصوب 23ر10ر1347,23,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_مواد_الحاقي_بقانون_تقسيم_و_فروش_املاك_مورد_اجاره_بزارعين_مستاجر__مصوب_23ر10ر1347_15975116723036582394.txt
83d1578b93ac,1997,قانون اصلاح قانون راجع به تأسيس شركت شهركهاي صنعتي ايران,23,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاح_قانون_راجع_به_تأسيس_شركت_شهركهاي_صنعتي_ايران_13010771520234664446.txt
159020e2f634,1984,قانون راجع به تأسيس شركت شهركهاي صنعتي ايران,23,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_راجع_به_تأسيس_شركت_شهركهاي_صنعتي_ايران_1984828201631272055.txt
c02bc434b48f,1972,قانون تقسيم عرصه واعيان باغات مشمول قوانين ومقررات اصلاحات ارضي بين مالكان وزارعان مربوط,22,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تقسيم_عرصه_واعيان_باغات_مشمول_قوانين_ومقررات_اصلاحات_ارضي_بين_مالكان_وزارعان_مربوط_18237896789527011772.txt
dd2dcb79630e,1960,قانون اصلاحات ارضي,22,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاحات_ارضي_11854740110711641915.txt
2befe9cbdef4,1971,قانون اجازه تبديل باحسن و واگذاري دهات و مزارع موقوفه عام بزارعين صاحب نسق,22,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اجازه_تبديل_باحسن_و_واگذاري_دهات_و_مزارع_موقوفه_عام_بزارعين_صاحب_نسق_6426209131804191622.txt
2360c77206db,1979,لايحه قانوني اصلاح قانون ملي شدن بانكها مصوب 1358 3 17 شوراي انقلاب اسلامي,21,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_قانوني_اصلاح_قانون_ملي_شدن_بانكها_مصوب_1358_3_17_شوراي_انقلاب_اسلامي_1754108365225966328.txt
caf2bf97ff5b,1969,قانون خريد اراضي كشاورزي براي تأمين نيازمنديهاي صنعتي و معدني,17,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_خريد_اراضي_كشاورزي_براي_تأمين_نيازمنديهاي_صنعتي_و_معدني_11724189976301113393.txt
f76c85fc8370,1985,اصلاح آيين نامه فروش مواد معدني و آيين نامه استخراج و فروش معادن توسط  بخش خصوصي,16,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/اصلاح_آيين_نامه_فروش_مواد_معدني_و_آيين_نامه_استخراج_و_فروش_معادن_توسط__بخش_خصوصي_14507992683494130323.txt
cd902cb9f646,1968,قانون آب و نحوه ملي شدن آن,15,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_آب_و_نحوه_ملي_شدن_آن_15454061032465338512.txt
7bfdf10b68e5,2021,قانون ماليات بر ارزش افزوده,13,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون ماليات بر ارزش افزوده.txt
f35aa7ac6d1c,2007,قانون بيمه هاي اجتماعي كارگران ساختماني,13,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بيمه_هاي_اجتماعي_كارگران_ساختماني_11705706217258537509.txt
4e8287cdeba7,2004,قانون ساختار نظام جامع رفاه و تأمين اجتماعي,12,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_ساختار_نظام_جامع_رفاه_و_تأمين_اجتماعي_1234194843174456706.txt
a2b5d76bfee0,1971,قانون تأسيس بيمه مركزي ايران و بيمه گري,11,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تأسيس_بيمه_مركزي_ايران_و_بيمه_گري_9291524794440757221.txt
5c8342862d82,1988,قانون اداره امور شركتهاي بيمه,11,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اداره_امور_شركتهاي_بيمه_15140986766029471781.txt
14ffe9732400,2013,آيين نامه شماره 81 مقررات تعيين حق بيمه انواع رشته هاي بيمه اي,11,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_شماره_81_مقررات_تعيين_حق_بيمه_انواع_رشته_هاي_بيمه_اي_188670468344152428.txt
be2dcd6b39d4,1963,قانون اصلاحات ارضي,9,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاحات_ارضي_3121388547170511559.txt
1adacfe7bff6,1989,قانون اصلاح قانون تضمين خريد محصولات اساسي كشاورزي مصوب 1368 6 21,9,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاح_قانون_تضمين_خريد_محصولات_اساسي_كشاورزي_مصوب_1368_6_21_240054080620806674.txt
178ad77e2073,1991,قانون توسعه صنعت ايرانگردي و جهانگردي,9,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_توسعه_صنعت_ايرانگردي_و_جهانگردي_9451509928010684424.txt
3bbf4e88f57a,2010,آيين نامه اجرايي ماده  7  قانون هدفمند كردن يارانه ها,8,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ماده__7__قانون_هدفمند_كردن_يارانه_ها_13503382005705148827.txt
5d2587c6c1b3,1994,قانون بيمه همگاني خدمات درماني كشور,8,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بيمه_همگاني_خدمات_درماني_كشور_16390734682349856490.txt
d38fb9ca647b,2012,آيين نامه اجرايي قانون حمايت از شركتها و ...  بنيان و تجاري سازي نوآوري ها و اختراعات,7,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_قانون_حمايت_از_شركتها_و_...__بنيان_و_تجاري_سازي_نوآوري_ها_و_اختراعات_5168687951980075898.txt
4dc36ec9ff1c,1979,قانون ملي شدن بانكها,7,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_ملي_شدن_بانكها_13677686794044195456.txt
c82a73bdaac8,2018,آيين نامه اجرايي تبصره ماده  14  قانون هواي پاك,7,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تبصره_ماده__14__قانون_هواي_پاك_15581182736141507772.txt
eaf9b71e5dcb,2015,كاهش تعداد طبقات تعرفه اي كليه رديف هاي  ... ات صادرات و واردات از 14 طبقه به 10 طبقه,7,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/كاهش_تعداد_طبقات_تعرفه_اي_كليه_رديف_هاي__..._ات_صادرات_و_واردات_از_14_طبقه_به_10_طبقه_18425428269862173853.txt
e69d45f71c95,2005,آيين نامه اجرايي توسعه مالكيت و افزايش ثروت خانوارهاي ايراني,7,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_توسعه_مالكيت_و_افزايش_ثروت_خانوارهاي_ايراني_7523343586186990164.txt
8eb59ed0c1ff,1991,آئين نامه  اجرايي  تبصره  4 قانون  بودجه  سال  1370 كل  كشور,7,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آئين_نامه__اجرايي__تبصره__4_قانون__بودجه__سال__1370_كل__كشور_16683540973806680494.txt
e3872eff9015,2005,قانون بازار اوراق بهادار جمهوري اسلامي ايران,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بازار_اوراق_بهادار_جمهوري_اسلامي_ايران_3926922504151578201.txt
0bbd4860ceaa,1988,قانون مالياتهاي مستقيم,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_مالياتهاي_مستقيم_892583840653829785.txt
79ff113bab69,1980,لايحه قانوني راجع به نحوه بهره برداري از معادن كشور,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_قانوني_راجع_به_نحوه_بهره_برداري_از_معادن_كشور_5134652939817098329.txt
ca5bfb642e45,2003,قانون جلوگيري از افزايش قيمتها تا پايان ... دي، اجتماعي و فرهنگي جمهوري اسلامي ايران,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/_قانون_جلوگيري_از_افزايش_قيمتها_تا_پايان_..._دي،_اجتماعي_و_فرهنگي_جمهوري_اسلامي_ايران_9520305391817597731.txt
e7060f9cef77,2009,آيين نامه اجرايي شيوه هاي قيمت گذاري بنگاه ها و نحوه اعمال شيوه ها ي مذكور در همين چارچوب,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_شيوه_هاي_قيمت_گذاري_بنگاه_ها_و_نحوه_اعمال_شيوه_ها_ي_مذكور_در_همين_چارچوب_1242606394335590093.txt
569c3dbb9be5,2009,آيين نامه اجرايي توزيع سهام عدالت,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_توزيع_سهام_عدالت_8719215514030514933.txt
18432ac5265a,2009,آيين نامه نحوه واگذاري سهام ترجيحي,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_نحوه_واگذاري_سهام_ترجيحي_9383271075502295722.txt
a6486a043c24,2009,آيين نامه اجرايي روش هاي واگذاري,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_روش_هاي_واگذاري_217000780089445959.txt
f908e10b8d17,2007,ضوابط فعاليت شركتهاي تأمين سرمايه,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/ضوابط_فعاليت_شركتهاي_تأمين_سرمايه_18150980651432223751.txt
8c370e8d730d,1385 (2006),آيين نامه معاملات در شركت بورس اوراق بهادار تهران و لواحق آن,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_معاملات_در_شركت_بورس_اوراق_بهادار_تهران_و_لواحق_آن_3029638436010368235.txt
600112cc57f6,1990,قانون حمايت از توليد دام داخلي,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_حمايت_از_توليد_دام_داخلي_12119363621829005062.txt
27330a417a82,2007,آيين نامه اجرايي قانون بازار اوراق بهادار جمهوري اسلامي ايران,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_قانون_بازار_اوراق_بهادار_جمهوري_اسلامي_ايران_11096973079716169196.txt
4d3d16a41ea0,2010,آيين نامه سرمايه گذاري خارجي در بورس ها و بازارهاي خارج از بورس,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_سرمايه_گذاري_خارجي_در_بورس_ها_و_بازارهاي_خارج_از_بورس_3151501696986429766.txt
bfb1e1971009,2010,دستورالعمل معاملات كالا و اوراق بهادار مبتني بر كالا در بورس كالاي ايران,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/دستورالعمل_معاملات_كالا_و_اوراق_بهادار_مبتني_بر_كالا_در_بورس_كالاي_ايران_14232269538719689308.txt
84cf1241fc64,2007,دستورالعمل پذيرش اوراق بهادار در بورس اوراق بهادار تهران,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/دستورالعمل_پذيرش_اوراق_بهادار_در_بورس_اوراق_بهادار_تهران_6673951974326054.txt
a9589c1fa09f,2001,قانون پيشگيري از عوارض ناشي از خشكسالي و جبران خسارات,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_پيشگيري_از_عوارض_ناشي_از_خشكسالي_و_جبران_خسارات_7003960586148571447.txt
b7ab9bcb255b,2009,دستورالعمل انضباطي ناشران پذيرفته شده در بورس اوراق بهادار تهران,6,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/دستورالعمل_انضباطي_ناشران_پذيرفته_شده_در_بورس_اوراق_بهادار_تهران_5968274889553102514.txt
e430dc4256b1,1984,آئین نامه اجرائی فصل دوم - قانون توزیع عادلانه آب با اصلاحات و الحاقات بعدی,5,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/10199171450659586236_10199171450659586236.txt
ba308d58a6d4,1951,تصميم قانوني دائر بملي شدن صنعت نفت درسر ... ون نفت جهت مطالعه در اطراف اجراي اين اصل,5,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/تصميم_قانوني_دائر_بملي_شدن_صنعت_نفت_درسر_..._ون_نفت_جهت_مطالعه_در_اطراف_اجراي_اين_اصل_10296215807073582340.txt
b7d103fb6a8a,2007,قانون توسعه حمل و نقل عمومي و مديريت مصرف سوخت,5,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_توسعه_حمل_و_نقل_عمومي_و_مديريت_مصرف_سوخت_11155291445596465121.txt
f376b41988f5,2003,قانون تنظيم بخشي از مقررات تسهيل نوسازي  ... ي ، اجتماعي و فرهنگي جمهوري اسلامي ايران,5,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تنظيم_بخشي_از_مقررات_تسهيل_نوسازي__..._ي_،_اجتماعي_و_فرهنگي_جمهوري_اسلامي_ايران_12206092798984413182.txt
