chart_id	title	category	year_range
faostat__Cherries__price	Cherries	Agriculture Prices	
faostat__Chick peas, dry__price	Chick peas, dry	Agriculture Prices	
faostat__Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw__price	Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw	Agriculture Prices	
faostat__Chillies and peppers, green (Capsicum spp. and Pimenta spp.)__price	Chillies and peppers, green (Capsicum spp. and Pimenta spp.)	Agriculture Prices	
faostat__Citrus Fruit, Total__price	Citrus Fruit, Total	Agriculture Prices	
faostat__Coarse Grain, Total__price	Coarse Grain, Total	Agriculture Prices	
faostat__Cotton lint, ginned__price	Cotton lint, ginned	Agriculture Prices	
faostat__Cotton seed__price	Cotton seed	Agriculture Prices	
faostat__Cucumbers and gherkins__price	Cucumbers and gherkins	Agriculture Prices	
faostat__Dates__price	Dates	Agriculture Prices	
faostat__Eggplants (aubergines)__price	Eggplants (aubergines)	Agriculture Prices	
faostat__Eggs Primary__price	Eggs Primary	Agriculture Prices	
faostat__Fibre Crops Primary__price	Fibre Crops Primary	Agriculture Prices	
faostat__Figs__price	Figs	Agriculture Prices	
faostat__Fruit Primary__price	Fruit Primary	Agriculture Prices	
faostat__Fruit excl Melons, Total__price	Fruit excl Melons, Total	Agriculture Prices	
faostat__Game meat, fresh, chilled or frozen__price	Game meat, fresh, chilled or frozen	Agriculture Prices	
faostat__Grapes__price	Grapes	Agriculture Prices	
faostat__Green garlic__price	Green garlic	Agriculture Prices	
faostat__Groundnuts, excluding shelled__price	Groundnuts, excluding shelled	Agriculture Prices	
faostat__Hazelnuts, in shell__price	Hazelnuts, in shell	Agriculture Prices	
faostat__Hen eggs in shell, fresh__price	Hen eggs in shell, fresh	Agriculture Prices	
faostat__Jute, raw or retted__price	Jute, raw or retted	Agriculture Prices	
faostat__Kiwi fruit__price	Kiwi fruit	Agriculture Prices	
faostat__Leeks and other alliaceous vegetables__price	Leeks and other alliaceous vegetables	Agriculture Prices	
faostat__Lemons and limes__price	Lemons and limes	Agriculture Prices	
faostat__Lentils, dry__price	Lentils, dry	Agriculture Prices	
faostat__Lettuce and chicory__price	Lettuce and chicory	Agriculture Prices	
faostat__Linseed__price	Linseed	Agriculture Prices	
faostat__Livestock__price	Livestock	Agriculture Prices	
faostat__Maize (corn)__price	Maize (corn)	Agriculture Prices	
faostat__Mangoes, guavas and mangosteens__price	Mangoes, guavas and mangosteens	Agriculture Prices	
faostat__Meat of buffalo, fresh or chilled__price	Meat of buffalo, fresh or chilled	Agriculture Prices	
faostat__Meat of camels, fresh or chilled__price	Meat of camels, fresh or chilled	Agriculture Prices	
faostat__Meat of cattle with the bone, fresh or chilled__price	Meat of cattle with the bone, fresh or chilled	Agriculture Prices	
faostat__Meat of chickens, fresh or chilled__price	Meat of chickens, fresh or chilled	Agriculture Prices	
faostat__Meat of ducks, fresh or chilled__price	Meat of ducks, fresh or chilled	Agriculture Prices	
faostat__Meat of geese, fresh or chilled__price	Meat of geese, fresh or chilled	Agriculture Prices	
faostat__Meat of goat, fresh or chilled__price	Meat of goat, fresh or chilled	Agriculture Prices	
faostat__Meat of sheep, fresh or chilled__price	Meat of sheep, fresh or chilled	Agriculture Prices	
faostat__Meat of turkeys, fresh or chilled__price	Meat of turkeys, fresh or chilled	Agriculture Prices	
faostat__Meat, Total__price	Meat, Total	Agriculture Prices	
faostat__Milk, Total__price	Milk, Total	Agriculture Prices	
faostat__Millet__price	Millet	Agriculture Prices	
faostat__Mushrooms and truffles__price	Mushrooms and truffles	Agriculture Prices	
faostat__Natural honey__price	Natural honey	Agriculture Prices	
faostat__Oilcrops, Oil Equivalent__price	Oilcrops, Oil Equivalent	Agriculture Prices	
faostat__Olives__price	Olives	Agriculture Prices	
faostat__Onions and shallots, dry (excluding dehydrated)__price	Onions and shallots, dry (excluding dehydrated)	Agriculture Prices	
faostat__Oranges__price	Oranges	Agriculture Prices	
faostat__Other beans, green__price	Other beans, green	Agriculture Prices	
faostat__Other berries and fruits of the genus vaccinium n.e.c.__price	Other berries and fruits of the genus vaccinium n.e.c.	Agriculture Prices	
faostat__Other citrus fruit, n.e.c.__price	Other citrus fruit, n.e.c.	Agriculture Prices	
faostat__Other fruits, n.e.c.__price	Other fruits, n.e.c.	Agriculture Prices	
faostat__Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.__price	Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.	Agriculture Prices	
faostat__Other pulses n.e.c.__price	Other pulses n.e.c.	Agriculture Prices	
faostat__Other stimulant, spice and aromatic crops, n.e.c.__price	Other stimulant, spice and aromatic crops, n.e.c.	Agriculture Prices	
faostat__Other stone fruits__price	Other stone fruits	Agriculture Prices	
faostat__Other vegetables, fresh n.e.c.__price	Other vegetables, fresh n.e.c.	Agriculture Prices	
faostat__Papayas__price	Papayas	Agriculture Prices	
faostat__Peaches and nectarines__price	Peaches and nectarines	Agriculture Prices	
faostat__Pears__price	Pears	Agriculture Prices	
faostat__Peas, green__price	Peas, green	Agriculture Prices	
faostat__Persimmons__price	Persimmons	Agriculture Prices	
faostat__Pistachios, in shell__price	Pistachios, in shell	Agriculture Prices	
faostat__Plums and sloes__price	Plums and sloes	Agriculture Prices	
faostat__Pomelos and grapefruits__price	Pomelos and grapefruits	Agriculture Prices	
faostat__Potatoes__price	Potatoes	Agriculture Prices	
faostat__Pulses, Total__price	Pulses, Total	Agriculture Prices	
faostat__Pumpkins, squash and gourds__price	Pumpkins, squash and gourds	Agriculture Prices	
faostat__Quinces__price	Quinces	Agriculture Prices	
faostat__Rape or colza seed__price	Rape or colza seed	Agriculture Prices	
faostat__Raspberries__price	Raspberries	Agriculture Prices	
faostat__Raw milk of buffalo__price	Raw milk of buffalo	Agriculture Prices	
faostat__Raw milk of cattle__price	Raw milk of cattle	Agriculture Prices	
faostat__Raw milk of goats__price	Raw milk of goats	Agriculture Prices	
faostat__Raw milk of sheep__price	Raw milk of sheep	Agriculture Prices	
faostat__Rice__price	Rice	Agriculture Prices	
faostat__Roots and Tubers, Total__price	Roots and Tubers, Total	Agriculture Prices	
faostat__Safflower seed__price	Safflower seed	Agriculture Prices	
faostat__Seed cotton, unginned__price	Seed cotton, unginned	Agriculture Prices	
faostat__Sesame seed__price	Sesame seed	Agriculture Prices	
faostat__Shorn wool, greasy, including fleece-washed shorn wool__price	Shorn wool, greasy, including fleece-washed shorn wool	Agriculture Prices	
faostat__Silk-worm cocoons suitable for reeling__price	Silk-worm cocoons suitable for reeling	Agriculture Prices	
faostat__Sorghum__price	Sorghum	Agriculture Prices	
faostat__Sour cherries__price	Sour cherries	Agriculture Prices	
faostat__Soya beans__price	Soya beans	Agriculture Prices	
faostat__Spinach__price	Spinach	Agriculture Prices	
faostat__Strawberries__price	Strawberries	Agriculture Prices	
faostat__String beans__price	String beans	Agriculture Prices	
faostat__Sugar beet__price	Sugar beet	Agriculture Prices	
faostat__Sugar cane__price	Sugar cane	Agriculture Prices	
faostat__Sunflower seed__price	Sunflower seed	Agriculture Prices	
faostat__Tangerines, mandarins, clementines__price	Tangerines, mandarins, clementines	Agriculture Prices	
faostat__Tea leaves__price	Tea leaves	Agriculture Prices	
faostat__Tomatoes__price	Tomatoes	Agriculture Prices	
faostat__Treenuts, Total__price	Treenuts, Total	Agriculture Prices	
faostat__Unmanufactured tobacco__price	Unmanufactured tobacco	Agriculture Prices	
faostat__Vegetables Primary__price	Vegetables Primary	Agriculture Prices	
faostat__Vegetables and Melons, Total__price	Vegetables and Melons, Total	Agriculture Prices	
faostat__Walnuts, in shell__price	Walnuts, in shell	Agriculture Prices	
faostat__Watermelons__price	Watermelons	Agriculture Prices	
faostat__Wheat__price	Wheat	Agriculture Prices	
faostat__Almonds, in shell__production	Almonds, in shell	Agriculture Production	
pahlavi__animal_fats_production_1950_1958	Animal Fats (aggregate), Production, 1950-1958	Agriculture Production	1950-1958
faostat__Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw__production	Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw	Agriculture Production	
faostat__Apples__production	Apples	Agriculture Production	
faostat__Apricots__production	Apricots	Agriculture Production	
faostat__Artichokes__production	Artichokes	Agriculture Production	
faostat__Asparagus__production	Asparagus	Agriculture Production	
faostat__Asses__production	Asses	Agriculture Production	
faostat__Bananas__production	Bananas	Agriculture Production	
faostat__Barley__production	Barley	Agriculture Production	
faostat__Beans, dry__production	Beans, dry	Agriculture Production	
faostat__Beef and Buffalo Meat, primary__production	Beef and Buffalo Meat, primary	Agriculture Production	
faostat__Beer of barley, malted__production	Beer of barley, malted	Agriculture Production	
faostat__Bees__production	Bees	Agriculture Production	
faostat__Broad beans and horse beans, dry__production	Broad beans and horse beans, dry	Agriculture Production	
faostat__Broad beans and horse beans, green__production	Broad beans and horse beans, green	Agriculture Production	
faostat__Buffalo__production	Buffalo	Agriculture Production	
faostat__Buffalo fat, unrendered__production	Buffalo fat, unrendered	Agriculture Production	
faostat__Butter and Ghee__production	Butter and Ghee	Agriculture Production	
faostat__Butter and ghee of sheep milk__production	Butter and ghee of sheep milk	Agriculture Production	
faostat__Butter of cow milk__production	Butter of cow milk	Agriculture Production	
faostat__Buttermilk, dry__production	Buttermilk, dry	Agriculture Production	
faostat__Cabbages__production	Cabbages	Agriculture Production	
faostat__Camels__production	Camels	Agriculture Production	
faostat__Cantaloupes and other melons__production	Cantaloupes and other melons	Agriculture Production	
faostat__Carrots and turnips__production	Carrots and turnips	Agriculture Production	
faostat__Castor oil seeds__production	Castor oil seeds	Agriculture Production	
faostat__Cattle__production	Cattle	Agriculture Production	
faostat__Cattle and Buffaloes__production	Cattle and Buffaloes	Agriculture Production	
faostat__Cattle fat, unrendered__production	Cattle fat, unrendered	Agriculture Production	
faostat__Cauliflowers and broccoli__production	Cauliflowers and broccoli	Agriculture Production	
faostat__Cereals, primary__production	Cereals, primary	Agriculture Production	
faostat__Cheese (All Kinds)__production	Cheese (All Kinds)	Agriculture Production	
faostat__Cheese from milk of goats, fresh or processed__production	Cheese from milk of goats, fresh or processed	Agriculture Production	
faostat__Cheese from milk of sheep, fresh or processed__production	Cheese from milk of sheep, fresh or processed	Agriculture Production	
faostat__Cheese from skimmed cow milk__production	Cheese from skimmed cow milk	Agriculture Production	
faostat__Cheese from whole cow milk__production	Cheese from whole cow milk	Agriculture Production	
faostat__Cherries__production	Cherries	Agriculture Production	
faostat__Chick peas, dry__production	Chick peas, dry	Agriculture Production	
faostat__Chickens__production	Chickens	Agriculture Production	
faostat__Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw__production	Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw	Agriculture Production	
faostat__Chillies and peppers, green (Capsicum spp. and Pimenta spp.)__production	Chillies and peppers, green (Capsicum spp. and Pimenta spp.)	Agriculture Production	
faostat__Citrus Fruit, Total__production	Citrus Fruit, Total	Agriculture Production	
faostat__Cotton lint, ginned__production	Cotton lint, ginned	Agriculture Production	
faostat__Cotton seed__production	Cotton seed	Agriculture Production	
faostat__Cottonseed oil__production	Cottonseed oil	Agriculture Production	
faostat__Cream, fresh__production	Cream, fresh	Agriculture Production	
faostat__Cucumbers and gherkins__production	Cucumbers and gherkins	Agriculture Production	
faostat__Dates__production	Dates	Agriculture Production	
pahlavi__dried_apricots_production_1950_1958	Dried Apricots, Production, 1950-1958	Agriculture Production	1950-1958
faostat__Ducks__production	Ducks	Agriculture Production	
faostat__Edible offal of buffalo, fresh, chilled or frozen__production	Edible offal of buffalo, fresh, chilled or frozen	Agriculture Production	
faostat__Edible offal of cattle, fresh, chilled or frozen__production	Edible offal of cattle, fresh, chilled or frozen	Agriculture Production	
faostat__Edible offal of goat, fresh, chilled or frozen__production	Edible offal of goat, fresh, chilled or frozen	Agriculture Production	
faostat__Edible offal of pigs, fresh, chilled or frozen__production	Edible offal of pigs, fresh, chilled or frozen	Agriculture Production	
faostat__Edible offal of sheep, fresh, chilled or frozen__production	Edible offal of sheep, fresh, chilled or frozen	Agriculture Production	
faostat__Edible offals of camels and other camelids, fresh, chilled or frozen__production	Edible offals of camels and other camelids, fresh, chilled or frozen	Agriculture Production	
faostat__Eggplants (aubergines)__production	Eggplants (aubergines)	Agriculture Production	
faostat__Eggs Primary__production	Eggs Primary	Agriculture Production	
faostat__Evaporated & Condensed Milk__production	Evaporated & Condensed Milk	Agriculture Production	
faostat__Fat of camels__production	Fat of camels	Agriculture Production	
faostat__Fat of pigs__production	Fat of pigs	Agriculture Production	
faostat__Fibre Crops, Fibre Equivalent__production	Fibre Crops, Fibre Equivalent	Agriculture Production	
faostat__Figs__production	Figs	Agriculture Production	
pahlavi__fresh_fruits_noncitrus_production_1950_1958	Fresh Fruits (non-citrus) & Berries, Production, 1950-1958	Agriculture Production	1950-1958
faostat__Fruit Primary__production	Fruit Primary	Agriculture Production	
faostat__Game meat, fresh, chilled or frozen__production	Game meat, fresh, chilled or frozen	Agriculture Production	
faostat__Geese__production	Geese	Agriculture Production	
faostat__Goat fat, unrendered__production	Goat fat, unrendered	Agriculture Production	
faostat__Goats__production	Goats	Agriculture Production	
faostat__Grapes__production	Grapes	Agriculture Production	
faostat__Green garlic__production	Green garlic	Agriculture Production	
faostat__Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg__production	Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg	Agriculture Production	
faostat__Groundnuts, excluding shelled__production	Groundnuts, excluding shelled	Agriculture Production	
faostat__Hazelnuts, in shell__production	Hazelnuts, in shell	Agriculture Production	
faostat__Hempseed__production	Hempseed	Agriculture Production	
faostat__Hen eggs in shell, fresh__production__laying	Hen eggs in shell, fresh, laying (1000 An)	Agriculture Production	1961-2024
faostat__Hen eggs in shell, fresh__production__production_1000_no	Hen eggs in shell, fresh, production (1000 count)	Agriculture Production	1961-2024
faostat__Hen eggs in shell, fresh__production__production_t	Hen eggs in shell, fresh, production (t)	Agriculture Production	1961-2024
faostat__Hen eggs in shell, fresh__production__yield	Hen eggs in shell, fresh, yield (No/An)	Agriculture Production	1961-2024
faostat__Hen eggs in shell, fresh__production__yield_carcass_weight	Hen eggs in shell, fresh, yield/carcass weight (g/An)	Agriculture Production	1961-2024
faostat__Horses__production	Horses	Agriculture Production	
faostat__Jute, raw or retted__production	Jute, raw or retted	Agriculture Production	
faostat__Kiwi fruit__production	Kiwi fruit	Agriculture Production	
faostat__Leeks and other alliaceous vegetables__production	Leeks and other alliaceous vegetables	Agriculture Production	
faostat__Lemons and limes__production	Lemons and limes	Agriculture Production	
faostat__Lentils, dry__production	Lentils, dry	Agriculture Production	
faostat__Lettuce and chicory__production	Lettuce and chicory	Agriculture Production	
faostat__Linseed__production	Linseed	Agriculture Production	
faostat__Maize (corn)__production	Maize (corn)	Agriculture Production	
faostat__Mangoes, guavas and mangosteens__production	Mangoes, guavas and mangosteens	Agriculture Production	
faostat__Margarine and shortening__production	Margarine and shortening	Agriculture Production	
faostat__Meat of buffalo, fresh or chilled__production	Meat of buffalo, fresh or chilled	Agriculture Production	
faostat__Meat of camels, fresh or chilled__production	Meat of camels, fresh or chilled	Agriculture Production	
faostat__Meat of cattle with the bone, fresh or chilled__production	Meat of cattle with the bone, fresh or chilled	Agriculture Production	
faostat__Meat of chickens, fresh or chilled__production	Meat of chickens, fresh or chilled	Agriculture Production	
faostat__Meat of ducks, fresh or chilled__production	Meat of ducks, fresh or chilled	Agriculture Production	
faostat__Meat of geese, fresh or chilled__production	Meat of geese, fresh or chilled	Agriculture Production	
faostat__Meat of goat, fresh or chilled__production	Meat of goat, fresh or chilled	Agriculture Production	
faostat__Meat of pig with the bone, fresh or chilled__production	Meat of pig with the bone, fresh or chilled	Agriculture Production	
faostat__Meat of sheep, fresh or chilled__production	Meat of sheep, fresh or chilled	Agriculture Production	
faostat__Meat of turkeys, fresh or chilled__production	Meat of turkeys, fresh or chilled	Agriculture Production	
faostat__Meat, Poultry__production	Meat, Poultry	Agriculture Production	
faostat__Meat, Total__production	Meat, Total	Agriculture Production	
faostat__Melonseed__production	Melonseed	Agriculture Production	
faostat__Milk, Total__production	Milk, Total	Agriculture Production	
faostat__Millet__production	Millet	Agriculture Production	
faostat__Molasses__production	Molasses	Agriculture Production	
faostat__Mules and hinnies__production	Mules and hinnies	Agriculture Production	
faostat__Mushrooms and truffles__production	Mushrooms and truffles	Agriculture Production	
faostat__Mustard seed__production	Mustard seed	Agriculture Production	
faostat__Natural honey__production	Natural honey	Agriculture Production	
faostat__Oil of linseed__production	Oil of linseed	Agriculture Production	
faostat__Oil of sesame seed__production	Oil of sesame seed	Agriculture Production	
faostat__Oilcrops, Cake Equivalent__production	Oilcrops, Cake Equivalent	Agriculture Production	
faostat__Oilcrops, Oil Equivalent__production	Oilcrops, Oil Equivalent	Agriculture Production	
faostat__Olive oil__production	Olive oil	Agriculture Production	
faostat__Olives__production	Olives	Agriculture Production	
faostat__Onions and shallots, dry (excluding dehydrated)__production	Onions and shallots, dry (excluding dehydrated)	Agriculture Production	
faostat__Oranges__production	Oranges	Agriculture Production	
pahlavi__other_dried_fruits_production_1950_1958	Other Dried Fruits, Production, 1950-1958	Agriculture Production	1950-1958
pahlavi__other_grains_production_1950_1958	Other Grains, Production, 1950-1958	Agriculture Production	1950-1958
faostat__Other beans, green__production	Other beans, green	Agriculture Production	
faostat__Other berries and fruits of the genus vaccinium n.e.c.__production	Other berries and fruits of the genus vaccinium n.e.c.	Agriculture Production	
faostat__Other citrus fruit, n.e.c.__production	Other citrus fruit, n.e.c.	Agriculture Production	
faostat__Other fruits, n.e.c.__production	Other fruits, n.e.c.	Agriculture Production	
faostat__Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.__production	Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.	Agriculture Production	
faostat__Other oil seeds, n.e.c.__production	Other oil seeds, n.e.c.	Agriculture Production	
faostat__Other pulses n.e.c.__production	Other pulses n.e.c.	Agriculture Production	
faostat__Other stimulant, spice and aromatic crops, n.e.c.__production	Other stimulant, spice and aromatic crops, n.e.c.	Agriculture Production	
faostat__Other stone fruits__production	Other stone fruits	Agriculture Production	
faostat__Other tropical fruits, n.e.c.__production	Other tropical fruits, n.e.c.	Agriculture Production	
faostat__Other vegetables, fresh n.e.c.__production	Other vegetables, fresh n.e.c.	Agriculture Production	
faostat__Papayas__production	Papayas	Agriculture Production	
faostat__Peaches and nectarines__production	Peaches and nectarines	Agriculture Production	
faostat__Pears__production	Pears	Agriculture Production	
faostat__Peas, dry__production	Peas, dry	Agriculture Production	
faostat__Peas, green__production	Peas, green	Agriculture Production	
faostat__Persimmons__production	Persimmons	Agriculture Production	
faostat__Pistachios, in shell__production	Pistachios, in shell	Agriculture Production	
faostat__Plums and sloes__production	Plums and sloes	Agriculture Production	
faostat__Pomelos and grapefruits__production	Pomelos and grapefruits	Agriculture Production	
faostat__Potatoes__production	Potatoes	Agriculture Production	
faostat__Poultry Birds__production	Poultry Birds	Agriculture Production	
faostat__Pulses, Total__production	Pulses, Total	Agriculture Production	
faostat__Pumpkins, squash and gourds__production	Pumpkins, squash and gourds	Agriculture Production	
faostat__Quinces__production	Quinces	Agriculture Production	
pahlavi__raisins_production_1950_1958	Raisins, Production, 1950-1958	Agriculture Production	1950-1958
faostat__Rape or colza seed__production	Rape or colza seed	Agriculture Production	
faostat__Rapeseed or canola oil, crude__production	Rapeseed or canola oil, crude	Agriculture Production	
faostat__Raw cane or beet sugar (centrifugal only)__production	Raw cane or beet sugar (centrifugal only)	Agriculture Production	
faostat__Raw hides and skins of buffaloes__production	Raw hides and skins of buffaloes	Agriculture Production	
faostat__Raw hides and skins of cattle__production	Raw hides and skins of cattle	Agriculture Production	
faostat__Raw hides and skins of goats or kids__production	Raw hides and skins of goats or kids	Agriculture Production	
faostat__Raw hides and skins of sheep or lambs__production	Raw hides and skins of sheep or lambs	Agriculture Production	
faostat__Raw milk of buffalo__production	Raw milk of buffalo	Agriculture Production	
faostat__Raw milk of cattle__production	Raw milk of cattle	Agriculture Production	
faostat__Raw milk of goats__production	Raw milk of goats	Agriculture Production	
faostat__Raw milk of sheep__production	Raw milk of sheep	Agriculture Production	
faostat__Raw silk (not thrown)__production	Raw silk (not thrown)	Agriculture Production	
faostat__Rice__production	Rice	Agriculture Production	
faostat__Roots and Tubers, Total__production	Roots and Tubers, Total	Agriculture Production	
faostat__Rye__production	Rye	Agriculture Production	
faostat__Safflower seed__production	Safflower seed	Agriculture Production	
faostat__Seed cotton, unginned__production	Seed cotton, unginned	Agriculture Production	
faostat__Sesame seed__production	Sesame seed	Agriculture Production	
faostat__Sheep__production	Sheep	Agriculture Production	
faostat__Sheep and Goat Meat__production	Sheep and Goat Meat	Agriculture Production	
faostat__Sheep and Goats__production	Sheep and Goats	Agriculture Production	
faostat__Sheep fat, unrendered__production	Sheep fat, unrendered	Agriculture Production	
faostat__Shorn wool, greasy, including fleece-washed shorn wool__production	Shorn wool, greasy, including fleece-washed shorn wool	Agriculture Production	
faostat__Silk-worm cocoons suitable for reeling__production	Silk-worm cocoons suitable for reeling	Agriculture Production	
faostat__Skim Milk & Buttermilk, Dry__production	Skim Milk & Buttermilk, Dry	Agriculture Production	
faostat__Skim milk and whey powder__production	Skim milk and whey powder	Agriculture Production	
faostat__Skim milk of cows__production	Skim milk of cows	Agriculture Production	
faostat__Sour cherries__production	Sour cherries	Agriculture Production	
faostat__Soya bean oil__production	Soya bean oil	Agriculture Production	
faostat__Soya beans__production	Soya beans	Agriculture Production	
faostat__Spinach__production	Spinach	Agriculture Production	
faostat__Strawberries__production	Strawberries	Agriculture Production	
faostat__Sugar Crops Primary__production	Sugar Crops Primary	Agriculture Production	
faostat__Sugar beet__production	Sugar beet	Agriculture Production	
faostat__Sugar cane__production	Sugar cane	Agriculture Production	
faostat__Sunflower seed__production	Sunflower seed	Agriculture Production	
faostat__Sunflower-seed oil, crude__production	Sunflower-seed oil, crude	Agriculture Production	
faostat__Swine / pigs__production	Swine / pigs	Agriculture Production	
faostat__Tallow__production	Tallow	Agriculture Production	
faostat__Tangerines, mandarins, clementines__production	Tangerines, mandarins, clementines	Agriculture Production	
faostat__Tea leaves__production	Tea leaves	Agriculture Production	
faostat__Tomatoes__production	Tomatoes	Agriculture Production	
faostat__Treenuts, Total__production	Treenuts, Total	Agriculture Production	
faostat__Turkeys__production	Turkeys	Agriculture Production	
faostat__Unmanufactured tobacco__production	Unmanufactured tobacco	Agriculture Production	
pahlavi__vegetables_melons_production_1950_1958	Vegetables & Melons (combined), Production, 1950-1958	Agriculture Production	1950-1958
faostat__Vegetables Primary__production	Vegetables Primary	Agriculture Production	
faostat__Walnuts, in shell__production	Walnuts, in shell	Agriculture Production	
faostat__Watermelons__production	Watermelons	Agriculture Production	
faostat__Wheat__production	Wheat	Agriculture Production	
faostat__Whey, dry__production	Whey, dry	Agriculture Production	
faostat__Whole milk powder__production	Whole milk powder	Agriculture Production	
faostat__Whole milk, condensed__production	Whole milk, condensed	Agriculture Production	
faostat__Whole milk, evaporated__production	Whole milk, evaporated	Agriculture Production	
faostat__Alcohol, Non-Food__trade	Alcohol, Non-Food	Agriculture Trade	
faostat__Alcoholic Beverages__trade	Alcoholic Beverages	Agriculture Trade	
faostat__Animal fats__trade	Animal fats	Agriculture Trade	
faostat__Apples and products__trade	Apples and products	Agriculture Trade	
faostat__Aquatic Animals, Others__trade	Aquatic Animals, Others	Agriculture Trade	
faostat__Aquatic Plants__trade	Aquatic Plants	Agriculture Trade	
faostat__Aquatic Products, Other__trade	Aquatic Products, Other	Agriculture Trade	
faostat__Bananas__trade	Bananas	Agriculture Trade	
faostat__Barley and products__trade	Barley and products	Agriculture Trade	
faostat__Beans__trade	Beans	Agriculture Trade	
faostat__Beer__trade	Beer	Agriculture Trade	
faostat__Bovine Meat__trade	Bovine Meat	Agriculture Trade	
faostat__Butter, Ghee__trade	Butter, Ghee	Agriculture Trade	
faostat__Cassava and products__trade	Cassava and products	Agriculture Trade	
faostat__Cephalopods__trade	Cephalopods	Agriculture Trade	
faostat__Cereals - Excluding Beer__trade	Cereals - Excluding Beer	Agriculture Trade	
faostat__Cereals, Other__trade	Cereals, Other	Agriculture Trade	
faostat__Citrus, Other__trade	Citrus, Other	Agriculture Trade	
faostat__Cocoa Beans and products__trade	Cocoa Beans and products	Agriculture Trade	
faostat__Coconut Oil__trade	Coconut Oil	Agriculture Trade	
faostat__Coconuts - Incl Copra__trade	Coconuts - Incl Copra	Agriculture Trade	
faostat__Coffee and products__trade	Coffee and products	Agriculture Trade	
faostat__Cottonseed__trade	Cottonseed	Agriculture Trade	
faostat__Cottonseed Oil__trade	Cottonseed Oil	Agriculture Trade	
