score,matched,law_id,folder,title,jalali_date,gregorian_year,enacting_body,text_len,path,doc_type
35,بورس|حقوق گمرکی,f376b41988f5,general_laws,قانون تنظيم بخشي از مقررات تسهيل نوسازي  ... ي ، اجتماعي و فرهنگي جمهوري اسلامي ايران,1382/05/26,2003,مجلس شورای اسلامی,17632,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تنظيم_بخشي_از_مقررات_تسهيل_نوسازي__..._ي_،_اجتماعي_و_فرهنگي_جمهوري_اسلامي_ايران_12206092798984413182.txt,law
35,تعرفه|حقوق گمرکی|صادرات|قیمت‌گذاری|واردات,781e8c3880d3,general_laws,قانون مقررات صادرات و واردات,1372/07/04,1993,مجلس شورای اسلامی,32519,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_مقررات_صادرات_و_واردات_2981512097582997698.txt,law
35,بودجه|بورس|یارانه,b5346004c583,general_laws,قانون بودجه سال 1386 كل كشور,1385/12/24,2007,مجلس شورای اسلامی,192084,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1386_كل_كشور_4855614788951367674.txt,law
35,تعرفه|حقوق گمرکی|صادرات|قیمت‌گذاری|واردات,423f805756de,useful_laws,قانون مقررات صادرات و واردات,1372/07/04,1993,مجلس شورای اسلامی,32519,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون مقررات صادرات و واردات.txt,law
35,بورس|مالیات بر ارزش افزوده|هدفمند|یارانه,3321093eff16,useful_laws,قانون مالياتهاي مستقيم,1366/12/03,1988,مجلس شورای اسلامی,475996,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون مالياتهاي مستقيم.txt,law
34,اصل ۴۴|بورس|خصوصی‌سازی|قیمت‌گذاری|واگذاری,8c9844ccb399,Aeen-Nameh,آیین‌نامه اجرایی نحوه طبقه‌بندی بنگاه‌ها، تایید صورتهای مالی و بازاریابی بنگاه‌های مشمول واگذاری با اصلاحات و الحاقات بعدی,1388/05/17,2009,وزیران عضو کارگروه تصویب آیین‌نامه‌های قانون اصلاح موادی از ,9631,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/495244802902718810_495244802902718810.txt,other
34,بورس|مالیات بر ارزش افزوده,6c8721f34c66,useful_laws,قانون الحاق برخي مواد به قانون تنظيم بخشي از مقررات مالي دولت (2),1393/12/04,2015,مجلس شورای اسلامی,141535,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون الحاق برخي مواد به قانون تنظيم بخشي از مقررات مالي دولت (2).txt,law
33,اصل ۴۴|تجارت|خرید تضمینی|صنعت|معدن|هدفمند|یارانه,fa33a51e88a1,Divan_edalat_edari_votes,راي شماره هاي 1637 الي 1646 هيات عمومي د ... م س ـ 1397 5 4  وزارت صنعت، معدن و تجارت,1399/11/07,2021,اطلاعات پایه,12305,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/راي_شماره_هاي_1637_الي_1646_هيات_عمومي_د_..._م_س_ـ_1397_5_4__وزارت_صنعت،_معدن_و_تجارت_16212676402675724462.txt,court_ruling
33,تعرفه|صنعت|معادن|معدن,64a1c2187326,general_laws,قانون تمركز امور صنعت و معدن و تشكيل وزارت صنايع  و معادن,1379/10/06,2000,مجلس شورای اسلامی,13064,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تمركز_امور_صنعت_و_معدن_و_تشكيل_وزارت_صنايع__و_معادن_11996435749000837870.txt,law
33,سوخت|یارانه,b7d103fb6a8a,general_laws,قانون توسعه حمل و نقل عمومي و مديريت مصرف سوخت,1386/09/18,2007,مجلس شورای اسلامی,12090,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_توسعه_حمل_و_نقل_عمومي_و_مديريت_مصرف_سوخت_11155291445596465121.txt,law
33,اصلاحات ارضی|بورس|تعرفه|سهام,eead1553b80d,general_laws,قانون صندوق عمران مراتع شركت سهامي تهيه و توليد و توزيع علوفه,1349/12/24,1971,مجلس شورای ملی,6890,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_صندوق_عمران_مراتع_شركت_سهامي_تهيه_و_توليد_و_توزيع_علوفه___1112109785612209470.txt,law
33,بودجه|بورس,874711d03bd5,general_laws,قانون بودجه سال 1383 كل كشور,1382/12/24,2004,مجلس شورای اسلامی,161242,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1383_كل_كشور_11649208514262884324.txt,law
33,بودجه|بورس,665464019cb4,useful_laws,قانون بودجه سال 1404 كل كشور (بخش اول),1403/11/08,2025,مجلس شورای اسلامی,177214,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون بودجه سال 1404 كل كشور (بخش اول).txt,law
32,تعرفه|قیمت‌گذاری|یارانه,85612cdd67ed,Aeen-Nameh,آيين نامه اجرايي قانون تمركز وظايف و اختيارات مربوط به بخش كشاورزي در وزارت جهاد كشاورزي,1392/11/30,2014,هیات وزیران,5716,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_قانون_تمركز_وظايف_و_اختيارات_مربوط_به_بخش_كشاورزي_در_وزارت_جهاد_كشاورزي_13910267259347352070.txt,law
32,بورس|هدفمند|یارانه,bb8158ba301c,Aeen-Nameh,آيين نامه اجرايي ماده  1  قانون الحاق بر ... قانون تنظيم بخشي از مقررات مالي دولت  2,1395/04/13,2016,هیات وزیران,15167,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ماده__1__قانون_الحاق_بر_..._قانون_تنظيم_بخشي_از_مقررات_مالي_دولت__2__15301324926844641.txt,law
32,مالیات|نرخ ارز|یارانه,ce5469f58721,Divan_edalat_edari_votes,ب) ابطال بخشنامه شماره ۲۰۰ / ۹۵ / ۲۵ ۱۳۹۵ / ۴ / ۲۲ سازمان امور مالیاتی کشور با اصلاحات و الحاقات بعدی,1396/09/07,2017,اطلاعات پایه,21988,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/14651667784622028830_14651667784622028830.txt,court_ruling
32,تعرفه|هدفمند|گاز|یارانه,840e6a924578,Divan_edalat_edari_votes,راي شماره 1255 هيات عمومي ديوان عدالت اد ... ص افزايش تعرفه گاز مصرفي كارخانجات فولاد,1399/10/09,2020,اطلاعات پایه,14208,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/راي_شماره_1255_هيات_عمومي_ديوان_عدالت_اد_..._ص_افزايش_تعرفه_گاز_مصرفي_كارخانجات_فولاد_10343825443705714696.txt,court_ruling
32,برق|برنامه توسعه|تعرفه|عوارض|مالیات بر ارزش افزوده,72349d6595e6,Divan_edalat_edari_votes,ابطال تعرفه عوارض و بهاي خدمات شهرداري بافق در خصوص عوارض نيم درصد برقراردادهاي پيمانكاري,1392/01/19,2013,اطلاعات پایه,9718,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/ابطال_تعرفه_عوارض_و_بهاي_خدمات_شهرداري_بافق_در_خصوص_عوارض_نيم_درصد_برقراردادهاي_پيمانكاري_13776117214815681207.txt,court_ruling
32,بودجه|بورس,79eca43957c1,general_laws,لايحه بودجه سال 1358,1358/05/27,1979,شورای انقلاب جمهوری اسلامی ایران,33389,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_بودجه_سال_1358_14089152593322445596.txt,other
32,تعرفه|خرید تضمینی|قیمت‌گذاری|یارانه,cbbc533ebfbc,general_laws,قانون تضمين خريد محصولات اساسي كشاورزي,1368/06/21,1989,مجلس شورای اسلامی,8484,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تضمين_خريد_محصولات_اساسي_كشاورزي_1624869257940894228.txt,law
32,بورس|صنعت|مالیات بر ارزش افزوده,9523368336b5,general_laws,قانون چگونگي اداره مناطق آزاد تجاري - صنعتي جمهوري اسلامي ايران,1372/06/07,1993,مجلس شورای اسلامی,50342,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_چگونگي_اداره_مناطق_آزاد_تجاري_-_صنعتي_جمهوري_اسلامي_ايران_9909702370144695971.txt,law
32,بودجه|حقوق گمرکی,ac2c163bb86c,general_laws,قانون بودجه كل سال 1322 كشور,1322/08/24,1943,مجلس شورای ملی,12616,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_كل_سال_1322_كشور_3488582500621673720.txt,law
32,بودجه|بورس,4c64c1529c6d,general_laws,قانون بودجه سال 1384 كل كشور,1383/12/25,2005,مجلس شورای اسلامی,155647,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1384_كل_كشور_6332796942103593038.txt,law
31,بودجه|یارانه,c998df0045d7,Aeen-Nameh,آيين نامه اجرايي بند الف تبصره 12 قانون بودجه سال 1381كل كشور,1381/01/28,2002,هیات وزیران,5567,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند_الف_تبصره_12_قانون_بودجه_سال_1381كل_كشور_738319453175183833.txt,law
31,بورس|تعرفه|قیمت‌گذاری|یارانه,77a3f27cfa5c,Aeen-Nameh,آيين نامه اجرايي ساماندهي توليد،فرآوري وبازرگاني چاي,1385/03/08,2006,وزیران عضو کارگروه نوسازی باغات چای و تقویت بازار داخلی و سا,6460,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ساماندهي_توليد،فرآوري_وبازرگاني_چاي_5888847009416429596.txt,other
31,بودجه|تعرفه,92c45b476edc,Aeen-Nameh,آيين نامه اجرايي تبصره   13   قانون بودجه سال 1386 كل كشور,1386/05/02,2007,وزرای عضو کارگروه موضوع تصویبنامه شماره ۲۹۸۹۲ / ت ۳۷۲۱۳ ه مو,7355,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تبصره___13___قانون_بودجه_سال_1386_كل_كشور_18410919100747524321.txt,law
31,اصل ۴۴|برنامه توسعه|بورس|دام|سهام|نفت|واگذاری|پالایش,78388db95e52,Divan_edalat_edari_votes,رأی شماره ۵۲۶ هیأت عمومی دیوان عدالت اداری با موضوع اعلام تعارض در آراء صادر شده از شعب ۴ و ۱۳ دیوان عدالت اداری در خصوص اعتراض به تصمیمات و اقدامات سازمان نسبت به واگذاری سهام ترجیحی شرکت پالایش نفت شیراز با اصلاحات و الحاقات بعدی,,,اطلاعات پایه,8326,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/17187850366179853728_17187850366179853728.txt,court_ruling
31,تعرفه|حقوق گمرکی|صادرات,535568d9e9da,general_laws,قانون تشويق صادرات و توليد,1333/11/23,1955,کمیسیون مجلس,9806,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تشويق_صادرات_و_توليد_2062346173005034233.txt,law
31,تعرفه|حقوق گمرکی,0ef853b4b22e,general_laws,قانون موافقتنامه تجاري اكو   اكوتا,1386/05/16,2007,مجلس شورای اسلامی,35128,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_موافقتنامه_تجاري_اكو___اكوتا___15616584737375881069.txt,law
31,بورس|تعرفه|صادرات|واردات,243c4fae96be,general_laws,قانون مقررات صادرات و واردات,1366/04/11,1987,مجلس شورای اسلامی,37224,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_مقررات_صادرات_و_واردات_15069589608421268658.txt,law
31,بودجه|بورس|تعرفه,1b65ca7671ec,general_laws,قانون متمم بودجه سال 1314 مملكتي,1313/12/22,1935,مجلس شورای ملی,13735,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_متمم_بودجه_سال_1314_مملكتي_9083983769097553859.txt,law
31,بودجه|بورس,6fec01651bac,general_laws,قانون بودجه سال 1339 كل كشور,1338/12/19,1960,مجلس شورای ملی,47411,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1339_كل_كشور_3008748126262050072.txt,law
31,تعرفه|صادرات|واردات,33a5157df624,general_laws,قانون مقررات صادرات و واردات سال 1365,1364/12/27,1986,مجلس شورای اسلامی,22148,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_مقررات_صادرات_و_واردات_سال_1365_15372400873278210326.txt,law
31,بودجه|بورس,2101d605e6f1,general_laws,قانون بودجه سال 1379 كل كشور,1378/12/24,2000,مجلس شورای اسلامی,171223,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1379_كل_كشور_12871403094706207362.txt,law
31,ارز|بودجه|تعرفه,8ac2d4f2eec6,general_laws,قانون بودجه ارزي سال 1364 كل كشور,1364/07/02,1985,مجلس شورای اسلامی,10924,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_ارزي_سال_1364_كل_كشور_9221098165314418575.txt,law
31,بورس,d1430034d38e,useful_laws,قانون احكام دائمي برنامه هاي توسعه كشور,1395/11/10,2017,مجلس شورای اسلامی,158851,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون احكام دائمي برنامه هاي توسعه كشور.txt,law
30,بودجه|مالیات بر ارزش افزوده|هدفمند|یارانه,882d34b9f85a,Aeen-Nameh,آيين نامه اجرايي بند   1   ماده واحده قانون بودجه سال 1390 كل كشور,1390/06/02,2011,هیات وزیران,18641,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند___1___ماده_واحده_قانون_بودجه_سال_1390_كل_كشور_588612288044117488.txt,law
30,بودجه|تعرفه,20fb5920687d,Aeen-Nameh,آيين نامه اجرايي جزء  1  بند  ي  تبصره  5  قانون بودجه سال 1379 كل كشور,1379/04/08,2000,هیات وزیران,3922,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/_آيين_نامه_اجرايي_جزء__1__بند__ي__تبصره__5__قانون_بودجه_سال_1379_كل_كشور_288770471654675522.txt,law
30,بورس|یارانه,c83c0d6b16ee,Aeen-Nameh,آيين نامه اجرايي ماده  14  قانون ساماندهي و حمايت از توليد و عرضه مسكن,1395/08/05,2016,هیات وزیران,12479,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ماده__14__قانون_ساماندهي_و_حمايت_از_توليد_و_عرضه_مسكن_10940637893489975352.txt,law
30,اصل ۴۴|برنامه توسعه|تعرفه|عوارض|مالیات بر ارزش افزوده,79ccc6170a31,Divan_edalat_edari_votes,رأي شماره 761 هيأت عمومي ديوان عدالت ادا ... 3 تعرفه عوارض محلي سال 1400 شهرداري پاوه,1401/04/21,2022,اطلاعات پایه,6505,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_761_هيأت_عمومي_ديوان_عدالت_ادا_..._3_تعرفه_عوارض_محلي_سال_1400_شهرداري_پاوه_11542545885159354270.txt,court_ruling
30,تعرفه|قیمت‌گذاری|هدفمند|گاز|یارانه,c0dfd7af6e82,Divan_edalat_edari_votes,رأی شماره ۱۲۹۲ هیأت عمومی دیوان عدالت اداری با موضوع ابطال بند ۲ تصویبنامه شماره ۱۰۱۷۵۸ / ت ۵۷۸۰۴ ه مورخ ۱۳۹۹ / ۹ / ۱۱ هیأتوزیران ناظر بر افزایش بهای گاز مصرفی در صورتی که نسبت به دوره قبل مشابه مصرف بیشتری شده باشد، به لحاظ مغایرت با قانون با اصلاحات و الحاقات بعدی,1400/04/01,2021,اطلاعات پایه,7665,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/11774346182865755480_11774346182865755480.txt,court_ruling
30,اصل ۴۴|برنامه توسعه|تعرفه|مالیات بر ارزش افزوده,8fc7f4745630,Divan_edalat_edari_votes,رأي ﺷﻤﺎره 2318 ﻫﯿﺄت ﻋﻤﻮﻣﯽ دﯾﻮان ﻋﺪاﻟﺖ اد ... وارض محلي سال 1399 شوراي اسلامي شهر ساوه,1400/08/11,2021,اطلاعات پایه,10919,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_ﺷﻤﺎره_2318_ﻫﯿﺄت_ﻋﻤﻮﻣﯽ_دﯾﻮان_ﻋﺪاﻟﺖ_اد_..._وارض_محلي_سال_1399_شوراي_اسلامي_شهر_ساوه_4808878161526504806.txt,court_ruling
30,بودجه|بورس,53a5e8e30866,general_laws,قانون بودجه سال 1385 كل كشور,1384/12/25,2006,مجلس شورای اسلامی,175387,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1385_كل_كشور_8520229257304361610.txt,law
30,بودجه|بورس,544b7527a2b2,general_laws,قانون بودجه سال 1376 كل كشور,1375/11/14,1997,مجلس شورای اسلامی,198695,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1376_كل_كشور_8401022489625398721.txt,law
30,اصلاحات ارضی|اعتبار|بورس,4997a806cd8d,general_laws,قانون اصلاح جداول اعتبارات سنواتي و ساير جداول پيوست برنامه عمراني چهارم كشور,1351/04/07,1972,مجلس شورای ملی,9917,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاح_جداول_اعتبارات_سنواتي_و_ساير_جداول_پيوست_برنامه_عمراني_چهارم_كشور_1193366708728135530.txt,law
30,بودجه|بورس,cfea3599df5d,general_laws,قانون بودجه سال 1341 كل كشور,1343/08/17,1964,مجلس شورای ملی,30230,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1341_كل_كشور_16156388059894501040.txt,law
30,بورس,88b5593dfcb8,general_laws,قانون الحاق موادی به قانون تنظیم بخشی از مقررات مالی دولت (۱) - مصوب ۱۳۸۰ / ۱۱ / ۲۷ با اصلاحات و الحاقات بعدی,1380/11/27,2002,با اصلاحات و الحاقات بعدی,79402,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/15361588074584818347_15361588074584818347.txt,law
30,بودجه|یارانه,387d7488dba2,general_laws,قانون اصلاح ماده  3  و جداول  4  و  8  ق ... لامي ايران و متمم بودجه سال 1384 كل كشور,1384/11/14,2006,مجلس شورای اسلامی,10053,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاح_ماده__3__و_جداول__4__و__8__ق_..._لامي_ايران_و_متمم_بودجه_سال_1384_كل_كشور_9905453622405205055.txt,law
30,بودجه|حقوق گمرکی,e860e5309364,general_laws,قانون بودجه كل سال 1320 كشور,1319/12/15,1941,مجلس شورای ملی,18810,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_كل_سال_1320_كشور_10946088840774160052.txt,law
30,بورس,f5c836a80295,useful_laws,قانون الحاق موادي به قانون تنظيم بخشي از مقررات مالي دولت (1),1380/11/27,2002,مصوب ۱۳۸۴ / ۰۸ / ۱۵ مجلس شورای اسلامی,79261,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون الحاق موادي به قانون تنظيم بخشي از مقررات مالي دولت (1).txt,law
29,بودجه|حداقل دستمزد|هدفمند|یارانه,f43a11dcd599,Aeen-Nameh,اصلاح آيين نامه اجرايي تبصره  20  قانون بودجه سال 1394 كل كشور,1394/11/25,2016,هیات وزیران,4515,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/اصلاح_آيين_نامه_اجرايي_تبصره__20__قانون_بودجه_سال_1394_كل_كشور_16009417698698320343.txt,law
29,بودجه|مالیات بر ارزش افزوده|هدفمند|یارانه,6959bdcd8177,Aeen-Nameh,آيين نامه اجرايي بند 4 ماده واحده قانون بودجه سال 1389 كل كشور,1389/03/02,2010,هیات وزیران,4585,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند_4_ماده_واحده_قانون_بودجه_سال_1389_كل_كشور_10674496428700962622.txt,law
29,بودجه|نرخ ارز|نقدینگی|یارانه,5f7debc3f1d2,Aeen-Nameh,آيين نامه اجرايي بند   و    تبصره 28 قانون  بودجه سال 1377 كل كشور,1377/03/24,1998,هیات وزیران,2929,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند___و____تبصره_28_قانون__بودجه_سال_1377_كل_كشور_299869115330956812.txt,law
29,بودجه|بورس|یارانه,3f449b61414b,Aeen-Nameh,آيين نامه اجرايي بند  و  و جزء هاي  3  و ...   تبصره  5  قانون بودجه سال 1397 كل كشور,1397/04/20,2018,هیات وزیران,16480,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__و__و_جزء_هاي__3__و_...___تبصره__5__قانون_بودجه_سال_1397_كل_كشور_16971288185821600263.txt,law
29,اصل ۴۴|خصوصی‌سازی,b15d7dded3d8,Aeen-Nameh,آيين نامه اجرايي تشخيص، انطباق و طبقه بن ... ياست هاي كلي اصل چهل و چهارم قانون اساسي,1388/06/07,2009,وزیران عضو کارگروه تصویب آیین‌نامه‌های قانون اصلاح موادی از ,46314,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تشخيص،_انطباق_و_طبقه_بن_..._ياست_هاي_كلي_اصل_چهل_و_چهارم_قانون_اساسي_17839209696474108107.txt,law
29,تسهیلات|تعرفه|یارانه,0109ed355ee4,Aeen-Nameh,آیین‌نامه اعطای مشوقها و تسهیلات برای ایجاد و توسعه آموزشگاه‌های آزاد فنی و حرفه‌ای با اصلاحات و الحاقات بعدی,1385/03/24,2006,هیات وزیران,5010,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/16244706242898560750_16244706242898560750.txt,other
29,تعرفه|حقوق گمرکی|مالیات بر ارزش افزوده|نرخ ارز,eb3e4a0e58f9,Divan_aali_votes,دستورالعمل حقوق ورودي گوشي  تلفن همراه خ ... امه شماره1901562  1403 مورخ 28  12  1402,1404/01/30,2025,گمرک ایران,6147,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_aali_votes/دستورالعمل_حقوق_ورودي_گوشي__تلفن_همراه_خ_..._امه_شماره1901562__1403_مورخ_28__12__1402_11938971201069855529.txt,court_ruling
29,اصل ۴۴|تعرفه|عوارض|مالیات بر ارزش افزوده|ملی شدن,2b6d4a23efea,Divan_edalat_edari_votes,رأی شماره ۱۷۹۶ الی ۱۸۰۵ ۱۸۰۸ هیأت عمومی دیوان عدالت اداری با موضوع اخذ عوارض از دکلها و آنتنهای مخابراتی خلاف قانون است با اصلاحات و الحاقات بعدی,1393/10/29,2015,اطلاعات پایه,13485,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/12419572706474966793_12419572706474966793.txt,court_ruling
