Type of data	Macroeconomic aggregates: Nivel 1	Macroeconomic aggregates: Nivel 2	Levels and rates	Period	Total
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2005QIII	226,691
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2005QII	235,008
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2005QI	219,751
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2004QIV	228,041
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2004QIII	210,474
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2004QII	217,083
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2004QI	203,839
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2003QIV	212,086
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2003QIII	196,507
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2003QII	202,759
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2003QI	190,914
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2002QIV	198,458
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2002QIII	183,547
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2002QII	189,754
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2002QI	177,793
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2001QIV	185,971
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2001QIII	171,995
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2001QII	176,446
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2001QI	166,581
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2000QIV	172,186
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2000QIII	158,993
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2000QII	162,872
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2000QI	153,800
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1999QIV	158,888
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1999QIII	145,954
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1999QII	149,831
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1999QI	141,050
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1998QIV	149,043
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1998QIII	136,461
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1998QII	140,009
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1998QI	130,480
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1997QIV	139,684
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1997QIII	127,175
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1997QII	130,471
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1997QI	121,938
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1996QIV	129,967
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1996QIII	120,174
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1996QII	123,286
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1996QI	115,776
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1995QIV	122,392
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1995QIII	112,398
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1995QII	116,633
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	1995QI	109,165
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2025QIV	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2025QIII	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2025QII	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2025QI	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2024QIV	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2024QIII	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2024QII	5.4482
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2024QI	-4.4234
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2023QIV	7.0028
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2023QIII	-1.7595
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2023QII	4.8562
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2023QI	-2.8790
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2022QIV	7.6424
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2022QIII	-0.7758
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2022QII	7.0701
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2022QI	-5.5188
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2021QIV	9.6552
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2021QIII	0.1863
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2021QII	7.5878
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2021QI	-5.8413
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2020QIV	6.4647
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2020QIII	12.5564
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2020QII	-13.4089
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2020QI	-11.0559
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2019QIV	6.0008
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2019QIII	-3.0893
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2019QII	5.5214
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2019QI	-5.0310
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2018QIV	6.0902
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2018QIII	-2.6067
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2018QII	6.3740
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2018QI	-5.6450
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2017QIV	5.6602
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2017QIII	-2.2857
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2017QII	6.3542
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2017QI	-4.7604
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2016QIV	5.2994
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2016QIII	-2.1260
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2016QII	5.9939
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2016QI	-5.6696
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2015QIV	5.8067
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2015QIII	-2.1145
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2015QII	5.7900
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2015QI	-4.1712
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2014QIV	5.3615
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2014QIII	-2.2826
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2014QII	5.0494
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2014QI	-5.6423
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2013QIV	4.7258
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2013QIII	-3.0963
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2013QII	5.0152
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2013QI	-6.0843
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2012QIV	3.7831
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2012QIII	-3.4994
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2012QII	4.0481
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2012QI	-7.6013
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2011QIV	5.2321
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2011QIII	-4.7666
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2011QII	5.3193
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2011QI	-7.5908
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2010QIV	6.9792
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2010QIII	-4.2892
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2010QII	6.1476
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2010QI	-7.4786
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2009QIV	6.8586
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2009QIII	-4.2251
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2009QII	5.3173
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2009QI	-9.8914
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2008QIV	6.2269
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2008QIII	-5.3289
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2008QII	6.3750
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2008QI	-6.1628
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2007QIV	9.4479
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2007QIII	-4.3276
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2007QII	6.3884
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2007QI	-3.7202
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2006QIV	8.6523
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2006QIII	-3.5886
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2006QII	6.6271
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2006QI	-3.0658
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2005QIV	8.4767
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2005QIII	-3.5390
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2005QII	6.9429
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2005QI	-3.6353
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2004QIV	8.3464
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2004QIII	-3.0445
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2004QII	6.4973
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2004QI	-3.8885
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2003QIV	7.9280
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2003QIII	-3.0835
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2003QII	6.2044
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2003QI	-3.8013
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2002QIV	8.1238
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2002QIII	-3.2711
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2002QII	6.7275
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2002QI	-4.3975
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2001QIV	8.1258
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2001QIII	-2.5226
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2001QII	5.9220
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2001QI	-3.2552
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2000QIV	8.2978
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2000QIII	-2.3816
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2000QII	5.8986
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	2000QI	-3.2023
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1999QIV	8.8617
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1999QIII	-2.5876
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1999QII	6.2255
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1999QI	-5.3629
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1998QIV	9.2202
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1998QIII	-2.5341
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1998QII	7.3030
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1998QI	-6.5892
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1997QIV	9.8361
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1997QIII	-2.5262
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1997QII	6.9978
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1997QI	-6.1777
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1996QIV	8.1490
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1996QIII	-2.5242
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1996QII	6.4867
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1996QI	-5.4056
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1995QIV	8.8916
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1995QIII	-3.6310
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1995QII	6.8410
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Quarterly variation rate	1995QI	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2025QIV	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2025QIII	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2025QII	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2025QI	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2024QIV	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2024QIII	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2024QII	5.9440
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2024QI	5.3492
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2023QIV	7.0515
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2023QIII	7.6915
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2023QII	8.7698
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2023QI	11.0664
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2022QIV	8.0476
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2022QIII	10.0679
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2022QII	11.1351
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2022QI	11.6724
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2021QIV	11.2912
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2021QIII	8.0531
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2021QII	21.3945
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2021QI	-2.2967
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2020QIV	-7.7076
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2020QIII	-8.1097
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2020QII	-20.8828
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2020QI	-3.5864
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2019QIV	2.9445
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2019QIII	3.0313
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2019QII	3.5444
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2019QI	4.3811
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2018QIV	3.7063
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2018QIII	3.2860
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2018QII	3.6264
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2018QI	3.6071
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2017QIV	4.5784
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2017QIII	4.2212
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2017QII	4.3915
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2017QI	4.0378
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2016QIV	3.0446
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2016QIII	3.5411
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2016QII	3.5532
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2016QI	3.3541
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2015QIV	4.9959
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2015QIII	4.5541
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2015QII	4.3746
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2015QI	3.6438
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2014QIV	2.0528
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2014QIII	1.4370
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2014QII	0.5923
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2014QI	0.5597
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2013QIV	0.0886
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2013QIII	-0.8123
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2013QII	-1.2250
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2013QI	-2.1347
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2012QIV	-3.7155
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2012QIII	-2.3712
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2012QII	-3.6531
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2012QI	-2.4760
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2011QIV	-2.4649
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2011QIII	-0.8456
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2011QII	-0.3485
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2011QI	0.4352
