date_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,citation
May 1974 (signed),1974,Foreign aid,Iran-Egypt aid and development pact,nearly 1 (main text) / 870 million (footnote detail),billion / million USD,"Signed after visit of Egyptian Deputy PM Hegazi; main text says 'nearly one billion dollars', footnote citing telegram 4241 gives $870 million with details to be worked out later.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 62 (June 26 1974), PDF p.243"
1974 (OECD forecast),1974,Balance of Payments,"France balance-of-payments deficit forecast, 1974",6.5,billion USD,"OECD forecast, largely a function of 1973 oil price rises.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 66 (July 15 1974), PDF p.253"
1974 (OECD forecast),1974,Balance of Payments,"Italy balance-of-payments deficit forecast, 1974",7.5,billion USD,OECD forecast.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 66 (July 15 1974), PDF p.253"
1974 (OECD forecast),1974,Balance of Payments,"Japan balance-of-payments deficit forecast, 1974",7.5,billion USD,OECD forecast.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 66 (July 15 1974), PDF p.253"
1974 (OECD forecast),1974,Balance of Payments,"UK balance-of-payments deficit forecast, 1974",11,billion USD,OECD forecast.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 66 (July 15 1974), PDF p.253"
1974 (OECD forecast),1974,Macro / National Accounts,"OECD average economic growth rate forecast, 1974",0.5,percent,Several countries' 1974 growth rate likely to be zero or negative.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 66 (July 15 1974), PDF p.253"
1974 (Shah's stated aid commitments),1974,Foreign aid,Iran aid to India,roughly 1,billion USD,Per the Shah's remarks to Ambassador Helms.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 68 (July 24 1974), PDF p.259"
1974 (Shah's stated aid commitments),1974,Foreign aid,Iran aid to Egypt,roughly 1,billion USD,Per the Shah's remarks to Ambassador Helms.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 68 (July 24 1974), PDF p.259"
1974 (Shah's stated aid commitments),1974,Foreign aid,Iran aid to France,roughly 1,billion USD,Per the Shah's remarks to Ambassador Helms.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 68 (July 24 1974), PDF p.259"
1974 (Shah's stated aid commitments),1974,Foreign aid,Iran aid to United Kingdom,1.2,billion USD,Per the Shah's remarks to Ambassador Helms.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 68 (July 24 1974), PDF p.259"
1974 (Shah's stated aid commitments),1974,Foreign aid,Iran aid to Pakistan,750,million USD,"Per the Shah's remarks to Ambassador Helms; plus smaller amounts to Syria, Senegal and others.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 68 (July 24 1974), PDF p.259"
Sept 1974,1974,Oil production & trade,Shah's proposed royalty increase ahead of OPEC meeting,1.5,percent,Designed to add about ten cents a barrel and cut into oil company profits rather than raise the posted price per se.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 78 (Sept 10 1974), PDF p.280"
Sept 1974,1974,Oil production & trade,Venezuela's demanded OPEC price increase,14,percent,Cited by the Shah as an example of others pushing for increases while he plays a moderating role.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 78 (Sept 10 1974), PDF p.280"
Sept 1974,1974,Prices,GOI import price -- sugar,840,USD/ton,"Cited by the Shah as evidence that inflation is driven by import costs, not oil.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 78 (Sept 10 1974), PDF p.280"
Sept 1974,1974,Prices,GOI import price -- wheat,225,USD/ton,Cited by the Shah in the same context.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 78 (Sept 10 1974), PDF p.280"
Sept 1974,1974,Prices,GOI import price -- vegetable oil,1060,USD/ton,Cited by the Shah in the same context.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 78 (Sept 10 1974), PDF p.280"
if adopted (Sept 1974 Embassy estimate),1974,Oil production & trade,Estimated additional Iranian revenue from the Shah's proposed single-price system,2.2,billion USD,"Per Embassy telegram 8767 from Tehran, October 16.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 78 (Sept 10 1974), PDF p.280"
Sept 1974,1974,Oil production & trade,Saudi crude oil price after participation-formula change,9.50,USD/barrel,Per Amouzegar; blamed on Saudi Arabia/American oil companies shifting the participation formula from 25-75 to 60-40.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 80 (Sept 26 1974), PDF p.286"
projected (Sept 1974),1974,Oil production & trade,Projected oil price at 100% Saudi Aramco participation,11.50,USD/barrel,Per Amouzegar's prediction.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 80 (Sept 26 1974), PDF p.286"
current vs a year ago (Sept 1974),1974,Oil production & trade,Oil company profit per barrel,about 93 cents (current) vs about 45 cents (year earlier),USD/barrel,Per Amouzegar.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 80 (Sept 26 1974), PDF p.286"
last 10 years (as of 1974),1974,Macro / National Accounts,Japan's average growth rate over the prior decade,about 12,percent/year,Cited by Amouzegar as context for whether industrialized countries can absorb a lower growth rate.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 80 (Sept 26 1974), PDF p.286"
Sept 1974,1974,Macro / National Accounts,"Iran's per-capita income base, cited by Amouzegar",500,USD,"Growing at 12% would add only $60 per capita, per Amouzegar's inequality argument.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 80 (Sept 26 1974), PDF p.286"
OECD study cited Sept 1974,1974,Prices,"Oil price contribution to US inflation, per OECD study cited by Amouzegar",0.04,percent,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 80 (Sept 26 1974), PDF p.286"
OECD study cited Sept 1974,1974,Prices,"Oil price contribution to Japan inflation, per OECD study cited by Amouzegar",2,percent,"Highest among Western countries surveyed, per Amouzegar.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 80 (Sept 26 1974), PDF p.287"
OECD study cited Sept 1974,1974,Prices,"Oil price contribution to inflation, overall average, per OECD study cited by Amouzegar",1.5,percent,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 80 (Sept 26 1974), PDF p.287"
pre-1973 vs end of 1974 (Amouzegar est.),1974,Balance of Payments,West Germany's foreign exchange reserves,32 (before oil price rise) -> about 40 (expected by end of 1974),billion USD,Cited by Amouzegar to argue reserves growth wasn't unique to OPEC.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 80 (Sept 26 1974), PDF p.287"
as of Sept 1974 (Amouzegar),1974,Foreign aid,Iran loans to Great Britain and France,over 1 billion each,USD,Plus loans to about 15 other countries or oil on concessionary terms.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 80 (Sept 26 1974), PDF p.287"
as of Sept 1974 (Amouzegar),1974,Foreign aid,Iran loan to the IMF,700,million USD,Per Amouzegar's summary of Iran's balance-of-payments assistance efforts.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 80 (Sept 26 1974), PDF p.287"
next decade (from 1974),1983,Government Finance,Iran's planned development investment over the next decade,180,billion USD,Per Finance Minister Ansary.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1983 (target),1983,Macro / National Accounts,Iran's targeted GNP by 1983,190,billion USD,"In current dollars, per Ansary.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1983 (target),1983,Macro / National Accounts,Iran's targeted per capita income by 1983,4000,USD,Per Ansary.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
target rate,1983,Manufacturing,Iran's targeted industry growth rate,16-18,percent/year,Per Ansary.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
target rate,1983,Agriculture,Iran's targeted agriculture growth rate,7-8,percent/year,Described by Ansary as 'rather ambitious'.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1983 (target),1983,Manufacturing,Targeted annual production -- passenger cars,1,million/year,Per Ansary's 1983 industrial targets.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1983 (target),1983,Manufacturing,Targeted annual production -- television sets,3,million/year,Per Ansary's 1983 industrial targets.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1983 (target),1983,Manufacturing,Targeted annual production -- refrigerators,3.2,million/year,Per Ansary's 1983 industrial targets.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1983 (target),1983,Manufacturing,Targeted annual production -- textiles,1.5,square miles/year,"As stated in the source (unusual unit, transcribed as printed).",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1983 (target),1983,Manufacturing,Targeted annual production -- shoes,400,million pairs/year,Per Ansary's 1983 industrial targets.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1983 (target),1983,Metals & Minerals,Targeted annual production -- steel,15,million tons/year,Per Ansary's 1983 industrial targets; consistent with the Shah's steel target cited in Document 59.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1983 (target),1983,Metals & Minerals,Targeted annual production -- aluminum,1,million tons/year,Per Ansary's 1983 industrial targets.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1983 (target),1983,Metals & Minerals,Targeted annual copper and copper-products production value,1,billion USD/year,"Iran hoped to be the seventh-largest copper producer by 1983, per Ansary.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1983 (target),1983,Trade,Iran's targeted annual trade volume by 1983,40,billion USD,Per Ansary.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303"
1974 vs prior year,1974,Trade,"Iran imports, this year vs last year",10 billion (1974) vs 4.3 billion (prior year),billion USD,Per Ansary.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.304"
cumulative commitments as of Nov 1974,1974,Foreign aid,Iran's overseas investment/aid commitments to date,exceed 7.7,billion USD,"Per Ansary; soft loans and, in limited cases, grants, mainly in Asia, Africa, and Western Europe.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.304"
1983 (target),1983,Government Finance,Share of GNP earmarked for Iran's foreign aid programs by 1983,6,percent,Per Ansary.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.304"
offer made c.1969-70 (5 years before Nov 1974),1974,Oil production & trade,Shah's offer to fund Lockheed C-5 production line,165,million USD,"The Shah offered to pay this to start up the Lockheed C-5 production line, provided the US Air Force placed some orders.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 89 (Nov 3 1974), PDF p.311"
this year (1974),1974,Military expenditure,GOI military budget,about 6.5,billion USD,Over one-quarter of total GOI outlays.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 92 (Dec 16 1974), PDF p.321"
next year (FY1975),1975,Military expenditure,"GOI defense costs, next year",9.3,billion USD,Within a total budget of $26.5 billion.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 92 (Dec 16 1974), PDF p.321"
FY1975 total,1975,Government Finance,"GOI total budget, next year",26.5,billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 92 (Dec 16 1974), PDF p.321"
"initial deliveries, as of Dec 1974",1975,Military expenditure,US equipment orders outstanding for initial delivery,over 8,billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 92 (Dec 16 1974), PDF p.321"
as of Dec 1974,1974,Military expenditure,American military personnel in Iran supporting IIA modernization,"over 1,000",count,"Plus 1,900 civilian employees of defense-related firms.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 92 (Dec 16 1974), PDF p.321"
projected by 1980,1980,Military expenditure,Projected number of US defense contractor personnel in Iran,"about 12,000",count (principals),,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 92 (Dec 16 1974), PDF p.321"
as of Dec 1974,1974,Demographics & Population,Americans resident in Iran,"some 16,000",count,"Approximately 13,000 of whom live in Tehran, a city of about 3.5 million.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 92 (Dec 16 1974), PDF p.321"
this year (1974/75),1975,Military expenditure,"Iran arms purchases from the US, this year",4.0,billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 98 (Jan 17 1975), PDF p.338"
next three years (from early 1975),1978,Military expenditure,"Estimated Iran arms sales from the US, next three years",15,billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 98 (Jan 17 1975), PDF p.338"
same period (projected),1978,Military expenditure,"Co-production projects value, same period, unlikely to exceed",2 (upper bound) / under 0.5 (more likely),billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 98 (Jan 17 1975), PDF p.338"
stated goal,1980,Metals & Minerals,"Shah's steel production target, per Shultz report",17,million tons,"Slightly different figure from the 15-million-ton target cited elsewhere in the volume (Documents 59, 88) -- both preserved as printed, not reconciled.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 100 (Feb 7 1975), PDF p.345"
