STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,4.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,HO_HISH,Housing expenditure,L,Value,TOT,Total,20.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,HO_HISH,Housing expenditure,L,Value,TOT,Total,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,HO_HISH,Housing expenditure,L,Value,TOT,Total,21.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,HO_HISH,Housing expenditure,L,Value,TOT,Total,22.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,HO_HISH,Housing expenditure,L,Value,TOT,Total,14.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,TOT,Total,19.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,HO_HISH,Housing expenditure,L,Value,TOT,Total,19.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,HO_HISH,Housing expenditure,L,Value,TOT,Total,21.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,HO_HISH,Housing expenditure,L,Value,TOT,Total,20.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,HO_HISH,Housing expenditure,L,Value,TOT,Total,18.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,HO_HISH,Housing expenditure,L,Value,TOT,Total,23.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,HO_HISH,Housing expenditure,L,Value,TOT,Total,18.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,74,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,76,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,69,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,73,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,82,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,83,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,83,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,80,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,79,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,59,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,78,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,78,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,78,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,83,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,79,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,79,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,87,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,95,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,92,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,86,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,90,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,72,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,80,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,88,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,70,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,69,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,59,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,67,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,77,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,72,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,75,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,75,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,68,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,45,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,77,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,69,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,JE_EMPL,Employment rate,L,Value,TOT,Total,65,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,JE_EMPL,Employment rate,L,Value,TOT,Total,77,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,JE_EMPL,Employment rate,L,Value,TOT,Total,56,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,JE_EMPL,Employment rate,L,Value,TOT,Total,58,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,JE_EMPL,Employment rate,L,Value,TOT,Total,66,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,JE_EMPL,Employment rate,L,Value,TOT,Total,78,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,JE_EMPL,Employment rate,L,Value,TOT,Total,69,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,JE_EMPL,Employment rate,L,Value,TOT,Total,62,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,JE_EMPL,Employment rate,L,Value,TOT,Total,75,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,JE_EMPL,Employment rate,L,Value,TOT,Total,48,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,JE_EMPL,Employment rate,L,Value,TOT,Total,75,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,JE_EMPL,Employment rate,L,Value,TOT,Total,67,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,JE_EMPL,Employment rate,L,Value,MN,Men,68,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,JE_EMPL,Employment rate,L,Value,MN,Men,80,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,JE_EMPL,Employment rate,L,Value,MN,Men,65,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,JE_EMPL,Employment rate,L,Value,MN,Men,67,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,JE_EMPL,Employment rate,L,Value,MN,Men,75,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,JE_EMPL,Employment rate,L,Value,MN,Men,82,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,JE_EMPL,Employment rate,L,Value,MN,Men,72,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,JE_EMPL,Employment rate,L,Value,MN,Men,67,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,JE_EMPL,Employment rate,L,Value,MN,Men,77,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,JE_EMPL,Employment rate,L,Value,MN,Men,65,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,JE_EMPL,Employment rate,L,Value,MN,Men,79,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,JE_EMPL,Employment rate,L,Value,MN,Men,72,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,JE_EMPL,Employment rate,L,Value,WMN,Women,62,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,JE_EMPL,Employment rate,L,Value,WMN,Women,73,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,JE_EMPL,Employment rate,L,Value,WMN,Women,47,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,JE_EMPL,Employment rate,L,Value,WMN,Women,49,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,JE_EMPL,Employment rate,L,Value,WMN,Women,57,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,JE_EMPL,Employment rate,L,Value,WMN,Women,74,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,JE_EMPL,Employment rate,L,Value,WMN,Women,67,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,JE_EMPL,Employment rate,L,Value,WMN,Women,57,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,JE_EMPL,Employment rate,L,Value,WMN,Women,74,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,JE_EMPL,Employment rate,L,Value,WMN,Women,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,JE_EMPL,Employment rate,L,Value,WMN,Women,72,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,JE_EMPL,Employment rate,L,Value,WMN,Women,62,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,2.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,1.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,10.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,4.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,0,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,0.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,2.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,3.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,0.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,0.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,1.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,8.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,4.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,0,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,0.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,2.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,4.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,2.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,1.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,0.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,2.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,13.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,5.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,0,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,2.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,6.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,4.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,0.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,0.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,SC_SNTWS,Quality of support network,L,Value,TOT,Total,94,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,SC_SNTWS,Quality of support network,L,Value,TOT,Total,90,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,SC_SNTWS,Quality of support network,L,Value,TOT,Total,78,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,SC_SNTWS,Quality of support network,L,Value,TOT,Total,89,,A,,PC,Percentage,0,Units,,
