country_iso3,section,item,period,year,quarter,value_million_escudos
PRT,Passivo,Total,Dez 1949,1949,Dez,14564.0
PRT,Passivo,Total,Dez 1950,1950,Dez,15735.0
PRT,Passivo,Total,Dez 1951,1951,Dez,18197.0
PRT,Passivo,Total,Dez 1952,1952,Dez,19045.0
PRT,Passivo,Total,Dez 1953,1953,Dez,20293.0
PRT,Passivo,Total,Dez 1954,1954,Dez,21596.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1955,1955,Dez,19056.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1956,1956,Dez,19701.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1957,1957,Dez,19707.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1958,1958,Dez,20082.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1959,1959,Dez,20638.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1960,1960,Dez,20593.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1961,1961,Dez,18254.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1962,1962,Dez,22948.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1963,1963,Dez,24118.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1955,1955,Dez,19305.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1956,1956,Dez,19916.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1957,1957,Dez,19740.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1958,1958,Dez,20372.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1959,1959,Dez,21068.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1960,1960,Dez,20648.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1961,1961,Dez,18520.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1962,1962,Dez,23207.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1963,1963,Dez,24220.0
PRT,Activo,Ouro,Dez 1955,1955,Dez,10610.0
PRT,Activo,Ouro,Dez 1956,1956,Dez,11125.0
PRT,Activo,Ouro,Dez 1957,1957,Dez,11442.0
PRT,Activo,Ouro,Dez 1958,1958,Dez,12233.0
PRT,Activo,Ouro,Dez 1959,1959,Dez,13590.0
PRT,Activo,Ouro,Dez 1960,1960,Dez,13690.0
PRT,Activo,Ouro,Dez 1961,1961,Dez,10998.0
PRT,Activo,Ouro,Dez 1962,1962,Dez,13539.0
PRT,Activo,Ouro,Dez 1963,1963,Dez,14295.0
PRT,Activo,Outras,Dez 1955,1955,Dez,8695.0
PRT,Activo,Outras,Dez 1956,1956,Dez,8791.0
PRT,Activo,Outras,Dez 1957,1957,Dez,8298.0
PRT,Activo,Outras,Dez 1958,1958,Dez,8139.0
PRT,Activo,Outras,Dez 1959,1959,Dez,7478.0
PRT,Activo,Outras,Dez 1960,1960,Dez,6958.0
PRT,Activo,Outras,Dez 1961,1961,Dez,7522.0
PRT,Activo,Outras,Dez 1962,1962,Dez,9668.0
PRT,Activo,Outras,Dez 1963,1963,Dez,9925.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1955,1955,Dez,249.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1956,1956,Dez,215.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1957,1957,Dez,33.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1958,1958,Dez,290.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1959,1959,Dez,430.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1960,1960,Dez,55.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1961,1961,Dez,266.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1962,1962,Dez,259.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1963,1963,Dez,102.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1955,1955,Dez,1914.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1956,1956,Dez,1923.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1957,1957,Dez,1908.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1958,1958,Dez,2313.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1959,1959,Dez,2306.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1960,1960,Dez,2404.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1961,1961,Dez,2614.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1962,1962,Dez,1752.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1963,1963,Dez,2623.0
PRT,Activo,Crédito,Dez 1955,1955,Dez,1343.0
PRT,Activo,Crédito,Dez 1956,1956,Dez,1354.0
PRT,Activo,Crédito,Dez 1957,1957,Dez,1363.0
PRT,Activo,Crédito,Dez 1958,1958,Dez,1384.0
PRT,Activo,Crédito,Dez 1959,1959,Dez,1396.0
PRT,Activo,Crédito,Dez 1960,1960,Dez,1415.0
PRT,Activo,Crédito,Dez 1961,1961,Dez,1418.0
PRT,Activo,Crédito,Dez 1962,1962,Dez,449.0
PRT,Activo,Crédito,Dez 1963,1963,Dez,922.0
PRT,Activo,Títulos de Dívida Pública,Dez 1955,1955,Dez,571.0
PRT,Activo,Títulos de Dívida Pública,Dez 1956,1956,Dez,569.0
PRT,Activo,Títulos de Dívida Pública,Dez 1957,1957,Dez,545.0
PRT,Activo,Títulos de Dívida Pública,Dez 1958,1958,Dez,929.0
PRT,Activo,Títulos de Dívida Pública,Dez 1959,1959,Dez,910.0
PRT,Activo,Títulos de Dívida Pública,Dez 1960,1960,Dez,989.0
PRT,Activo,Títulos de Dívida Pública,Dez 1961,1961,Dez,1196.0
PRT,Activo,Títulos de Dívida Pública,Dez 1962,1962,Dez,1303.0
PRT,Activo,Títulos de Dívida Pública,Dez 1963,1963,Dez,1701.0
PRT,Activo,Crédito a instituições financeiras,Dez 1955,1955,Dez,459.0
PRT,Activo,Crédito a instituições financeiras,Dez 1956,1956,Dez,805.0
PRT,Activo,Crédito a instituições financeiras,Dez 1957,1957,Dez,1604.0
PRT,Activo,Crédito a instituições financeiras,Dez 1958,1958,Dez,1775.0
PRT,Activo,Crédito a instituições financeiras,Dez 1959,1959,Dez,1821.0
PRT,Activo,Crédito a instituições financeiras,Dez 1960,1960,Dez,2588.0
PRT,Activo,Crédito a instituições financeiras,Dez 1961,1961,Dez,4468.0
PRT,Activo,Crédito a instituições financeiras,Dez 1962,1962,Dez,3728.0
PRT,Activo,Crédito a instituições financeiras,Dez 1963,1963,Dez,4022.0
PRT,Activo,Crédito a empresas e particulares,Dez 1955,1955,Dez,628.0
PRT,Activo,Crédito a empresas e particulares,Dez 1956,1956,Dez,711.0
PRT,Activo,Crédito a empresas e particulares,Dez 1957,1957,Dez,620.0
PRT,Activo,Crédito a empresas e particulares,Dez 1958,1958,Dez,591.0
PRT,Activo,Crédito a empresas e particulares,Dez 1959,1959,Dez,712.0
PRT,Activo,Crédito a empresas e particulares,Dez 1960,1960,Dez,830.0
PRT,Activo,Crédito a empresas e particulares,Dez 1961,1961,Dez,1022.0
PRT,Activo,Crédito a empresas e particulares,Dez 1962,1962,Dez,1119.0
PRT,Activo,Crédito a empresas e particulares,Dez 1963,1963,Dez,1145.0
PRT,Activo,Total,Dez 1955,1955,Dez,22057.0
PRT,Activo,Total,Dez 1956,1956,Dez,23140.0
PRT,Activo,Total,Dez 1957,1957,Dez,23839.0
PRT,Activo,Total,Dez 1958,1958,Dez,24761.0
PRT,Activo,Total,Dez 1959,1959,Dez,25477.0
PRT,Activo,Total,Dez 1960,1960,Dez,26415.0
PRT,Activo,Total,Dez 1961,1961,Dez,26358.0
PRT,Activo,Total,Dez 1962,1962,Dez,29547.0
PRT,Activo,Total,Dez 1963,1963,Dez,31908.0
PRT,Passivo,Base monetária,Dez 1955,1955,Dez,18897.0
PRT,Passivo,Base monetária,Dez 1956,1956,Dez,19924.0
PRT,Passivo,Base monetária,Dez 1957,1957,Dez,20212.0
PRT,Passivo,Base monetária,Dez 1958,1958,Dez,21028.0
PRT,Passivo,Base monetária,Dez 1959,1959,Dez,21843.0
PRT,Passivo,Base monetária,Dez 1960,1960,Dez,22252.0
PRT,Passivo,Base monetária,Dez 1961,1961,Dez,22655.0
PRT,Passivo,Base monetária,Dez 1962,1962,Dez,23957.0
PRT,Passivo,Base monetária,Dez 1963,1963,Dez,25487.0
PRT,Passivo,Notas e moedas,Dez 1955,1955,Dez,11423.0
PRT,Passivo,Notas e moedas,Dez 1956,1956,Dez,11997.0
PRT,Passivo,Notas e moedas,Dez 1957,1957,Dez,12738.0
PRT,Passivo,Notas e moedas,Dez 1958,1958,Dez,13386.0
PRT,Passivo,Notas e moedas,Dez 1959,1959,Dez,14288.0
PRT,Passivo,Notas e moedas,Dez 1960,1960,Dez,15213.0
PRT,Passivo,Notas e moedas,Dez 1961,1961,Dez,17547.0
PRT,Passivo,Notas e moedas,Dez 1962,1962,Dez,18325.0
PRT,Passivo,Notas e moedas,Dez 1963,1963,Dez,19798.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1955,1955,Dez,7474.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1956,1956,Dez,7927.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1957,1957,Dez,7474.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1958,1958,Dez,7642.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1959,1959,Dez,7555.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1960,1960,Dez,7039.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1961,1961,Dez,5108.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1962,1962,Dez,5632.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1963,1963,Dez,5689.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1955,1955,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1956,1956,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1957,1957,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1958,1958,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1959,1959,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1960,1960,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1961,1961,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1962,1962,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1963,1963,Dez,0.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1955,1955,Dez,1608.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1956,1956,Dez,1559.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1957,1957,Dez,1729.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1958,1958,Dez,2149.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1959,1959,Dez,1875.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1960,1960,Dez,2392.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1961,1961,Dez,1592.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1962,1962,Dez,2136.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1963,1963,Dez,2978.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1955,1955,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1956,1956,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1957,1957,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1958,1958,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1959,1959,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1960,1960,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1961,1961,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1962,1962,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1963,1963,Dez,0.0
PRT,Passivo,Recursos próprios e resultados,Dez 1955,1955,Dez,1917.0
PRT,Passivo,Recursos próprios e resultados,Dez 1956,1956,Dez,1986.0
PRT,Passivo,Recursos próprios e resultados,Dez 1957,1957,Dez,2047.0
PRT,Passivo,Recursos próprios e resultados,Dez 1958,1958,Dez,2116.0
PRT,Passivo,Recursos próprios e resultados,Dez 1959,1959,Dez,2199.0
PRT,Passivo,Recursos próprios e resultados,Dez 1960,1960,Dez,2279.0
PRT,Passivo,Recursos próprios e resultados,Dez 1961,1961,Dez,2389.0
PRT,Passivo,Recursos próprios e resultados,Dez 1962,1962,Dez,2724.0
PRT,Passivo,Recursos próprios e resultados,Dez 1963,1963,Dez,3022.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1955,1955,Dez,-365.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1956,1956,Dez,-329.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1957,1957,Dez,-149.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1958,1958,Dez,-532.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1959,1959,Dez,-440.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1960,1960,Dez,-508.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1961,1961,Dez,-278.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1962,1962,Dez,730.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1963,1963,Dez,421.0
PRT,Passivo,Total,Dez 1955,1955,Dez,22057.0
PRT,Passivo,Total,Dez 1956,1956,Dez,23140.0
PRT,Passivo,Total,Dez 1957,1957,Dez,23839.0
PRT,Passivo,Total,Dez 1958,1958,Dez,24761.0
PRT,Passivo,Total,Dez 1959,1959,Dez,25477.0
PRT,Passivo,Total,Dez 1960,1960,Dez,26415.0
PRT,Passivo,Total,Dez 1961,1961,Dez,26358.0
PRT,Passivo,Total,Dez 1962,1962,Dez,29547.0
PRT,Passivo,Total,Dez 1963,1963,Dez,31908.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1964,1964,Dez,27255.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1965,1965,Dez,28812.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Mar 1966,1966,Mar,28622.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Jun 1966,1966,Jun,28583.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Set 1966,1966,Set,29998.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1966,1966,Dez,31995.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Mar 1967,1967,Mar,31457.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Jun 1967,1967,Jun,32253.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Set 1967,1967,Set,34082.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1964,1964,Dez,27450.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1965,1965,Dez,29000.0
PRT,Activo,Disponibilidades sobre o exterior,Mar 1966,1966,Mar,28809.0
PRT,Activo,Disponibilidades sobre o exterior,Jun 1966,1966,Jun,28787.0
PRT,Activo,Disponibilidades sobre o exterior,Set 1966,1966,Set,30150.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1966,1966,Dez,32258.0
PRT,Activo,Disponibilidades sobre o exterior,Mar 1967,1967,Mar,31694.0
