country_iso3,country_name,year,category,metric,metric_label,value,value_raw_text,unit,estimate_flag
TUR,Türkiye,2024,fleet,fleet_national_flag_ships,"fleet size, national-flag registry (ship count)",1208.0,1 208 ships,ships,
TUR,Türkiye,2024,fleet,fleet_ownership_dwt,"fleet size, national ownership regardless of flag (deadweight tonnage)",47890.0,47 890 Thousands DWT,thousand DWT,
TUR,Türkiye,2024,maritime_key_figures,coast_area_ratio,Coast/area ratio,10.6,10.6 m/km²,m per km2,
TUR,Türkiye,2024,maritime_key_figures,ship_building,Ship building,83437.0,83 437 GT,GT,
TUR,Türkiye,2024,maritime_key_figures,ship_recycling,Ship recycling,469563.0,469 563 GT,GT,
TUR,Türkiye,2024,maritime_key_figures,container_port_throughput,Container port throughput,12554581.0,12 554 581 TEU,TEU,
TUR,Türkiye,2024,maritime_key_figures,number_of_seafarers,Number of seafarers,28587.0,(m) 28 587,persons,modeled ILO estimate
TUR,Türkiye,2024,maritime_key_figures,number_of_port_calls,Number of port calls,184015.0,184 015,count,
ARG,Argentina,2024,general,population,Population,45.696,45.696 Millions,millions,
ARG,Argentina,2024,general,gdp_current_usd,GDP,633261.0,633 261 Millions current US$,millions current US$,
ARG,Argentina,2024,general,merchandise_trade,Merchandise trade,140479.0,140 479 Millions current US$,millions current US$,
ARG,Argentina,2024,general,land_area,Land area,2736690.0,(p) 2 736 690 Km²,km2,provisional
ARG,Argentina,2024,general,gdp_growth,GDP growth,-1.72,-1.72 %,%,
ARG,Argentina,2024,general,transport_services_trade,Transport services trade,39721.0,39 721 Millions current US$,millions current US$,
ARG,Argentina,2024,fleet,fleet_national_flag_dwt,"fleet size, national-flag registry (deadweight tonnage)",880.0,880 Thousands DWT,thousand DWT,
ARG,Argentina,2024,fleet,fleet_national_flag_ships,"fleet size, national-flag registry (ship count)",199.0,199 ships,ships,
ARG,Argentina,2024,fleet,fleet_ownership_dwt,"fleet size, national ownership regardless of flag (deadweight tonnage)",1511.0,1 511 Thousands DWT,thousand DWT,
ARG,Argentina,2024,maritime_key_figures,coast_area_ratio,Coast/area ratio,3.1,3.1 m/km²,m per km2,
ARG,Argentina,2024,maritime_key_figures,ship_building,Ship building,0.0,0.000 GT,GT,
ARG,Argentina,2024,maritime_key_figures,ship_recycling,Ship recycling,,..,GT,
ARG,Argentina,2024,maritime_key_figures,container_port_throughput,Container port throughput,1490437.0,1 490 437 TEU,TEU,
ARG,Argentina,2024,maritime_key_figures,number_of_seafarers,Number of seafarers,2222.0,(m) 2 222,persons,modeled ILO estimate
ARG,Argentina,2024,maritime_key_figures,number_of_port_calls,Number of port calls,,-,count,
SAU,Saudi Arabia,2024,general,population,Population,33.963,33.963 Millions,millions,
SAU,Saudi Arabia,2024,general,gdp_current_usd,GDP,1085294.0,1 085 294 Millions current US$,millions current US$,
SAU,Saudi Arabia,2024,general,merchandise_trade,Merchandise trade,538306.0,538 306 Millions current US$,millions current US$,
SAU,Saudi Arabia,2024,general,land_area,Land area,2149690.0,(p) 2 149 690 Km²,km2,provisional
SAU,Saudi Arabia,2024,general,gdp_growth,GDP growth,1.3,1.30 %,%,
SAU,Saudi Arabia,2024,general,transport_services_trade,Transport services trade,156942.0,156 942 Millions current US$,millions current US$,
SAU,Saudi Arabia,2024,fleet,fleet_national_flag_dwt,"fleet size, national-flag registry (deadweight tonnage)",14132.0,14 132 Thousands DWT,thousand DWT,
SAU,Saudi Arabia,2024,fleet,fleet_national_flag_ships,"fleet size, national-flag registry (ship count)",444.0,444 ships,ships,
SAU,Saudi Arabia,2024,fleet,fleet_ownership_dwt,"fleet size, national ownership regardless of flag (deadweight tonnage)",16577.0,16 577 Thousands DWT,thousand DWT,
SAU,Saudi Arabia,2024,maritime_key_figures,coast_area_ratio,Coast/area ratio,3.5,3.5 m/km²,m per km2,
SAU,Saudi Arabia,2024,maritime_key_figures,ship_building,Ship building,1493.0,1 493 GT,GT,
SAU,Saudi Arabia,2024,maritime_key_figures,ship_recycling,Ship recycling,,..,GT,
SAU,Saudi Arabia,2024,maritime_key_figures,container_port_throughput,Container port throughput,11379951.0,11 379 951 TEU,TEU,
SAU,Saudi Arabia,2024,maritime_key_figures,number_of_seafarers,Number of seafarers,6456.0,(m) 6 456,persons,modeled ILO estimate
SAU,Saudi Arabia,2024,maritime_key_figures,number_of_port_calls,Number of port calls,,-,count,
RUS,Russian Federation,2024,general,population,Population,144.82,144.820 Millions,millions,
RUS,Russian Federation,2024,general,gdp_current_usd,GDP,2091563.0,2 091 563 Millions current US$,millions current US$,
RUS,Russian Federation,2024,general,merchandise_trade,Merchandise trade,733216.0,733 216 Millions current US$,millions current US$,
RUS,Russian Federation,2024,general,land_area,Land area,16376870.0,(p) 16 376 870 Km²,km2,provisional
RUS,Russian Federation,2024,general,gdp_growth,GDP growth,3.9,3.90 %,%,
RUS,Russian Federation,2024,general,transport_services_trade,Transport services trade,123512.0,123 512 Millions current US$,millions current US$,
RUS,Russian Federation,2024,fleet,fleet_national_flag_dwt,"fleet size, national-flag registry (deadweight tonnage)",12087.0,12 087 Thousands DWT,thousand DWT,
RUS,Russian Federation,2024,fleet,fleet_national_flag_ships,"fleet size, national-flag registry (ship count)",2935.0,2 935 ships,ships,
RUS,Russian Federation,2024,fleet,fleet_ownership_dwt,"fleet size, national ownership regardless of flag (deadweight tonnage)",22069.0,22 069 Thousands DWT,thousand DWT,
RUS,Russian Federation,2024,maritime_key_figures,coast_area_ratio,Coast/area ratio,6.7,6.7 m/km²,m per km2,
RUS,Russian Federation,2024,maritime_key_figures,ship_building,Ship building,97695.0,97 695 GT,GT,
RUS,Russian Federation,2024,maritime_key_figures,ship_recycling,Ship recycling,14058.0,14 058 GT,GT,
RUS,Russian Federation,2024,maritime_key_figures,container_port_throughput,Container port throughput,4586171.0,4 586 171 TEU,TEU,
RUS,Russian Federation,2024,maritime_key_figures,number_of_seafarers,Number of seafarers,198123.0,(l) 198 123,persons,modeled ILO estimate
RUS,Russian Federation,2024,maritime_key_figures,number_of_port_calls,Number of port calls,61175.0,61 175,count,
KOR,Republic of Korea,2024,general,population,Population,51.718,51.718 Millions,millions,
KOR,Republic of Korea,2024,general,gdp_current_usd,GDP,1869219.0,1 869 219 Millions current US$,millions current US$,
KOR,Republic of Korea,2024,general,merchandise_trade,Merchandise trade,1315377.0,1 315 377 Millions current US$,millions current US$,
KOR,Republic of Korea,2024,general,land_area,Land area,97600.0,(p) 97 600 Km²,km2,provisional
KOR,Republic of Korea,2024,general,gdp_growth,GDP growth,2.0,2.00 %,%,
KOR,Republic of Korea,2024,general,transport_services_trade,Transport services trade,301607.0,301 607 Millions current US$,millions current US$,
KOR,Republic of Korea,2024,fleet,fleet_national_flag_dwt,"fleet size, national-flag registry (deadweight tonnage)",21192.0,21 192 Thousands DWT,thousand DWT,
KOR,Republic of Korea,2024,fleet,fleet_national_flag_ships,"fleet size, national-flag registry (ship count)",2161.0,2 161 ships,ships,
KOR,Republic of Korea,2024,fleet,fleet_ownership_dwt,"fleet size, national ownership regardless of flag (deadweight tonnage)",97098.0,97 098 Thousands DWT,thousand DWT,
KOR,Republic of Korea,2024,maritime_key_figures,coast_area_ratio,Coast/area ratio,127.8,127.8 m/km²,m per km2,
KOR,Republic of Korea,2024,maritime_key_figures,ship_building,Ship building,20090872.0,20 090 872 GT,GT,
KOR,Republic of Korea,2024,maritime_key_figures,ship_recycling,Ship recycling,0.0,0.000 GT,GT,
KOR,Republic of Korea,2024,maritime_key_figures,container_port_throughput,Container port throughput,30003141.0,30 003 141 TEU,TEU,
KOR,Republic of Korea,2024,maritime_key_figures,number_of_seafarers,Number of seafarers,27919.0,(m) 27 919,persons,modeled ILO estimate
KOR,Republic of Korea,2024,maritime_key_figures,number_of_port_calls,Number of port calls,105500.0,105 500,count,
