year,metric,value,unit,source,notes
1956,Sugar-mill milling season (high end of range),164,days,"Encyclopaedia Iranica, SUGAR, citing Agah 1958, pp.230-31","Same typo-corrected year as the row above; longer/more efficient milling season than 1936-37, consistent with the narrative of gradual efficiency improvement."
1975,Haft Tepe state sugar-cane mill capacity,3000,tons/day,"Encyclopaedia Iranica, SUGAR, citing Aresvik 1976, pp.75-76","Khuzestan; beet sugar still represented 90% of total Iranian sugar production even after this cane-sugar mill came online."
1970,Annual sugar consumption,650000,tons,"Encyclopaedia Iranica, SUGAR, narrative text","Baseline for the 1970s consumption-growth trend described in the row below."
1980,Annual sugar consumption,1100000,tons,"Encyclopaedia Iranica, SUGAR, narrative text","Up from 650,000 tons in 1970; per-capita consumption reached almost 30 kg/year by this point, driven by population and income growth."
1998,Sugar beet production,5500000,tons,"Encyclopaedia Iranica, SUGAR, narrative text (citing Iranian Information Centre of Food and Agriculture Trade)","Mainly in Kermanshah and Fars provinces. Compare to FAOSTAT's own Iran sugar-beet production series (data/processed/agriculture_qcl_production.csv), which independently covers this same year -- included here for completeness of the narrative source, not because FAOSTAT lacks it."
1998,Number of sugar mills,25,mills,"Encyclopaedia Iranica, SUGAR, narrative text","Combined output 750,000 tons of beet sugar (see next row)."
1998,Beet sugar output,750000,tons,"Encyclopaedia Iranica, SUGAR, narrative text","From the 25 mills in the row above."
2000,Additional beet-sugar milling capacity added,140000,tons,"Encyclopaedia Iranica, SUGAR, narrative text","Five new mills added since 1998."
2000,Total sugar output,920000,tons,"Encyclopaedia Iranica, SUGAR, citing International Sugar Organization (ISO), which Iran joined April 2002","Iran ranked 7th largest beet-sugar producer globally per ISO."
2000,Raw sugar imports,650000,tons,"Encyclopaedia Iranica, SUGAR, citing ISO","Same year as total-output row above."
2000,White sugar imports,240000,tons,"Encyclopaedia Iranica, SUGAR, citing ISO","Same year as total-output row above; despite large domestic production Iran remained a substantial net importer in both raw and refined sugar."
