country_iso3,series_type,section,period,metric,value,base_period
SAU,monthly_general_index_yoy_pct_change,General Index,2025-10,yoy_pct_change,2.2,
SAU,monthly_general_index_yoy_pct_change,General Index,2025-11,yoy_pct_change,1.9,
SAU,monthly_general_index_yoy_pct_change,General Index,2025-12,yoy_pct_change,2.1,
SAU,monthly_general_index_yoy_pct_change,General Index,2026-01,yoy_pct_change,1.8,
SAU,monthly_general_index_yoy_pct_change,General Index,2026-02,yoy_pct_change,1.7,
SAU,monthly_general_index_yoy_pct_change,General Index,2026-03,yoy_pct_change,1.8,
SAU,monthly_general_index_yoy_pct_change,General Index,2026-04,yoy_pct_change,1.7,
SAU,monthly_general_index_yoy_pct_change,General Index,2026-05,yoy_pct_change,1.8,
SAU,division_yoy_pct_change_may2026,"Personal care, social protection and other goods and services",2026-05,yoy_pct_change,5.6,
SAU,division_yoy_pct_change_may2026,"Housing, water, electricity, gas and other fuels",2026-05,yoy_pct_change,3.7,
SAU,division_yoy_pct_change_may2026,"Recreation, sport and culture",2026-05,yoy_pct_change,2.6,
SAU,division_yoy_pct_change_may2026,Insurance and financial services,2026-05,yoy_pct_change,2.2,
SAU,division_yoy_pct_change_may2026,Restaurants and accommodation services,2026-05,yoy_pct_change,1.7,
SAU,division_yoy_pct_change_may2026,Transport,2026-05,yoy_pct_change,1.5,
SAU,division_yoy_pct_change_may2026,Education services,2026-05,yoy_pct_change,1.4,
SAU,division_yoy_pct_change_may2026,Food and beverages,2026-05,yoy_pct_change,0.7,
SAU,division_yoy_pct_change_may2026,Information and communication,2026-05,yoy_pct_change,0.6,
SAU,division_yoy_pct_change_may2026,Tobacco,2026-05,yoy_pct_change,0.4,
SAU,division_yoy_pct_change_may2026,Health,2026-05,yoy_pct_change,0.2,
SAU,division_yoy_pct_change_may2026,Clothing and footwear,2026-05,yoy_pct_change,-0.1,
SAU,division_yoy_pct_change_may2026,"Furnishings, household equipment and periodic maintenance",2026-05,yoy_pct_change,-0.5,
