country_iso3,source_table,table_title,code,indicator,unit,year,value
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,05,Mining of coal and lignite,SAR million,2018,12
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,05,Mining of coal and lignite,SAR million,2019,14
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,05,Mining of coal and lignite,SAR million,2020,14
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,05,Mining of coal and lignite,SAR million,2021,15
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,05,Mining of coal and lignite,SAR million,2022,15
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,05,Mining of coal and lignite,SAR million,2023,17
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,05,Mining of coal and lignite,SAR million,2024,17
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,06,Extraction of crude petroleum and natural gas,SAR million,2018,967887
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,06,Extraction of crude petroleum and natural gas,SAR million,2019,834516
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,06,Extraction of crude petroleum and natural gas,SAR million,2020,461895
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,06,Extraction of crude petroleum and natural gas,SAR million,2021,884412
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,06,Extraction of crude petroleum and natural gas,SAR million,2022,1387459
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,06,Extraction of crude petroleum and natural gas,SAR million,2023,1028626
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,06,Extraction of crude petroleum and natural gas,SAR million,2024,911641
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,07,Mining of metal ores,SAR million,2018,2521
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,07,Mining of metal ores,SAR million,2019,2767
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,07,Mining of metal ores,SAR million,2020,2934
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,07,Mining of metal ores,SAR million,2021,3389
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,07,Mining of metal ores,SAR million,2022,3476
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,07,Mining of metal ores,SAR million,2023,3989
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,07,Mining of metal ores,SAR million,2024,4249
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,08,Other mining and quarrying activities,SAR million,2018,7616
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,08,Other mining and quarrying activities,SAR million,2019,8561
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,08,Other mining and quarrying activities,SAR million,2020,8728
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,08,Other mining and quarrying activities,SAR million,2021,9201
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,08,Other mining and quarrying activities,SAR million,2022,9539
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,08,Other mining and quarrying activities,SAR million,2023,10133
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,08,Other mining and quarrying activities,SAR million,2024,11027
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,09,Mining support service activities,SAR million,2018,3098
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,09,Mining support service activities,SAR million,2019,3433
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,09,Mining support service activities,SAR million,2020,3565
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,09,Mining support service activities,SAR million,2021,3656
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,09,Mining support service activities,SAR million,2022,3898
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,09,Mining support service activities,SAR million,2023,4362
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,09,Mining support service activities,SAR million,2024,4726
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,C,Manufacturing,SAR million,2018,419622
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,C,Manufacturing,SAR million,2019,428972
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,C,Manufacturing,SAR million,2020,385497
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,C,Manufacturing,SAR million,2021,521034
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,C,Manufacturing,SAR million,2022,702350
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,C,Manufacturing,SAR million,2023,726201
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,C,Manufacturing,SAR million,2024,757390
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,10,Manufacture of food products,SAR million,2018,58886
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,10,Manufacture of food products,SAR million,2019,66981
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,10,Manufacture of food products,SAR million,2020,65865
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,10,Manufacture of food products,SAR million,2021,70553
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,10,Manufacture of food products,SAR million,2022,83262
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,10,Manufacture of food products,SAR million,2023,93562
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,10,Manufacture of food products,SAR million,2024,98210
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,11,Manufacture of beverages,SAR million,2018,5537
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,11,Manufacture of beverages,SAR million,2019,6318
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,11,Manufacture of beverages,SAR million,2020,6362
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,11,Manufacture of beverages,SAR million,2021,6428
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,11,Manufacture of beverages,SAR million,2022,7187
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,11,Manufacture of beverages,SAR million,2023,8648
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,11,Manufacture of beverages,SAR million,2024,9190
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,13,Manufacture of textiles,SAR million,2018,8541
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,13,Manufacture of textiles,SAR million,2019,9660
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,13,Manufacture of textiles,SAR million,2020,9440
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,13,Manufacture of textiles,SAR million,2021,10202
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,13,Manufacture of textiles,SAR million,2022,11257
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,13,Manufacture of textiles,SAR million,2023,12528
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,13,Manufacture of textiles,SAR million,2024,13085
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,14,Manufacture of wearing apparel,SAR million,2018,4657
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,14,Manufacture of wearing apparel,SAR million,2019,5413
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,14,Manufacture of wearing apparel,SAR million,2020,5377
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,14,Manufacture of wearing apparel,SAR million,2021,6288
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,14,Manufacture of wearing apparel,SAR million,2022,7786
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,14,Manufacture of wearing apparel,SAR million,2023,10604
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,14,Manufacture of wearing apparel,SAR million,2024,11599
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,15,Manufacture of leather and related products,SAR million,2018,674
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,15,Manufacture of leather and related products,SAR million,2019,707
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,15,Manufacture of leather and related products,SAR million,2020,689
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,15,Manufacture of leather and related products,SAR million,2021,706
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,15,Manufacture of leather and related products,SAR million,2022,780
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,15,Manufacture of leather and related products,SAR million,2023,921
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,15,Manufacture of leather and related products,SAR million,2024,939
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,16,"Manufacture of woods, wood products and cork except furniture",SAR million,2018,3249
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,16,"Manufacture of woods, wood products and cork except furniture",SAR million,2019,4082
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,16,"Manufacture of woods, wood products and cork except furniture",SAR million,2020,3882
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,16,"Manufacture of woods, wood products and cork except furniture",SAR million,2021,4985
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,16,"Manufacture of woods, wood products and cork except furniture",SAR million,2022,5830
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,16,"Manufacture of woods, wood products and cork except furniture",SAR million,2023,6700
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,16,"Manufacture of woods, wood products and cork except furniture",SAR million,2024,7147
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,17,Manufacture of paper and paper products,SAR million,2018,9349
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,17,Manufacture of paper and paper products,SAR million,2019,10378
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,17,Manufacture of paper and paper products,SAR million,2020,10317
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,17,Manufacture of paper and paper products,SAR million,2021,11872
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,17,Manufacture of paper and paper products,SAR million,2022,13573
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,17,Manufacture of paper and paper products,SAR million,2023,15895
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,17,Manufacture of paper and paper products,SAR million,2024,16331
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,18,Printing and reproduction of recorded media,SAR million,2018,2466
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,18,Printing and reproduction of recorded media,SAR million,2019,2871
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,18,Printing and reproduction of recorded media,SAR million,2020,2891
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,18,Printing and reproduction of recorded media,SAR million,2021,3544
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,18,Printing and reproduction of recorded media,SAR million,2022,4675
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,18,Printing and reproduction of recorded media,SAR million,2023,5946
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,18,Printing and reproduction of recorded media,SAR million,2024,6060
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,19,Manufacture of coke and refined petroleum products,SAR million,2018,119340
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,19,Manufacture of coke and refined petroleum products,SAR million,2019,106742
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,19,Manufacture of coke and refined petroleum products,SAR million,2020,72504
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,19,Manufacture of coke and refined petroleum products,SAR million,2021,149273
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,19,Manufacture of coke and refined petroleum products,SAR million,2022,256734
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,19,Manufacture of coke and refined petroleum products,SAR million,2023,250707
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,19,Manufacture of coke and refined petroleum products,SAR million,2024,246479
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,20,Manufacture of chemicals and chemical products,SAR million,2018,107339
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,20,Manufacture of chemicals and chemical products,SAR million,2019,104121
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,20,Manufacture of chemicals and chemical products,SAR million,2020,98045
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,20,Manufacture of chemicals and chemical products,SAR million,2021,133040
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,20,Manufacture of chemicals and chemical products,SAR million,2022,160263
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,20,Manufacture of chemicals and chemical products,SAR million,2023,153917
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,20,Manufacture of chemicals and chemical products,SAR million,2024,168786
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,SAR million,2018,1219
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,SAR million,2019,1387
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,SAR million,2020,1958
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,SAR million,2021,2636
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,SAR million,2022,2993
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,SAR million,2023,3482
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,SAR million,2024,4042
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,22,Manufacture of rubber and plastics products,SAR million,2018,10425
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,22,Manufacture of rubber and plastics products,SAR million,2019,11447
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,22,Manufacture of rubber and plastics products,SAR million,2020,11493
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,22,Manufacture of rubber and plastics products,SAR million,2021,14192
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,22,Manufacture of rubber and plastics products,SAR million,2022,16377
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,22,Manufacture of rubber and plastics products,SAR million,2023,18547
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,22,Manufacture of rubber and plastics products,SAR million,2024,19666
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,23,Manufacture of other non-metallic mineral products,SAR million,2018,19917
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,23,Manufacture of other non-metallic mineral products,SAR million,2019,23565
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,23,Manufacture of other non-metallic mineral products,SAR million,2020,23395
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,23,Manufacture of other non-metallic mineral products,SAR million,2021,25742
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,23,Manufacture of other non-metallic mineral products,SAR million,2022,33111
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,23,Manufacture of other non-metallic mineral products,SAR million,2023,33059
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,23,Manufacture of other non-metallic mineral products,SAR million,2024,36106
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,24,Manufacture of basic metals,SAR million,2018,16473
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,24,Manufacture of basic metals,SAR million,2019,18107
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,24,Manufacture of basic metals,SAR million,2020,18317
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,24,Manufacture of basic metals,SAR million,2021,19424
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,24,Manufacture of basic metals,SAR million,2022,20985
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,24,Manufacture of basic metals,SAR million,2023,22876
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,24,Manufacture of basic metals,SAR million,2024,25113
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,25,"Manufacture of fabricated metal products, except machinery and equipment",SAR million,2018,14533
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,25,"Manufacture of fabricated metal products, except machinery and equipment",SAR million,2019,15898
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,25,"Manufacture of fabricated metal products, except machinery and equipment",SAR million,2020,15941
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,25,"Manufacture of fabricated metal products, except machinery and equipment",SAR million,2021,17477
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,25,"Manufacture of fabricated metal products, except machinery and equipment",SAR million,2022,21934
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,25,"Manufacture of fabricated metal products, except machinery and equipment",SAR million,2023,24717
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,25,"Manufacture of fabricated metal products, except machinery and equipment",SAR million,2024,26211
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,26,"Manufacture of computer, electronic and optical products",SAR million,2018,582
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,26,"Manufacture of computer, electronic and optical products",SAR million,2019,654
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,26,"Manufacture of computer, electronic and optical products",SAR million,2020,667
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,26,"Manufacture of computer, electronic and optical products",SAR million,2021,725
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,26,"Manufacture of computer, electronic and optical products",SAR million,2022,890
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,26,"Manufacture of computer, electronic and optical products",SAR million,2023,1008
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,26,"Manufacture of computer, electronic and optical products",SAR million,2024,1083
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,27,Manufacture of electrical equipment,SAR million,2018,11270
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,27,Manufacture of electrical equipment,SAR million,2019,12352
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,27,Manufacture of electrical equipment,SAR million,2020,12479
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,27,Manufacture of electrical equipment,SAR million,2021,12969
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,27,Manufacture of electrical equipment,SAR million,2022,15374
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,27,Manufacture of electrical equipment,SAR million,2023,17588
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,27,Manufacture of electrical equipment,SAR million,2024,19064
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,28,Manufacture of machinery and equipment n.e.c.,SAR million,2018,4617
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,28,Manufacture of machinery and equipment n.e.c.,SAR million,2019,5069
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,28,Manufacture of machinery and equipment n.e.c.,SAR million,2020,5060
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,28,Manufacture of machinery and equipment n.e.c.,SAR million,2021,5523
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,28,Manufacture of machinery and equipment n.e.c.,SAR million,2022,7041
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,28,Manufacture of machinery and equipment n.e.c.,SAR million,2023,8187
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,28,Manufacture of machinery and equipment n.e.c.,SAR million,2024,8449
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,29,"Manufacture of motor vehicles, trailers and semi-trailers",SAR million,2018,3066
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,29,"Manufacture of motor vehicles, trailers and semi-trailers",SAR million,2019,3976
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,29,"Manufacture of motor vehicles, trailers and semi-trailers",SAR million,2020,3079
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,29,"Manufacture of motor vehicles, trailers and semi-trailers",SAR million,2021,3665
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,29,"Manufacture of motor vehicles, trailers and semi-trailers",SAR million,2022,4161
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,29,"Manufacture of motor vehicles, trailers and semi-trailers",SAR million,2023,4555
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,29,"Manufacture of motor vehicles, trailers and semi-trailers",SAR million,2024,4781
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,30,Manufacture of other transport equipment,SAR million,2018,1669
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,30,Manufacture of other transport equipment,SAR million,2019,1866
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,30,Manufacture of other transport equipment,SAR million,2020,1523
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,30,Manufacture of other transport equipment,SAR million,2021,1813
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,30,Manufacture of other transport equipment,SAR million,2022,2088
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,30,Manufacture of other transport equipment,SAR million,2023,2507
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,30,Manufacture of other transport equipment,SAR million,2024,2680
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,31,Manufacture of furniture,SAR million,2018,6306
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,31,Manufacture of furniture,SAR million,2019,6921
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,31,Manufacture of furniture,SAR million,2020,5818
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,31,Manufacture of furniture,SAR million,2021,7973
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,31,Manufacture of furniture,SAR million,2022,10465
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,31,Manufacture of furniture,SAR million,2023,12164
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,31,Manufacture of furniture,SAR million,2024,12953
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,32,Other manufacturing,SAR million,2018,2606
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,32,Other manufacturing,SAR million,2019,2927
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,32,Other manufacturing,SAR million,2020,2987
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,32,Other manufacturing,SAR million,2021,3245
