year_or_period,metric,value,unit,cited_source
1966,Tehran persons per household,4.87,persons,"WB 1971_cep_vol7_statistical_annex.pdf, Table 1.3"
1966,Population in cities of 100000+ (excluding Tehran and Tehran itself combined -- see notes),5.67,million,"WB 1971_cep_vol7_statistical_annex.pdf, Table 1.3"
1966,Population in cities 25000-100000,2.12,million,"WB 1971_cep_vol7_statistical_annex.pdf, Table 1.3"
1966,Population in settlements under 5000 (rural),15.36,million,"WB 1971_cep_vol7_statistical_annex.pdf, Table 1.3"
1972,Total population (intercensal estimate),31.169,million,"WB 1971_cep_vol7_statistical_annex.pdf, Table 1.2 (source: Plan Organization)"
1982,Total population (Plan Organization projection made ~1971; NOTE cross-checks closely with the 41 million figure in vol3 para 37),~41.3,million,"WB 1971_cep_vol7_statistical_annex.pdf, Table 1.2"
1956-1966,"1956 census population non-enumerated (SCI's own official adjustment factor -- NOTE this is markedly lower than Bharier 1968's independent academic estimate of 7.5% for 1956, cited in Encyclopaedia Iranica DEMOGRAPHY article; recorded as a range per project bias-policy on contested estimates)",~2,percent of enumerated population,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Technical Note on Population and Manpower Statistics (p.1-2)"
1966,"1966 census population non-enumerated (SCI's own official adjustment factor -- NOTE Bharier 1968 independently estimated 5.0% for 1966, see Iranica DEMOGRAPHY citation)",~1,percent of enumerated population,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Technical Note on Population and Manpower Statistics (p.1-2)"
1966-1972,Intercensal urban population growth rate (used by SCI/PBO for annual estimates),5.1,percent/year,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Technical Note on Population and Manpower Statistics (p.1-2)"
1966-1972,Intercensal rural population growth rate (used by SCI/PBO for annual estimates),2.1,percent/year,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Technical Note on Population and Manpower Statistics (p.1-2)"
1956,Total population (Table 1.4 Demographic Data series; source Plan and Budget Organization; matches UN Demographic Yearbook census figure of 18954704 almost exactly),18955,thousand,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1962,Total population (PBO intercensal estimate),22976,thousand,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1967,Total population (PBO intercensal estimate),26872,thousand,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1972,Total population (PBO intercensal estimate),31169,thousand,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1956,Urban share of population (PBO series),31.4,percent,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1962,Urban share of population (PBO series),35.2,percent,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1967,Urban share of population (PBO series),38.5,percent,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1972,Urban share of population (PBO series),41.9,percent,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1956,Crude birth rate (PBO series),46,per 1000,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1962,Crude birth rate (PBO series),48,per 1000,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1967,Crude birth rate (PBO series),47,per 1000,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1972,Crude birth rate (PBO series),46,per 1000,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1956,Crude death rate (PBO series),20,per 1000,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1962,Crude death rate (PBO series),17,per 1000,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1967,Crude death rate (PBO series),16,per 1000,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1972,Crude death rate (PBO series),15,per 1000,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1955-1960,Infant mortality rate (PBO series; Bank Markazi Iran estimate),20-25,per 100 live births (i.e. 200-250 per 1000),"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1962,Infant mortality rate (PBO series),20.0,per 100 live births (i.e. 200 per 1000),"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1967,Infant mortality rate (PBO series),16.0,per 100 live births (i.e. 160 per 1000),"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1972,Infant mortality rate (PBO series),12.0,per 100 live births (i.e. 120 per 1000),"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1956,Economically active population as share of total population (PBO series),32.0,percent,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1972,Economically active population as share of total population (PBO series),29.5,percent,"WB 1974_economic_development_vol4_statistical_appendix.pdf, Table 1.4"
1960,"Total population (estimated, pre-1966-census extrapolation from 1956 census trend)",20.6,million,"WB 1962_economic_development_program.pdf, para 7 (Health Statistics section, p.131)"
1956,"Total population (1956 census, UNADJUSTED original enumerated count -- OCR-uncertain last 3 digits but matches UN DYB Historical Supplement Table 2's clean figure of 18954704 exactly to 6 significant figures)",18954704,persons,"WB 1962_economic_development_program.pdf, para 7 (Health Statistics section, p.131) -- cross-validated against UN Demographic Yearbook Historical Supplement Table 2"
1958,Estimated general (crude) birth rate (flagged in source as of doubtful reliability),42.1,per 1000,"WB 1962_economic_development_program.pdf, para 7 (Health Statistics section, p.131)"
1958,Estimated general (crude) death rate (flagged in source as of doubtful reliability),11.5,per 1000,"WB 1962_economic_development_program.pdf, para 7 (Health Statistics section, p.131)"
c.1960,Infant mortality rate (order-of-magnitude estimate),~200,per 1000 live births,"WB 1962_economic_development_program.pdf, para 7 (Health Statistics section, p.131)"
c.1960,Under-5 share of all deaths in Iran,~50,percent,"WB 1962_economic_development_program.pdf, para 7 (Health Statistics section, p.131)"
1960,Hospital beds per 1000 population,1.03,beds per 1000,"WB 1962_economic_development_program.pdf, para 87 (p.132)"
