class_label,year_sh,earned_premium_million_irr,incurred_loss_million_irr,loss_ratio_pct,edition,earned_premium_usd_nominal,earned_premium_usd_real_2015,incurred_loss_usd_nominal,incurred_loss_usd_real_2015,currency_conversion_note
Cargo,1388,872602,177007,20.28,annualreport2011,84.6529,74.6417,17.1718,15.141,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Cargo,1389,816457,227306,27.84,annualreport2011,57.2004,55.2992,15.9249,15.3956,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Accident,1388,3082002,701041,22.75,annualreport2011,298.9913,263.632,68.0094,59.9665,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Accident,1389,2959434,857847,28.99,annualreport2011,207.3357,200.4446,60.1001,58.1026,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Motor(P.D),1388,5197212,3167656,60.95,annualreport2011,504.1921,444.5655,307.3007,270.9588,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Motor(P.D),1389,5660709,3595994,63.53,annualreport2011,396.5849,383.4039,251.9326,243.5592,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Motor(T.P.L),1388,19380185,17626934,90.95,annualreport2011,1880.1111,1657.7659,1710.0246,1507.7942,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Motor(T.P.L),1389,22701834,20852969,91.86,annualreport2011,1590.4731,1537.6114,1460.943,1412.3865,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Health,1388,4231379,5139236,121.46,annualreport2011,410.4947,361.9489,498.5677,439.6062,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Health,1389,7975529,9920979,124.39,annualreport2011,558.7594,540.1883,695.0562,671.955,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Hull,1388,130475,183932,140.97,annualreport2011,12.6576,11.1607,17.8436,15.7334,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Hull,1389,229518,269364,117.36,annualreport2011,16.0799,15.5454,18.8714,18.2442,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Aviation,1388,506001,329679,65.15,annualreport2011,49.0882,43.2829,31.9828,28.2005,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Aviation,1389,536799,219845,40.95,annualreport2011,37.6077,36.3578,15.4022,14.8903,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Engineering,1388,978324,421843,43.12,annualreport2011,94.9092,83.6851,40.9238,36.0841,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Engineering,1389,1142373,648660,56.78,annualreport2011,80.0338,77.3737,45.4446,43.9342,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Liability,1388,2423099,1218264,50.28,annualreport2011,235.0698,207.27,118.1863,104.2094,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Liability,1389,2995788,1522824,50.83,annualreport2011,209.8826,202.9069,106.6879,103.142,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Credit,1388,45535,31071,68.24,annualreport2011,4.4174,3.895,3.0143,2.6578,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Credit,1389,154432,113804,73.69,annualreport2011,10.8194,10.4598,7.973,7.708,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Oil & Energy,1388,996132,198616,19.94,annualreport2011,96.6368,85.2084,19.2681,16.9895,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Oil & Energy,1389,902691,251866,27.9,annualreport2011,63.2418,61.1399,17.6455,17.0591,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Life,1388,1221471,824206,67.48,annualreport2011,118.4974,104.4837,79.9579,70.5019,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Life,1389,1811513,1152916,63.64,annualreport2011,126.9132,122.6951,80.7724,78.0878,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Others,1388,63183,19269,30.5,annualreport2011,6.1295,5.4046,1.8693,1.6483,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Others,1389,87829,25759,29.33,annualreport2011,6.1532,5.9487,1.8047,1.7447,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
Total,1388,41774258,31245425,74.8,annualreport2011,4052.6055,3573.3374,3031.1821,2672.7093,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Total,1389,52368591,41121050,78.52,annualreport2011,3668.9033,3546.9621,2880.9092,2785.1581,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
