section,line_item,foreign_currency_million_rials,local_currency_million_rials,total_million_rials,total_million_usd,notes,total_computed_usd_nominal,total_computed_usd_real_2015,currency_conversion_note
A. Dam and other works common to all purposes,Sub-total,986,1353,2339,,,30.8779,141.5065,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
A. Dam and other works common to all purposes,Contingencies,91,165,256,,15% on foreign currency component still to be spent; 15% on local currency component still to be spent,3.3795,15.4877,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
A. Dam and other works common to all purposes,TOTAL,1077,1518,2595,34.6,"Allocated equally: Power 865, Irrigation 865, Flood Control 865 (million rials each, one-third each)",34.2574,156.9941,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
B. Powerhouse and first two units of 65 MW each,"Engineering, Supervision and Administration",94,52,146,,,1.9274,8.8328,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
B. Powerhouse and first two units of 65 MW each,Power Intakes,48,42,90,,,1.1881,5.4449,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
B. Powerhouse and first two units of 65 MW each,Water Conduits,93,136,229,,,3.0231,13.8542,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
B. Powerhouse and first two units of 65 MW each,Powerhouse Civil Works,143,173,316,,,4.1716,19.1176,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
B. Powerhouse and first two units of 65 MW each,Turbines,87,11,98,,,1.2937,5.9289,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
B. Powerhouse and first two units of 65 MW each,Generators,95,15,110,,,1.4521,6.6549,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
B. Powerhouse and first two units of 65 MW each,Auxiliary Equipment,165,51,216,,,2.8515,13.0677,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
B. Powerhouse and first two units of 65 MW each,Step-up Substation at Plant,179,46,225,,,2.9703,13.6122,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
B. Powerhouse and first two units of 65 MW each,Sub-total,904,526,1430,,,18.8779,86.5131,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
B. Powerhouse and first two units of 65 MW each,Contingencies,127,63,190,,15% on foreign currency component still to be spent; 15% on local currency component still to be spent,2.5083,11.4948,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
B. Powerhouse and first two units of 65 MW each,TOTAL,1031,589,1620,21.6,,21.3861,98.0079,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
C. Transmission plant related to first two units,"Engineering, Supervision and Administration",31,4,35,,,0.462,2.1175,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
C. Transmission plant related to first two units,230 KV Line Dez Dam - Ahwaz (First Circuit),173,27,200,,,2.6403,12.0997,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
C. Transmission plant related to first two units,Primary Step-down Substations,160,16,176,,,2.3234,10.6478,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
C. Transmission plant related to first two units,Secondary Lines and Substations,108,15,123,,,1.6238,7.4413,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
C. Transmission plant related to first two units,Spare Parts,38,0,38,,,0.5017,2.299,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
C. Transmission plant related to first two units,Sub-total,510,62,572,,,7.5512,34.6053,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
C. Transmission plant related to first two units,Contingencies,54,9,63,,15% on foreign currency component still to be spent; 15% on local currency component still to be spent,0.8317,3.8114,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
C. Transmission plant related to first two units,TOTAL,564,71,635,8.5,,8.3828,38.4167,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Third unit,"Civil Works, unit and substation expansion",189,25,214,,,2.8251,12.9467,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Third unit,Expansion of transmission plant (incl. second circuit Dez Dam-Ahwaz),196,32,228,,,3.0099,13.7937,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Third unit,Sub-total,385,57,442,,,5.835,26.7404,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Fourth unit,"Civil Works, unit and substation expansion",122,21,143,,,1.8878,8.6513,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Fourth unit,Expansion of transmission plant,90,10,100,,,1.3201,6.0499,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Fourth unit,Sub-total,212,31,243,,,3.2079,14.7012,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Fifth unit,"Civil Works, unit and substation expansion",389,223,612,,,8.0792,37.0252,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Fifth unit,Expansion of transmission plant,83,9,92,,,1.2145,5.5659,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Fifth unit,Sub-total,472,232,704,,,9.2937,42.5911,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Sixth unit,"Civil Works, unit and substation expansion",111,19,130,,,1.7162,7.8648,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Sixth unit,Expansion of transmission plant,45,5,50,,,0.6601,3.0249,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
D. Additions to power facilities until 1984 - Sixth unit,Sub-total,156,24,180,,,2.3762,10.8898,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
