category,commodity,unit,year,value,flag,source_yearbook_edition
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1961,13500,,MYB1965v4
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1962,7500,,MYB1965v4
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1963,10000,estimate,MYB1965v4
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1964,15000,revised/estimate,MYB1965v4
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1965,15000,estimate,MYB1965v4
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1968,53952,revised,MYB1970v3
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1969,53200,estimate,MYB1970v3
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1970,57700,estimate,MYB1970v3
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1973,71500,revised,MYB1975v3
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1974,82500,,MYB1975v3
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1975,66000,preliminary,MYB1975v3
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1976,72000,,MYB1980v3
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1977,61500,,MYB1980v3
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1978,45000,estimate,MYB1980v3
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1979,25000,,MYB1980v3
Metals,Zinc (content of concentrate / mine output metal content),metric tons,1980,20000,,MYB1980v3
Nonmetals,Barite,metric tons,1961,19000,,MYB1965v4
Nonmetals,Barite,metric tons,1962,15000,,MYB1965v4
Nonmetals,Barite,metric tons,1963,20000,,MYB1965v4
Nonmetals,Barite,metric tons,1964,72000,revised/estimate,MYB1965v4
Nonmetals,Barite,metric tons,1965,72000,,MYB1965v4
Nonmetals,Barite,metric tons,1968,53319,revised,MYB1970v3
Nonmetals,Barite,metric tons,1969,58619,,MYB1970v3
Nonmetals,Barite,metric tons,1970,60219,preliminary,MYB1970v3
Nonmetals,Barite,metric tons,1973,95000,,MYB1975v3
Nonmetals,Barite,metric tons,1974,95000,estimate,MYB1975v3
Nonmetals,Barite,metric tons,1975,95000,estimate,MYB1975v3
Nonmetals,Barite,metric tons,1976,230000,,MYB1980v3
Nonmetals,Barite,metric tons,1977,184650,,MYB1980v3
Nonmetals,Barite,metric tons,1978,200000,,MYB1980v3
Nonmetals,Barite,metric tons,1979,180000,,MYB1980v3
Nonmetals,Barite,metric tons,1980,150000,,MYB1980v3
Nonmetals,"Cement, hydraulic",thousand metric tons,1961,745,,MYB1965v4
Nonmetals,"Cement, hydraulic",thousand metric tons,1962,745,estimate,MYB1965v4
Nonmetals,"Cement, hydraulic",thousand metric tons,1963,745,estimate,MYB1965v4
Nonmetals,"Cement, hydraulic",thousand metric tons,1964,745,revised,MYB1965v4
Nonmetals,"Cement, hydraulic",thousand metric tons,1965,785,estimate,MYB1965v4
Nonmetals,"Cement, hydraulic",thousand metric tons,1968,1904,revised,MYB1970v3
Nonmetals,"Cement, hydraulic",thousand metric tons,1969,2342,,MYB1970v3
Nonmetals,"Cement, hydraulic",thousand metric tons,1970,2577,estimate,MYB1970v3
Nonmetals,"Cement, hydraulic",thousand metric tons,1973,3489,,MYB1975v3
Nonmetals,"Cement, hydraulic",thousand metric tons,1974,5000,,MYB1975v3
Nonmetals,"Cement, hydraulic",thousand metric tons,1975,5500,preliminary,MYB1975v3
Nonmetals,"Cement, hydraulic",thousand metric tons,1976,6100,,MYB1980v3
Nonmetals,"Cement, hydraulic",thousand metric tons,1977,7256,,MYB1980v3
Nonmetals,"Cement, hydraulic",thousand metric tons,1978,12000,,MYB1980v3
Nonmetals,"Cement, hydraulic",thousand metric tons,1979,9000,,MYB1980v3
Nonmetals,"Cement, hydraulic",thousand metric tons,1980,9000,,MYB1980v3
Nonmetals,Gypsum,thousand metric tons,1968,1520,revised,MYB1970v3
Nonmetals,Gypsum,thousand metric tons,1969,1596,,MYB1970v3
Nonmetals,Gypsum,thousand metric tons,1970,1676,,MYB1970v3
Nonmetals,Gypsum,thousand metric tons,1973,3000,,MYB1975v3
Nonmetals,Gypsum,thousand metric tons,1974,4000,,MYB1975v3
Nonmetals,Gypsum,thousand metric tons,1975,5400,preliminary,MYB1975v3
Nonmetals,Gypsum,thousand metric tons,1976,6500,,MYB1980v3
Nonmetals,Gypsum,thousand metric tons,1977,6900,,MYB1980v3
Nonmetals,Gypsum,thousand metric tons,1978,8000,estimate,MYB1980v3
Nonmetals,Gypsum,thousand metric tons,1979,7000,,MYB1980v3
Nonmetals,Gypsum,thousand metric tons,1980,7000,,MYB1980v3
Nonmetals,Salt (rock),thousand metric tons,1961,145,,MYB1965v4
Nonmetals,Salt (rock),thousand metric tons,1962,269,,MYB1965v4
Nonmetals,Salt (rock),thousand metric tons,1963,345,,MYB1965v4
Nonmetals,Salt (rock),thousand metric tons,1964,345,estimate,MYB1965v4
Nonmetals,Salt (rock),thousand metric tons,1965,345,,MYB1965v4
Nonmetals,Salt (rock),metric tons,1968,214222,revised,MYB1970v3
Nonmetals,Salt (rock),metric tons,1969,235644,,MYB1970v3
Nonmetals,Salt (rock),metric tons,1970,252321,,MYB1970v3
Nonmetals,Salt (rock),thousand metric tons,1973,350,,MYB1975v3
Nonmetals,Salt (rock),thousand metric tons,1974,400,,MYB1975v3
Nonmetals,Salt (rock),thousand metric tons,1975,400,preliminary,MYB1975v3
Nonmetals,Salt (rock),thousand metric tons,1976,700,estimate,MYB1980v3
Nonmetals,Salt (rock),thousand metric tons,1977,700,,MYB1980v3
Nonmetals,Salt (rock),thousand metric tons,1978,700,,MYB1980v3
Nonmetals,Salt (rock),thousand metric tons,1979,700,,MYB1980v3
Nonmetals,Salt (rock),thousand metric tons,1980,600,,MYB1980v3
Nonmetals,Sulfur (all forms - refined from ores + elemental byproduct),metric tons,1961,20000,estimate,MYB1965v4
Nonmetals,Sulfur (all forms - refined from ores + elemental byproduct),metric tons,1962,15000,,MYB1965v4
Nonmetals,Sulfur (all forms - refined from ores + elemental byproduct),metric tons,1963,20000,,MYB1965v4
Nonmetals,Sulfur (all forms - refined from ores + elemental byproduct),metric tons,1964,105000,,MYB1965v4
Nonmetals,Sulfur (all forms - refined from ores + elemental byproduct),metric tons,1965,110000,,MYB1965v4
Nonmetals,Sulfur total (refined + elemental byproduct),thousand metric tons,1973,616,,MYB1975v3
Nonmetals,Sulfur total (refined + elemental byproduct),thousand metric tons,1974,625,estimate,MYB1975v3
Nonmetals,Sulfur total (refined + elemental byproduct),thousand metric tons,1975,507,estimate,MYB1975v3
Nonmetals,Sulfur total (native + byproduct of petroleum/gas),thousand metric tons,1976,587,,MYB1980v3
Nonmetals,Sulfur total (native + byproduct of petroleum/gas),thousand metric tons,1977,588,estimate,MYB1980v3
Nonmetals,Sulfur total (native + byproduct of petroleum/gas),thousand metric tons,1978,450,estimate,MYB1980v3
Nonmetals,Sulfur total (native + byproduct of petroleum/gas),thousand metric tons,1979,275,estimate,MYB1980v3
Nonmetals,Sulfur total (native + byproduct of petroleum/gas),thousand metric tons,1980,220,estimate,MYB1980v3
Mineral Fuels (non-oil),Coal,thousand metric tons,1961,200,,MYB1965v4
Mineral Fuels (non-oil),Coal,thousand metric tons,1962,200,,MYB1965v4
Mineral Fuels (non-oil),Coal,thousand metric tons,1963,200,estimate,MYB1965v4
Mineral Fuels (non-oil),Coal,thousand metric tons,1964,200,estimate,MYB1965v4
Mineral Fuels (non-oil),Coal,thousand metric tons,1965,274,,MYB1965v4
Mineral Fuels (non-oil),Coal,thousand metric tons,1968,297,revised,MYB1970v3
Mineral Fuels (non-oil),Coal,thousand metric tons,1969,309,,MYB1970v3
Mineral Fuels (non-oil),Coal,thousand metric tons,1970,323,,MYB1970v3
Mineral Fuels (non-oil),Coal,thousand metric tons,1973,1050,revised,MYB1975v3
Mineral Fuels (non-oil),Coal,thousand metric tons,1974,1200,,MYB1975v3
Mineral Fuels (non-oil),Coal,thousand metric tons,1975,1000,preliminary,MYB1975v3
Mineral Fuels (non-oil),Coal,thousand metric tons,1976,1000,,MYB1980v3
Mineral Fuels (non-oil),Coal,thousand metric tons,1977,969,,MYB1980v3
Mineral Fuels (non-oil),Coal,thousand metric tons,1978,900,,MYB1980v3
Mineral Fuels (non-oil),Coal,thousand metric tons,1979,900,estimate,MYB1980v3
Mineral Fuels (non-oil),Coal,thousand metric tons,1980,700,,MYB1980v3
Mineral Fuels (non-oil),Coke,metric tons,1961,20,,MYB1965v4
Mineral Fuels (non-oil),Coke,metric tons,1962,20,estimate,MYB1965v4
Mineral Fuels (non-oil),Coke,metric tons,1963,20,estimate,MYB1965v4
Mineral Fuels (non-oil),Coke,metric tons,1964,20,estimate,MYB1965v4
Mineral Fuels (non-oil),Coke,metric tons,1965,20,estimate,MYB1965v4
Mineral Fuels (non-oil),Coke,metric tons,1968,44,revised,MYB1970v3
Mineral Fuels (non-oil),Coke,metric tons,1969,52,,MYB1970v3
Mineral Fuels (non-oil),Coke,metric tons,1970,54,,MYB1970v3
Mineral Fuels (non-oil),Coke,thousand metric tons,1973,400,,MYB1975v3
Mineral Fuels (non-oil),Coke,thousand metric tons,1974,400,,MYB1975v3
Mineral Fuels (non-oil),Coke,thousand metric tons,1975,400,estimate,MYB1975v3
Mineral Fuels (non-oil),Coke,thousand metric tons,1976,444,,MYB1980v3
Mineral Fuels (non-oil),Coke,thousand metric tons,1977,445,,MYB1980v3
Mineral Fuels (non-oil),Coke,thousand metric tons,1978,500,,MYB1980v3
Mineral Fuels (non-oil),Coke,thousand metric tons,1979,400,estimate,MYB1980v3
Mineral Fuels (non-oil),Coke,thousand metric tons,1980,400,,MYB1980v3
