year,mode,metric,value,unit,source,notes
1938,rail,trans_iranian_railway_funding_note,0,text_only,"Wikipedia: Trans-Iranian Railway","Funded via a dedicated national sugar-and-tea consumption tax rather than foreign loans -- this is the well-known 'sugar and tea tax' financing mechanism; value=0 placeholder since this is a qualitative note, not a numeric series. Cross-reference: the existing iran-sugar-tea-history dataset (data/raw/iran-sugar-tea-history/) covers the sugar/tea monopoly trade side; this note connects that monopoly's tax revenue to Trans-Iranian Railway financing"
1953,rail,railway_income_expense_series_pointer,0,text_only,"Internal cross-reference","Detailed FY1953/54-1960/61 Iranian railway income/expense and freight/passenger traffic tables already exist in this database at data/raw/pahlavi-era-primary-extraction/ (see DATA_INVENTORY.md section 2) -- not duplicated here to avoid redundancy; this dataset instead focuses on network LENGTH and construction/institutional history, which those tables do not cover"
1974,road,road_ministry_renamed,1974-06-23,date,"Parstimes.com: Brief History of Ministry of Road & Transportation","Renamed to Ministry of Road & Transportation (Vezarat-e Rah va Tarabari)"
1977,rail,turkey_border_rail_connection_established,1977,year,"Wikipedia: Rail transport in Iran","Physical rail link to the Turkish border network completed, enabling a continuous Europe-Iran rail corridor"
1967,port,bandar_abbas_new_port_opening,1967,year,"SearatEs/orbitshub-derived WebSearch synthesis (port-industry trade press, cross-checked against Britannica 'Bandar Abbas' entry)","Modern deep-water port at Bandar Abbas opened with an initial annual capacity of 1.5 million tons of cargo"
1967,port,bandar_abbas_initial_capacity,1500000,tons_per_year,"WebSearch synthesis (port-industry trade press)","Initial design capacity at 1967 opening"
1979,road,road_network_length_end_of_pahlavi_era,26000,km,"Parstimes.com: Brief History of Ministry of Road & Transportation","'Main and secondary roads' at the end of the Pahlavi dynasty -- NOTE this appears inconsistent with a separate, more commonly cited figure of 'over 50,000km by the late 1970s' found in general secondary sources; both are recorded (this row = the more specific/institutional parstimes.com figure with a narrower category label 'main and secondary roads only', the 50,000km figure likely includes all rural/access roads) rather than resolved, per contested-estimate policy. This is a genuine sourcing ambiguity, not a data-entry error"
1979,road,road_network_length_end_of_pahlavi_era_broad_estimate,50000,km,"WebSearch synthesis of general secondary sources (unattributed to a single named primary source; treat with more caution than the parstimes.com figure above)","Broader estimate including all road categories; see note on row above for the discrepancy with the narrower 26,000km figure"
1984,road,paved_road_network_length,51389,km,"WebSearch synthesis (secondary source), consistent order of magnitude with the 1979 broad estimate above","Post-revolution anchor point, useful for showing the network continued growing rather than collapsing after 1979"
2018,port,bandar_abbas_shahid_rajaee_container_throughput,2021542,TEU,"Trade press (Lloyd's List Top 100 Ports 2019 via WebSearch synthesis)","22.5% year-on-year decline from 2017, attributed to renewed US sanctions"
2017,port,bandar_abbas_shahid_rajaee_container_throughput,2607000,TEU,"Trade press (Lloyd's List Top 100 Ports 2019 via WebSearch synthesis)","Pre-sanctions-reimposition peak; paired with 2018 decline row above"
2024,port,bandar_abbas_shahid_rajaee_container_throughput,2390000,TEU,"Container News trade press, 'Iranian ports record volume growth in 2024' (via WebSearch synthesis)","12% year-on-year growth vs. 2023 -- Shahid Rajaee terminal at Bandar Abbas now handles more than four-fifths of Iran's total container traffic"
2024,port,bandar_abbas_share_of_national_seaborne_trade,40,percent,"WebSearch synthesis (port-industry trade press)","Approximate, most-recent-available figure"
