edition_and_source_page,index_base,year_or_period,indicator,value
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1955,National income,1716
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1913=100 (annual),1956,National income,1922
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1940=100 (annual),1940,National income,100
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1940=100 (annual),1950,National income,164
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1940=100 (annual),1951,National income,184
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1940=100 (annual),1952,National income,204
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1940=100 (annual),1953,National income,224
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1940=100 (annual),1954,National income,251
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1940=100 (annual),1955,National income,281
narodnoe-khoziaistvo-sssr_1956.pdf p.42,1940=100 (annual),1956,National income,315
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1913,"Gross industrial output, all industry",100
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1917,"Gross industrial output, all industry",71
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1921,"Gross industrial output, all industry",31
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1924,"Gross industrial output, all industry",45
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1925,"Gross industrial output, all industry",73
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1926,"Gross industrial output, all industry",98
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1927,"Gross industrial output, all industry",111
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1928,"Gross industrial output, all industry",132
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1929,"Gross industrial output, all industry",158
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1930,"Gross industrial output, all industry",193
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1931,"Gross industrial output, all industry",233
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1932,"Gross industrial output, all industry",267
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1933,"Gross industrial output, all industry",281
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1934,"Gross industrial output, all industry",335
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1935,"Gross industrial output, all industry",411
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1936,"Gross industrial output, all industry",529
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1937,"Gross industrial output, all industry",588
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1938,"Gross industrial output, all industry",657
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1939,"Gross industrial output, all industry",763
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1940,"Gross industrial output, all industry",852
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1945,"Gross industrial output, all industry",782
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1946,"Gross industrial output, all industry",652
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1947,"Gross industrial output, all industry",795
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1948,"Gross industrial output, all industry",1003
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1949,"Gross industrial output, all industry",1202
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1950,"Gross industrial output, all industry",1476
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1951,"Gross industrial output, all industry",1718
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1952,"Gross industrial output, all industry",1917
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1953,"Gross industrial output, all industry",2143
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1954,"Gross industrial output, all industry",2428
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1955,"Gross industrial output, all industry",2729
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1956,"Gross industrial output, all industry",3021
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1913,"Gross industrial output, large-scale industry",100
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1917,"Gross industrial output, large-scale industry",63
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1921,"Gross industrial output, large-scale industry",21
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1924,"Gross industrial output, large-scale industry",46
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1925,"Gross industrial output, large-scale industry",75
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1926,"Gross industrial output, large-scale industry",108
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1927,"Gross industrial output, large-scale industry",122
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1928,"Gross industrial output, large-scale industry",152
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1929,"Gross industrial output, large-scale industry",190
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1930,"Gross industrial output, large-scale industry",249
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1931,"Gross industrial output, large-scale industry",307
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1932,"Gross industrial output, large-scale industry",352
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1933,"Gross industrial output, large-scale industry",381
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1934,"Gross industrial output, large-scale industry",457
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1935,"Gross industrial output, large-scale industry",563
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1936,"Gross industrial output, large-scale industry",733
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1937,"Gross industrial output, large-scale industry",816
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1938,"Gross industrial output, large-scale industry",911
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1939,"Gross industrial output, large-scale industry",1051
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1940,"Gross industrial output, large-scale industry",1172
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1945,"Gross industrial output, large-scale industry",1085
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1946,"Gross industrial output, large-scale industry",888
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1947,"Gross industrial output, large-scale industry",1087
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1948,"Gross industrial output, large-scale industry",1372
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1949,"Gross industrial output, large-scale industry",1656
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1950,"Gross industrial output, large-scale industry",2060
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1951,"Gross industrial output, large-scale industry",2411
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1952,"Gross industrial output, large-scale industry",2705
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1953,"Gross industrial output, large-scale industry",3045
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1954,"Gross industrial output, large-scale industry",3461
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1955,"Gross industrial output, large-scale industry",3915
narodnoe-khoziaistvo-sssr_1956.pdf p.51,1913=100 (annual),1956,"Gross industrial output, large-scale industry",4349
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,Gross social product,100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,Gross social product,83
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,Gross social product,161
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,Gross social product,270
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,Gross social product,357
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,Gross social product,417
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,Gross social product,528
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,Gross social product,569
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,National income produced,100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,National income produced,83
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,National income produced,164
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,National income produced,281
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,National income produced,376
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,National income produced,435
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,National income produced,559
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,National income produced,598
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,"Fixed productive assets, all sectors (incl. livestock)",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,"Fixed productive assets, all sectors (incl. livestock)",86
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,"Fixed productive assets, all sectors (incl. livestock)",124
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,"Fixed productive assets, all sectors (incl. livestock)",201
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,"Fixed productive assets, all sectors (incl. livestock)",263
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,"Fixed productive assets, all sectors (incl. livestock)",317
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,"Fixed productive assets, all sectors (incl. livestock)",461
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,"Fixed productive assets, all sectors (incl. livestock)",504
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,  of which industry,100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,  of which industry,95
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,  of which industry,141
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,  of which industry,250
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,  of which industry,341
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,  of which industry,424
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,  of which industry,653
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,  of which industry,716
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,"Gross output, all industry",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,"Gross output, all industry",92
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,"Gross output, all industry",173
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,"Gross output, all industry",320
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,"Gross output, all industry",430
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,"Gross output, all industry",524
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,"Gross output, all industry",728
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,"Gross output, all industry",791
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,  Means of production (group A),100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,  Means of production (group A),112
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,  Means of production (group A),205
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,  Means of production (group A),390
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,  Means of production (group A),536
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,  Means of production (group A),666
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,  Means of production (group A),970
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,  Means of production (group A),1056
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,  Consumer goods (group B),100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,  Consumer goods (group B),59
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,  Consumer goods (group B),123
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,  Consumer goods (group B),217
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,  Consumer goods (group B),277
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,  Consumer goods (group B),326
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,  Consumer goods (group B),408
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,  Consumer goods (group B),442
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,Electric+heat energy production,100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,Electric+heat energy production,91
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,Electric+heat energy production,187
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,Electric+heat energy production,366
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,Electric+heat energy production,525
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,Electric+heat energy production,678
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,Electric+heat energy production,1085
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,Electric+heat energy production,1206
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,"Gross output, ferrous metallurgy",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,"Gross output, ferrous metallurgy",89
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,"Gross output, ferrous metallurgy",177
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,"Gross output, ferrous metallurgy",313
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,"Gross output, ferrous metallurgy",394
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,"Gross output, ferrous metallurgy",478
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,"Gross output, ferrous metallurgy",655
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,"Gross output, ferrous metallurgy",702
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,"Gross output, chemical industry",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,"Gross output, chemical industry",92
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,"Gross output, chemical industry",196
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,"Gross output, chemical industry",436
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,"Gross output, chemical industry",628
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,"Gross output, chemical industry",782
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,"Gross output, chemical industry",1355
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,"Gross output, chemical industry",1541
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,"Gross output, machine building & metalworking",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,"Gross output, machine building & metalworking",129
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,"Gross output, machine building & metalworking",215
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,"Gross output, machine building & metalworking",466
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,"Gross output, machine building & metalworking",683
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,"Gross output, machine building & metalworking",903
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,"Gross output, machine building & metalworking",1481
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,"Gross output, machine building & metalworking",1621
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,Gross agricultural output,100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,Gross agricultural output,60
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,Gross agricultural output,99
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,Gross agricultural output,121
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,Gross agricultural output,156
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,Gross agricultural output,160
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,Gross agricultural output,177
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,Gross agricultural output,180
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,"Freight turnover, all transport",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,"Freight turnover, all transport",77
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,"Freight turnover, all transport",146
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,"Freight turnover, all transport",239
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,"Freight turnover, all transport",329
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,"Freight turnover, all transport",387
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,"Freight turnover, all transport",517
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,"Freight turnover, all transport",567
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,"Freight turnover, rail",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,"Freight turnover, rail",76
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,"Freight turnover, rail",145
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,"Freight turnover, rail",234
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,"Freight turnover, rail",314
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,"Freight turnover, rail",362
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,"Freight turnover, rail",447
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,"Freight turnover, rail",470
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,Workers/employees in national economy,100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,Workers/employees in national economy,84
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,Workers/employees in national economy,119
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,Workers/employees in national economy,148
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,Workers/employees in national economy,165
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,Workers/employees in national economy,183
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,Workers/employees in national economy,216
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,Workers/employees in national economy,227
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,"Labor productivity, industry",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,"Labor productivity, industry",114
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,"Labor productivity, industry",145
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,"Labor productivity, industry",215
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,"Labor productivity, industry",262
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1960,"Labor productivity, industry",296
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1964,"Labor productivity, industry",355
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1965,"Labor productivity, industry",372
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1940,"Labor productivity, construction",100
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1945,"Labor productivity, construction",90
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1950,"Labor productivity, construction",125
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1955,"Labor productivity, construction",186
narodnoe-khoziaistvo-sssr_1965.pdf p.55-56,1940=100,1958,"Labor productivity, construction",241
