fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
1966/67,1967,Oil Revenue by Paying Company,NIOC,,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1967/68,1968,Oil Revenue by Paying Company,NIOC,,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1968/69,1969,Oil Revenue by Paying Company,NIOC,5.2,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1969/70,1970,Oil Revenue by Paying Company,NIOC,19.0,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1970/71 (preliminary estimate),1971,Oil Revenue by Paying Company,NIOC,30.0,million US dollars,"Preliminary estimate, not final actual",IRN,wb1971-table9-oil-exports-and-revenues
1963/64,1964,Oil Revenue by Paying Company,Other Companies,,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1964/65,1965,Oil Revenue by Paying Company,Other Companies,,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1965/66,1966,Oil Revenue by Paying Company,Other Companies,2.0,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1966/67,1967,Oil Revenue by Paying Company,Other Companies,16.6,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1967/68,1968,Oil Revenue by Paying Company,Other Companies,36.3,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1968/69,1969,Oil Revenue by Paying Company,Other Companies,31.0,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1969/70,1970,Oil Revenue by Paying Company,Other Companies,30.1,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1970/71 (preliminary estimate),1971,Oil Revenue by Paying Company,Other Companies,42.0,million US dollars,"Preliminary estimate, not final actual",IRN,wb1971-table9-oil-exports-and-revenues
1963/64,1964,Average Oil Revenue per Ton Exported,Total,5.56,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1964/65,1965,Average Oil Revenue per Ton Exported,Total,5.88,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1965/66,1966,Average Oil Revenue per Ton Exported,Total,5.82,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1966/67,1967,Average Oil Revenue per Ton Exported,Total,6.09,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1967/68,1968,Average Oil Revenue per Ton Exported,Total,6.15,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1968/69,1969,Average Oil Revenue per Ton Exported,Total,6.38,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1969/70,1970,Average Oil Revenue per Ton Exported,Total,6.07,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1970/71 (preliminary estimate),1971,Average Oil Revenue per Ton Exported,Total,6.34,US dollars per ton,"Preliminary estimate, not final actual",IRN,wb1971-table9-oil-exports-and-revenues
1963/64,1964,Average Oil Revenue per Ton Exported,Consortium,5.67,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1964/65,1965,Average Oil Revenue per Ton Exported,Consortium,5.97,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1965/66,1966,Average Oil Revenue per Ton Exported,Consortium,6.05,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1966/67,1967,Average Oil Revenue per Ton Exported,Consortium,6.19,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1967/68,1968,Average Oil Revenue per Ton Exported,Consortium,6.15,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1968/69,1969,Average Oil Revenue per Ton Exported,Consortium,6.33,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1969/70,1970,Average Oil Revenue per Ton Exported,Consortium,6.35,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1970/71 (preliminary estimate),1971,Average Oil Revenue per Ton Exported,Consortium,6.67,US dollars per ton,"Preliminary estimate, not final actual",IRN,wb1971-table9-oil-exports-and-revenues
1963/64,1964,Average Oil Revenue per Ton Exported,Other Companies,,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1964/65,1965,Average Oil Revenue per Ton Exported,Other Companies,,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1965/66,1966,Average Oil Revenue per Ton Exported,Other Companies,0.56,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1966/67,1967,Average Oil Revenue per Ton Exported,Other Companies,3.86,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1967/68,1968,Average Oil Revenue per Ton Exported,Other Companies,6.05,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1968/69,1969,Average Oil Revenue per Ton Exported,Other Companies,4.84,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1969/70,1970,Average Oil Revenue per Ton Exported,Other Companies,2.33,US dollars per ton,,IRN,wb1971-table9-oil-exports-and-revenues
1970/71 (preliminary estimate),1971,Average Oil Revenue per Ton Exported,Other Companies,2.40,US dollars per ton,"Preliminary estimate, not final actual",IRN,wb1971-table9-oil-exports-and-revenues
