fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
1970,1970,Electric Power Generation by Use,Tehran Regional Electric Co. — street_lighting,142,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Tehran Regional Electric Co. — street_lighting,180,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Tehran Regional Electric Co. — domestic,403,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Tehran Regional Electric Co. — domestic,464,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Tehran Regional Electric Co. — domestic,556,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Tehran Regional Electric Co. — public_commercial_other,227,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Tehran Regional Electric Co. — public_commercial_other,540,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Tehran Regional Electric Co. — public_commercial_other,605,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — total,55,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — total,94,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — total,138,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — industrial,7,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — industrial,15,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — industrial,34,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — agricultural,0,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — agricultural,0,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — agricultural,0,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — street_lighting,7,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — street_lighting,11,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — street_lighting,16,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — domestic,23,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — domestic,33,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — domestic,41,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — public_commercial_other,18,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — public_commercial_other,35,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Azarbayejan Regional Electric Co. — public_commercial_other,48,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Esfahan Regional Electric Co. — total,112,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Esfahan Regional Electric Co. — total,195,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Esfahan Regional Electric Co. — total,293,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Esfahan Regional Electric Co. — industrial,32,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Esfahan Regional Electric Co. — industrial,66,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Esfahan Regional Electric Co. — industrial,123,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Esfahan Regional Electric Co. — agricultural,3,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Esfahan Regional Electric Co. — agricultural,8,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Esfahan Regional Electric Co. — agricultural,11,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Esfahan Regional Electric Co. — street_lighting,11,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Esfahan Regional Electric Co. — street_lighting,21,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Esfahan Regional Electric Co. — street_lighting,23,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Esfahan Regional Electric Co. — domestic,29,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Esfahan Regional Electric Co. — domestic,52,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Esfahan Regional Electric Co. — domestic,68,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Esfahan Regional Electric Co. — public_commercial_other,37,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Esfahan Regional Electric Co. — public_commercial_other,48,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Esfahan Regional Electric Co. — public_commercial_other,67,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Khorasan Regional Electric Co. — total,94,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Khorasan Regional Electric Co. — total,174,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Khorasan Regional Electric Co. — total,196,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Khorasan Regional Electric Co. — industrial,19,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Khorasan Regional Electric Co. — industrial,42,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Khorasan Regional Electric Co. — industrial,39,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Khorasan Regional Electric Co. — agricultural,10,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Khorasan Regional Electric Co. — agricultural,35,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Khorasan Regional Electric Co. — agricultural,36,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Khorasan Regional Electric Co. — street_lighting,13,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Khorasan Regional Electric Co. — street_lighting,18,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Khorasan Regional Electric Co. — street_lighting,16,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Khorasan Regional Electric Co. — domestic,26,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Khorasan Regional Electric Co. — domestic,35,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Khorasan Regional Electric Co. — domestic,42,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Khorasan Regional Electric Co. — public_commercial_other,26,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Khorasan Regional Electric Co. — public_commercial_other,44,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Khorasan Regional Electric Co. — public_commercial_other,63,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Fars Regional Electric Co. — total,62,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Fars Regional Electric Co. — total,106,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Fars Regional Electric Co. — total,165,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Fars Regional Electric Co. — industrial,13,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Fars Regional Electric Co. — industrial,20,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Fars Regional Electric Co. — industrial,50,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Fars Regional Electric Co. — agricultural,2,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Fars Regional Electric Co. — agricultural,9,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Fars Regional Electric Co. — agricultural,12,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Fars Regional Electric Co. — street_lighting,5,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Fars Regional Electric Co. — street_lighting,9,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Fars Regional Electric Co. — street_lighting,11,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Fars Regional Electric Co. — domestic,22,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Fars Regional Electric Co. — domestic,30,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Fars Regional Electric Co. — domestic,38,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Fars Regional Electric Co. — public_commercial_other,20,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Fars Regional Electric Co. — public_commercial_other,38,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Fars Regional Electric Co. — public_commercial_other,53,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Mazandaran Regional Electric Co. — total,68,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1970,1970,Electric Power Generation by Use,Mazandaran Regional Electric Co. — total,123,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1971,1971,Electric Power Generation by Use,Mazandaran Regional Electric Co. — total,158,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
1968,1968,Electric Power Generation by Use,Mazandaran Regional Electric Co. — industrial,31,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",,IRN,wb1974-table15.3-electric-power-generation-by-plant-and-use
