census_date,source_code,country_iso3,residence,sex,age_band,population
1 XI 1976,Cdf,IRN,Total,Total,80-84,145678
1 XI 1976,Cdf,IRN,Total,Total,85+,109293
1 XI 1976,Cdf,IRN,Total,Total,Unknown,-
22 IX 1986,Cdf,IRN,Total,Total,All ages,49445010
22 IX 1986,Cdf,IRN,Total,Total,-1,1767726
22 IX 1986,Cdf,IRN,Total,Total,1-4,7277097
22 IX 1986,Cdf,IRN,Total,Total,5-9,7525894
22 IX 1986,Cdf,IRN,Total,Total,10-14,5903300
22 IX 1986,Cdf,IRN,Total,Total,15-19,5192202
22 IX 1986,Cdf,IRN,Total,Total,20-24,4193724
22 IX 1986,Cdf,IRN,Total,Total,25-29,3652297
22 IX 1986,Cdf,IRN,Total,Total,30-34,2927983
22 IX 1986,Cdf,IRN,Total,Total,35-39,2117211
22 IX 1986,Cdf,IRN,Total,Total,40-44,1655351
22 IX 1986,Cdf,IRN,Total,Total,45-49,1585398
22 IX 1986,Cdf,IRN,Total,Total,50-54,1599018
22 IX 1986,Cdf,IRN,Total,Total,55-59,1337746
22 IX 1986,Cdf,IRN,Total,Total,60-64,1184632
22 IX 1986,Cdf,IRN,Total,Total,65-69,573796
22 IX 1986,Cdf,IRN,Total,Total,70-74,342020
22 IX 1986,Cdf,IRN,Total,Total,75-79,209530
22 IX 1986,Cdf,IRN,Total,Total,80-84,183587
22 IX 1986,Cdf,IRN,Total,Total,85+,192785
22 IX 1986,Cdf,IRN,Total,Total,Unknown,23713
11 IX 1991,Cdf,IRN,Total,Total,All ages,55837163
11 IX 1991,Cdf,IRN,Total,Total,-1,1463534
11 IX 1991,Cdf,IRN,Total,Total,1-4,6677751
11 IX 1991,Cdf,IRN,Total,Total,5-9,9035458
11 IX 1991,Cdf,IRN,Total,Total,10-14,7547131
11 IX 1991,Cdf,IRN,Total,Total,15-19,5908903
11 IX 1991,Cdf,IRN,Total,Total,20-24,4947260
11 IX 1991,Cdf,IRN,Total,Total,25-29,4005278
11 IX 1991,Cdf,IRN,Total,Total,30-34,3504220
11 IX 1991,Cdf,IRN,Total,Total,35-39,2866669
11 IX 1991,Cdf,IRN,Total,Total,40-44,2037477
11 IX 1991,Cdf,IRN,Total,Total,45-49,1577983
11 IX 1991,Cdf,IRN,Total,Total,50-54,1570622
11 IX 1991,Cdf,IRN,Total,Total,55-59,1442929
11 IX 1991,Cdf,IRN,Total,Total,60-64,1303390
11 IX 1991,Cdf,IRN,Total,Total,65-69,885077
11 IX 1991,Cdf,IRN,Total,Total,70-74,465167
11 IX 1991,Cdf,IRN,Total,Total,75-79,185993
11 IX 1991,Cdf,IRN,Total,Total,80-84,139781
11 IX 1991,Cdf,IRN,Total,Total,85-89,75887
11 IX 1991,Cdf,IRN,Total,Total,90-94,51958
11 IX 1991,Cdf,IRN,Total,Total,95-99,20585
11 IX 1991,Cdf,IRN,Total,Total,100+,65745
11 IX 1991,Cdf,IRN,Total,Total,Unknown,58365
X 1996,Cdj,IRN,Total,Total,All ages,60055000
X 1996,Cdj,IRN,Total,Total,-1,6163000
X 1996,Cdj,IRN,Total,Total,1-4,8482000
X 1996,Cdj,IRN,Total,Total,5-9,9081000
X 1996,Cdj,IRN,Total,Total,10-14,7116000
X 1996,Cdj,IRN,Total,Total,15-19,5222000
X 1996,Cdj,IRN,Total,Total,20-24,4709000
X 1996,Cdj,IRN,Total,Total,25-29,3980000
X 1996,Cdj,IRN,Total,Total,30-34,3572000
X 1996,Cdj,IRN,Total,Total,35-39,2812000
X 1996,Cdj,IRN,Total,Total,40-44,2013000
X 1996,Cdj,IRN,Total,Total,45-49,1529000
X 1996,Cdj,IRN,Total,Total,50-54,1367000
X 1996,Cdj,IRN,Total,Total,55-59,1383000
X 1996,Cdj,IRN,Total,Total,60-64,1074000
X 1996,Cdj,IRN,Total,Total,65-69,847000
X 1996,Cdj,IRN,Total,Total,70-74,364000
X 1996,Cdj,IRN,Total,Total,75-79,146000
X 1996,Cdj,IRN,Total,Total,80-84,76000
X 1996,Cdj,IRN,Total,Total,85+,45000
X 1996,Cdj,IRN,Total,Total,Unknown,40000
1 XI 1956,Cdf,IRN,Total,Male,All ages,9644944
1 XI 1956,Cdf,IRN,Total,Male,-1,286265
1 XI 1956,Cdf,IRN,Total,Male,1-4,1397448
1 XI 1956,Cdf,IRN,Total,Male,5-9,1419050
1 XI 1956,Cdf,IRN,Total,Male,10-14,974786
1 XI 1956,Cdf,IRN,Total,Male,15-19,710029
1 XI 1956,Cdf,IRN,Total,Male,20-24,699369
1 XI 1956,Cdf,IRN,Total,Male,25-29,737411
1 XI 1956,Cdf,IRN,Total,Male,30-34,703518
1 XI 1956,Cdf,IRN,Total,Male,35-39,578019
1 XI 1956,Cdf,IRN,Total,Male,40-44,478691
1 XI 1956,Cdf,IRN,Total,Male,45-49,403132
1 XI 1956,Cdf,IRN,Total,Male,50-54,339059
1 XI 1956,Cdf,IRN,Total,Male,55-59,291523
1 XI 1956,Cdf,IRN,Total,Male,60-64,231780
1 XI 1956,Cdf,IRN,Total,Male,65-69,160259
1 XI 1956,Cdf,IRN,Total,Male,70-74,102792
1 XI 1956,Cdf,IRN,Total,Male,75-79,59836
1 XI 1956,Cdf,IRN,Total,Male,80-84,32261
1 XI 1956,Cdf,IRN,Total,Male,85+,36930
1 XI 1956,Cdf,IRN,Total,Male,Unknown,2786
1 XI 1966,Cdf,IRN,Total,Male,All ages,12981665
1 XI 1966,Cdf,IRN,Total,Male,-1,429452
1 XI 1966,Cdf,IRN,Total,Male,1-4,1878271
1 XI 1966,Cdf,IRN,Total,Male,5-9,2127704
1 XI 1966,Cdf,IRN,Total,Male,10-14,1593835
1 XI 1966,Cdf,IRN,Total,Male,15-19,1060029
1 XI 1966,Cdf,IRN,Total,Male,20-24,792896
1 XI 1966,Cdf,IRN,Total,Male,25-29,801665
1 XI 1966,Cdf,IRN,Total,Male,30-34,863316
1 XI 1966,Cdf,IRN,Total,Male,35-39,763863
1 XI 1966,Cdf,IRN,Total,Male,40-44,737845
1 XI 1966,Cdf,IRN,Total,Male,45-49,479395
1 XI 1966,Cdf,IRN,Total,Male,50-54,370469
1 XI 1966,Cdf,IRN,Total,Male,55-59,223539
1 XI 1966,Cdf,IRN,Total,Male,60-64,344198
1 XI 1966,Cdf,IRN,Total,Male,65-69,188918
1 XI 1966,Cdf,IRN,Total,Male,70-74,177914
1 XI 1966,Cdf,IRN,Total,Male,75-79,57857
1 XI 1966,Cdf,IRN,Total,Male,80-84,53598
1 XI 1966,Cdf,IRN,Total,Male,85+,36901
1 XI 1966,Cdf,IRN,Total,Male,Unknown,-
1 XI 1976,Cdf,IRN,Total,Male,All ages,17356347
1 XI 1976,Cdf,IRN,Total,Male,-1,509595
1 XI 1976,Cdf,IRN,Total,Male,1-4,2315348
1 XI 1976,Cdf,IRN,Total,Male,5-9,2734990
1 XI 1976,Cdf,IRN,Total,Male,10-14,2258635
1 XI 1976,Cdf,IRN,Total,Male,15-19,1818539
1 XI 1976,Cdf,IRN,Total,Male,20-24,1340858
1 XI 1976,Cdf,IRN,Total,Male,25-29,1010195
1 XI 1976,Cdf,IRN,Total,Male,30-34,842453
1 XI 1976,Cdf,IRN,Total,Male,35-39,825340
1 XI 1976,Cdf,IRN,Total,Male,40-44,895201
1 XI 1976,Cdf,IRN,Total,Male,45-49,751026
1 XI 1976,Cdf,IRN,Total,Male,50-54,731673
1 XI 1976,Cdf,IRN,Total,Male,55-59,396705
1 XI 1976,Cdf,IRN,Total,Male,60-64,301402
1 XI 1976,Cdf,IRN,Total,Male,65-69,181544
1 XI 1976,Cdf,IRN,Total,Male,70-74,193095
1 XI 1976,Cdf,IRN,Total,Male,75-79,114297
1 XI 1976,Cdf,IRN,Total,Male,80-84,77937
1 XI 1976,Cdf,IRN,Total,Male,85+,57514
1 XI 1976,Cdf,IRN,Total,Male,Unknown,-
22 IX 1986,Cdf,IRN,Total,Male,All ages,25280961
22 IX 1986,Cdf,IRN,Total,Male,-1,898777
22 IX 1986,Cdf,IRN,Total,Male,1-4,3697181
22 IX 1986,Cdf,IRN,Total,Male,5-9,3843585
22 IX 1986,Cdf,IRN,Total,Male,10-14,3053633
22 IX 1986,Cdf,IRN,Total,Male,15-19,2660364
22 IX 1986,Cdf,IRN,Total,Male,20-24,2103615
22 IX 1986,Cdf,IRN,Total,Male,25-29,1839639
22 IX 1986,Cdf,IRN,Total,Male,30-34,1481475
22 IX 1986,Cdf,IRN,Total,Male,35-39,1043813
22 IX 1986,Cdf,IRN,Total,Male,40-44,833703
22 IX 1986,Cdf,IRN,Total,Male,45-49,819225
22 IX 1986,Cdf,IRN,Total,Male,50-54,856740
22 IX 1986,Cdf,IRN,Total,Male,55-59,715428
22 IX 1986,Cdf,IRN,Total,Male,60-64,651864
22 IX 1986,Cdf,IRN,Total,Male,65-69,309435
22 IX 1986,Cdf,IRN,Total,Male,70-74,174781
22 IX 1986,Cdf,IRN,Total,Male,75-79,102203
22 IX 1986,Cdf,IRN,Total,Male,80-84,85942
22 IX 1986,Cdf,IRN,Total,Male,85+,95555
22 IX 1986,Cdf,IRN,Total,Male,Unknown,14003
11 IX 1991,Cdf,IRN,Total,Male,All ages,28768450
11 IX 1991,Cdf,IRN,Total,Male,-1,749985
11 IX 1991,Cdf,IRN,Total,Male,1-4,3406306
11 IX 1991,Cdf,IRN,Total,Male,5-9,4612149
11 IX 1991,Cdf,IRN,Total,Male,10-14,3901458
11 IX 1991,Cdf,IRN,Total,Male,15-19,3057609
11 IX 1991,Cdf,IRN,Total,Male,20-24,2520312
11 IX 1991,Cdf,IRN,Total,Male,25-29,2012493
11 IX 1991,Cdf,IRN,Total,Male,30-34,1779932
11 IX 1991,Cdf,IRN,Total,Male,35-39,1462338
11 IX 1991,Cdf,IRN,Total,Male,40-44,1027459
11 IX 1991,Cdf,IRN,Total,Male,45-49,798299
11 IX 1991,Cdf,IRN,Total,Male,50-54,821599
11 IX 1991,Cdf,IRN,Total,Male,55-59,793283
11 IX 1991,Cdf,IRN,Total,Male,60-64,723318
11 IX 1991,Cdf,IRN,Total,Male,65-69,514014
11 IX 1991,Cdf,IRN,Total,Male,70-74,264440
11 IX 1991,Cdf,IRN,Total,Male,75-79,103443
11 IX 1991,Cdf,IRN,Total,Male,80-84,73347
11 IX 1991,Cdf,IRN,Total,Male,85-89,37959
11 IX 1991,Cdf,IRN,Total,Male,90-94,27557
11 IX 1991,Cdf,IRN,Total,Male,95-99,11027
11 IX 1991,Cdf,IRN,Total,Male,100+,33966
11 IX 1991,Cdf,IRN,Total,Male,Unknown,36157
1 XI 1956,Cdf,IRN,Total,Female,All ages,9309760
1 XI 1956,Cdf,IRN,Total,Female,-1,256276
1 XI 1956,Cdf,IRN,Total,Female,1-4,1407709
1 XI 1956,Cdf,IRN,Total,Female,5-9,1403925
1 XI 1956,Cdf,IRN,Total,Female,10-14,847697
1 XI 1956,Cdf,IRN,Total,Female,15-19,710495
1 XI 1956,Cdf,IRN,Total,Female,20-24,797809
1 XI 1956,Cdf,IRN,Total,Female,25-29,780391
1 XI 1956,Cdf,IRN,Total,Female,30-34,682855
1 XI 1956,Cdf,IRN,Total,Female,35-39,506679
1 XI 1956,Cdf,IRN,Total,Female,40-44,384052
1 XI 1956,Cdf,IRN,Total,Female,45-49,374433
1 XI 1956,Cdf,IRN,Total,Female,50-54,329809
1 XI 1956,Cdf,IRN,Total,Female,55-59,263231
1 XI 1956,Cdf,IRN,Total,Female,60-64,200593
1 XI 1956,Cdf,IRN,Total,Female,65-69,142523
1 XI 1956,Cdf,IRN,Total,Female,70-74,94085
1 XI 1956,Cdf,IRN,Total,Female,75-79,57418
1 XI 1956,Cdf,IRN,Total,Female,80-84,32499
1 XI 1956,Cdf,IRN,Total,Female,85+,33004
1 XI 1956,Cdf,IRN,Total,Female,Unknown,4277
1 XI 1966,Cdf,IRN,Total,Female,All ages,12097258
1 XI 1966,Cdf,IRN,Total,Female,-1,387682
1 XI 1966,Cdf,IRN,Total,Female,1-4,1741516
1 XI 1966,Cdf,IRN,Total,Female,5-9,1978454
1 XI 1966,Cdf,IRN,Total,Female,10-14,1423415
1 XI 1966,Cdf,IRN,Total,Female,15-19,1069007
1 XI 1966,Cdf,IRN,Total,Female,20-24,889265
1 XI 1966,Cdf,IRN,Total,Female,25-29,848007
1 XI 1966,Cdf,IRN,Total,Female,30-34,804730
1 XI 1966,Cdf,IRN,Total,Female,35-39,654376
1 XI 1966,Cdf,IRN,Total,Female,40-44,583205
1 XI 1966,Cdf,IRN,Total,Female,45-49,364213
1 XI 1966,Cdf,IRN,Total,Female,50-54,370370
1 XI 1966,Cdf,IRN,Total,Female,55-59,204362
1 XI 1966,Cdf,IRN,Total,Female,60-64,325739
1 XI 1966,Cdf,IRN,Total,Female,65-69,157104
1 XI 1966,Cdf,IRN,Total,Female,70-74,162841
1 XI 1966,Cdf,IRN,Total,Female,75-79,46320
1 XI 1966,Cdf,IRN,Total,Female,80-84,51584
1 XI 1966,Cdf,IRN,Total,Female,85+,35068
1 XI 1966,Cdf,IRN,Total,Female,Unknown,-
1 XI 1976,Cdf,IRN,Total,Female,All ages,16352397
1 XI 1976,Cdf,IRN,Total,Female,-1,468538
1 XI 1976,Cdf,IRN,Total,Female,1-4,2136231
1 XI 1976,Cdf,IRN,Total,Female,5-9,2541543
1 XI 1976,Cdf,IRN,Total,Female,10-14,2044483
1 XI 1976,Cdf,IRN,Total,Female,15-19,1781726
1 XI 1976,Cdf,IRN,Total,Female,20-24,1451357
1 XI 1976,Cdf,IRN,Total,Female,25-29,1101390
1 XI 1976,Cdf,IRN,Total,Female,30-34,864544
1 XI 1976,Cdf,IRN,Total,Female,35-39,801279
1 XI 1976,Cdf,IRN,Total,Female,40-44,773484
1 XI 1976,Cdf,IRN,Total,Female,45-49,638439
1 XI 1976,Cdf,IRN,Total,Female,50-54,597376
1 XI 1976,Cdf,IRN,Total,Female,55-59,307182
1 XI 1976,Cdf,IRN,Total,Female,60-64,282742
1 XI 1976,Cdf,IRN,Total,Female,65-69,165694
1 XI 1976,Cdf,IRN,Total,Female,70-74,187069
1 XI 1976,Cdf,IRN,Total,Female,75-79,89800
1 XI 1976,Cdf,IRN,Total,Female,80-84,67741
1 XI 1976,Cdf,IRN,Total,Female,85+,51779
1 XI 1976,Cdf,IRN,Total,Female,Unknown,-
22 IX 1986,Cdf,IRN,Total,Female,All ages,24164049
22 IX 1986,Cdf,IRN,Total,Female,-1,868949
22 IX 1986,Cdf,IRN,Total,Female,1-4,3579916
22 IX 1986,Cdf,IRN,Total,Female,5-9,3682309
22 IX 1986,Cdf,IRN,Total,Female,10-14,2849667
22 IX 1986,Cdf,IRN,Total,Female,15-19,2531838
22 IX 1986,Cdf,IRN,Total,Female,20-24,2090109
22 IX 1986,Cdf,IRN,Total,Female,25-29,1812658
22 IX 1986,Cdf,IRN,Total,Female,30-34,1446508
22 IX 1986,Cdf,IRN,Total,Female,35-39,1073398
22 IX 1986,Cdf,IRN,Total,Female,40-44,821648
22 IX 1986,Cdf,IRN,Total,Female,45-49,766173
22 IX 1986,Cdf,IRN,Total,Female,50-54,742278
22 IX 1986,Cdf,IRN,Total,Female,55-59,622318
22 IX 1986,Cdf,IRN,Total,Female,60-64,532768
22 IX 1986,Cdf,IRN,Total,Female,65-69,264361
22 IX 1986,Cdf,IRN,Total,Female,70-74,167239
22 IX 1986,Cdf,IRN,Total,Female,75-79,107327
22 IX 1986,Cdf,IRN,Total,Female,80-84,97645
22 IX 1986,Cdf,IRN,Total,Female,85+,97230
22 IX 1986,Cdf,IRN,Total,Female,Unknown,9710
11 IX 1991,Cdf,IRN,Total,Female,All ages,27068713
11 IX 1991,Cdf,IRN,Total,Female,-1,713549
11 IX 1991,Cdf,IRN,Total,Female,1-4,3271445
11 IX 1991,Cdf,IRN,Total,Female,5-9,4423309
11 IX 1991,Cdf,IRN,Total,Female,10-14,3645673
11 IX 1991,Cdf,IRN,Total,Female,15-19,2851294
11 IX 1991,Cdf,IRN,Total,Female,20-24,2426948
11 IX 1991,Cdf,IRN,Total,Female,25-29,1992785
11 IX 1991,Cdf,IRN,Total,Female,30-34,1724288
11 IX 1991,Cdf,IRN,Total,Female,35-39,1404331
11 IX 1991,Cdf,IRN,Total,Female,40-44,1010018
11 IX 1991,Cdf,IRN,Total,Female,45-49,779684
11 IX 1991,Cdf,IRN,Total,Female,50-54,749023
11 IX 1991,Cdf,IRN,Total,Female,55-59,649646
11 IX 1991,Cdf,IRN,Total,Female,60-64,580072
11 IX 1991,Cdf,IRN,Total,Female,65-69,371063
11 IX 1991,Cdf,IRN,Total,Female,70-74,200727
11 IX 1991,Cdf,IRN,Total,Female,75-79,82550
11 IX 1991,Cdf,IRN,Total,Female,80-84,66434
11 IX 1991,Cdf,IRN,Total,Female,85-89,37928
11 IX 1991,Cdf,IRN,Total,Female,90-94,24401
11 IX 1991,Cdf,IRN,Total,Female,95-99,9558
11 IX 1991,Cdf,IRN,Total,Female,100+,31779
11 IX 1991,Cdf,IRN,Total,Female,Unknown,22208
1 XI 1956,Cdf,IRN,Urban,Total,All ages,5953563
1 XI 1956,Cdf,IRN,Urban,Total,-1,178004
1 XI 1956,Cdf,IRN,Urban,Total,1-4,747593
1 XI 1956,Cdf,IRN,Urban,Total,5-9,841085
1 XI 1956,Cdf,IRN,Urban,Total,10-14,628696
1 XI 1956,Cdf,IRN,Urban,Total,15-19,522574
1 XI 1956,Cdf,IRN,Urban,Total,20-24,555827
1 XI 1956,Cdf,IRN,Urban,Total,25-34,894559
1 XI 1956,Cdf,IRN,Urban,Total,35-44,605058
1 XI 1956,Cdf,IRN,Urban,Total,45-54,467168
1 XI 1956,Cdf,IRN,Urban,Total,55-64,301771
1 XI 1956,Cdf,IRN,Urban,Total,65-74,141039
1 XI 1956,Cdf,IRN,Urban,Total,75-84,49169
1 XI 1956,Cdf,IRN,Urban,Total,85+,18116
1 XI 1956,Cdf,IRN,Urban,Total,Unknown,2904
1 XI 1966,Cdf,IRN,Urban,Total,All ages,9794246
1 XI 1966,Cdf,IRN,Urban,Total,-1,312324
1 XI 1966,Cdf,IRN,Urban,Total,1-4,1238648
1 XI 1966,Cdf,IRN,Urban,Total,5-9,1496835
1 XI 1966,Cdf,IRN,Urban,Total,10-14,1269319
1 XI 1966,Cdf,IRN,Urban,Total,15-19,948368
1 XI 1966,Cdf,IRN,Urban,Total,20-24,772893
1 XI 1966,Cdf,IRN,Urban,Total,25-29,660891
1 XI 1966,Cdf,IRN,Urban,Total,30-34,638472
1 XI 1966,Cdf,IRN,Urban,Total,35-39,552918
1 XI 1966,Cdf,IRN,Urban,Total,40-44,497845
1 XI 1966,Cdf,IRN,Urban,Total,45-49,339693
1 XI 1966,Cdf,IRN,Urban,Total,50-54,299949
1 XI 1966,Cdf,IRN,Urban,Total,55-59,167257
1 XI 1966,Cdf,IRN,Urban,Total,60-64,254646
1 XI 1966,Cdf,IRN,Urban,Total,65-69,123502
1 XI 1966,Cdf,IRN,Urban,Total,70-74,119701
1 XI 1966,Cdf,IRN,Urban,Total,75-79,36000
1 XI 1966,Cdf,IRN,Urban,Total,80-84,37561
1 XI 1966,Cdf,IRN,Urban,Total,85+,27424
1 XI 1966,Cdf,IRN,Urban,Total,Unknown,-
1 XI 1976,Cdf,IRN,Urban,Total,All ages,15854680
1 XI 1976,Cdf,IRN,Urban,Total,-1,431802
1 XI 1976,Cdf,IRN,Urban,Total,1-4,1758457
1 XI 1976,Cdf,IRN,Urban,Total,5-9,2236444
1 XI 1976,Cdf,IRN,Urban,Total,10-14,2070539
1 XI 1976,Cdf,IRN,Urban,Total,15-19,1915602
1 XI 1976,Cdf,IRN,Urban,Total,20-24,1530209
1 XI 1976,Cdf,IRN,Urban,Total,25-29,1121003
1 XI 1976,Cdf,IRN,Urban,Total,30-34,877406
1 XI 1976,Cdf,IRN,Urban,Total,35-39,794324
1 XI 1976,Cdf,IRN,Urban,Total,40-44,768348
1 XI 1976,Cdf,IRN,Urban,Total,45-49,632067
1 XI 1976,Cdf,IRN,Urban,Total,50-54,593665
1 XI 1976,Cdf,IRN,Urban,Total,55-59,333698
1 XI 1976,Cdf,IRN,Urban,Total,60-64,262214
1 XI 1976,Cdf,IRN,Urban,Total,65-69,157320
1 XI 1976,Cdf,IRN,Urban,Total,70-74,168232
1 XI 1976,Cdf,IRN,Urban,Total,75-79,90833
1 XI 1976,Cdf,IRN,Urban,Total,80-84,62899
1 XI 1976,Cdf,IRN,Urban,Total,85+,49618
1 XI 1976,Cdf,IRN,Urban,Total,Unknown,-
22 IX 1986,Cdf,IRN,Urban,Total,All ages,26844561
22 IX 1986,Cdf,IRN,Urban,Total,-1,925929
22 IX 1986,Cdf,IRN,Urban,Total,1-4,3819852
22 IX 1986,Cdf,IRN,Urban,Total,5-9,3817978
22 IX 1986,Cdf,IRN,Urban,Total,10-14,2932970
22 IX 1986,Cdf,IRN,Urban,Total,15-19,2792207
22 IX 1986,Cdf,IRN,Urban,Total,20-24,2472330
22 IX 1986,Cdf,IRN,Urban,Total,25-29,2240682
22 IX 1986,Cdf,IRN,Urban,Total,30-34,1798189
22 IX 1986,Cdf,IRN,Urban,Total,35-39,1270671
22 IX 1986,Cdf,IRN,Urban,Total,40-44,962534
22 IX 1986,Cdf,IRN,Urban,Total,45-49,874253
22 IX 1986,Cdf,IRN,Urban,Total,50-54,840286
22 IX 1986,Cdf,IRN,Urban,Total,55-59,696827
22 IX 1986,Cdf,IRN,Urban,Total,60-64,594910
22 IX 1986,Cdf,IRN,Urban,Total,65-69,301162
22 IX 1986,Cdf,IRN,Urban,Total,70-74,181384
22 IX 1986,Cdf,IRN,Urban,Total,75-79,112242
22 IX 1986,Cdf,IRN,Urban,Total,80-84,98172
22 IX 1986,Cdf,IRN,Urban,Total,85+,100493
22 IX 1986,Cdf,IRN,Urban,Total,Unknown,11490
11 IX 1991,Cdf,IRN,Urban,Total,All ages,31836598
11 IX 1991,Cdf,IRN,Urban,Total,-1,774899
11 IX 1991,Cdf,IRN,Urban,Total,1-4,3537221
11 IX 1991,Cdf,IRN,Urban,Total,5-9,5037727
11 IX 1991,Cdf,IRN,Urban,Total,10-14,4112463
11 IX 1991,Cdf,IRN,Urban,Total,15-19,3155352
11 IX 1991,Cdf,IRN,Urban,Total,20-24,2902788
11 IX 1991,Cdf,IRN,Urban,Total,25-29,2561194
11 IX 1991,Cdf,IRN,Urban,Total,30-34,2261847
11 IX 1991,Cdf,IRN,Urban,Total,35-39,1846018
11 IX 1991,Cdf,IRN,Urban,Total,40-44,1268676
11 IX 1991,Cdf,IRN,Urban,Total,45-49,957759
11 IX 1991,Cdf,IRN,Urban,Total,50-54,893314
11 IX 1991,Cdf,IRN,Urban,Total,55-59,790129
11 IX 1991,Cdf,IRN,Urban,Total,60-64,676239
11 IX 1991,Cdf,IRN,Urban,Total,65-69,469305
11 IX 1991,Cdf,IRN,Urban,Total,70-74,251664
11 IX 1991,Cdf,IRN,Urban,Total,75-79,103687
11 IX 1991,Cdf,IRN,Urban,Total,80-84,74537
11 IX 1991,Cdf,IRN,Urban,Total,85-89,41526
11 IX 1991,Cdf,IRN,Urban,Total,90-94,26748
11 IX 1991,Cdf,IRN,Urban,Total,95-99,10875
11 IX 1991,Cdf,IRN,Urban,Total,100+,44100
11 IX 1991,Cdf,IRN,Urban,Total,Unknown,38530
1 XI 1956,Cdf,IRN,Urban,Male,All ages,3070149
1 XI 1956,Cdf,IRN,Urban,Male,-1,91649
1 XI 1956,Cdf,IRN,Urban,Male,1-4,379661
1 XI 1956,Cdf,IRN,Urban,Male,5-9,426366
1 XI 1956,Cdf,IRN,Urban,Male,10-14,331540
1 XI 1956,Cdf,IRN,Urban,Male,15-19,267085
1 XI 1956,Cdf,IRN,Urban,Male,20-24,288667
1 XI 1956,Cdf,IRN,Urban,Male,25-34,459933
1 XI 1956,Cdf,IRN,Urban,Male,35-44,328790
1 XI 1956,Cdf,IRN,Urban,Male,45-54,233210
1 XI 1956,Cdf,IRN,Urban,Male,55-64,158119
