fiscal_year_ah,fiscal_year_western_end,liquidity_m2_billion_rials,liquidity_m2_growth_pct,monetary_base_billion_rials,monetary_base_growth_pct,cpi_inflation_growth_pct,notes,country_iso3,source_file,liquidity_m2_usd_nominal,liquidity_m2_usd_real_2015,monetary_base_usd_nominal,monetary_base_usd_real_2015,currency_conversion_note
1389,2011,2948874.2,25.2,,13.7,,Monetary base level and CPI not captured this pass.,IRN,cbi_annual_review_1389_2010-11.pdf,206.5959,199.7294,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2011=14273.636363636364, rebased CPI_2011=43.8573)"
1390,2012,3522204.1,19.4,,,21.5,"Liquidity growth (19.4%) and inflation (21.5%) both stated together in the same narrative sentence, providing a natural cross-check that the M2 growth figure (19.4%) matches the M2 table value independently extracted.",IRN,cbi_annual_review_1390_2011-12.pdf,154.3237,187.4642,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2012=22823.485714285714, rebased CPI_2012=55.8115)"
1391,2013,4606935.9,30.0,,27.6,,Monetary base level and CPI not captured this pass.,IRN,cbi_annual_review_1391_2012-13.pdf,139.2915,179.4966,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2013=33074.068376068375, rebased CPI_2013=76.2401)"
1392,2014,5947853.5,29.1,,17.8,,Monetary base level and CPI not captured this pass.,IRN,cbi_annual_review_1392_2013-14.pdf,187.4042,198.7381,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2014=31738.102112676057, rebased CPI_2014=88.901)"
1393,2015,7823847.9,22.3,,10.7,,Monetary base level and CPI not captured this pass.,IRN,cbi_annual_review_1393_2014-15.pdf,232.4063,232.4063,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2015=33664.52208835341, rebased CPI_2015=100.0)"
1394,2016,10172800.0,30.0,,16.9,,"Source table denominated in TRILLION rials from this year onward (10,172.8) -- converted x1000 to billion rials here for unit consistency with earlier years. Monetary base level and CPI not captured this pass.",IRN,cbi_annual_review_1394_2015-16.pdf,287.4825,281.7665,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2016=35385.80753138076, rebased CPI_2016=107.2454)"
1395,2017,12533900.0,23.2,,17.3,,"Source table in trillion rials (12,533.9), converted x1000 to billion rials. Monetary base level and CPI not captured this pass.",IRN,cbi_annual_review_1395_2016-17.pdf,322.8932,321.3148,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2017=38817.47899159664, rebased CPI_2017=115.8732)"
1396,2018,15299800.0,22.1,,19.0,,"RAW FILENAME NOTE: this file is named 'cbi_annual_review_1396_2016-17.pdf' but its actual text content is explicitly dated 'March 2018' throughout (e.g. 'Broad money (M2) amounted to Rls. 15,299.8 trillion in March 2018') -- FY1396 (AH solar) properly corresponds to 2017/18, not 2016-17 (which is FY1395, already used by the adjacent file cbi_annual_review_1395_2016-17.pdf, whose own content is correctly dated 'in 2016/17'). This is a Western-year-label copy/paste error in the raw filename from an earlier download round, not an error in this project's reading of the file's actual content, and not corrected in the raw filename per the immutability rule -- flagged here and in the README. Source stated 'Rls. 15,299.8 trillion' -- converted x1000 to billion rials.",IRN,cbi_annual_review_1396_2016-17.pdf (filename's '2016-17' suffix is a mislabeling; content is FY1396=2017/18),176.4323,332.3503,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2018=86717.6897810219, rebased CPI_2018=136.7468)"
1397,2019,18828900.0,23.1,,24.2,,"Source stated 'Rls. 18,828.9 trillion' (March 2019) -- converted x1000 to billion rials. Monetary base level and CPI not captured this pass.",IRN,cbi_annual_review_1397_2018-19.pdf,150.7563,292.3444,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2019=124896.25441696114, rebased CPI_2019=191.3188)"
1398,2020,24721500.0,31.3,,32.8,,"Source stated 'Rls. 24,721.5 trillion' (March 2020) -- converted x1000 to billion rials. Monetary base level and CPI not captured this pass.",IRN,cbi_annual_review_1398_2019-20.pdf,118.9654,293.9146,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2020=207804.06993006993, rebased CPI_2020=249.8511)"
1399,2021,34761700.0,40.6,,30.1,,"Source stated 'Rls. 34,761.7 trillion' (March 2021) -- converted x1000 to billion rials. Monetary base level and CPI not captured this pass.",IRN,cbi_annual_review_1399_2020-21.pdf,134.2798,288.2248,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2021=258875.05985915492, rebased CPI_2021=358.2591)"
1400,2022,48324400.0,39.0,,31.6,,"Source stated 'Rls. 48,324.4 trillion' (March 2022) -- converted x1000 to billion rials. Monetary base level and CPI not captured this pass.",IRN,cbi_annual_review_1400_2021-22.pdf,156.2697,279.2414,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2022=309237.12686567166, rebased CPI_2022=514.0604)"
1401,2023,63376800.0,31.1,,42.4,,"Source stated 'Rls. 63,376.8 trillion' (March 2023) -- converted x1000 to billion rials. Monetary base level and a candidate CPI figure ('soared to 8.7 percent in 2022') were found nearby but NOT used -- context suggests this may refer to a regional/global comparator inflation figure rather than Iran's own CPI (ambiguous), so left blank per the no-guessing rule rather than risk a wrong attribution.",IRN,cbi_annual_review_1401_2022-23.pdf,127.6517,253.3016,,,"liquidity_m2_billion_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_2023=496482.3832116788, rebased CPI_2023=743.2244)"
