"ref_area","source","indicator","sex","time","obs_value","obs_status","note_indicator","note_source"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_M","2020",96457.246,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_F","2020",67698.097,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_T","2019",82234.658,"B","T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_M","2019",92241.63,"B","T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_NB","SEX_F","2019",58793.485,"B","T30:2_I11:264","R1:3513"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2025",1006879.138,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2025",1148125.325,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2025",844519.332,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2024",592512.448,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2024",678461.512,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2024",496136.848,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2023",190754.004,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2023",214733.502,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2023",163516.913,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2022",83060.662,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2022",93993.388,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2022",70482.564,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2021",51752.749,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2021",58629.244,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2021",43757.025,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2020",36282.026,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2020",40458.771,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2020",31428.096,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2019",25562.726,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2019",28726.973,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2019",21861.66,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2018",18457.024,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2018",20937.729,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2018",15579.87,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2017",14490.073,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2017",16382.998,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2017",12258.414,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2014",6460.093,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2014",7254.33,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2014",5446.116,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2013",4981.156,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2013",5594.005,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2013",4198.434,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2012",3925.666,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2012",4410.081,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2012",3304.936,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2011",3150.631,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2011",3542.718,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2011",2643.812,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2010",2418.527,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2010",2708.707,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2010",2047.072,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2009",1968.266,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2009",2201.785,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2009",1676.452,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2008",1636.195,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2008",1862.376,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2008",1348.002,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","FX:3502","EAR_EMTA_SEX_NB","SEX_T","2007",1967.994,,"T30:61",
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2006",1026.552,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2006",1185.819,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2006",827.057,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2005",816.306,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2005",953.885,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2005",644.352,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_T","2004",685.086,"B","T30:61_I11:264","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_M","2004",797.288,"B","T30:61_I11:264","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_NB","SEX_F","2004",546.02,"B","T30:61_I11:264","R1:3513_S4:33"
"ARG","BX:16201","EAR_EMTA_SEX_NB","SEX_T","1997",622.265,,"T30:61","R1:3513"
"ARG","BX:16201","EAR_EMTA_SEX_NB","SEX_M","1997",712.265,,"T30:61","R1:3513"
"ARG","BX:16201","EAR_EMTA_SEX_NB","SEX_F","1997",498.387,,"T30:61","R1:3513"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_T","2023",159067.084,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_M","2023",191768.267,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_F","2023",121840.729,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_T","2022",142818.811,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_M","2022",171843.358,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_F","2022",109879.633,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_T","2021",130559.108,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_M","2021",158052.93,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_F","2021",104116.368,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_T","2020",125733.844,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_M","2020",151655.781,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_F","2020",100066.646,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_T","2019",119804.028,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_M","2019",144778.041,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_F","2019",92487.175,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_T","2017",103505.383,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_M","2017",122056.875,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_F","2017",84423.741,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_T","2016",99931.079,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_M","2016",119163.433,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_F","2016",79541.311,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_T","2015",100331.238,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_M","2015",119184.393,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_F","2015",79546.827,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_T","2014",95690.029,"B","T30:111_I11:264","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_M","2014",114809.237,"B","T30:111_I11:264","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_NB","SEX_F","2014",74654.281,"B","T30:111_I11:264","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_T","2013",93306.883,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_M","2013",110849.243,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_F","2013",70296.765,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_T","2012",88760.389,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_M","2012",105034.109,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_F","2012",69123.535,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_T","2011",82681.486,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_M","2011",97430.606,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_F","2011",64292.79,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_T","2010",79081.411,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_M","2010",92118.674,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_F","2010",59741.188,,"T30:111","R1:3513_T3:240"
"ARM","DA:177","EAR_EMTA_SEX_NB","SEX_T","2009",101800,,"T30:111",
"ARM","DA:177","EAR_EMTA_SEX_NB","SEX_T","2008",91539,,"T30:111",
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_T","2007",57952.92,"B","T30:111_I11:264","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_M","2007",69032.061,"B","T30:111_I11:264","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_NB","SEX_F","2007",42240.351,"B","T30:111_I11:264","R1:3513_T3:240"
"ARM","DA:177","EAR_EMTA_SEX_NB","SEX_T","2006",62293,,"T30:111",
"ARM","DA:177","EAR_EMTA_SEX_NB","SEX_T","2005",52060,,"T30:111",
"ARM","DA:177","EAR_EMTA_SEX_NB","SEX_T","2004",43445,,"T30:111",
"ARM","DA:177","EAR_EMTA_SEX_NB","SEX_T","2003",34783,,"T30:111",
"ARM","DA:177","EAR_EMTA_SEX_NB","SEX_T","2002",27324,,"T30:111",
"ARM","DA:177","EAR_EMTA_SEX_NB","SEX_T","2001",24483,,"T30:111",
"ARM","DA:177","EAR_EMTA_SEX_NB","SEX_T","2000",21667,,"T30:111",
"ARM","DA:177","EAR_EMTA_SEX_NB","SEX_T","1999",18835,,"T30:111",
"ARM","DA:177","EAR_EMTA_SEX_NB","SEX_T","1998",15466,,"T30:111",
"ATG","BA:16714","EAR_EMTA_SEX_NB","SEX_T","2023",2840.209,,"T30:60","R1:3513"
"ATG","BA:16714","EAR_EMTA_SEX_NB","SEX_M","2023",3009.74,,"T30:60","R1:3513"
"ATG","BA:16714","EAR_EMTA_SEX_NB","SEX_F","2023",2682.598,,"T30:60","R1:3513"
"ATG","BA:16714","EAR_EMTA_SEX_NB","SEX_T","2018",2672.81,,"T30:60","R1:3513"
"ATG","BA:16714","EAR_EMTA_SEX_NB","SEX_M","2018",2871.245,,"T30:60","R1:3513"
"ATG","BA:16714","EAR_EMTA_SEX_NB","SEX_F","2018",2481.99,,"T30:60","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2021",5905.537,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2021",6840.278,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2021",4945.179,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2020",5629.683,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2020",6639.977,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2020",4663.08,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2019",5518.336,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2019",6469.352,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2019",4570.332,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2018",5323.882,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2018",6252.193,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2018",4374.256,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2017",5178.878,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2017",6186.172,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2017",4143.721,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2016",5071.584,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2016",6044.317,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2016",4029.49,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2015",4836.662,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2015",5800.326,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2015",3825.256,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2014",4800.452,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2014",5834.298,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2014",3721.571,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2013",4686.129,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2013",5707.054,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2013",3590.167,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2012",4633.052,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2012",5600.37,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2012",3554.326,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2011",4425.492,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2011",5261.402,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2011",3485.516,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2010",4312.991,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2010",5179.684,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2010",3367.41,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2009",4078.189,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2009",4909.567,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2009",3166.112,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2008",3996.722,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2008",4845.791,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2008",3059.527,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2007",3718.602,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2007",4484.991,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2007",2891.355,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2006",3519.786,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2006",4238.077,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2006",2743.214,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2005",3327.375,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2005",4043.008,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2005",2550.959,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2004",3109.75,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2004",3755.59,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2004",2353.818,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2003",3051.079,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2003",3668.91,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2003",2346.064,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2002",2921.565,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2002",3496.167,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2002",2263.166,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_T","2001",3068.934,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_M","2001",3704.833,,"T30:212","R1:3513"
"AUS","BB:15747","EAR_EMTA_SEX_NB","SEX_F","2001",2333.178,,"T30:212","R1:3513"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2024",4922.564,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_M","2024",5751.474,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_F","2024",3985.168,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2023",4490.404,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_M","2023",5252.655,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_F","2023",3604.806,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2022",4256.412,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_M","2022",4991.843,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_F","2022",3405.605,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2021",4275.853,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_M","2021",4929.866,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_F","2021",3504.904,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2020",4161.638,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_M","2020",4817.824,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_F","2020",3365.821,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2019",3977.213,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_M","2019",4688.37,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_F","2019",3120.101,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2018",3865.847,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_M","2018",4646.605,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_F","2018",2970.666,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2017",3796.298,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_M","2017",4530.204,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_F","2017",2935.816,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2016",3752.687,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_M","2016",4453.071,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_F","2016",2923.287,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2015",3667.316,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_M","2015",4406.148,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_F","2015",2794.191,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2014",3662.191,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_M","2014",4279.898,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_F","2014",2911.681,,"T30:161","R1:3513_T2:85"
"AUT","BB:275","EAR_EMTA_SEX_NB","SEX_T","2013",3581.594,,"T30:161","R1:3513_T2:85"
