fiscal_year_ah,fiscal_year_western_end,law_type,hierarchy_level,revenue_rials,expenditure_rials,value_source,notes,approved_date_ah,gazette_issue_no,country_iso3,source_file,revenue_usd_nominal,revenue_usd_real_2015,expenditure_usd_nominal,expenditure_usd_real_2015,currency_conversion_note
1352,1974,main,Part A: General government budget (بودجه عمومی دولت),470583786000,470583786000,printed,,27 Esfand 1351 AH solar,8225,IRN,budget-law-1352-whole-country.html,6957043878.347,17236284415.7532,6957043878.347,17236284415.7532,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1974=67.641342246617, rebased CPI_1974=0.0811); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1974=67.641342246617, rebased CPI_1974=0.0811)"
1352,1974,main,Part B: Ministries' earmarked-revenue budget,18163194000,18163194000,printed,,27 Esfand 1351 AH solar,8225,IRN,budget-law-1352-whole-country.html,268522081.2706,665271492.551,268522081.2706,665271492.551,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1974=67.641342246617, rebased CPI_1974=0.0811); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1974=67.641342246617, rebased CPI_1974=0.0811)"
1352,1974,main,Part C: State companies & profit-making institutions,196893219000,196893219000,printed,,27 Esfand 1351 AH solar,8225,IRN,budget-law-1352-whole-country.html,2910841394.6331,7211696669.5006,2910841394.6331,7211696669.5006,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1974=67.641342246617, rebased CPI_1974=0.0811); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1974=67.641342246617, rebased CPI_1974=0.0811)"
1352,1974,main,Part D: Other institutions,7091403000,7091403000,printed,,27 Esfand 1351 AH solar,8225,IRN,budget-law-1352-whole-country.html,104838295.1087,259740013.6832,104838295.1087,259740013.6832,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1974=67.641342246617, rebased CPI_1974=0.0811); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1974=67.641342246617, rebased CPI_1974=0.0811)"
1353,1975,revised (اصلاحی),Grand Total,2082635827000,2082635827000,printed,Balanced on paper. More than triple FY1352's 692.7bn rial budget -- direct evidence of the 1973-74 oil-price-quadrupling windfall hitting the government's books.,"15 Aban 1353 AH solar (signed 19 Aban, published 14 Azar; combined law also covers FY1354 below)",8787,IRN,budget-law-1353-revised-and-1354-whole-country.html,30783201591.6911,67611378025.4493,30783201591.6911,67611378025.4493,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1975=67.65494553244062, rebased CPI_1975=0.0915); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1975=67.65494553244062, rebased CPI_1975=0.0915)"
1353,1975,revised (اصلاحی),General government budget (بودجه عمومی دولت),1604701558000,1604701558000,printed,"Sub-broken into general revenue 1,580,720,770,000 + ministries' earmarked revenue 23,980,788,000 = 1,604,701,558,000 (exact).",15 Aban 1353 AH solar,8787,IRN,budget-law-1353-revised-and-1354-whole-country.html,23718909909.2622,52095561907.3605,23718909909.2622,52095561907.3605,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1975=67.65494553244062, rebased CPI_1975=0.0915); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1975=67.65494553244062, rebased CPI_1975=0.0915)"
1354,1976,main,Grand Total,2447174330000,2447174330000,printed,"Balanced on paper. Set in the same single-article clause as the FY1353 revision above (same law, two fiscal years).",15 Aban 1353 AH solar,8787,IRN,budget-law-1353-revised-and-1354-whole-country.html,34840642605.9037,71407639492.5599,34840642605.9037,71407639492.5599,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1976=70.23906986105162, rebased CPI_1976=0.1018); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1976=70.23906986105162, rebased CPI_1976=0.1018)"
1354,1976,main,General government budget (بودجه عمومی دولت),1790729484000,1790729484000,printed,"Sub-broken into general revenue 1,765,991,677,000 + ministries' earmarked revenue 24,737,807,000 = 1,790,729,484,000 (exact).",15 Aban 1353 AH solar,8787,IRN,budget-law-1353-revised-and-1354-whole-country.html,25494777871.3821,52252822307.9922,25494777871.3821,52252822307.9922,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1976=70.23906986105162, rebased CPI_1976=0.1018); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1976=70.23906986105162, rebased CPI_1976=0.1018)"
1355,1977,main,Grand Total,2960248448000,3105248448000,printed,"Deficit of exactly 145,000,000,000 rials -- same exact deficit amount recurs at every nested level below (General Government Budget level, and its own General-revenue-only sub-level), confirming the entire deficit sits in one clean traceable line, not spread/obscured across components. Law's title uses '2535' (Imperial/Shahanshahi calendar Mohammad Reza Shah introduced in 1355/1976, abandoned 1357/1978) alongside ordinary AH-solar 1355.","21 Esfand 1354 AH solar (signed 27 Esfand, published 15 Farvardin 1355)",9102,IRN,budget-law-1355-whole-country.html,41909840656.2446,67850133591.4665,43962684193.5029,71173594288.6285,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1977=70.63373187888553, rebased CPI_1977=0.1296); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1977=70.63373187888553, rebased CPI_1977=0.1296)"
1355,1977,main,General government budget (بودجه عمومی دولت),1911784286000,2056784286000,printed,"Deficit of 145,000,000,000 rials again -- same amount as the grand-total deficit.",21 Esfand 1354 AH solar,9102,IRN,budget-law-1355-whole-country.html,27066165628.5994,43818896110.1573,29119009165.8577,47142356807.3193,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1977=70.63373187888553, rebased CPI_1977=0.1296); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1977=70.63373187888553, rebased CPI_1977=0.1296)"
1355,1977,main,General government budget > general revenue/expenditure (الف),1867728217000,2012728217000,printed,"Deficit of 145,000,000,000 rials again -- the deficit's exact origin point; the sibling earmarked-revenue line (ب, 44,056,069,000) is separately balanced.",21 Esfand 1354 AH solar,9102,IRN,budget-law-1355-whole-country.html,26442439997.4018,42809112566.7576,28495283534.6601,46132573263.9196,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1977=70.63373187888553, rebased CPI_1977=0.1296); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1977=70.63373187888553, rebased CPI_1977=0.1296)"
1355,1977,main,General government budget > earmarked revenue/expenditure (ب),44056069000,44056069000,printed,Balanced (not part of the deficit).,21 Esfand 1354 AH solar,9102,IRN,budget-law-1355-whole-country.html,623725631.1976,1009783543.3997,623725631.1976,1009783543.3997,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1977=70.63373187888553, rebased CPI_1977=0.1296); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1977=70.63373187888553, rebased CPI_1977=0.1296)"
1358,1980,main (Official Gazette 52866),"Grand Total (headline, round figure as printed)",2463000000000,2463000000000,printed,"Printed as a ROUND headline figure ('...بالغ بر دو هزار و چهارصد و شصت و سه ... میلیارد ریال...', i.e. exactly 2,463 billion with no finer digits) in the single-article's opening sentence -- but the two lettered components immediately below sum to 2,440,140,371,000, NOT 2,463,000,000,000 (discrepancy of 22,859,629,000). Both figures kept as printed; not reconciled.",27 Mordad 1358 AH solar,52866,IRN,budget-law-1358-whole-country.html,12268991282.6899,37888698267.6633,12268991282.6899,37888698267.6633,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1980=200.75, rebased CPI_1980=0.1931); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1980=200.75, rebased CPI_1980=0.1931)"
1358,1980,main (Official Gazette 52866),Part A: general revenue/expenditure,2358042371000,2358042371000,printed,,27 Mordad 1358 AH solar,52866,IRN,budget-law-1358-whole-country.html,11746163740.9714,36274119324.882,11746163740.9714,36274119324.882,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1980=200.75, rebased CPI_1980=0.1931); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1980=200.75, rebased CPI_1980=0.1931)"
1358,1980,main (Official Gazette 52866),Part B: earmarked revenue/expenditure of ministries,82098000000,82098000000,printed,,27 Mordad 1358 AH solar,52866,IRN,budget-law-1358-whole-country.html,408956413.4496,1262925842.6223,408956413.4496,1262925842.6223,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1980=200.75, rebased CPI_1980=0.1931); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1980=200.75, rebased CPI_1980=0.1931)"
1358,1980,bill/companion registration (Official Gazette 10066),Grand Total (duplicate of the above),2463000000000,2463000000000,printed,"This file (budget-bill-1358-whole-country.html, approved as law 25 Mordad 1358, published 22 Shahrivar, Gazette 10066) states IDENTICAL figures to budget-law-1358-whole-country.html (Gazette 52866) verbatim, word-for-word in its single-article clause -- almost certainly the same enactment registered/gazetted twice (an earlier legislative-process printing vs. the final law), not a second real FY1358 budget. Kept as a separate row for traceability but NOT summed as an additional FY1358 data point in any total.",Approved as law 25 Mordad 1358 AH solar,10066,IRN,budget-bill-1358-whole-country.html,12268991282.6899,37888698267.6633,12268991282.6899,37888698267.6633,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1980=200.75, rebased CPI_1980=0.1931); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1980=200.75, rebased CPI_1980=0.1931)"
1360,1982,main,Grand Total,3165981700000,3165981700000,printed,Balanced. Sum of A+B verified exact (3037000000000+128981700000=3165981700000). First budget passed by the newly elected Islamic Consultative Assembly rather than the Revolutionary Council. Opens with 'Bismillah al-Rahman al-Rahim.',7 Mordad 1360 AH solar,,IRN,budget-law-1360-whole-country.html,7003093161.2903,33044641988.1688,7003093161.2903,33044641988.1688,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1982=452.0833333333333, rebased CPI_1982=0.2846); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1982=452.0833333333333, rebased CPI_1982=0.2846)"
1360,1982,main,Part A: general revenue/expenditure,3037000000000,3037000000000,printed,,7 Mordad 1360 AH solar,,IRN,budget-law-1360-whole-country.html,6717788018.4332,31698407390.6898,6717788018.4332,31698407390.6898,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1982=452.0833333333333, rebased CPI_1982=0.2846); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1982=452.0833333333333, rebased CPI_1982=0.2846)"
1360,1982,main,Part B: earmarked revenue/expenditure of ministries,128981700000,128981700000,printed,,7 Mordad 1360 AH solar,,IRN,budget-law-1360-whole-country.html,285305142.8571,1346234597.479,285305142.8571,1346234597.479,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1982=452.0833333333333, rebased CPI_1982=0.2846); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1982=452.0833333333333, rebased CPI_1982=0.2846)"
1361,1983,main,Grand Total,3104626793000,3104626793000,printed,Balanced. Sum of A+B verified exact (2977394914000+127231879000=3104626793000). Roughly flat vs FY1360 despite Iran-Iraq war spending pressure.,26 Esfand 1360 AH solar,,IRN,budget-law-1361-whole-country.html,8480655933.5306,27060596250.5166,8480655933.5306,27060596250.5166,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1983=366.0833333333333, rebased CPI_1983=0.3408); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1983=366.0833333333333, rebased CPI_1983=0.3408)"
1361,1983,main,Part A: general revenue/expenditure,2977394914000,2977394914000,printed,,26 Esfand 1360 AH solar,,IRN,budget-law-1361-whole-country.html,8133106981.1063,25951615771.5823,8133106981.1063,25951615771.5823,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1983=366.0833333333333, rebased CPI_1983=0.3408); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1983=366.0833333333333, rebased CPI_1983=0.3408)"
1361,1983,main,Part B: earmarked revenue/expenditure of ministries,127231879000,127231879000,printed,,26 Esfand 1360 AH solar,,IRN,budget-law-1361-whole-country.html,347548952.4243,1108980478.9344,347548952.4243,1108980478.9344,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1983=366.0833333333333, rebased CPI_1983=0.3408); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1983=366.0833333333333, rebased CPI_1983=0.3408)"
1362,1984,main,Grand Total,5816156938000,5816156938000,printed,"Balanced. Nearly double FY1361 -- wartime spending growth and inflation. 'Part 1' (general govt) below is explicit; the remainder (Part 2, state companies, not itemized in the clause read) is a computed residual.",26 Esfand 1361 AH solar,,IRN,budget-law-1362-whole-country.html,11423455039.691,45050363015.0457,11423455039.691,45050363015.0457,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1984=509.14166666666665, rebased CPI_1984=0.3835); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1984=509.14166666666665, rebased CPI_1984=0.3835)"
1362,1984,main,Part 1: general government budget,3727943094000,3727943094000,printed,"Sub-broken: general revenue 3,555,108,289,000 + earmarked 172,834,805,000 = 3,727,943,094,000 (exact).",26 Esfand 1361 AH solar,,IRN,budget-law-1362-whole-country.html,7322015340.8514,28875628954.7241,7322015340.8514,28875628954.7241,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1984=509.14166666666665, rebased CPI_1984=0.3835); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1984=509.14166666666665, rebased CPI_1984=0.3835)"
1362,1984,main,Part 2: state companies & profit-making institutions (implied),2088213844000,2088213844000,implied residual (Grand Total minus Part 1; not itself printed in the single-article clause),Computed as 5816156938000-3727943094000.,26 Esfand 1361 AH solar,,IRN,budget-law-1362-whole-country.html,4101439698.8396,16174734060.3215,4101439698.8396,16174734060.3215,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1984=509.14166666666665, rebased CPI_1984=0.3835); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1984=509.14166666666665, rebased CPI_1984=0.3835)"
1363,1985,main,Grand Total,6550834894000,6550834894000,printed,"Balanced. 'General government budget' portion (Part A) explicit; state-companies portion (Part B) not itemized in the clause read, computed as residual.",30 Esfand 1362 AH solar,,IRN,budget-law-1363-whole-country.html,10950224440.962,48611453867.7589,10950224440.962,48611453867.7589,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1985=598.2375, rebased CPI_1985=0.4003); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1985=598.2375, rebased CPI_1985=0.4003)"
1363,1985,main,Part A: general government budget,4087830110000,4087830110000,printed,"Sub-broken: general revenue 3,870,606,520,000 + earmarked 217,223,590,000 = 4,087,830,110,000 (exact).",30 Esfand 1362 AH solar,,IRN,budget-law-1363-whole-country.html,6833122480.6202,30334357074.6237,6833122480.6202,30334357074.6237,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1985=598.2375, rebased CPI_1985=0.4003); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1985=598.2375, rebased CPI_1985=0.4003)"
1363,1985,main,Part B: state companies & profit-making institutions (implied),2463004784000,2463004784000,implied residual (Grand Total minus Part A; not itself printed),Computed as 6550834894000-4087830110000.,30 Esfand 1362 AH solar,,IRN,budget-law-1363-whole-country.html,4117101960.3418,18277096793.1352,4117101960.3418,18277096793.1352,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1985=598.2375, rebased CPI_1985=0.4003); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1985=598.2375, rebased CPI_1985=0.4003)"
1365,1987,main,Grand Total,7465265286000,7465265286000,printed,"Balanced. Continued rapid nominal growth vs FY1363's 6.55tn rials (FY1364 general budget law itself was NOT located -- only the separate FX-allocation law survives, see forex file).",26 Esfand 1364 AH solar,11969,IRN,budget-law-1365-whole-country.html,7462156054.3107,36377079871.9266,7462156054.3107,36377079871.9266,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1987=1000.4166666666666, rebased CPI_1987=0.6096); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1987=1000.4166666666666, rebased CPI_1987=0.6096)"
1365,1987,main,Part A: general government budget,4157827189000,4157827189000,printed,"Sub-broken: general revenue 3,889,065,124,000 + earmarked 268,762,065,000 = 4,157,827,189,000 (exact). Note: the source's spelled-out Persian words for the expenditure side of the general-revenue sub-line are grammatically malformed ('سه هزار و سیصد و هشتصد و نه میلیارد...') -- almost certainly an OCR/transcription defect in the ORIGINAL lamtakam.com HTML text, not in this project's reading of it; the parenthetical digit string (3889065124000) is unambiguous and was used, not the malformed words.",26 Esfand 1364 AH solar,11969,IRN,budget-law-1365-whole-country.html,4156095482.5489,20260447010.7134,4156095482.5489,20260447010.7134,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1987=1000.4166666666666, rebased CPI_1987=0.6096); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1987=1000.4166666666666, rebased CPI_1987=0.6096)"
1365,1987,main,Part B: state companies & profit-making institutions (implied),3307438097000,3307438097000,implied residual (Grand Total minus Part A; not itself printed),Computed as 7465265286000-4157827189000.,26 Esfand 1364 AH solar,11969,IRN,budget-law-1365-whole-country.html,3306060571.7618,16116632861.2132,3306060571.7618,16116632861.2132,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1987=1000.4166666666666, rebased CPI_1987=0.6096); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1987=1000.4166666666666, rebased CPI_1987=0.6096)"
1368,1990,main,Grand Total,9741705403000,9741705403000,printed,"Both Part A and Part B below are EXPLICITLY printed in full (unlike FY1362/1363/1365 where the state-companies portion had to be computed as a residual) -- but they sum to 10,192,843,881,000, which EXCEEDS the printed grand total by 451,138,478,000. All three figures kept exactly as printed; not reconciled. Plausibly reflects a consolidation/netting adjustment for inter-account transfers between the general budget and state companies that is not shown in the single-article summary clause (normal in consolidated government accounting), but this project does not assert that explanation as fact absent a legible reconciliation table.","29 Esfand 1367 AH solar (signed 1 Farvardin 1368, published 21 Farvardin 1368)",12849,IRN,budget-law-1368-whole-country.html,7003802338.7454,28018592135.9679,7003802338.7454,28018592135.9679,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1990=1390.9166666666667, rebased CPI_1990=1.0328); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1990=1390.9166666666667, rebased CPI_1990=1.0328)"
1368,1990,main,Part A: general government budget,4734790137000,4734790137000,printed,"Sub-broken: general revenue 4,309,727,041,000 + earmarked 425,063,096,000 = 4,734,790,137,000 (exact).",29 Esfand 1367 AH solar,12849,IRN,budget-law-1368-whole-country.html,3404078943.3827,13617959916.6643,3404078943.3827,13617959916.6643,"revenue_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1990=1390.9166666666667, rebased CPI_1990=1.0328); expenditure_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1990=1390.9166666666667, rebased CPI_1990=1.0328)"
