year,area,metric,value,unit
1970,rural,expenditure_non_food_items,1388.1,rials_per_month_per_household
1971,urban,expenditure_non_food_items,4916.5,rials_per_month_per_household
1971,rural,expenditure_non_food_items,1792.9,rials_per_month_per_household
1965,urban,housing,766.3,rials_per_month_per_household
1965,rural,housing,377.8,rials_per_month_per_household
1966,urban,housing,1092.9,rials_per_month_per_household
1966,rural,housing,481.7,rials_per_month_per_household
1967,urban,housing,1072.8,rials_per_month_per_household
1967,rural,housing,492.3,rials_per_month_per_household
1968,urban,housing,1321.8,rials_per_month_per_household
1968,rural,housing,418.5,rials_per_month_per_household
1969,urban,housing,1302.0,rials_per_month_per_household
1969,rural,housing,176.4,rials_per_month_per_household
1970,urban,housing,1882.2,rials_per_month_per_household
1970,rural,housing,240.9,rials_per_month_per_household
1971,urban,housing,1390.7,rials_per_month_per_household
1971,rural,housing,213.9,rials_per_month_per_household
1965,urban,household_operation,509.4,rials_per_month_per_household
1965,rural,household_operation,68.0,rials_per_month_per_household
1966,urban,household_operation,475.0,rials_per_month_per_household
1966,rural,household_operation,71.3,rials_per_month_per_household
1967,urban,household_operation,998.3,rials_per_month_per_household
1967,rural,household_operation,69.2,rials_per_month_per_household
1968,urban,household_operation,567.3,rials_per_month_per_household
1968,rural,household_operation,65.0,rials_per_month_per_household
1969,urban,household_operation,471.3,rials_per_month_per_household
1969,rural,household_operation,322.6,rials_per_month_per_household
1970,urban,household_operation,654.5,rials_per_month_per_household
1970,rural,household_operation,293.6,rials_per_month_per_household
1971,urban,household_operation,662.6,rials_per_month_per_household
1971,rural,household_operation,249.9,rials_per_month_per_household
1965,urban,household_effects,356.3,rials_per_month_per_household
1965,rural,household_effects,130.0,rials_per_month_per_household
1966,urban,household_effects,363.9,rials_per_month_per_household
1966,rural,household_effects,162.0,rials_per_month_per_household
1967,urban,household_effects,361.2,rials_per_month_per_household
1967,rural,household_effects,202.9,rials_per_month_per_household
1968,urban,household_effects,399.6,rials_per_month_per_household
1968,rural,household_effects,149.5,rials_per_month_per_household
1969,urban,household_effects,233.0,rials_per_month_per_household
1969,rural,household_effects,111.6,rials_per_month_per_household
1970,urban,household_effects,351.4,rials_per_month_per_household
1970,rural,household_effects,128.6,rials_per_month_per_household
1971,urban,household_effects,443.0,rials_per_month_per_household
1971,rural,household_effects,193.3,rials_per_month_per_household
1965,urban,clothing,796.6,rials_per_month_per_household
1965,rural,clothing,367.1,rials_per_month_per_household
1966,urban,clothing,800.9,rials_per_month_per_household
1966,rural,clothing,475.4,rials_per_month_per_household
1967,urban,clothing,780.3,rials_per_month_per_household
1967,rural,clothing,494.1,rials_per_month_per_household
1968,urban,clothing,642.2,rials_per_month_per_household
1968,rural,clothing,352.5,rials_per_month_per_household
1969,urban,clothing,507.2,rials_per_month_per_household
1969,rural,clothing,318.5,rials_per_month_per_household
1970,urban,clothing,641.2,rials_per_month_per_household
1970,rural,clothing,396.5,rials_per_month_per_household
1971,urban,clothing,821.0,rials_per_month_per_household
1971,rural,clothing,445.6,rials_per_month_per_household
1965,urban,personal_care_and_health,496.4,rials_per_month_per_household
1965,rural,personal_care_and_health,154.4,rials_per_month_per_household
1966,urban,personal_care_and_health,502.4,rials_per_month_per_household
1966,rural,personal_care_and_health,176.5,rials_per_month_per_household
1967,urban,personal_care_and_health,505.0,rials_per_month_per_household
1967,rural,personal_care_and_health,199.1,rials_per_month_per_household
1968,urban,personal_care_and_health,632.2,rials_per_month_per_household
1968,rural,personal_care_and_health,214.7,rials_per_month_per_household
1969,urban,personal_care_and_health,489.7,rials_per_month_per_household
1969,rural,personal_care_and_health,212.9,rials_per_month_per_household
1970,urban,personal_care_and_health,561.7,rials_per_month_per_household
1970,rural,personal_care_and_health,227.5,rials_per_month_per_household
1971,urban,personal_care_and_health,606.5,rials_per_month_per_household
1971,rural,personal_care_and_health,260.9,rials_per_month_per_household
1965,urban,transportation,337.5,rials_per_month_per_household
1965,rural,transportation,76.3,rials_per_month_per_household
1966,urban,transportation,354.5,rials_per_month_per_household
1966,rural,transportation,161.8,rials_per_month_per_household
1967,urban,transportation,421.0,rials_per_month_per_household
1967,rural,transportation,85.7,rials_per_month_per_household
1968,urban,transportation,355.2,rials_per_month_per_household
1968,rural,transportation,91.8,rials_per_month_per_household
1969,urban,transportation,310.4,rials_per_month_per_household
1969,rural,transportation,75.1,rials_per_month_per_household
1970,urban,transportation,333.2,rials_per_month_per_household
1970,rural,transportation,101.7,rials_per_month_per_household
1971,urban,transportation,308.7,rials_per_month_per_household
1971,rural,transportation,116.1,rials_per_month_per_household
1965,urban,education,120.2,rials_per_month_per_household
1965,rural,education,18.0,rials_per_month_per_household
1966,urban,education,748.2,rials_per_month_per_household
1966,rural,education,11.4,rials_per_month_per_household
1967,urban,education,153.2,rials_per_month_per_household
1967,rural,education,12.3,rials_per_month_per_household
1968,urban,education,114.9,rials_per_month_per_household
1968,rural,education,11.7,rials_per_month_per_household
1969,urban,education,158.3,rials_per_month_per_household
1969,rural,education,18.9,rials_per_month_per_household
1970,urban,education,368.9,rials_per_month_per_household
1970,rural,education,12.8,rials_per_month_per_household
1971,urban,education,234.4,rials_per_month_per_household
1971,rural,education,28.4,rials_per_month_per_household
1965,urban,recreation,166.4,rials_per_month_per_household
1965,rural,recreation,9.8,rials_per_month_per_household
1966,urban,recreation,164.0,rials_per_month_per_household
1966,rural,recreation,9.5,rials_per_month_per_household
1967,urban,recreation,150.5,rials_per_month_per_household
1967,rural,recreation,11.9,rials_per_month_per_household
1968,urban,recreation,65.9,rials_per_month_per_household
1968,rural,recreation,11.6,rials_per_month_per_household
1969,urban,recreation,104.8,rials_per_month_per_household
1969,rural,recreation,19.5,rials_per_month_per_household
1970,urban,recreation,160.5,rials_per_month_per_household
1970,rural,recreation,14.8,rials_per_month_per_household
1971,urban,recreation,262.4,rials_per_month_per_household
1971,rural,recreation,56.0,rials_per_month_per_household
1965,urban,gifts_and_donations,248.8,rials_per_month_per_household
1965,rural,gifts_and_donations,48.8,rials_per_month_per_household
1966,urban,gifts_and_donations,375.9,rials_per_month_per_household
1966,rural,gifts_and_donations,44.7,rials_per_month_per_household
1967,urban,gifts_and_donations,216.7,rials_per_month_per_household
1967,rural,gifts_and_donations,84.5,rials_per_month_per_household
1968,urban,gifts_and_donations,86.0,rials_per_month_per_household
1968,rural,gifts_and_donations,92.0,rials_per_month_per_household
1969,urban,gifts_and_donations,86.9,rials_per_month_per_household
1969,rural,gifts_and_donations,54.8,rials_per_month_per_household
1970,urban,gifts_and_donations,178.3,rials_per_month_per_household
1970,rural,gifts_and_donations,54.1,rials_per_month_per_household
1971,urban,gifts_and_donations,141.5,rials_per_month_per_household
1971,rural,gifts_and_donations,117.0,rials_per_month_per_household
1965,urban,others,185.2,rials_per_month_per_household
1965,rural,others,0.4,rials_per_month_per_household
1966,urban,others,165.2,rials_per_month_per_household
1966,rural,others,1.3,rials_per_month_per_household
1967,urban,others,136.2,rials_per_month_per_household
1967,rural,others,10.4,rials_per_month_per_household
1968,urban,others,57.7,rials_per_month_per_household
1968,rural,others,17.5,rials_per_month_per_household
1969,urban,others,13.8,rials_per_month_per_household
1969,rural,others,17.9,rials_per_month_per_household
1970,urban,others,19.2,rials_per_month_per_household
1970,rural,others,17.8,rials_per_month_per_household
1971,urban,others,45.4,rials_per_month_per_household
1971,rural,others,11.8,rials_per_month_per_household
