area,source_table,metric,iranian_solar_year,gregorian_start_year,value_thousand_rials
urban,21.2_nonfood_by_item,furniture_furnishings_equipment_services,1395,2016,10639
urban,21.2_nonfood_by_item,furniture_furnishings_equipment_services,1396,2017,13250
urban,21.2_nonfood_by_item,furniture_furnishings_equipment_services,1397,2018,15888
urban,21.2_nonfood_by_item,furniture_furnishings_equipment_services,1398,2019,19068
urban,21.2_nonfood_by_item,furniture_furnishings_equipment_services,1399,2020,26875
urban,21.2_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1380,2001,293
urban,21.2_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1385,2006,1062
urban,21.2_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1390,2011,1318
urban,21.2_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1395,2016,2215
urban,21.2_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1396,2017,2856
urban,21.2_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1397,2018,3246
urban,21.2_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1398,2019,3124
urban,21.2_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1399,2020,3294
urban,21.2_nonfood_by_item,household_appliances_and_other_furnishings,1380,2001,195
urban,21.2_nonfood_by_item,household_appliances_and_other_furnishings,1385,2006,427
urban,21.2_nonfood_by_item,household_appliances_and_other_furnishings,1390,2011,423
urban,21.2_nonfood_by_item,household_appliances_and_other_furnishings,1395,2016,639
urban,21.2_nonfood_by_item,household_appliances_and_other_furnishings,1396,2017,724
urban,21.2_nonfood_by_item,household_appliances_and_other_furnishings,1397,2018,656
urban,21.2_nonfood_by_item,household_appliances_and_other_furnishings,1398,2019,655
urban,21.2_nonfood_by_item,household_appliances_and_other_furnishings,1399,2020,1061
urban,21.2_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1380,2001,466
urban,21.2_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1385,2006,875
urban,21.2_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1390,2011,1184
urban,21.2_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1395,2016,1983
urban,21.2_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1396,2017,2980
urban,21.2_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1397,2018,3285
urban,21.2_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1398,2019,3635
urban,21.2_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1399,2020,4976
urban,21.2_nonfood_by_item,glasswares_tablewares_utensils_repairs,1380,2001,317
urban,21.2_nonfood_by_item,glasswares_tablewares_utensils_repairs,1385,2006,563
urban,21.2_nonfood_by_item,glasswares_tablewares_utensils_repairs,1390,2011,708
urban,21.2_nonfood_by_item,glasswares_tablewares_utensils_repairs,1395,2016,1169
urban,21.2_nonfood_by_item,glasswares_tablewares_utensils_repairs,1396,2017,1236
urban,21.2_nonfood_by_item,glasswares_tablewares_utensils_repairs,1397,2018,1441
urban,21.2_nonfood_by_item,glasswares_tablewares_utensils_repairs,1398,2019,1397
urban,21.2_nonfood_by_item,glasswares_tablewares_utensils_repairs,1399,2020,2022
urban,21.2_nonfood_by_item,non_durable_household_goods,1380,2001,400
urban,21.2_nonfood_by_item,non_durable_household_goods,1385,2006,805
urban,21.2_nonfood_by_item,non_durable_household_goods,1390,2011,1630
urban,21.2_nonfood_by_item,non_durable_household_goods,1395,2016,4378
urban,21.2_nonfood_by_item,non_durable_household_goods,1396,2017,5190
urban,21.2_nonfood_by_item,non_durable_household_goods,1397,2018,7061
urban,21.2_nonfood_by_item,non_durable_household_goods,1398,2019,10019
urban,21.2_nonfood_by_item,non_durable_household_goods,1399,2020,15012
urban,21.2_nonfood_by_item,household_services,1380,2001,30
urban,21.2_nonfood_by_item,household_services,1385,2006,64
urban,21.2_nonfood_by_item,household_services,1390,2011,59
urban,21.2_nonfood_by_item,household_services,1395,2016,253
urban,21.2_nonfood_by_item,household_services,1396,2017,263
urban,21.2_nonfood_by_item,household_services,1397,2018,199
urban,21.2_nonfood_by_item,household_services,1398,2019,240
urban,21.2_nonfood_by_item,household_services,1399,2020,509
urban,21.2_nonfood_by_item,medical_care_and_health_services,1380,2001,1962
urban,21.2_nonfood_by_item,medical_care_and_health_services,1385,2006,5345
urban,21.2_nonfood_by_item,medical_care_and_health_services,1390,2011,11606
urban,21.2_nonfood_by_item,medical_care_and_health_services,1395,2016,29747
urban,21.2_nonfood_by_item,medical_care_and_health_services,1396,2017,34910
urban,21.2_nonfood_by_item,medical_care_and_health_services,1397,2018,42751
urban,21.2_nonfood_by_item,medical_care_and_health_services,1398,2019,49649
urban,21.2_nonfood_by_item,medical_care_and_health_services,1399,2020,60617
urban,21.2_nonfood_by_item,medical_care_and_health_expenses,1380,2001,1602
urban,21.2_nonfood_by_item,medical_care_and_health_expenses,1385,2006,3976
urban,21.2_nonfood_by_item,medical_care_and_health_expenses,1390,2011,8110
urban,21.2_nonfood_by_item,medical_care_and_health_expenses,1395,2016,20292
urban,21.2_nonfood_by_item,medical_care_and_health_expenses,1396,2017,23707
urban,21.2_nonfood_by_item,medical_care_and_health_expenses,1397,2018,29759
urban,21.2_nonfood_by_item,medical_care_and_health_expenses,1398,2019,33346
urban,21.2_nonfood_by_item,medical_care_and_health_expenses,1399,2020,39327
urban,21.2_nonfood_by_item,health_and_social_insurance_charges,1380,2001,360
urban,21.2_nonfood_by_item,health_and_social_insurance_charges,1385,2006,1369
urban,21.2_nonfood_by_item,health_and_social_insurance_charges,1390,2011,3496
urban,21.2_nonfood_by_item,health_and_social_insurance_charges,1395,2016,9455
urban,21.2_nonfood_by_item,health_and_social_insurance_charges,1396,2017,11202
urban,21.2_nonfood_by_item,health_and_social_insurance_charges,1397,2018,12992
urban,21.2_nonfood_by_item,health_and_social_insurance_charges,1398,2019,16303
urban,21.2_nonfood_by_item,health_and_social_insurance_charges,1399,2020,21290
urban,21.2_nonfood_by_item,transport_and_communications,1380,2001,2975
urban,21.2_nonfood_by_item,transport_and_communications,1385,2006,10312
urban,21.2_nonfood_by_item,transport_and_communications,1390,2011,16451
urban,21.2_nonfood_by_item,transport_and_communications,1395,2016,33707
urban,21.2_nonfood_by_item,transport_and_communications,1396,2017,40853
urban,21.2_nonfood_by_item,transport_and_communications,1397,2018,46412
urban,21.2_nonfood_by_item,transport_and_communications,1398,2019,47449
urban,21.2_nonfood_by_item,transport_and_communications,1399,2020,61662
urban,21.2_nonfood_by_item,transport,1380,2001,2241
urban,21.2_nonfood_by_item,transport,1385,2006,7502
urban,21.2_nonfood_by_item,transport,1390,2011,11810
urban,21.2_nonfood_by_item,transport,1395,2016,26248
urban,21.2_nonfood_by_item,transport,1396,2017,32359
urban,21.2_nonfood_by_item,transport,1397,2018,37060
urban,21.2_nonfood_by_item,transport,1398,2019,36746
urban,21.2_nonfood_by_item,transport,1399,2020,46362
urban,21.2_nonfood_by_item,communications,1380,2001,734
urban,21.2_nonfood_by_item,communications,1385,2006,2809
urban,21.2_nonfood_by_item,communications,1390,2011,4641
urban,21.2_nonfood_by_item,communications,1395,2016,7460
urban,21.2_nonfood_by_item,communications,1396,2017,8494
urban,21.2_nonfood_by_item,communications,1397,2018,9352
urban,21.2_nonfood_by_item,communications,1398,2019,10703
urban,21.2_nonfood_by_item,communications,1399,2020,15300
urban,21.2_nonfood_by_item,recreation_entertainment_cultural_services,1380,2001,959
urban,21.2_nonfood_by_item,recreation_entertainment_cultural_services,1385,2006,2441
urban,21.2_nonfood_by_item,recreation_entertainment_cultural_services,1390,2011,4313
urban,21.2_nonfood_by_item,recreation_entertainment_cultural_services,1395,2016,7903
urban,21.2_nonfood_by_item,recreation_entertainment_cultural_services,1396,2017,9538
urban,21.2_nonfood_by_item,recreation_entertainment_cultural_services,1397,2018,10703
urban,21.2_nonfood_by_item,recreation_entertainment_cultural_services,1398,2019,10556
urban,21.2_nonfood_by_item,recreation_entertainment_cultural_services,1399,2020,10274
urban,21.2_nonfood_by_item,recreation_and_entertainment,1380,2001,328
urban,21.2_nonfood_by_item,recreation_and_entertainment,1385,2006,754
urban,21.2_nonfood_by_item,recreation_and_entertainment,1390,2011,940
urban,21.2_nonfood_by_item,recreation_and_entertainment,1395,2016,1789
urban,21.2_nonfood_by_item,recreation_and_entertainment,1396,2017,2474
urban,21.2_nonfood_by_item,recreation_and_entertainment,1397,2018,2952
urban,21.2_nonfood_by_item,recreation_and_entertainment,1398,2019,2539
urban,21.2_nonfood_by_item,recreation_and_entertainment,1399,2020,2138
urban,21.2_nonfood_by_item,education_and_training,1380,2001,631
urban,21.2_nonfood_by_item,education_and_training,1385,2006,1686
urban,21.2_nonfood_by_item,education_and_training,1390,2011,3373
urban,21.2_nonfood_by_item,education_and_training,1395,2016,6114
urban,21.2_nonfood_by_item,education_and_training,1396,2017,7064
urban,21.2_nonfood_by_item,education_and_training,1397,2018,7751
urban,21.2_nonfood_by_item,education_and_training,1398,2019,8017
urban,21.2_nonfood_by_item,education_and_training,1399,2020,8136
urban,21.2_nonfood_by_item,misc_household_goods_and_services,1380,2001,2388
urban,21.2_nonfood_by_item,misc_household_goods_and_services,1385,2006,6434
urban,21.2_nonfood_by_item,misc_household_goods_and_services,1390,2011,12281
urban,21.2_nonfood_by_item,misc_household_goods_and_services,1395,2016,27740
urban,21.2_nonfood_by_item,misc_household_goods_and_services,1396,2017,32349
urban,21.2_nonfood_by_item,misc_household_goods_and_services,1397,2018,35733
urban,21.2_nonfood_by_item,misc_household_goods_and_services,1398,2019,42921
urban,21.2_nonfood_by_item,misc_household_goods_and_services,1399,2020,50308
urban,21.2_nonfood_by_item,personal_care_and_effects,1380,2001,334
urban,21.2_nonfood_by_item,personal_care_and_effects,1385,2006,814
urban,21.2_nonfood_by_item,personal_care_and_effects,1390,2011,1710
urban,21.2_nonfood_by_item,personal_care_and_effects,1395,2016,4158
urban,21.2_nonfood_by_item,personal_care_and_effects,1396,2017,4963
urban,21.2_nonfood_by_item,personal_care_and_effects,1397,2018,5829
urban,21.2_nonfood_by_item,personal_care_and_effects,1398,2019,6708
urban,21.2_nonfood_by_item,personal_care_and_effects,1399,2020,8695
urban,21.2_nonfood_by_item,jewellery_watches_other_personal_goods,1380,2001,121
urban,21.2_nonfood_by_item,jewellery_watches_other_personal_goods,1385,2006,477
urban,21.2_nonfood_by_item,jewellery_watches_other_personal_goods,1390,2011,748
urban,21.2_nonfood_by_item,jewellery_watches_other_personal_goods,1395,2016,1164
urban,21.2_nonfood_by_item,jewellery_watches_other_personal_goods,1396,2017,1044
urban,21.2_nonfood_by_item,jewellery_watches_other_personal_goods,1397,2018,-360
urban,21.2_nonfood_by_item,jewellery_watches_other_personal_goods,1398,2019,-168
urban,21.2_nonfood_by_item,jewellery_watches_other_personal_goods,1399,2020,-755
urban,21.2_nonfood_by_item,restaurants_inns_hotels_package_tours,1380,2001,341
urban,21.2_nonfood_by_item,restaurants_inns_hotels_package_tours,1385,2006,701
urban,21.2_nonfood_by_item,restaurants_inns_hotels_package_tours,1390,2011,1260
urban,21.2_nonfood_by_item,restaurants_inns_hotels_package_tours,1395,2016,1330
urban,21.2_nonfood_by_item,restaurants_inns_hotels_package_tours,1396,2017,1517
urban,21.2_nonfood_by_item,restaurants_inns_hotels_package_tours,1397,2018,1938
urban,21.2_nonfood_by_item,restaurants_inns_hotels_package_tours,1398,2019,1592
urban,21.2_nonfood_by_item,restaurants_inns_hotels_package_tours,1399,2020,545
urban,21.2_nonfood_by_item,financial_and_legal_services,1380,2001,52
urban,21.2_nonfood_by_item,financial_and_legal_services,1385,2006,142
urban,21.2_nonfood_by_item,financial_and_legal_services,1390,2011,332
urban,21.2_nonfood_by_item,financial_and_legal_services,1395,2016,558
urban,21.2_nonfood_by_item,financial_and_legal_services,1396,2017,723
urban,21.2_nonfood_by_item,financial_and_legal_services,1397,2018,818
urban,21.2_nonfood_by_item,financial_and_legal_services,1398,2019,1097
urban,21.2_nonfood_by_item,financial_and_legal_services,1399,2020,1160
urban,21.2_nonfood_by_item,religious_contributions,1380,2001,125
urban,21.2_nonfood_by_item,religious_contributions,1385,2006,401
urban,21.2_nonfood_by_item,religious_contributions,1390,2011,724
urban,21.2_nonfood_by_item,religious_contributions,1395,2016,1246
urban,21.2_nonfood_by_item,religious_contributions,1396,2017,1464
urban,21.2_nonfood_by_item,religious_contributions,1397,2018,1654
urban,21.2_nonfood_by_item,religious_contributions,1398,2019,1630
urban,21.2_nonfood_by_item,religious_contributions,1399,2020,1693
urban,21.2_nonfood_by_item,miscellaneous_expenditures,1380,2001,1415
urban,21.2_nonfood_by_item,miscellaneous_expenditures,1385,2006,3899
urban,21.2_nonfood_by_item,miscellaneous_expenditures,1390,2011,7508
urban,21.2_nonfood_by_item,miscellaneous_expenditures,1395,2016,19284
urban,21.2_nonfood_by_item,miscellaneous_expenditures,1396,2017,22638
urban,21.2_nonfood_by_item,miscellaneous_expenditures,1397,2018,25853
urban,21.2_nonfood_by_item,miscellaneous_expenditures,1398,2019,32062
urban,21.2_nonfood_by_item,miscellaneous_expenditures,1399,2020,38970
rural,21.10_nonfood_by_item,total,1380,2001,10163
rural,21.10_nonfood_by_item,total,1385,2006,26057
rural,21.10_nonfood_by_item,total,1390,2011,51033
rural,21.10_nonfood_by_item,total,1395,2016,97138
rural,21.10_nonfood_by_item,total,1396,2017,112166
rural,21.10_nonfood_by_item,total,1397,2018,134226
rural,21.10_nonfood_by_item,total,1398,2019,158342
rural,21.10_nonfood_by_item,total,1399,2020,204237
rural,21.10_nonfood_by_item,clothing_and_footwear,1380,2001,1574
rural,21.10_nonfood_by_item,clothing_and_footwear,1385,2006,3326
rural,21.10_nonfood_by_item,clothing_and_footwear,1390,2011,5199
rural,21.10_nonfood_by_item,clothing_and_footwear,1395,2016,8499
rural,21.10_nonfood_by_item,clothing_and_footwear,1396,2017,9511
rural,21.10_nonfood_by_item,clothing_and_footwear,1397,2018,10831
rural,21.10_nonfood_by_item,clothing_and_footwear,1398,2019,12788
rural,21.10_nonfood_by_item,clothing_and_footwear,1399,2020,16257
rural,21.10_nonfood_by_item,clothing_and_repairs,1380,2001,1240
rural,21.10_nonfood_by_item,clothing_and_repairs,1385,2006,2597
rural,21.10_nonfood_by_item,clothing_and_repairs,1390,2011,4088
rural,21.10_nonfood_by_item,clothing_and_repairs,1395,2016,6750
rural,21.10_nonfood_by_item,clothing_and_repairs,1396,2017,7554
rural,21.10_nonfood_by_item,clothing_and_repairs,1397,2018,8543
rural,21.10_nonfood_by_item,clothing_and_repairs,1398,2019,10094
rural,21.10_nonfood_by_item,clothing_and_repairs,1399,2020,13111
rural,21.10_nonfood_by_item,footwear_and_repairs,1380,2001,334
rural,21.10_nonfood_by_item,footwear_and_repairs,1385,2006,730
rural,21.10_nonfood_by_item,footwear_and_repairs,1390,2011,1111
rural,21.10_nonfood_by_item,footwear_and_repairs,1395,2016,1749
rural,21.10_nonfood_by_item,footwear_and_repairs,1396,2017,1957
rural,21.10_nonfood_by_item,footwear_and_repairs,1397,2018,2288
rural,21.10_nonfood_by_item,footwear_and_repairs,1398,2019,2694
rural,21.10_nonfood_by_item,footwear_and_repairs,1399,2020,3146
rural,21.10_nonfood_by_item,housing,1380,2001,2973
rural,21.10_nonfood_by_item,housing,1385,2006,6290
rural,21.10_nonfood_by_item,housing,1390,2011,15330
rural,21.10_nonfood_by_item,housing,1395,2016,29362
rural,21.10_nonfood_by_item,housing,1396,2017,32665
rural,21.10_nonfood_by_item,housing,1397,2018,37512
rural,21.10_nonfood_by_item,housing,1398,2019,47020
rural,21.10_nonfood_by_item,housing,1399,2020,65027
rural,21.10_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1380,2001,1979
rural,21.10_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1385,2006,4628
rural,21.10_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1390,2011,9613
rural,21.10_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1395,2016,20260
rural,21.10_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1396,2017,23012
rural,21.10_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1397,2018,27637
rural,21.10_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1398,2019,36683
rural,21.10_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1399,2020,52757
rural,21.10_nonfood_by_item,water_sewage_fuel_light,1380,2001,993
rural,21.10_nonfood_by_item,water_sewage_fuel_light,1385,2006,1663
rural,21.10_nonfood_by_item,water_sewage_fuel_light,1390,2011,5717
rural,21.10_nonfood_by_item,water_sewage_fuel_light,1395,2016,9102
rural,21.10_nonfood_by_item,water_sewage_fuel_light,1396,2017,9653
rural,21.10_nonfood_by_item,water_sewage_fuel_light,1397,2018,9875
rural,21.10_nonfood_by_item,water_sewage_fuel_light,1398,2019,10337
rural,21.10_nonfood_by_item,water_sewage_fuel_light,1399,2020,12270
rural,21.10_nonfood_by_item,furniture_furnishings_equipment_services,1380,2001,1356
rural,21.10_nonfood_by_item,furniture_furnishings_equipment_services,1385,2006,3021
rural,21.10_nonfood_by_item,furniture_furnishings_equipment_services,1390,2011,4608
rural,21.10_nonfood_by_item,furniture_furnishings_equipment_services,1395,2016,8604
rural,21.10_nonfood_by_item,furniture_furnishings_equipment_services,1396,2017,9769
rural,21.10_nonfood_by_item,furniture_furnishings_equipment_services,1397,2018,12742
rural,21.10_nonfood_by_item,furniture_furnishings_equipment_services,1398,2019,15438
rural,21.10_nonfood_by_item,furniture_furnishings_equipment_services,1399,2020,20714
rural,21.10_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1380,2001,210
rural,21.10_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1385,2006,591
rural,21.10_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1390,2011,835
rural,21.10_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1395,2016,1387
rural,21.10_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1396,2017,1504
rural,21.10_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1397,2018,2012
rural,21.10_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1398,2019,1857
rural,21.10_nonfood_by_item,furniture_fixtures_carpets_floor_coverings_repairs,1399,2020,1876
rural,21.10_nonfood_by_item,household_appliances_and_other_furnishings,1380,2001,173
rural,21.10_nonfood_by_item,household_appliances_and_other_furnishings,1385,2006,452
rural,21.10_nonfood_by_item,household_appliances_and_other_furnishings,1390,2011,563
rural,21.10_nonfood_by_item,household_appliances_and_other_furnishings,1395,2016,585
rural,21.10_nonfood_by_item,household_appliances_and_other_furnishings,1396,2017,671
rural,21.10_nonfood_by_item,household_appliances_and_other_furnishings,1397,2018,743
rural,21.10_nonfood_by_item,household_appliances_and_other_furnishings,1398,2019,887
rural,21.10_nonfood_by_item,household_appliances_and_other_furnishings,1399,2020,811
rural,21.10_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1380,2001,350
rural,21.10_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1385,2006,626
rural,21.10_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1390,2011,953
rural,21.10_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1395,2016,1786
rural,21.10_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1396,2017,2286
rural,21.10_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1397,2018,2812
rural,21.10_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1398,2019,3130
rural,21.10_nonfood_by_item,heating_cooking_appliances_refrigerators_etc,1399,2020,4260
rural,21.10_nonfood_by_item,glasswares_tablewares_utensils_repairs,1380,2001,268
rural,21.10_nonfood_by_item,glasswares_tablewares_utensils_repairs,1385,2006,587
rural,21.10_nonfood_by_item,glasswares_tablewares_utensils_repairs,1390,2011,697
rural,21.10_nonfood_by_item,glasswares_tablewares_utensils_repairs,1395,2016,1128
rural,21.10_nonfood_by_item,glasswares_tablewares_utensils_repairs,1396,2017,1210
rural,21.10_nonfood_by_item,glasswares_tablewares_utensils_repairs,1397,2018,1427
rural,21.10_nonfood_by_item,glasswares_tablewares_utensils_repairs,1398,2019,1477
rural,21.10_nonfood_by_item,glasswares_tablewares_utensils_repairs,1399,2020,2302
rural,21.10_nonfood_by_item,non_durable_household_goods,1380,2001,353
rural,21.10_nonfood_by_item,non_durable_household_goods,1385,2006,742
rural,21.10_nonfood_by_item,non_durable_household_goods,1390,2011,1506
