# Series;Series description (EN);Metric;Unit of Measure;Reference date;Value;State
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-08-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-07-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-06-30;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-05-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-04-30;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-03-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-02-28;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-01-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-12-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-11-30;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-10-31;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-09-30;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-08-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-07-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-06-30;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-05-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-04-30;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-03-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-02-28;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2018-01-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-12-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-11-30;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-10-31;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-09-30;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-08-31;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-07-31;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-06-30;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-05-31;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-04-30;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-03-31;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-02-28;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2017-01-31;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-12-31;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-11-30;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-10-31;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-09-30;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-08-31;0.03;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-07-31;0.03;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-06-30;0.03;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-05-31;0.03;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-04-30;0.03;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-03-31;0.03;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-02-29;0.03;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2016-01-31;0.03;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-12-31;0.04;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-11-30;0.03;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-10-31;0.04;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-09-30;0.04;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-08-31;0.04;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-07-31;0.04;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-06-30;0.04;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-05-31;0.04;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-04-30;0.05;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-03-31;0.06;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-02-28;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2015-01-31;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-12-31;0.1;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-11-30;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-10-31;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-09-30;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-08-31;0.06;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-07-31;0.06;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-06-30;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-05-31;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-04-30;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-03-31;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-02-28;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2014-01-31;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-12-31;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-11-30;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-10-31;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-09-30;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-08-31;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-07-31;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-06-30;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-05-31;0.09;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-04-30;0.09;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-03-31;0.1;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-02-28;0.11;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2013-01-31;0.11;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-12-31;0.1;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-11-30;0.11;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-10-31;0.1;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-09-30;0.11;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-08-31;0.11;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-07-31;0.12;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-06-30;0.12;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-05-31;0.13;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-04-30;0.15;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-03-31;0.16;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-02-29;0.17;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2012-01-31;0.18;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-12-31;0.24;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-11-30;0.16;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-10-31;0.17;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-09-30;0.16;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-08-31;0.15;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-07-31;0.16;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-06-30;0.15;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-05-31;0.15;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-04-30;0.14;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-03-31;0.11;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-02-28;0.12;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2011-01-31;0.12;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-12-31;0.11;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-11-30;0.12;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-10-31;0.11;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-09-30;0.1;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-08-31;0.08;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-07-31;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-06-30;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-05-31;0.06;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-04-30;0.06;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-03-31;0.06;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-02-28;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2010-01-31;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-12-31;0.06;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-11-30;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-10-31;0.07;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-09-30;0.09;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-08-31;0.1;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-07-31;0.1;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-06-30;0.11;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-05-31;0.13;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-04-30;0.13;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-03-31;0.2;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-02-28;0.27;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2009-01-31;0.36;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-12-31;0.43;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-11-30;0.61;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-10-31;0.64;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-09-30;0.68;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-08-31;0.65;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-07-31;0.67;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-06-30;0.64;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-05-31;0.61;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-04-30;0.6;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-03-31;0.64;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-02-29;0.56;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2008-01-31;0.55;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-12-31;0.6;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-11-30;0.49;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-10-31;0.52;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-09-30;0.57;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-08-31;0.47;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-07-31;0.46;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-06-30;0.51;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-05-31;0.44;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-04-30;0.44;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-03-31;0.44;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-02-28;0.38;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2007-01-31;0.45;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-12-31;0.51;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-11-30;0.35;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-10-31;0.34;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-09-30;0.36;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-08-31;0.32;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-07-31;0.27;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-06-30;0.28;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-05-31;0.29;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-04-30;0.28;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-03-31;0.27;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-02-28;0.25;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2006-01-31;0.28;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-12-31;0.35;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-11-30;0.24;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-10-31;0.24;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-09-30;0.25;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-08-31;0.24;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-07-31;0.24;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-06-30;0.24;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-05-31;0.25;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-04-30;0.25;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-03-31;0.25;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-02-28;0.24;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2005-01-31;0.28;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-12-31;0.3;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-11-30;0.28;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-10-31;0.29;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-09-30;0.27;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-08-31;0.27;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-07-31;0.28;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-06-30;0.28;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-05-31;0.29;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-04-30;0.28;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-03-31;0.28;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-02-29;0.28;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2004-01-31;0.31;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2003-12-31;0.33;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2003-11-30;0.34;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2003-10-31;0.31;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2003-09-30;0.3;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2003-08-31;0.3;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2003-07-31;0.3;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2003-06-30;0.33;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2003-05-31;0.39;
