year,month,metric,value,unit,source_issue
1940,,bank_melli_fx_reserves,19,Millions USD,ifs_1949-12
1941,,bank_melli_fx_reserves,30,Millions USD,ifs_1949-12
1942,,bank_melli_fx_reserves,53,Millions USD,ifs_1949-12
1943,,bank_melli_fx_reserves,110,Millions USD,ifs_1949-12
1944,,bank_melli_fx_reserves,109,Millions USD,ifs_1949-12
1945,,bank_melli_fx_reserves,100,Millions USD,ifs_1949-12
1946,,bank_melli_fx_reserves,90,Millions USD,ifs_1949-12
1947,,bank_melli_fx_reserves,104,Millions USD,ifs_1949-12
1948,,bank_melli_fx_reserves,134,Millions USD,ifs_1949-12
1937,,bank_melli_gold_fx_total,34,Millions USD,ifs_1949-12
1938,,bank_melli_gold_fx_total,37,Millions USD,ifs_1949-12
1939,,bank_melli_gold_fx_total,42,Millions USD,ifs_1949-12
1940,,bank_melli_gold_fx_total,44,Millions USD,ifs_1949-12
1941,,bank_melli_gold_fx_total,55,Millions USD,ifs_1949-12
1942,,bank_melli_gold_fx_total,114,Millions USD,ifs_1949-12
1943,,bank_melli_gold_fx_total,221,Millions USD,ifs_1949-12
1944,,bank_melli_gold_fx_total,244,Millions USD,ifs_1949-12
1945,,bank_melli_gold_fx_total,227,Millions USD,ifs_1949-12
1946,,bank_melli_gold_fx_total,239,Millions USD,ifs_1949-12
1947,,bank_melli_gold_fx_total,246,Millions USD,ifs_1949-12
1948,,bank_melli_gold_fx_total,273,Millions USD,ifs_1949-12
1943,,short_term_assets_in_us,17,Millions USD,ifs_1949-12
1944,,short_term_assets_in_us,14,Millions USD,ifs_1949-12
1945,,short_term_assets_in_us,18,Millions USD,ifs_1949-12
1946,,short_term_assets_in_us,18,Millions USD,ifs_1949-12
1948,,short_term_assets_in_us,23,Millions USD,ifs_1949-12
1937,,exports_value,2.56,Billions Rials,ifs_1949-12
1938,,exports_value,2.37,Billions Rials,ifs_1949-12
1939,,exports_value,2.5,Billions Rials,ifs_1949-12
1940,,exports_value,2.25,Billions Rials,ifs_1949-12
1941,,exports_value,1.84,Billions Rials,ifs_1949-12
1942,,exports_value,4.05,Billions Rials,ifs_1949-12
1943,,exports_value,4.41,Billions Rials,ifs_1949-12
1944,,exports_value,4.72,Billions Rials,ifs_1949-12
1945,,exports_value,7.32,Billions Rials,ifs_1949-12
1946,,exports_value,10.64,Billions Rials,ifs_1949-12
1947,,exports_value,12.36,Billions Rials,ifs_1949-12
1948,,exports_value,18.99,Billions Rials,ifs_1949-12
1937,,imports_value_cif,1.38,Billions Rials,ifs_1949-12
1938,,imports_value_cif,1.58,Billions Rials,ifs_1949-12
1939,,imports_value_cif,1.07,Billions Rials,ifs_1949-12
1940,,imports_value_cif,1.02,Billions Rials,ifs_1949-12
1941,,imports_value_cif,0.79,Billions Rials,ifs_1949-12
1942,,imports_value_cif,2.39,Billions Rials,ifs_1949-12
1943,,imports_value_cif,1.96,Billions Rials,ifs_1949-12
1944,,imports_value_cif,3.1,Billions Rials,ifs_1949-12
1945,,imports_value_cif,3.72,Billions Rials,ifs_1949-12
1946,,imports_value_cif,4.95,Billions Rials,ifs_1949-12
1947,,imports_value_cif,5.78,Billions Rials,ifs_1949-12
1948,,imports_value_cif,5.44,Billions Rials,ifs_1949-12
1937,,bank_melli_foreign_assets,0.45,Billions Rials,ifs_1949-12
1938,,bank_melli_foreign_assets,0.52,Billions Rials,ifs_1949-12
1939,,bank_melli_foreign_assets,0.59,Billions Rials,ifs_1949-12
1940,,bank_melli_foreign_assets,0.63,Billions Rials,ifs_1949-12
1941,,bank_melli_foreign_assets,1.35,Billions Rials,ifs_1949-12
1942,,bank_melli_foreign_assets,3.66,Billions Rials,ifs_1949-12
1943,,bank_melli_foreign_assets,7.11,Billions Rials,ifs_1949-12
1944,,bank_melli_foreign_assets,7.85,Billions Rials,ifs_1949-12
1945,,bank_melli_foreign_assets,7.34,Billions Rials,ifs_1949-12
1946,,bank_melli_foreign_assets,7.73,Billions Rials,ifs_1949-12
1947,,bank_melli_foreign_assets,7.92,Billions Rials,ifs_1949-12
1948,,bank_melli_foreign_assets,8.61,Billions Rials,ifs_1949-12
1937,,bank_melli_domestic_credits,1.78,Billions Rials,ifs_1949-12
1938,,bank_melli_domestic_credits,1.92,Billions Rials,ifs_1949-12
1944,,bank_melli_domestic_credits,5.97,Billions Rials,ifs_1949-12
1945,,bank_melli_domestic_credits,7.96,Billions Rials,ifs_1949-12
1946,,bank_melli_domestic_credits,8.64,Billions Rials,ifs_1949-12
1947,,bank_melli_domestic_credits,8.76,Billions Rials,ifs_1949-12
1948,,bank_melli_domestic_credits,9.65,Billions Rials,ifs_1949-12
1937,,money_supply_currency,0.84,Billions Rials,ifs_1949-12
1938,,money_supply_currency,0.84,Billions Rials,ifs_1949-12
1939,,money_supply_currency,0.99,Billions Rials,ifs_1949-12
1940,,money_supply_currency,1.21,Billions Rials,ifs_1949-12
1941,,money_supply_currency,1.74,Billions Rials,ifs_1949-12
1942,,money_supply_currency,3.73,Billions Rials,ifs_1949-12
1943,,money_supply_currency,6.04,Billions Rials,ifs_1949-12
1944,,money_supply_currency,6.66,Billions Rials,ifs_1949-12
1945,,money_supply_currency,6.85,Billions Rials,ifs_1949-12
1946,,money_supply_currency,7.01,Billions Rials,ifs_1949-12
1947,,money_supply_currency,7.0,Billions Rials,ifs_1949-12
1948,,money_supply_currency,6.64,Billions Rials,ifs_1949-12
1937,,money_supply_deposit_money,1.03,Billions Rials,ifs_1949-12
1938,,money_supply_deposit_money,1.14,Billions Rials,ifs_1949-12
1939,,money_supply_deposit_money,1.45,Billions Rials,ifs_1949-12
1944,,money_supply_deposit_money,5.3,Billions Rials,ifs_1949-12
1945,,money_supply_deposit_money,4.74,Billions Rials,ifs_1949-12
1946,,money_supply_deposit_money,5.87,Billions Rials,ifs_1949-12
1947,,money_supply_deposit_money,6.21,Billions Rials,ifs_1949-12
1948,,money_supply_deposit_money,7.18,Billions Rials,ifs_1949-12
1937,,money_supply_total_m1,1.88,Billions Rials,ifs_1949-12
1938,,money_supply_total_m1,1.98,Billions Rials,ifs_1949-12
1939,,money_supply_total_m1,2.44,Billions Rials,ifs_1949-12
1944,,money_supply_total_m1,11.96,Billions Rials,ifs_1949-12
1945,,money_supply_total_m1,11.59,Billions Rials,ifs_1949-12
1946,,money_supply_total_m1,12.88,Billions Rials,ifs_1949-12
1947,,money_supply_total_m1,13.21,Billions Rials,ifs_1949-12
1948,,money_supply_total_m1,13.82,Billions Rials,ifs_1949-12
1944,,time_deposits,1.02,Billions Rials,ifs_1949-12
1945,,time_deposits,1.2,Billions Rials,ifs_1949-12
1946,,time_deposits,1.42,Billions Rials,ifs_1949-12
1947,,time_deposits,1.38,Billions Rials,ifs_1949-12
1948,,time_deposits,1.93,Billions Rials,ifs_1949-12
1937,,wholesale_price_index_all_goods,100,1937=100,ifs_1949-12
1938,,wholesale_price_index_all_goods,102,1937=100,ifs_1949-12
1939,,wholesale_price_index_all_goods,118,1937=100,ifs_1949-12
1940,,wholesale_price_index_all_goods,130,1937=100,ifs_1949-12
1941,,wholesale_price_index_all_goods,184,1937=100,ifs_1949-12
1942,,wholesale_price_index_all_goods,356,1937=100,ifs_1949-12
1943,,wholesale_price_index_all_goods,535,1937=100,ifs_1949-12
1944,,wholesale_price_index_all_goods,551,1937=100,ifs_1949-12
1945,,wholesale_price_index_all_goods,529,1937=100,ifs_1949-12
1946,,wholesale_price_index_all_goods,493,1937=100,ifs_1949-12
1947,,wholesale_price_index_all_goods,553,1937=100,ifs_1949-12
1948,,wholesale_price_index_all_goods,583,1937=100,ifs_1949-12
1937,,cost_of_living_index,100,1937=100,ifs_1949-12
1938,,cost_of_living_index,114,1937=100,ifs_1949-12
1939,,cost_of_living_index,121,1937=100,ifs_1949-12
1940,,cost_of_living_index,134,1937=100,ifs_1949-12
1941,,cost_of_living_index,184,1937=100,ifs_1949-12
1942,,cost_of_living_index,326,1937=100,ifs_1949-12
1943,,cost_of_living_index,787,1937=100,ifs_1949-12
1944,,cost_of_living_index,916,1937=100,ifs_1949-12
1945,,cost_of_living_index,779,1937=100,ifs_1949-12
1946,,cost_of_living_index,698,1937=100,ifs_1949-12
1947,,cost_of_living_index,707,1937=100,ifs_1949-12
1948,,cost_of_living_index,775,1937=100,ifs_1949-12
1949,,exchange_rate_official,32.50,Rials,ifs_1950-12
1949,,bank_melli_gold_reserves,140,Millions USD,ifs_1950-12
1949,,short_term_assets_in_us,17,Millions USD,ifs_1950-12
1950,,exchange_rate_export_series_a,48.25,Rials per USD,ifs_1956-12
1951,,exchange_rate_export_series_a,64.25,Rials per USD,ifs_1956-12
1952,,exchange_rate_export_series_a,83.54,Rials per USD,ifs_1956-12
1953,,exchange_rate_export_series_a,87.1,Rials per USD,ifs_1956-12
1954,,exchange_rate_export_series_a,82.0,Rials per USD,ifs_1956-12
1955,,exchange_rate_export_series_a,75.0,Rials per USD,ifs_1956-12
1950,,exchange_rate_export_series_b,32.0,Rials per USD,ifs_1956-12
1951,,exchange_rate_export_series_b,32.0,Rials per USD,ifs_1956-12
1952,,exchange_rate_export_series_b,32.0,Rials per USD,ifs_1956-12
1953,,exchange_rate_export_series_b,80.0,Rials per USD,ifs_1956-12
1954,,exchange_rate_export_series_b,78.0,Rials per USD,ifs_1956-12
1955,,exchange_rate_export_series_b,75.0,Rials per USD,ifs_1956-12
1951,,exchange_rate_export_series_b_alt,41.0,Rials per USD,ifs_1956-12
1952,,exchange_rate_export_series_b_alt,41.0,Rials per USD,ifs_1956-12
1950,,bank_melli_gold_fx_total,252,Millions USD,ifs_1956-12
1951,,bank_melli_gold_fx_total,196,Millions USD,ifs_1956-12
1952,,bank_melli_gold_fx_total,177,Millions USD,ifs_1956-12
1953,,bank_melli_gold_fx_total,185,Millions USD,ifs_1956-12
1954,,bank_melli_gold_fx_total,186,Millions USD,ifs_1956-12
1955,,bank_melli_gold_fx_total,205,Millions USD,ifs_1956-12
1950,,bank_melli_gold_reserves,139,Millions USD,ifs_1956-12
1951,,bank_melli_gold_reserves,138,Millions USD,ifs_1956-12
1952,,bank_melli_gold_reserves,138,Millions USD,ifs_1956-12
1953,,bank_melli_gold_reserves,137,Millions USD,ifs_1956-12
1954,,bank_melli_gold_reserves,138,Millions USD,ifs_1956-12
1955,,bank_melli_gold_reserves,138,Millions USD,ifs_1956-12
1950,,bank_melli_fx_reserves,113,Millions USD,ifs_1956-12
1951,,bank_melli_fx_reserves,58,Millions USD,ifs_1956-12
1952,,bank_melli_fx_reserves,39,Millions USD,ifs_1956-12
1953,,bank_melli_fx_reserves,48,Millions USD,ifs_1956-12
1954,,bank_melli_fx_reserves,48,Millions USD,ifs_1956-12
1955,,bank_melli_fx_reserves,67,Millions USD,ifs_1956-12
1950,,short_term_assets_in_us,20,Millions USD,ifs_1956-12
1951,,short_term_assets_in_us,25,Millions USD,ifs_1956-12
1952,,short_term_assets_in_us,19,Millions USD,ifs_1956-12
1953,,short_term_assets_in_us,44,Millions USD,ifs_1956-12
1954,,short_term_assets_in_us,31,Millions USD,ifs_1956-12
1955,,short_term_assets_in_us,37,Millions USD,ifs_1956-12
1950,,monetary_survey_foreign_assets,8.09,Billions Rials,ifs_1956-12
1951,,monetary_survey_foreign_assets,6.31,Billions Rials,ifs_1956-12
1952,,monetary_survey_foreign_assets,5.69,Billions Rials,ifs_1956-12
1953,,monetary_survey_foreign_assets,7.12,Billions Rials,ifs_1956-12
1954,,monetary_survey_foreign_assets,6.76,Billions Rials,ifs_1956-12
1955,,monetary_survey_foreign_assets,7.11,Billions Rials,ifs_1956-12
1950,,monetary_survey_claims_on_government,7.04,Billions Rials,ifs_1956-12
1951,,monetary_survey_claims_on_government,8.01,Billions Rials,ifs_1956-12
1952,,monetary_survey_claims_on_government,9.52,Billions Rials,ifs_1956-12
1953,,monetary_survey_claims_on_government,11.0,Billions Rials,ifs_1956-12
1954,,monetary_survey_claims_on_government,11.24,Billions Rials,ifs_1956-12
1955,,monetary_survey_claims_on_government,11.08,Billions Rials,ifs_1956-12
1950,,monetary_survey_claims_on_official_entities,1.36,Billions Rials,ifs_1956-12
1951,,monetary_survey_claims_on_official_entities,1.44,Billions Rials,ifs_1956-12
1952,,monetary_survey_claims_on_official_entities,2.73,Billions Rials,ifs_1956-12
1953,,monetary_survey_claims_on_official_entities,5.02,Billions Rials,ifs_1956-12
1954,,monetary_survey_claims_on_official_entities,5.82,Billions Rials,ifs_1956-12
1955,,monetary_survey_claims_on_official_entities,6.24,Billions Rials,ifs_1956-12
1950,,monetary_survey_claims_on_private_sector,6.79,Billions Rials,ifs_1956-12
1951,,monetary_survey_claims_on_private_sector,5.48,Billions Rials,ifs_1956-12
1952,,monetary_survey_claims_on_private_sector,5.35,Billions Rials,ifs_1956-12
1953,,monetary_survey_claims_on_private_sector,6.46,Billions Rials,ifs_1956-12
1954,,monetary_survey_claims_on_private_sector,8.06,Billions Rials,ifs_1956-12
1955,,monetary_survey_claims_on_private_sector,9.72,Billions Rials,ifs_1956-12
1950,,monetary_survey_total_assets,22.23,Billions Rials,ifs_1956-12
1951,,monetary_survey_total_assets,21.41,Billions Rials,ifs_1956-12
1952,,monetary_survey_total_assets,23.51,Billions Rials,ifs_1956-12
1953,,monetary_survey_total_assets,30.05,Billions Rials,ifs_1956-12
1954,,monetary_survey_total_assets,32.46,Billions Rials,ifs_1956-12
1955,,monetary_survey_total_assets,34.75,Billions Rials,ifs_1956-12
1950,,money_supply_m1,14.37,Billions Rials,ifs_1956-12
1951,,money_supply_m1,13.88,Billions Rials,ifs_1956-12
1952,,money_supply_m1,14.16,Billions Rials,ifs_1956-12
1953,,money_supply_m1,18.17,Billions Rials,ifs_1956-12
1954,,money_supply_m1,18.51,Billions Rials,ifs_1956-12
1955,,money_supply_m1,20.22,Billions Rials,ifs_1956-12
1952,,quasi_money,2.45,Billions Rials,ifs_1956-12
1953,,quasi_money,3.26,Billions Rials,ifs_1956-12
1954,,quasi_money,3.68,Billions Rials,ifs_1956-12
1955,,quasi_money,4.12,Billions Rials,ifs_1956-12
1950,,government_deposits_with_banks,2.57,Billions Rials,ifs_1956-12
1951,,government_deposits_with_banks,2.45,Billions Rials,ifs_1956-12
1952,,government_deposits_with_banks,2.4,Billions Rials,ifs_1956-12
1953,,government_deposits_with_banks,3.49,Billions Rials,ifs_1956-12
1954,,government_deposits_with_banks,3.97,Billions Rials,ifs_1956-12
1955,,government_deposits_with_banks,4.08,Billions Rials,ifs_1956-12
1950,,discount_rate,4.0,Per Cent,ifs_1956-12
1951,,discount_rate,4.0,Per Cent,ifs_1956-12
1952,,discount_rate,4.0,Per Cent,ifs_1956-12
1953,,discount_rate,4.0,Per Cent,ifs_1956-12
1954,,discount_rate,4.0,Per Cent,ifs_1956-12
1955,,discount_rate,4.0,Per Cent,ifs_1956-12
1950,,wholesale_price_index_1953base,70,1953=100,ifs_1956-12
1951,,wholesale_price_index_1953base,79,1953=100,ifs_1956-12
1952,,wholesale_price_index_1953base,83,1953=100,ifs_1956-12
1953,,wholesale_price_index_1953base,100,1953=100,ifs_1956-12
1954,,wholesale_price_index_1953base,118,1953=100,ifs_1956-12
1955,,wholesale_price_index_1953base,115,1953=100,ifs_1956-12
1950,,imports_excl_foreign_oil_companies_rials,9.01,Billions Rials,ifs_1958-12
1951,,imports_excl_foreign_oil_companies_rials,9.92,Billions Rials,ifs_1958-12
1952,,imports_excl_foreign_oil_companies_rials,9.38,Billions Rials,ifs_1958-12
1953,,imports_excl_foreign_oil_companies_rials,16.88,Billions Rials,ifs_1958-12
1954,,imports_excl_foreign_oil_companies_rials,22.35,Billions Rials,ifs_1958-12
1955,,imports_excl_foreign_oil_companies_rials,24.65,Billions Rials,ifs_1958-12
1950,,export_price_index_1953base,66,1953=100,ifs_1958-12
1951,,export_price_index_1953base,76,1953=100,ifs_1958-12
1952,,export_price_index_1953base,76,1953=100,ifs_1958-12
1953,,export_price_index_1953base,100,1953=100,ifs_1958-12
1954,,export_price_index_1953base,117,1953=100,ifs_1958-12
1955,,export_price_index_1953base,117,1953=100,ifs_1958-12
1950,,import_price_index_1953base,64,1953=100,ifs_1958-12
1951,,import_price_index_1953base,77,1953=100,ifs_1958-12
1952,,import_price_index_1953base,86,1953=100,ifs_1958-12
1953,,import_price_index_1953base,100,1953=100,ifs_1958-12
1954,,import_price_index_1953base,107,1953=100,ifs_1958-12
1955,,import_price_index_1953base,105,1953=100,ifs_1958-12
1956,,exchange_rate_export_principal,75.0,Rials per USD,ifs_1958-12
1957,,exchange_rate_export_principal,75.0,Rials per USD,ifs_1958-12
1956,,exchange_rate_import_principal,76.5,Rials per USD,ifs_1958-12
1957,,exchange_rate_import_principal,76.5,Rials per USD,ifs_1958-12
1956,,bank_melli_gold_fx_total,230,Millions USD,ifs_1958-12
1957,,bank_melli_gold_fx_total,245,Millions USD,ifs_1958-12
1956,,bank_melli_gold_reserves,138,Millions USD,ifs_1958-12
1957,,bank_melli_gold_reserves,138,Millions USD,ifs_1958-12
1956,,bank_melli_fx_reserves,91,Millions USD,ifs_1958-12
1957,,bank_melli_fx_reserves,107,Millions USD,ifs_1958-12
1956,,short_term_assets_in_us,20,Millions USD,ifs_1958-12
1957,,short_term_assets_in_us,55,Millions USD,ifs_1958-12
1956,,monetary_survey_foreign_assets,8.44,Billions Rials,ifs_1958-12
1957,,monetary_survey_foreign_assets,18.57,Billions Rials,ifs_1958-12
1956,,monetary_survey_claims_on_government,11.94,Billions Rials,ifs_1958-12
1957,,monetary_survey_claims_on_government,12.59,Billions Rials,ifs_1958-12
1956,,monetary_survey_claims_on_official_entities,6.88,Billions Rials,ifs_1958-12
1957,,monetary_survey_claims_on_official_entities,9.09,Billions Rials,ifs_1958-12
1956,,monetary_survey_claims_on_private_sector,10.82,Billions Rials,ifs_1958-12
1957,,monetary_survey_claims_on_private_sector,13.98,Billions Rials,ifs_1958-12
1956,,monetary_survey_total_assets,38.47,Billions Rials,ifs_1958-12
1957,,monetary_survey_total_assets,54.69,Billions Rials,ifs_1958-12
1956,,money_supply_m1,23.59,Billions Rials,ifs_1958-12
1957,,money_supply_m1,27.69,Billions Rials,ifs_1958-12
1956,,quasi_money,5.31,Billions Rials,ifs_1958-12
1957,,quasi_money,5.79,Billions Rials,ifs_1958-12
1956,,government_deposits_with_banks,4.57,Billions Rials,ifs_1958-12
1957,,government_deposits_with_banks,6.07,Billions Rials,ifs_1958-12
1956,,discount_rate,4.0,Per Cent,ifs_1958-12
1957,,discount_rate,4.0,Per Cent,ifs_1958-12
1956,,wholesale_price_index_1953base,123,1953=100,ifs_1958-12
1957,,wholesale_price_index_1953base,123,1953=100,ifs_1958-12
1956,,imports_excl_foreign_oil_companies_rials,21.54,Billions Rials,ifs_1958-12
1957,,imports_excl_foreign_oil_companies_rials,25.23,Billions Rials,ifs_1958-12
1956,,export_price_index_1953base,135,1953=100,ifs_1958-12
1957,,export_price_index_1953base,134,1953=100,ifs_1958-12
1956,,import_price_index_1953base,96,1953=100,ifs_1958-12
1957,,import_price_index_1953base,88,1953=100,ifs_1958-12
1950,,petroleum_production_index_1953base,100,1953=100,ifs_1960-12
1951,,petroleum_production_index_1953base,52,1953=100,ifs_1960-12
1952,,petroleum_production_index_1953base,14,1953=100,ifs_1960-12
1953,,petroleum_production_index_1953base,5,1953=100,ifs_1960-12
1954,,petroleum_production_index_1953base,11,1953=100,ifs_1960-12
1955,,petroleum_production_index_1953base,53,1953=100,ifs_1960-12
1956,,petroleum_production_index_1953base,81,1953=100,ifs_1960-12
1957,,petroleum_production_index_1953base,108,1953=100,ifs_1960-12
1958,,petroleum_production_index_1953base,124,1953=100,ifs_1960-12
1958,,exchange_rate_export_principal,75.0,Rials per USD,ifs_1960-12
1958,,exchange_rate_import_principal,76.5,Rials per USD,ifs_1960-12
1958,,bank_melli_gold_fx_total,253,Millions USD,ifs_1960-12
1958,,bank_melli_gold_reserves,141,Millions USD,ifs_1960-12
1958,,bank_melli_fx_reserves,112,Millions USD,ifs_1960-12
1958,,short_term_assets_in_us,43,Millions USD,ifs_1960-12
1958,,monetary_survey_foreign_assets,19.13,Billions Rials,ifs_1960-12
1958,,monetary_survey_claims_on_government,14.14,Billions Rials,ifs_1960-12
1958,,monetary_survey_claims_on_official_entities,12.27,Billions Rials,ifs_1960-12
1958,,monetary_survey_claims_on_private_sector,22.61,Billions Rials,ifs_1960-12
1958,,monetary_survey_total_assets,68.65,Billions Rials,ifs_1960-12
1958,,money_supply_m1,36.33,Billions Rials,ifs_1960-12
1958,,quasi_money,7.3,Billions Rials,ifs_1960-12
1958,,government_deposits_with_banks,8.08,Billions Rials,ifs_1960-12
1958,,discount_rate,4.0,Per Cent,ifs_1960-12
1958,,wholesale_price_index_1953base,119,1953=100,ifs_1960-12
1958,,imports_excl_foreign_oil_companies_rials,40.56,Billions Rials,ifs_1960-12
1958,,export_price_index_1953base,124,1953=100,ifs_1960-12
1958,,import_price_index_1953base,82,1953=100,ifs_1960-12
1959,,exchange_rate_export_principal,75.0,Rials per USD,ifs_1962-04
1960,,exchange_rate_export_principal,75.0,Rials per USD,ifs_1962-04
1961,,exchange_rate_export_principal,75.0,Rials per USD,ifs_1962-04
1959,,exchange_rate_import_principal,76.5,Rials per USD,ifs_1962-04
1960,,exchange_rate_import_principal,76.5,Rials per USD,ifs_1962-04
1961,,exchange_rate_import_principal,76.5,Rials per USD,ifs_1962-04
1959,,bank_melli_gold_fx_total,214,Millions USD,ifs_1962-04
1960,,bank_melli_gold_fx_total,184,Millions USD,ifs_1962-04
1961,,bank_melli_gold_fx_total,208,Millions USD,ifs_1962-04
1959,,bank_melli_gold_reserves,140,Millions USD,ifs_1962-04
1960,,bank_melli_gold_reserves,130,Millions USD,ifs_1962-04
1961,,bank_melli_gold_reserves,130,Millions USD,ifs_1962-04
1959,,bank_melli_fx_reserves,73,Millions USD,ifs_1962-04
1960,,bank_melli_fx_reserves,53,Millions USD,ifs_1962-04
1961,,bank_melli_fx_reserves,79,Millions USD,ifs_1962-04
1959,,short_term_assets_in_us,47,Millions USD,ifs_1962-04
1960,,short_term_assets_in_us,22,Millions USD,ifs_1962-04
1961,,short_term_assets_in_us,31,Millions USD,ifs_1962-04
1959,,monetary_survey_foreign_assets,16.12,Billions Rials,ifs_1962-04
1960,,monetary_survey_foreign_assets,13.86,Billions Rials,ifs_1962-04
1961,,monetary_survey_foreign_assets,15.94,Billions Rials,ifs_1962-04
1959,,monetary_survey_claims_on_government,28.93,Billions Rials,ifs_1962-04
1960,,monetary_survey_claims_on_government,32.35,Billions Rials,ifs_1962-04
1961,,monetary_survey_claims_on_government,29.53,Billions Rials,ifs_1962-04
1959,,monetary_survey_claims_on_private_sector,32.24,Billions Rials,ifs_1962-04
1961,,monetary_survey_claims_on_private_sector,46.69,Billions Rials,ifs_1962-04
1959,,money_supply_m1,39.96,Billions Rials,ifs_1962-04
1961,,money_supply_m1,38.68,Billions Rials,ifs_1962-04
1959,,quasi_money,9.8,Billions Rials,ifs_1962-04
1961,,quasi_money,15.71,Billions Rials,ifs_1962-04
1959,,government_deposits_with_banks,11.28,Billions Rials,ifs_1962-04
1960,,government_deposits_with_banks,7.79,Billions Rials,ifs_1962-04
1961,,government_deposits_with_banks,17.97,Billions Rials,ifs_1962-04
1959,,discount_rate,4.0,Per Cent,ifs_1962-04
1960,,discount_rate,6.0,Per Cent,ifs_1962-04
1961,,discount_rate,6.0,Per Cent,ifs_1962-04
1959,,wholesale_price_index_1953base,122,1953=100,ifs_1962-04
1960,,wholesale_price_index_1953base,124,1953=100,ifs_1962-04
1961,,wholesale_price_index_1953base,126,1953=100,ifs_1962-04
1959,,petroleum_production_index_1953base,143,1953=100,ifs_1962-04
1960,,petroleum_production_index_1953base,162,1953=100,ifs_1962-04
1959,,export_price_index_1953base,119,1953=100,ifs_1962-04
1960,,export_price_index_1953base,117,1953=100,ifs_1962-04
1961,,export_price_index_1953base,117,1953=100,ifs_1962-04
1959,,import_price_index_1953base,84,1953=100,ifs_1962-04
1960,,import_price_index_1953base,86,1953=100,ifs_1962-04
1961,,import_price_index_1953base,88,1953=100,ifs_1962-04
1962,,bank_melli_gold_fx_total,224,Millions USD,ifs_1964-12
1963,,bank_melli_gold_fx_total,246,Millions USD,ifs_1964-12
1962,,bank_melli_gold_reserves,129,Millions USD,ifs_1964-12
1963,,bank_melli_gold_reserves,142,Millions USD,ifs_1964-12
1962,,bank_melli_fx_reserves,77,Millions USD,ifs_1964-12
1963,,bank_melli_fx_reserves,87,Millions USD,ifs_1964-12
1962,,short_term_assets_in_us,19,Millions USD,ifs_1964-12
1963,,short_term_assets_in_us,24,Millions USD,ifs_1964-12
1962,,monetary_survey_claims_on_private_sector,57.38,Billions Rials,ifs_1964-12
1963,,monetary_survey_claims_on_private_sector,68.68,Billions Rials,ifs_1964-12
1962,,money_supply_m1,41.51,Billions Rials,ifs_1964-12
1963,,money_supply_m1,45.15,Billions Rials,ifs_1964-12
1962,,quasi_money,22.3,Billions Rials,ifs_1964-12
1963,,quasi_money,28.85,Billions Rials,ifs_1964-12
1958,,monetary_survey_domestic_credit_total,41.53,Billions Rials,ifs_1964-12
1959,,monetary_survey_domestic_credit_total,49.89,Billions Rials,ifs_1964-12
1960,,monetary_survey_domestic_credit_total,24.56,Billions Rials,ifs_1964-12
1961,,monetary_survey_domestic_credit_total,59.25,Billions Rials,ifs_1964-12
1962,,monetary_survey_domestic_credit_total,67.42,Billions Rials,ifs_1964-12
1963,,monetary_survey_domestic_credit_total,78.73,Billions Rials,ifs_1964-12
1958,,wholesale_price_index_1958base,100,1958=100,ifs_1964-12
1959,,wholesale_price_index_1958base,103,1958=100,ifs_1964-12
1960,,wholesale_price_index_1958base,105,1958=100,ifs_1964-12
